name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalRevenue,"70,934,000,000","16,424,000,000","21,641,000,000","15,917,000,000","16,952,000,000","16,029,000,000","15,425,000,000","12,115,000,000","13,464,000,000","19,223,000,000","15,105,000,000","15,388,000,000","15,091,000,000","18,432,000,000","16,148,000,000","14,655,000,000","13,757,000,000","16,265,000,000","16,313,000,000","13,441,000,000","13,670,000,000","13,050,000,000","16,961,000,000","14,439,000,000","14,329,000,000","14,256,000,000","13,599,000,000","13,712,000,000","15,552,000,000","15,725,000,000","12,380,000,000","13,146,000,000","12,854,000,000","9,889,000,000","11,343,000,000","10,044,000,000","10,185,000,000","45,912,000,000","13,144,000,000","16,136,000,000","9,623,000,000","11,695,000,000","14,917,000,000","12,247,000,000","10,186,000,000","8,106,000,000","9,917,000,000","11,054,000,000","9,292,000,000","8,659,000,000","8,564,000,000","6,906,000,000","8,563,000,000","6,966,000,000","7,036,000,000","7,709,000,000","7,564,000,000","8,808,000,000","8,393,000,000","8,425,000,000","8,821,000,000","8,665,000,000","8,476,000,000","7,432,000,000","7,927,000,000","7,807,000,000","7,791,000,000","8,361,000,000","7,778,000,000","7,388,000,000","7,327,000,000","6,884,000,000","6,749,000,000","7,092,000,000","6,704,000,000","7,324,000,000","6,807,000,000","6,585,000,000","6,706,000,000","6,668,000,000","6,714,000,000"
	OperatingRevenue,"70,934,000,000","16,424,000,000","21,641,000,000","15,917,000,000","16,952,000,000","16,029,000,000","15,425,000,000","12,115,000,000","13,464,000,000","19,223,000,000","15,105,000,000","15,388,000,000","15,091,000,000","18,432,000,000","16,148,000,000","14,655,000,000","13,757,000,000","16,265,000,000","16,313,000,000","13,441,000,000","13,670,000,000","13,050,000,000","16,961,000,000","14,439,000,000","14,329,000,000","14,256,000,000","13,599,000,000","13,712,000,000","15,552,000,000","15,725,000,000","12,380,000,000","13,146,000,000","12,854,000,000","9,889,000,000","11,343,000,000","10,044,000,000","10,185,000,000","45,912,000,000","13,144,000,000","16,136,000,000","9,623,000,000","11,695,000,000","14,917,000,000","12,247,000,000","10,186,000,000","8,106,000,000","9,917,000,000","11,054,000,000","9,292,000,000","8,659,000,000","8,564,000,000","6,906,000,000","8,563,000,000","6,966,000,000","7,036,000,000","7,709,000,000","7,564,000,000","8,808,000,000","8,393,000,000","8,425,000,000","8,821,000,000","8,665,000,000","8,476,000,000","7,432,000,000","7,927,000,000","7,807,000,000","7,791,000,000","8,361,000,000","7,778,000,000","7,388,000,000","7,327,000,000","6,884,000,000","6,749,000,000","7,092,000,000","6,704,000,000","7,324,000,000","6,807,000,000","6,585,000,000","6,706,000,000","6,668,000,000","6,714,000,000"
NetNonOperatingInterestIncomeExpense,"-1,474,000,000","-362,000,000","-367,000,000","-371,000,000","-376,000,000","-386,000,000","-400,000,000","-397,000,000","-387,000,000","-385,000,000","-377,000,000","-392,000,000","-386,000,000","-372,000,000","-355,000,000","-347,000,000","-340,000,000","-344,000,000","-330,000,000","-326,000,000","-322,000,000","-322,000,000","-314,000,000","-357,000,000","-325,000,000","-322,000,000","-339,000,000","-324,000,000",,"-328,000,000","-340,000,000","-319,000,000","-321,000,000",,,"-331,000,000",,,"-1,057,000,000","-312,000,000",,,"-296,000,000","-290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-464,000,000","-459,000,000","-455,000,000","-452,000,000","-481,000,000","-468,000,000","-449,000,000","-448,000,000"
	InterestExpenseNonOperating,"1,474,000,000","362,000,000","367,000,000","371,000,000","376,000,000","386,000,000","400,000,000","397,000,000","387,000,000","385,000,000","377,000,000","392,000,000","386,000,000","372,000,000","355,000,000","347,000,000","340,000,000","344,000,000","330,000,000","326,000,000","322,000,000","322,000,000","314,000,000","357,000,000","325,000,000","322,000,000","339,000,000","324,000,000",,"328,000,000","340,000,000","319,000,000","321,000,000",,,"331,000,000",,,"1,057,000,000","312,000,000",,,"296,000,000","290,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"464,000,000","459,000,000","455,000,000","452,000,000","481,000,000","468,000,000","449,000,000","448,000,000"
OtherIncomeExpense,"2,951,000,000","816,000,000","500,000,000","1,353,000,000","282,000,000","2,075,000,000","992,000,000","1,474,000,000","-2,591,000,000","1,045,000,000","320,000,000","643,000,000","1,254,000,000","-1,087,000,000","606,000,000","-54,000,000","-507,000,000","337,000,000","327,000,000","420,000,000","217,000,000","435,000,000","-55,000,000","86,000,000","-23,000,000",,"-397,000,000","124,000,000","215,000,000","-2,155,000,000","-625,000,000","267,000,000","535,000,000",,,,,,,,,,"1,003,000,000","1,078,000,000",,,,,,,,,,,"711,000,000","1,654,000,000","1,491,000,000","2,030,000,000","1,929,000,000","-1,369,000,000","-1,140,000,000","1,587,000,000","1,852,000,000","1,459,000,000","1,554,000,000","1,068,000,000","1,662,000,000","1,836,000,000","1,548,000,000","1,712,000,000","1,671,000,000","1,233,000,000","1,347,000,000","1,738,000,000","1,153,000,000","1,524,000,000","1,312,000,000","1,311,000,000","1,396,000,000","1,464,000,000","1,520,000,000"
	SpecialIncomeCharges,"-1,060,000,000","-325,000,000","75,000,000","286,000,000","64,000,000","87,000,000","-124,000,000","-624,000,000","79,000,000","42,000,000","40,000,000","91,000,000","155,000,000","11,000,000","30,000,000","-1,472,000,000","-81,000,000","-17,000,000","43,000,000","17,000,000","40,000,000","-120,000,000","87,000,000","-43,000,000","-42,000,000","-120,000,000","116,000,000","-57,000,000",,"54,000,000","-7,000,000","47,000,000","30,000,000",,,"387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-34,000,000","-455,000,000",,,,,
		ImpairmentOfCapitalAssets,"1,060,000,000"
		OtherSpecialCharges,"-494,000,000","325,000,000","-75,000,000","-286,000,000","-64,000,000","-87,000,000","124,000,000","624,000,000","-79,000,000","-42,000,000","-40,000,000","-91,000,000","-155,000,000","-11,000,000","-30,000,000","1,472,000,000","81,000,000","17,000,000","-43,000,000","-17,000,000","-40,000,000","120,000,000","-87,000,000","43,000,000","42,000,000","120,000,000","-116,000,000","57,000,000",,"-54,000,000","7,000,000","-47,000,000","-30,000,000",,,"-387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"9,381,000,000","1,388,000,000","1,806,000,000","2,773,000,000","3,414,000,000","900,000,000","1,447,000,000","-2,332,000,000","-338,000,000","1,344,000,000","1,725,000,000","876,000,000","1,140,000,000","1,053,000,000","1,838,000,000","250,000,000","1,693,000,000","1,116,000,000","3,021,000,000","608,000,000","1,742,000,000","317,000,000","2,315,000,000","1,341,000,000","1,732,000,000","843,000,000","2,049,000,000","2,129,000,000","2,748,000,000","-1,750,000,000","284,000,000","1,507,000,000","1,718,000,000","-932,000,000","1,559,000,000","-766,000,000","-1,545,000,000","-490,000,000","-967,000,000","2,932,000,000","-799,000,000","907,000,000","2,334,000,000","1,172,000,000","704,000,000","138,000,000","1,750,000,000","1,528,000,000","1,016,000,000","713,000,000","852,000,000","-8,000,000","12,000,000","-1,622,000,000","-185,000,000","635,000,000","54,000,000","996,000,000","1,120,000,000","1,143,000,000","1,429,000,000","1,150,000,000","1,548,000,000","658,000,000","1,041,000,000","720,000,000","1,117,000,000","1,316,000,000","1,309,000,000","852,000,000","1,056,000,000","678,000,000","701,000,000","838,000,000","575,000,000","226,000,000","323,000,000","-209,000,000","129,000,000","-109,000,000","244,000,000"
TaxProvision,"1,674,000,000","170,000,000","259,000,000","609,000,000","636,000,000","-88,000,000","-50,000,000","115,000,000","-58,000,000","221,000,000","332,000,000","162,000,000","232,000,000","218,000,000","184,000,000","68,000,000","352,000,000","-2,758,000,000","800,000,000","125,000,000","395,000,000","35,000,000","501,000,000","431,000,000","368,000,000","110,000,000","584,000,000","679,000,000","699,000,000","-294,000,000","-234,000,000","404,000,000","473,000,000","-463,000,000","509,000,000","-273,000,000","-831,000,000","-368,000,000","-331,000,000","732,000,000","171,000,000","229,000,000","848,000,000","332,000,000","190,000,000","4,000,000","524,000,000","433,000,000","353,000,000","332,000,000","-153,000,000","-162,000,000","4,000,000","-413,000,000","-143,000,000","66,000,000","29,000,000","182,000,000","316,000,000","324,000,000","424,000,000","340,000,000","411,000,000","190,000,000","305,000,000","353,000,000","-261,000,000","389,000,000","388,000,000","264,000,000","326,000,000","147,000,000","218,000,000","262,000,000","242,000,000","43,000,000","105,000,000","-87,000,000","-158,000,000","-41,000,000","91,000,000"
EarningsFromEquityInterestNetOfTax,"87,000,000","24,000,000","18,000,000","19,000,000","26,000,000","34,000,000","10,000,000","42,000,000","10,000,000","15,000,000","32,000,000","24,000,000","29,000,000","14,000,000","21,000,000","18,000,000","23,000,000","-9,000,000","20,000,000","13,000,000","25,000,000","11,000,000","18,000,000","15,000,000","5,000,000","7,000,000","2,000,000","9,000,000","-3,000,000","5,000,000","5,000,000","6,000,000","0","2,000,000","3,000,000","5,000,000","49,000,000","2,000,000","45,000,000","6,000,000","7,000,000","2,000,000","67,000,000","11,000,000","105,000,000","51,000,000","14,000,000","9,000,000","10,000,000","1,493,000,000","31,000,000","5,000,000","-6,000,000","-385,000,000","-129,000,000","24,000,000","43,000,000","46,000,000","67,000,000","56,000,000","77,000,000",,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"7,609,000,000","1,192,000,000","1,506,000,000","2,127,000,000","2,784,000,000","814,000,000","1,469,000,000","-2,415,000,000","-276,000,000","1,115,000,000","1,403,000,000","700,000,000","922,000,000","831,000,000","1,653,000,000","193,000,000","1,347,000,000","3,720,000,000","2,211,000,000","485,000,000","1,352,000,000","281,000,000","1,806,000,000","910,000,000","1,321,000,000","728,000,000","1,451,000,000","1,391,000,000","2,017,000,000","-1,217,000,000","458,000,000","1,032,000,000","1,208,000,000","-452,000,000","966,000,000","-527,000,000","-720,000,000","-189,000,000","-618,000,000","2,198,000,000","-967,000,000","686,000,000","1,534,000,000","838,000,000","608,000,000","177,000,000","1,244,000,000","1,077,000,000","697,000,000","1,865,000,000","1,082,000,000","163,000,000","14,000,000","-1,566,000,000","-166,000,000","590,000,000","69,000,000","871,000,000","867,000,000","846,000,000","1,120,000,000","1,037,000,000","1,205,000,000","453,000,000","733,000,000","364,000,000","1,364,000,000","883,000,000","929,000,000","578,000,000","728,000,000","549,000,000","401,000,000","575,000,000","297,000,000","196,000,000","196,000,000","-193,000,000","302,000,000","-68,000,000","153,000,000"
	NetIncome,"7,724,000,000","1,208,000,000","1,530,000,000","2,158,000,000","2,828,000,000","819,000,000","1,487,000,000","-2,409,000,000","-271,000,000","1,128,000,000","1,418,000,000","708,000,000","932,000,000","842,000,000","1,672,000,000","197,000,000","1,363,000,000","3,765,000,000","2,238,000,000","491,000,000","1,369,000,000","284,000,000","1,827,000,000","921,000,000","1,336,000,000","735,000,000","1,465,000,000","1,406,000,000","2,036,000,000","-1,459,000,000","512,000,000","1,090,000,000","1,238,000,000","-482,000,000","1,042,000,000","-521,000,000","-706,000,000","-144,000,000","-618,000,000","2,198,000,000","-967,000,000","686,000,000","1,534,000,000","838,000,000","608,000,000","177,000,000","1,244,000,000","1,077,000,000","697,000,000","1,865,000,000","1,082,000,000","163,000,000","14,000,000","-1,566,000,000","-166,000,000","590,000,000","69,000,000","871,000,000","867,000,000","846,000,000","1,120,000,000","1,037,000,000","1,205,000,000","453,000,000","733,000,000","364,000,000","1,364,000,000","883,000,000","929,000,000","578,000,000","728,000,000","549,000,000","401,000,000","575,000,000","297,000,000","196,000,000","196,000,000","-193,000,000","302,000,000","-68,000,000","153,000,000"
		NetIncomeIncludingNoncontrollingInterests,"7,794,000,000","1,242,000,000","1,565,000,000","2,183,000,000","2,804,000,000","1,022,000,000","1,507,000,000","-2,405,000,000","-270,000,000","1,138,000,000","1,425,000,000","738,000,000","937,000,000","849,000,000","1,675,000,000","200,000,000","1,364,000,000","3,865,000,000","2,241,000,000","496,000,000","1,372,000,000","293,000,000","1,832,000,000","925,000,000","1,369,000,000","740,000,000","1,467,000,000","1,459,000,000","2,046,000,000","-1,447,000,000","523,000,000","1,113,000,000","1,249,000,000","-471,000,000","1,061,000,000","-486,000,000","-664,000,000","-117,000,000","-593,000,000","2,213,000,000","-956,000,000","694,000,000","1,544,000,000","867,000,000","633,000,000","189,000,000","1,242,000,000","1,104,000,000","671,000,000","1,875,000,000","1,032,000,000","180,000,000","3,000,000","-1,566,000,000","-166,000,000","590,000,000","69,000,000","871,000,000","867,000,000","846,000,000","1,120,000,000","1,037,000,000","1,205,000,000","453,000,000","733,000,000","364,000,000","1,364,000,000","883,000,000","929,000,000","578,000,000","728,000,000","549,000,000","401,000,000","575,000,000","297,000,000","196,000,000","196,000,000","-193,000,000","302,000,000","-68,000,000","153,000,000"
			NetIncomeContinuousOperations,"7,794,000,000","1,242,000,000","1,565,000,000","2,183,000,000","2,804,000,000","1,022,000,000","1,507,000,000","-2,405,000,000","-270,000,000","1,138,000,000","1,425,000,000","738,000,000","937,000,000","849,000,000","1,675,000,000","200,000,000","1,364,000,000","3,865,000,000","2,241,000,000","496,000,000","1,372,000,000","293,000,000","1,832,000,000","925,000,000","1,369,000,000","740,000,000","1,467,000,000","1,459,000,000","2,046,000,000","-1,451,000,000","523,000,000","1,109,000,000","1,245,000,000","-467,000,000","1,053,000,000","-488,000,000","-665,000,000","-120,000,000","-591,000,000","2,206,000,000","-963,000,000","680,000,000","1,553,000,000","851,000,000","619,000,000","185,000,000","1,240,000,000","1,104,000,000","673,000,000","1,874,000,000","1,036,000,000","159,000,000","2,000,000","-1,594,000,000","-171,000,000","593,000,000","68,000,000","860,000,000","871,000,000","875,000,000","1,082,000,000","1,018,000,000","1,137,000,000","468,000,000","736,000,000","367,000,000","1,378,000,000","927,000,000","921,000,000","588,000,000","730,000,000","531,000,000","483,000,000","576,000,000","333,000,000","183,000,000","218,000,000","-122,000,000","287,000,000","-68,000,000","153,000,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","4,000,000","0","4,000,000","4,000,000","-4,000,000","8,000,000","2,000,000","1,000,000","3,000,000","-2,000,000","7,000,000","7,000,000","14,000,000","-9,000,000","16,000,000","14,000,000","4,000,000","2,000,000","0","-2,000,000","1,000,000","-4,000,000","21,000,000","1,000,000","28,000,000","5,000,000","-3,000,000","1,000,000","11,000,000","-4,000,000","-29,000,000","38,000,000","19,000,000","68,000,000","-15,000,000","-3,000,000","-3,000,000","-14,000,000","-44,000,000","8,000,000","-10,000,000","-3,000,000","-2,000,000","-3,000,000","-1,000,000","-36,000,000","13,000,000","-22,000,000","-71,000,000","15,000,000",,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","1,000,000","20,000,000","-79,000,000",,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,000,000","20,000,000",,,,,,,,,
