name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,375,000,000","2,022,000,000","2,204,000,000","2,179,000,000","1,970,000,000","1,860,000,000","1,983,000,000","1,764,000,000","1,581,000,000","920,000,000","1,947,000,000","2,275,000,000","1,908,000,000","2,041,000,000","2,101,000,000","2,297,000,000","1,920,000,000","1,874,000,000","1,936,000,000","2,057,000,000","1,777,000,000","1,759,000,000","1,877,000,000","2,001,000,000","1,720,000,000","1,715,000,000","1,839,000,000","1,929,000,000","2,018,000,000","2,064,000,000","2,232,000,000","2,260,000,000","1,965,000,000","1,998,000,000","2,150,000,000","2,149,000,000","1,876,000,000","1,890,000,000","1,976,000,000","2,004,000,000","1,875,000,000","1,667,000,000","2,006,000,000","2,022,000,000","1,772,000,000","1,735,000,000","1,957,000,000","2,048,000,000","1,852,000,000","1,869,000,000","2,094,000,000","2,036,000,000","1,819,000,000","1,979,000,000","2,528,000,000","2,640,000,000","2,446,000,000","2,698,000,000","3,059,000,000","3,148,000,000","2,881,000,000","2,946,000,000","3,295,000,000","3,389,000,000","3,186,000,000","2,965,000,000","3,360,000,000","3,348,000,000","2,969,000,000","3,034,000,000","3,173,000,000","3,061,000,000","2,806,000,000","2,862,210,000","2,917,900,000","2,787,650,000","2,498,300,000","2,487,400,000","2,518,000,000","2,314,000,000","2,100,000,000","2,115,000,000","2,247,000,000","2,085,000,000","1,911,000,000","1,733,000,000","1,893,000,000","1,871,000,000","1,746,000,000","1,645,000,000","1,704,000,000","1,269,000,000","1,147,000,000","1,099,000,000","1,122,000,000","1,085,000,000","1,039,000,000","990,000,000","1,003,000,000","913,000,000","854,000,000","843,000,000","843,000,000","787,000,000","764,000,000","-742,000,000","1,235,000,000","1,208,000,000","1,226,000,000","1,148,000,000","1,150,000,000","1,120,000,000","1,050,000,000","1,010,000,000","982,000,000","948,000,000","946,000,000","908,000,000","899,000,000","867,000,000","851,000,000","806,000,000","804,000,000","778,000,000","753,000,000","767,000,000","807,000,000","825,000,000","810,000,000","781,500,000","793,000,000","791,000,000","659,000,000","609,600,000","614,000,000","616,000,000","556,000,000","543,300,000","541,000,000","489,000,000","450,000,000","450,000,000","367,000,000","327,000,000","308,000,000","704,900,000","155,400,000"
	OperatingRevenue,"8,375,000,000","2,022,000,000","2,204,000,000","2,179,000,000","1,970,000,000","1,860,000,000","1,983,000,000","1,764,000,000","1,581,000,000","920,000,000","1,947,000,000","2,275,000,000","1,908,000,000","2,041,000,000","2,101,000,000","2,297,000,000","1,920,000,000","1,874,000,000","1,936,000,000","2,057,000,000","1,777,000,000","1,759,000,000","1,877,000,000","2,001,000,000","1,720,000,000","1,715,000,000","1,839,000,000","1,929,000,000","2,018,000,000","2,064,000,000","2,232,000,000","2,260,000,000","1,965,000,000","1,998,000,000","2,150,000,000","2,149,000,000","1,876,000,000","1,890,000,000","1,976,000,000","2,004,000,000","1,875,000,000","1,667,000,000","2,006,000,000","2,022,000,000","1,772,000,000","1,735,000,000","1,957,000,000","2,048,000,000","1,852,000,000","1,869,000,000","2,094,000,000","2,036,000,000","1,819,000,000","1,979,000,000","2,528,000,000","2,640,000,000","2,446,000,000","2,698,000,000","3,059,000,000","3,148,000,000","2,881,000,000","2,946,000,000","3,295,000,000","3,389,000,000","3,186,000,000","2,965,000,000","3,360,000,000","3,348,000,000","2,969,000,000","3,034,000,000","3,173,000,000","3,061,000,000","2,806,000,000","2,862,210,000","2,917,900,000","2,787,650,000","2,498,300,000","2,487,400,000","2,518,000,000","2,314,000,000","2,100,000,000","2,115,000,000","2,247,000,000","2,085,000,000","1,911,000,000","1,733,000,000","1,893,000,000","1,871,000,000","1,746,000,000","1,645,000,000","1,704,000,000","1,269,000,000","1,147,000,000","1,099,000,000","1,122,000,000","1,085,000,000","1,039,000,000","990,000,000","1,003,000,000","913,000,000","854,000,000","843,000,000","843,000,000","787,000,000","764,000,000","-742,000,000","1,235,000,000","1,208,000,000","1,226,000,000","1,148,000,000","1,150,000,000","1,120,000,000","1,050,000,000","1,010,000,000","982,000,000","948,000,000","946,000,000","908,000,000","899,000,000","867,000,000","851,000,000","806,000,000","804,000,000","778,000,000","753,000,000","767,000,000","807,000,000","825,000,000","810,000,000","781,500,000","793,000,000","791,000,000","659,000,000","609,600,000","614,000,000","616,000,000","556,000,000","543,300,000","541,000,000","489,000,000","450,000,000","450,000,000","367,000,000","327,000,000","308,000,000","704,900,000","155,400,000"
CostOfRevenue,"5,512,000,000","1,403,000,000","1,451,000,000","1,388,000,000","1,270,000,000","1,200,000,000","1,231,000,000","1,136,000,000","1,034,000,000","523,000,000","1,282,000,000","1,493,000,000","1,309,000,000","1,388,000,000","1,434,000,000","1,547,000,000","1,301,000,000","1,258,000,000","1,286,000,000","1,320,000,000","1,169,000,000","1,186,000,000","1,263,000,000","1,301,000,000","1,151,000,000","1,183,000,000","1,250,000,000","1,292,000,000","1,450,000,000","1,496,000,000","1,621,000,000","1,599,000,000","1,418,000,000","1,467,000,000","1,543,000,000","1,540,000,000","1,368,000,000","1,449,000,000","1,476,000,000","1,479,000,000","1,390,000,000","1,335,000,000","1,511,000,000","1,490,000,000","1,347,000,000","1,427,000,000","1,463,000,000","1,502,000,000","1,360,000,000","1,382,000,000","1,524,000,000","1,490,000,000","1,403,000,000","1,581,000,000","1,880,000,000","1,941,000,000","1,818,000,000","2,008,000,000","2,197,000,000","2,241,000,000","2,125,000,000","2,203,000,000","2,372,000,000","2,403,000,000","2,306,000,000","2,146,000,000","2,396,000,000","2,363,000,000","2,128,000,000","2,132,000,000","2,182,000,000","2,087,000,000","1,955,000,000","1,982,340,000","2,014,980,000","1,934,360,000","1,744,540,000","1,729,850,000","1,717,040,000","1,549,650,000","1,454,050,000","1,509,900,000","1,530,300,000","1,429,100,000","1,337,500,000","1,187,530,000","1,215,900,000","1,196,700,000","1,125,900,000","916,500,000","1,082,000,000","812,600,000","730,300,000","618,500,000","717,100,000","691,400,000","659,200,000","529,200,000","634,000,000","578,200,000","539,500,000","461,600,000","522,000,000","496,600,000","480,300,000","-723,900,000","842,800,000","821,900,000","815,400,000","662,400,000","767,300,000","753,500,000","698,000,000","571,900,000","662,100,000","638,500,000","633,100,000","502,100,000","605,500,000","581,700,000","577,200,000","476,600,000","557,200,000","544,200,000","525,800,000","452,800,000","558,800,000","557,200,000","547,200,000","481,900,000","548,800,000",,,,,,,,,,,,,,,,
GrossProfit,"2,863,000,000","619,000,000","753,000,000","791,000,000","700,000,000","660,000,000","752,000,000","628,000,000","547,000,000","397,000,000","665,000,000","782,000,000","599,000,000","653,000,000","667,000,000","750,000,000","619,000,000","616,000,000","650,000,000","737,000,000","608,000,000","573,000,000","614,000,000","700,000,000","569,000,000","532,000,000","589,000,000","637,000,000","568,000,000","568,000,000","611,000,000","661,000,000","547,000,000","531,000,000","607,000,000","609,000,000","508,000,000","441,000,000","500,000,000","525,000,000","485,000,000","332,000,000","495,000,000","532,000,000","425,000,000","308,000,000","494,000,000","546,000,000","492,000,000","487,000,000","570,000,000","546,000,000","416,000,000","398,000,000","648,000,000","699,000,000","628,000,000","690,000,000","862,000,000","907,000,000","756,000,000","743,000,000","923,000,000","986,000,000","880,000,000","819,000,000","964,000,000","985,000,000","841,000,000","902,000,000","991,000,000","974,000,000","851,000,000","879,870,000","902,920,000","853,290,000","753,760,000","757,550,000","800,960,000","764,350,000","645,950,000","605,100,000","716,700,000","655,900,000","573,500,000","545,470,000","677,100,000","674,300,000","620,100,000","728,500,000","622,000,000","456,400,000","416,700,000","480,500,000","404,900,000","393,600,000","379,800,000","460,800,000","369,000,000","334,800,000","314,500,000","381,400,000","321,000,000","290,400,000","283,700,000","-18,100,000","392,200,000","386,100,000","410,600,000","485,600,000","382,700,000","366,500,000","352,000,000","438,100,000","319,900,000","309,500,000","312,900,000","405,900,000","293,500,000","285,300,000","273,800,000","329,400,000","246,800,000","233,800,000","227,200,000","314,200,000","248,200,000","267,800,000","262,800,000","299,600,000","244,200,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,413,000,000","356,000,000","368,000,000","354,000,000","335,000,000","353,000,000","328,000,000","289,000,000","322,000,000","227,000,000","349,000,000","390,000,000","372,000,000","344,000,000","367,000,000","392,000,000","375,000,000","352,000,000","355,000,000","380,000,000","355,000,000","358,000,000","345,000,000","365,000,000","335,000,000","320,000,000","331,000,000","358,000,000","397,000,000","382,000,000","409,000,000","421,000,000","395,000,000","390,000,000","395,000,000","421,000,000","376,000,000","375,000,000","398,000,000","403,000,000","383,000,000","347,000,000","393,000,000","441,000,000","404,000,000","385,000,000","392,000,000","427,000,000","414,000,000","421,000,000","432,000,000","434,000,000","423,000,000","422,000,000","452,000,000","484,000,000","468,000,000","727,000,000","488,000,000","542,000,000","499,000,000","812,000,000","523,000,000","542,000,000","523,000,000","527,000,000","495,000,000","512,000,000","498,000,000","688,000,000","500,000,000","497,000,000","464,000,000","625,630,000","423,550,000","464,280,000","438,860,000","367,650,000","545,460,000","369,250,000","355,350,000","391,500,000","385,800,000","377,400,000","356,700,000","358,770,000","376,900,000","373,000,000","351,600,000","463,100,000","476,700,000","251,400,000","231,000,000","320,700,000","224,300,000","219,800,000","213,500,000","305,800,000","210,500,000","191,000,000","184,700,000","267,200,000","184,200,000","172,500,000","172,100,000","-12,900,000","258,500,000","261,800,000","261,000,000","372,000,000","241,300,000","233,800,000","230,100,000","338,700,000","215,200,000","212,500,000","210,100,000","319,100,000","195,700,000","190,800,000","194,300,000","281,500,000","170,000,000","169,000,000","163,600,000","264,200,000","152,900,000","156,500,000","156,600,000","233,100,000","139,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,413,000,000","356,000,000","368,000,000","354,000,000","335,000,000","353,000,000","328,000,000","289,000,000","322,000,000","227,000,000","349,000,000","390,000,000","372,000,000","344,000,000","367,000,000","392,000,000","375,000,000","352,000,000","355,000,000","380,000,000","355,000,000","358,000,000","345,000,000","365,000,000","335,000,000","320,000,000","331,000,000","358,000,000","397,000,000","382,000,000","409,000,000","421,000,000","395,000,000","390,000,000","395,000,000","421,000,000","376,000,000","375,000,000","398,000,000","403,000,000","383,000,000","347,000,000","393,000,000","441,000,000","404,000,000","385,000,000","392,000,000","427,000,000","414,000,000","421,000,000","432,000,000","434,000,000","423,000,000","422,000,000","452,000,000","484,000,000","468,000,000","500,000,000","488,000,000","542,000,000","499,000,000","492,000,000","523,000,000","532,000,000","523,000,000","458,000,000","496,000,000","515,000,000","500,000,000","520,000,000","502,000,000","504,000,000","485,000,000","484,510,000","481,150,000","464,280,000","452,380,000","402,480,000","379,460,000","369,250,000","355,350,000","368,300,000","361,900,000","354,300,000","333,700,000","168,240,000","359,200,000","357,100,000","337,400,000","313,000,000","463,600,000","241,300,000","222,800,000","204,600,000","216,900,000","213,000,000","207,500,000","202,600,000","205,100,000","187,200,000","181,000,000","176,100,000","180,900,000","169,800,000","172,100,000","-103,000,000","258,500,000","261,800,000","261,000,000","251,400,000","241,300,000","233,800,000","230,100,000","222,700,000","215,200,000","212,500,000","210,100,000","204,600,000","195,700,000","190,800,000","194,300,000","178,800,000","170,000,000","169,000,000","163,600,000","170,700,000","152,900,000","156,500,000","156,600,000","144,000,000","139,400,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,200,000","23,900,000","23,100,000","23,000,000","190,530,000","17,700,000","15,900,000","14,200,000","150,100,000","13,100,000","10,100,000","8,200,000","116,100,000","7,400,000","6,800,000","6,000,000","103,200,000","5,400,000","3,800,000","3,700,000","91,100,000","3,300,000","2,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,200,000","23,900,000","23,100,000","23,000,000","190,530,000","17,700,000","15,900,000","14,200,000","150,100,000","13,100,000","10,100,000","8,200,000","116,100,000","7,400,000","6,800,000","6,000,000","103,200,000","5,400,000","3,800,000","3,700,000","91,100,000","3,300,000","2,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,200,000","23,900,000","23,100,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,200,000","23,900,000","23,100,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"320,000,000",,"10,000,000",,"69,000,000","-1,000,000","-3,000,000","-2,000,000","168,000,000","-2,000,000","-7,000,000","-21,000,000","141,120,000","-57,600,000",,"-13,520,000","-34,830,000","166,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,450,000,000","263,000,000","385,000,000","437,000,000","365,000,000","307,000,000","424,000,000","339,000,000","225,000,000","170,000,000","316,000,000","392,000,000","227,000,000","309,000,000","300,000,000","358,000,000","244,000,000","264,000,000","295,000,000","357,000,000","253,000,000","215,000,000","269,000,000","335,000,000","234,000,000","212,000,000","258,000,000","279,000,000","171,000,000","186,000,000","202,000,000","240,000,000","152,000,000","141,000,000","212,000,000","188,000,000","132,000,000","66,000,000","102,000,000","122,000,000","102,000,000","-15,000,000","102,000,000","91,000,000","21,000,000","-77,000,000","102,000,000","119,000,000","78,000,000","66,000,000","138,000,000","112,000,000","-7,000,000","-24,000,000","196,000,000","215,000,000","160,000,000","-37,000,000","374,000,000","365,000,000","257,000,000","-69,000,000","400,000,000","444,000,000","357,000,000","292,000,000","469,000,000","473,000,000","343,000,000","214,000,000","491,000,000","477,000,000","387,000,000","254,240,000","479,370,000","389,010,000","314,900,000","389,900,000","255,500,000","395,100,000","290,600,000","213,600,000","330,900,000","278,500,000","216,800,000","186,700,000","300,200,000","301,300,000","268,500,000","265,400,000","145,300,000","205,000,000","185,700,000","159,800,000","180,600,000","173,800,000","166,300,000","155,000,000","158,500,000","143,800,000","129,800,000","114,200,000","136,800,000","117,900,000","111,600,000","-5,200,000","133,700,000","124,300,000","149,600,000","113,600,000","141,400,000","132,700,000","121,900,000","99,400,000","104,700,000","97,000,000","102,800,000","86,800,000","97,800,000","94,500,000","79,500,000","47,900,000","76,800,000","64,800,000","63,600,000","50,000,000","95,300,000","111,300,000","106,200,000","66,500,000","104,800,000","791,000,000","659,000,000","-1,432,800,000","614,000,000","616,000,000","556,000,000","-1,123,900,000","541,000,000","489,000,000","450,000,000","-738,300,000","367,000,000","327,000,000","308,000,000","-249,400,000","155,400,000"
NetNonOperatingInterestIncomeExpense,"-278,000,000","-25,000,000","-26,000,000","-25,000,000","-202,000,000","-34,000,000","-40,000,000","-35,000,000","-35,000,000","-40,000,000","-39,000,000","-41,000,000","-39,000,000","-39,000,000","-38,000,000","-38,000,000","-41,000,000","-39,000,000","-43,000,000","-153,000,000","-43,000,000","-43,000,000","-43,000,000","-87,000,000","-56,000,000","-54,000,000","-54,000,000","-61,000,000","-56,000,000","-55,000,000","-57,000,000","-56,000,000","-56,000,000","-55,000,000","-58,000,000","-60,000,000","-60,000,000","-60,000,000","-61,000,000","-68,000,000","-64,000,000","-64,000,000","-63,000,000","-64,000,000","-63,000,000","-64,000,000","-63,000,000","-67,000,000","-58,000,000","-56,000,000","-56,000,000","-57,000,000","-56,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"278,000,000","25,000,000","26,000,000","25,000,000","202,000,000","34,000,000","40,000,000","35,000,000","35,000,000","40,000,000","39,000,000","41,000,000","39,000,000","39,000,000","38,000,000","38,000,000","41,000,000","39,000,000","43,000,000","153,000,000","43,000,000","43,000,000","43,000,000","87,000,000","56,000,000","54,000,000","54,000,000","61,000,000","56,000,000","56,000,000","57,000,000","56,000,000","56,000,000","57,000,000","58,000,000","60,000,000","60,000,000","60,000,000","62,000,000","68,000,000","64,000,000","64,000,000","63,000,000","64,000,000","63,000,000","63,000,000","63,000,000","67,000,000","58,000,000","56,000,000","56,000,000","57,000,000","56,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-484,000,000","-46,000,000","-17,000,000","-415,000,000","-6,000,000","2,000,000","-4,000,000","-2,000,000","-16,000,000","1,000,000","-8,000,000","-4,000,000","-20,000,000","-2,000,000",,"-8,000,000","-3,000,000","-64,000,000","4,000,000","51,000,000","3,000,000","1,000,000","1,000,000","5,000,000","-1,000,000","2,000,000","-6,000,000","3,000,000","1,000,000","9,000,000","7,000,000","6,000,000","-3,000,000","-16,000,000","-58,000,000","3,000,000","7,000,000","-43,000,000","4,000,000","-73,000,000","15,000,000","-491,000,000","22,000,000","31,000,000","21,000,000","-712,000,000","-1,000,000","-36,000,000","2,000,000","-255,000,000","7,000,000","8,000,000","-3,000,000","-500,000,000","2,000,000","1,000,000","-28,000,000","-226,000,000","20,000,000","5,000,000","42,000,000","-306,000,000","10,000,000","-56,000,000","34,000,000","-18,000,000","-8,000,000","19,000,000","39,000,000","-108,000,000","21,000,000","46,000,000","73,000,000","-138,250,000","64,100,000","33,840,000","26,070,000","11,060,000","-181,300,000","-16,200,000","-7,900,000","37,930,000","-551,100,000","-5,100,000","18,500,000","-107,020,000","48,000,000","40,800,000","46,300,000","37,300,000","-400,000","39,900,000","34,400,000","46,500,000","39,100,000","35,700,000","38,500,000","36,100,000","32,100,000","27,500,000","27,900,000","55,300,000","20,400,000","8,400,000","12,800,000","2,800,000","7,300,000","10,100,000","3,000,000","-113,300,000","5,700,000","11,300,000","14,000,000","20,400,000","17,500,000","12,600,000","14,100,000","8,600,000","12,300,000","13,200,000","12,800,000","-40,100,000","6,000,000","8,600,000","-3,500,000","-33,500,000","1,300,000","5,300,000","25,800,000","-16,100,000","12,900,000",,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"3,000,000","-1,000,000","-4,000,000","5,000,000","3,000,000","0","4,000,000","7,000,000","-8,000,000",,"-3,000,000","2,000,000","1,000,000","0","2,000,000","-5,000,000","1,000,000","-1,000,000","4,000,000","1,000,000","3,000,000","2,000,000","-1,000,000","5,000,000","2,000,000","1,000,000","-6,000,000","1,000,000","1,000,000","1,000,000","6,000,000","3,000,000",,"3,000,000","1,000,000","6,000,000","4,000,000","4,000,000","2,000,000",,"16,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"11,000,000","4,000,000","5,000,000","0","2,000,000","2,000,000","1,000,000",,,"0","1,000,000","0",,"1,000,000","0","2,000,000",,"0","0","1,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-63,000,000","-45,000,000","0","-18,000,000",,"0","0","0","0","0","0","0","-16,000,000","0","0",,,"-64,000,000","0","49,000,000",,,,,,"0",,,,"8,000,000",,,,"0","0","0","0","-69,000,000","4,000,000","-73,000,000","15,000,000","-491,000,000","22,000,000","31,000,000","21,000,000","-712,000,000","-1,000,000","-36,000,000","0","-255,000,000","7,000,000","8,000,000","-3,000,000","-500,000,000","2,000,000","1,000,000","-28,000,000","-226,000,000","20,000,000","5,000,000","42,000,000","-306,000,000","10,000,000","-56,000,000","34,000,000","-18,000,000","-8,000,000","19,000,000","39,000,000","-108,000,000","21,000,000","46,000,000","73,000,000","-138,250,000","64,100,000","33,840,000","26,070,000","-3,170,000","-181,300,000","-16,200,000","-7,900,000","31,770,000","-551,100,000","-5,100,000","18,500,000","-107,020,000","48,000,000","40,800,000","46,300,000","37,300,000","-400,000","39,900,000","34,400,000","46,500,000","39,100,000","35,700,000","38,500,000","36,100,000","32,100,000","27,500,000","27,900,000","55,300,000","20,400,000","8,400,000","12,800,000","2,800,000","7,300,000","10,100,000","3,000,000","-113,300,000","5,700,000","11,300,000","14,000,000","20,400,000","17,500,000","12,600,000","14,100,000","8,600,000","12,300,000","13,200,000","12,800,000","-40,100,000","6,000,000","8,600,000","-3,500,000","-33,500,000","1,300,000","5,300,000","25,800,000","-16,100,000","12,900,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"45,000,000","45,000,000",,,,"0","0","0","0","0","0","0","16,000,000",,,,,,,,,,,,,"0",,,,"1,000,000",,,,"0",,,,"40,000,000","0",,,"494,000,000","0","0",,"722,000,000","0","33,000,000","0","262,000,000","0","7,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,"0","0",,,"0","2,000,000",,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,000,000",,,,,,,,"27,000,000","-4,000,000","141,000,000",,"-3,000,000","-22,000,000","-31,000,000",,"-10,000,000","1,000,000","3,000,000","-2,000,000","-7,000,000","-7,000,000","-15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"-18,000,000","0","0","-18,000,000",,,,,,,,,,"0","0",,,"-64,000,000","2,000,000","49,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-435,000,000","-4,000,000","-18,000,000","-402,000,000","-11,000,000","0","-9,000,000","-9,000,000","-8,000,000","-4,000,000","-6,000,000","-6,000,000","-5,000,000","-3,000,000","-2,000,000","-5,000,000","-4,000,000","-64,000,000",,,,"-1,000,000","2,000,000",,"-3,000,000","1,000,000",,"2,000,000",,"0","1,000,000","3,000,000","-3,000,000","-19,000,000","-1,000,000","-3,000,000","3,000,000","-62,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
