name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"89,113,000,000","22,060,000,000","22,766,000,000","21,466,000,000","22,821,000,000","20,099,000,000","20,336,000,000","22,326,000,000","22,767,000,000","22,349,000,000","22,807,000,000","23,084,000,000","23,004,000,000","22,736,000,000","22,777,000,000","22,609,000,000","23,125,000,000","20,436,000,000","21,839,000,000","22,829,000,000","22,248,000,000","19,990,000,000","21,635,000,000","20,398,000,000","19,512,000,000","19,490,000,000","20,713,000,000","22,029,000,000","21,175,000,000","18,745,000,000","21,200,000,000","21,390,000,000","21,782,000,000","21,014,000,000","20,346,000,000","22,047,000,000","22,634,000,000","16,538,000,000","20,434,000,000","21,606,000,000","21,553,000,000","21,443,000,000","27,092,000,000","12,069,000,000","25,490,000,000","35,814,000,000","19,427,000,000","26,513,000,000","31,945,000,000","20,856,000,000","25,989,000,000","26,831,000,000","34,556,000,000","12,937,000,000","19,621,000,000","20,315,000,000","17,003,000,000","8,608,000,000","15,929,000,000","19,563,000,000","18,155,000,000","15,297,000,000","18,184,000,000","18,221,000,000","17,691,000,000","13,518,000,000","14,636,000,000","14,340,000,000","14,681,000,000","13,896,000,000","13,292,000,000","13,816,000,000","10,013,000,000","9,768,000,000","9,976,000,000","9,916,000,000","9,167,000,000","9,108,000,000","8,711,000,000","8,668,000,000","8,637,000,000","9,208,000,000","8,730,000,000","8,764,000,000","8,411,000,000","7,994,000,000","8,249,000,000","8,137,000,000","8,576,000,000","8,085,000,000","8,322,000,000","8,186,000,000","7,953,000,000","7,668,000,000","7,129,000,000","4,908,000,000","3,553,000,000","3,550,000,000","3,215,000,000","3,182,000,000","3,108,000,000","2,581,000,000","2,507,000,000","2,498,000,000","2,456,000,000","2,262,000,000","2,170,000,000","2,070,000,000","2,034,000,000","1,919,000,000","1,957,000,000","1,954,000,000","1,982,000,000","1,918,000,000","1,722,000,000","1,614,000,000","1,592,000,000","1,529,000,000","1,592,000,000","1,477,000,000","1,662,000,000"
	OperatingRevenue,"89,113,000,000","22,060,000,000","22,766,000,000","21,466,000,000","22,821,000,000","20,099,000,000","20,336,000,000","22,326,000,000","22,767,000,000","22,349,000,000","22,807,000,000","23,084,000,000","23,004,000,000","22,736,000,000","22,777,000,000","22,609,000,000","23,125,000,000","20,436,000,000","21,839,000,000","22,829,000,000","22,248,000,000","19,990,000,000","21,635,000,000","20,398,000,000","19,512,000,000","19,490,000,000","20,713,000,000","22,029,000,000","21,175,000,000","18,745,000,000","21,200,000,000","21,390,000,000","21,782,000,000","21,014,000,000","20,346,000,000","22,047,000,000","22,634,000,000","16,538,000,000","20,434,000,000","21,606,000,000","21,553,000,000","21,443,000,000","27,092,000,000","12,069,000,000","25,490,000,000","35,814,000,000","19,427,000,000","26,513,000,000","31,945,000,000","20,856,000,000","25,989,000,000","26,831,000,000","34,556,000,000","12,937,000,000","19,621,000,000","20,315,000,000","17,003,000,000","8,608,000,000","15,929,000,000","19,563,000,000","18,155,000,000","15,297,000,000","18,184,000,000","18,221,000,000","17,691,000,000","13,518,000,000","14,636,000,000","14,340,000,000","14,681,000,000","13,896,000,000","13,292,000,000","13,816,000,000","10,013,000,000","9,768,000,000","9,976,000,000","9,916,000,000","9,167,000,000","9,108,000,000","8,711,000,000","8,668,000,000","8,637,000,000","9,208,000,000","8,730,000,000","8,764,000,000","8,411,000,000","7,994,000,000","8,249,000,000","8,137,000,000","8,576,000,000","8,085,000,000","8,322,000,000","8,186,000,000","7,953,000,000","7,668,000,000","7,129,000,000","4,908,000,000","3,553,000,000","3,550,000,000","3,215,000,000","3,182,000,000","3,108,000,000","2,581,000,000","2,507,000,000","2,498,000,000","2,456,000,000","2,262,000,000","2,170,000,000","2,070,000,000","2,034,000,000","1,919,000,000","1,957,000,000","1,954,000,000","1,982,000,000","1,918,000,000","1,722,000,000","1,614,000,000","1,592,000,000","1,529,000,000","1,592,000,000","1,477,000,000","1,662,000,000"
PretaxIncome,"33,976,000,000","7,818,000,000","8,950,000,000","8,042,000,000","9,166,000,000","6,119,000,000","4,546,000,000","3,799,000,000","4,531,000,000","8,169,000,000","6,859,000,000","8,959,000,000","8,767,000,000","8,698,000,000","8,994,000,000","8,498,000,000","8,394,000,000","6,405,000,000","7,866,000,000","8,377,000,000","6,565,000,000","6,055,000,000","7,304,000,000","5,929,000,000","3,699,000,000","4,847,000,000","6,069,000,000","7,519,000,000","4,742,000,000","4,310,000,000","431,000,000","2,795,000,000","-681,000,000","3,845,000,000","4,845,000,000","5,498,000,000","1,984,000,000","-1,904,000,000","1,110,000,000","3,147,000,000","719,000,000","2,432,000,000","7,433,000,000","-12,875,000,000","2,780,000,000","-3,595,000,000","-5,912,000,000","3,795,000,000","4,389,000,000","-1,419,000,000","-1,976,000,000","2,379,000,000","5,376,000,000","-3,802,000,000","1,511,000,000","4,921,000,000","1,798,000,000","-915,000,000","5,356,000,000","8,660,000,000","7,823,000,000","7,823,000,000","8,156,000,000","8,497,000,000","7,497,000,000","4,798,000,000","6,192,000,000","6,446,000,000","7,044,000,000","5,775,000,000","5,648,000,000","5,826,000,000","3,971,000,000","3,903,000,000","4,255,000,000","4,086,000,000","3,617,000,000","3,111,000,000","3,287,000,000","3,290,000,000","3,303,000,000","2,484,000,000","1,568,000,000","3,143,000,000","2,922,000,000","2,147,000,000","2,854,000,000","3,254,000,000","3,533,000,000","2,860,000,000","3,346,000,000","3,019,000,000","2,990,000,000","1,871,000,000","416,000,000","2,135,000,000","836,000,000","1,266,000,000","1,232,000,000","1,190,000,000","1,108,000,000","958,000,000","956,000,000","931,000,000","789,000,000","788,000,000","818,000,000","711,000,000","674,000,000","588,000,000","653,000,000","656,000,000","658,000,000","574,000,000","527,000,000","464,000,000","426,000,000","285,000,000","420,000,000","309,000,000","382,000,000"
TaxProvision,"1,998,000,000","805,000,000","1,259,000,000","-1,182,000,000","1,116,000,000","649,000,000","-335,000,000","266,000,000","521,000,000","1,175,000,000","1,082,000,000","1,611,000,000","1,456,000,000","1,420,000,000","1,827,000,000","1,714,000,000","1,476,000,000","3,885,000,000","2,279,000,000","3,108,000,000","1,709,000,000","1,359,000,000","2,349,000,000","1,697,000,000","1,019,000,000","1,511,000,000","1,561,000,000","2,199,000,000","1,385,000,000","1,260,000,000","663,000,000","504,000,000","-405,000,000","406,000,000","2,348,000,000","1,486,000,000","501,000,000","-2,636,000,000","770,000,000","684,000,000","66,000,000","441,000,000","1,201,000,000","-4,049,000,000","731,000,000","-2,351,000,000","1,387,000,000","672,000,000","1,207,000,000","-1,225,000,000","-975,000,000","-845,000,000","1,129,000,000","-2,013,000,000","334,000,000","1,511,000,000","588,000,000","-1,183,000,000","1,658,000,000","2,899,000,000","2,568,000,000","2,567,000,000","2,740,000,000","3,022,000,000","2,511,000,000","1,451,000,000","2,065,000,000","2,150,000,000","2,349,000,000","1,926,000,000","1,884,000,000","1,977,000,000","1,291,000,000","1,177,000,000","1,333,000,000","1,348,000,000","1,193,000,000","497,000,000","1,052,000,000","1,069,000,000","1,124,000,000","426,000,000","727,000,000","1,120,000,000","1,052,000,000","762,000,000","1,025,000,000","1,191,000,000","1,293,000,000","958,000,000","1,195,000,000","1,104,000,000","1,076,000,000","709,000,000","42,000,000","727,000,000","339,000,000","448,000,000","444,000,000","428,000,000","399,000,000","326,000,000","331,000,000","326,000,000","276,000,000","278,000,000","288,000,000","244,000,000","231,000,000","183,000,000","222,000,000","219,000,000","241,000,000","201,000,000","186,000,000","158,000,000","145,000,000","51,000,000","70,000,000","58,000,000","72,000,000"
NetIncomeCommonStockholders,"30,557,000,000","6,773,000,000","7,260,000,000","8,964,000,000","7,560,000,000","5,208,000,000","4,440,000,000","3,284,000,000","3,541,000,000","6,748,000,000","5,272,000,000","7,109,000,000","6,869,000,000","7,039,000,000","6,701,000,000","6,466,000,000","6,490,000,000","2,234,000,000","5,122,000,000","4,908,000,000","4,354,000,000","4,335,000,000","4,452,000,000","3,871,000,000","2,223,000,000","3,006,000,000","4,067,000,000","4,990,000,000","2,975,000,000","2,738,000,000","-470,000,000","2,035,000,000","-514,000,000","3,183,000,000","2,218,000,000","3,571,000,000","1,110,000,000","367,000,000","-33,000,000","2,098,000,000","328,000,000","1,584,000,000","5,889,000,000","-9,127,000,000","1,739,000,000","-1,565,000,000","-7,647,000,000","2,783,000,000","2,834,000,000","-5,196,000,000","-2,241,000,000","2,419,000,000","2,814,000,000","-2,392,000,000","704,000,000","3,224,000,000","1,020,000,000","215,000,000","3,655,000,000","5,721,000,000","5,255,000,000","5,243,000,000","5,416,000,000","5,471,000,000","4,986,000,000","3,343,000,000","4,122,000,000","4,292,000,000","4,690,000,000","3,844,000,000","3,759,000,000","3,844,000,000","2,679,000,000","2,725,000,000","2,921,000,000","2,737,000,000","2,423,000,000","2,613,000,000","2,233,000,000","2,220,000,000","2,178,000,000","2,057,000,000","839,000,000","2,022,000,000","1,869,000,000","1,383,000,000","1,828,000,000","2,061,000,000","2,239,000,000","1,901,000,000","2,149,000,000","1,914,000,000","1,912,000,000","1,161,000,000","372,000,000","1,407,000,000","493,000,000","816,000,000","786,000,000","759,000,000","705,000,000","628,000,000","622,000,000","601,000,000","509,000,000","508,000,000","528,000,000","465,000,000","441,000,000","403,000,000","428,000,000","435,000,000","414,000,000","370,000,000","338,000,000","304,000,000","479,000,000","232,000,000","343,000,000","244,000,000","302,000,000"
	NetIncome,"31,978,000,000","7,013,000,000","7,691,000,000","9,224,000,000","8,050,000,000","5,470,000,000","4,881,000,000","3,533,000,000","4,010,000,000","6,994,000,000","5,777,000,000","7,348,000,000","7,311,000,000","7,278,000,000","7,167,000,000","6,784,000,000","6,918,000,000","2,520,000,000","5,587,000,000","5,269,000,000","4,856,000,000","4,696,000,000","4,955,000,000","4,232,000,000","2,680,000,000","3,336,000,000","4,508,000,000","5,320,000,000","3,357,000,000","3,050,000,000","-232,000,000","2,291,000,000","-276,000,000","3,439,000,000","2,497,000,000","4,012,000,000","1,483,000,000","732,000,000","340,000,000","2,463,000,000","653,000,000","1,991,000,000","6,232,000,000","-8,826,000,000","2,049,000,000","-1,244,000,000","-7,299,000,000","3,123,000,000","3,182,000,000","-194,000,000","-1,001,000,000","3,224,000,000","4,247,000,000","-1,789,000,000","1,177,000,000","3,410,000,000","1,210,000,000","268,000,000","3,698,000,000","5,761,000,000","5,255,000,000","5,256,000,000","5,416,000,000","5,475,000,000","4,986,000,000","3,347,000,000","4,127,000,000","4,296,000,000","4,695,000,000","3,849,000,000","3,764,000,000","3,849,000,000","2,680,000,000","2,726,000,000","2,922,000,000","2,738,000,000","2,424,000,000","2,614,000,000","2,235,000,000","2,221,000,000","2,179,000,000","2,058,000,000","841,000,000","2,023,000,000","1,870,000,000","1,385,000,000","1,829,000,000","2,063,000,000","2,240,000,000","1,902,000,000","2,151,000,000","1,915,000,000","1,914,000,000","1,162,000,000","374,000,000","1,408,000,000","497,000,000","818,000,000","788,000,000","762,000,000","709,000,000","632,000,000","625,000,000","605,000,000","513,000,000","510,000,000","530,000,000","467,000,000","443,000,000","405,000,000","431,000,000","437,000,000","417,000,000","373,000,000","341,000,000","306,000,000","481,000,000","234,000,000","350,000,000","251,000,000","310,000,000"
		NetIncomeIncludingNoncontrollingInterests,"31,978,000,000","7,013,000,000","7,691,000,000","9,224,000,000","8,050,000,000","5,470,000,000","4,881,000,000","3,533,000,000","4,010,000,000","6,994,000,000","5,777,000,000","7,348,000,000","7,311,000,000","7,278,000,000","7,167,000,000","6,784,000,000","6,918,000,000","2,520,000,000","5,587,000,000","5,269,000,000","4,856,000,000","4,696,000,000","4,955,000,000","4,232,000,000","2,680,000,000","3,336,000,000","4,508,000,000","5,320,000,000","3,357,000,000","3,050,000,000","-232,000,000","2,291,000,000","-276,000,000","3,439,000,000","2,497,000,000","4,012,000,000","1,483,000,000","732,000,000","340,000,000","2,463,000,000","653,000,000","1,991,000,000","6,232,000,000","-8,826,000,000","2,049,000,000","-1,244,000,000","-7,299,000,000","3,123,000,000","3,182,000,000","-194,000,000","-1,001,000,000","3,224,000,000","4,247,000,000","-1,789,000,000","1,177,000,000","3,410,000,000","1,210,000,000","268,000,000","3,698,000,000","5,761,000,000","5,255,000,000","5,256,000,000","5,416,000,000","5,475,000,000","4,986,000,000","3,347,000,000","4,127,000,000","4,296,000,000","4,695,000,000","3,849,000,000","3,764,000,000","3,849,000,000","2,680,000,000","2,726,000,000","2,922,000,000","2,738,000,000","2,424,000,000","2,614,000,000","2,235,000,000","2,221,000,000","2,179,000,000","2,058,000,000","841,000,000","2,023,000,000","1,870,000,000","1,385,000,000","1,829,000,000","2,063,000,000","2,240,000,000","1,902,000,000","2,151,000,000","1,915,000,000","1,914,000,000","1,162,000,000","374,000,000","1,408,000,000","497,000,000","818,000,000","788,000,000","762,000,000","709,000,000","632,000,000","625,000,000","605,000,000","513,000,000","510,000,000","530,000,000","467,000,000","443,000,000","405,000,000","431,000,000","437,000,000","417,000,000","373,000,000","341,000,000","306,000,000","481,000,000","234,000,000","350,000,000","251,000,000","310,000,000"
			NetIncomeContinuousOperations,"31,978,000,000","7,013,000,000","7,691,000,000","9,224,000,000","8,050,000,000","5,470,000,000","4,881,000,000","3,533,000,000","4,010,000,000","6,994,000,000","5,777,000,000","7,348,000,000","7,311,000,000","7,278,000,000","7,167,000,000","6,784,000,000","6,918,000,000","2,520,000,000","5,587,000,000","5,269,000,000","4,856,000,000","4,696,000,000","4,955,000,000","4,232,000,000","2,680,000,000","3,336,000,000","4,508,000,000","5,320,000,000","3,357,000,000","3,050,000,000","-232,000,000","2,291,000,000","-276,000,000","3,439,000,000","2,497,000,000","4,012,000,000","1,483,000,000","732,000,000","340,000,000","2,463,000,000","653,000,000","1,991,000,000","6,232,000,000","-8,826,000,000","2,049,000,000","-1,244,000,000","-7,299,000,000","3,123,000,000","3,182,000,000","-194,000,000","-1,001,000,000","3,224,000,000","4,247,000,000","-1,789,000,000","1,177,000,000","3,410,000,000","1,210,000,000","268,000,000","3,698,000,000","5,761,000,000","5,255,000,000","5,256,000,000","5,416,000,000","5,475,000,000","4,986,000,000","3,347,000,000","4,127,000,000","4,296,000,000","4,695,000,000","3,849,000,000","3,764,000,000","3,849,000,000","2,680,000,000","2,726,000,000","2,922,000,000","2,738,000,000","2,424,000,000","2,614,000,000","2,235,000,000","2,221,000,000","2,179,000,000","2,058,000,000","841,000,000","2,023,000,000","1,870,000,000","1,385,000,000","1,829,000,000","2,063,000,000","2,240,000,000","1,902,000,000","2,151,000,000","1,915,000,000","1,914,000,000","1,162,000,000","374,000,000","1,408,000,000","497,000,000","818,000,000","788,000,000","762,000,000","709,000,000","632,000,000","625,000,000","605,000,000","513,000,000","510,000,000","530,000,000","467,000,000","443,000,000","405,000,000","431,000,000","437,000,000","417,000,000","373,000,000","341,000,000","306,000,000","281,000,000","234,000,000","350,000,000","251,000,000","310,000,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"200,000,000",,,,
	PreferredStockDividends,"1,421,000,000","240,000,000","431,000,000","260,000,000","490,000,000","262,000,000","441,000,000","249,000,000","469,000,000","246,000,000","505,000,000","239,000,000","442,000,000","239,000,000","466,000,000","318,000,000","428,000,000","286,000,000","465,000,000","361,000,000","502,000,000","361,000,000","503,000,000","361,000,000","457,000,000","330,000,000","441,000,000","330,000,000","382,000,000","312,000,000","238,000,000","256,000,000","238,000,000","256,000,000","279,000,000","441,000,000","373,000,000","365,000,000","373,000,000","365,000,000","325,000,000","407,000,000","343,000,000","301,000,000","310,000,000","321,000,000","348,000,000","340,000,000","348,000,000","5,002,000,000","1,240,000,000","805,000,000","1,433,000,000","603,000,000","473,000,000","186,000,000","190,000,000","53,000,000","43,000,000","40,000,000",,"13,000,000",,"4,000,000",,"4,000,000","5,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","4,000,000","2,000,000","2,000,000","3,000,000","4,000,000","4,000,000","3,000,000","4,000,000","4,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","7,000,000","7,000,000","8,000,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,610,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,,,,,,,,,,,,,"36,000,000","75,000,000","75,000,000","75,000,000","75,000,000","75,000,000","75,000,000",,"75,000,000","75,000,000","75,000,000","0","0","0",,"0","-1,000,000","-1,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"30,557,000,000","6,773,000,000","7,260,000,000","8,964,000,000","7,560,000,000","5,208,000,000","4,440,000,000","3,284,000,000","3,541,000,000","6,748,000,000","5,272,000,000","7,109,000,000","6,869,000,000","7,039,000,000","6,701,000,000","6,466,000,000","6,490,000,000","2,048,000,000","5,158,000,000","4,983,000,000","4,429,000,000","4,410,000,000","4,527,000,000","3,946,000,000","2,298,000,000","3,006,000,000","4,142,000,000","5,065,000,000","3,050,000,000","2,738,000,000","-470,000,000","2,035,000,000","-514,000,000","3,183,000,000","2,217,000,000","3,570,000,000","1,110,000,000","365,000,000","-33,000,000","2,098,000,000","328,000,000","1,583,000,000","5,889,000,000","-9,127,000,000","1,739,000,000","-1,569,000,000","-7,647,000,000","2,783,000,000","2,834,000,000","-5,202,000,000","-2,241,000,000","2,419,000,000","2,814,000,000","-2,392,000,000","704,000,000","3,224,000,000","1,020,000,000","215,000,000","3,655,000,000","5,721,000,000","5,255,000,000","5,243,000,000","5,416,000,000","5,471,000,000","4,986,000,000","3,343,000,000","4,122,000,000","4,292,000,000","4,690,000,000","3,844,000,000","3,759,000,000","3,844,000,000","2,679,000,000","2,725,000,000","2,921,000,000","2,737,000,000","2,423,000,000","2,613,000,000","2,233,000,000","2,220,000,000","2,178,000,000","2,057,000,000","839,000,000","2,022,000,000","1,869,000,000","1,383,000,000","1,828,000,000","2,061,000,000","2,239,000,000","1,901,000,000","2,149,000,000","1,914,000,000","1,912,000,000","1,161,000,000","372,000,000","1,407,000,000","493,000,000","816,000,000","786,000,000","759,000,000","705,000,000","628,000,000","622,000,000","601,000,000","509,000,000","508,000,000","528,000,000","465,000,000","441,000,000","403,000,000","428,000,000","435,000,000","414,000,000","370,000,000","338,000,000","304,000,000","479,000,000","232,000,000","343,000,000","244,000,000","302,000,000"
BasicEPS,,"0.82","0.86","1.04","0.87","0.6","0.51","0.38","0.4","0.75","0.57","0.75","0.71","0.71","0.67","0.64","0.63","0.2","0.5","0.49","0.43","0.43","0.43","0.38","0.21","0.29","0.39","0.48","0.28","0.26","-0.01","0.19","-0.05","0.3","0.21","0.33","0.21","0.03","0","0.19","0.03","0.15","0.58","-0.9","0.17","-0.16","-0.77","0.28","0.28","-0.6","-0.26","0.33","0.44","-0.48","0.15","0.73","0.23",,"0.83","1.29","1.18",,"1.2","1.21","1.08",,"1.03","1.07","1.16",,"0.93","0.945","0.93",,"0.98","0.915","0.81",,"0.745","0.725","0.705",,"0.26","0.63","0.58",,"0.555","0.625","0.67",,"0.625","0.55","0.55",,"0.105","0.735","0.26",,"0.555","0.525","0.485",,"0.53","0.5","0.425",,"0.49","0.43","0.4",,"0.39","0.395","0.38",,"0.335","0.3","0.475",,"0.35","0.25","0.32"
DilutedEPS,,"0.82","0.85","1.03","0.86","0.59","0.51","0.37","0.4","0.74","0.56","0.74","0.7","0.7","0.66","0.63","0.62","0.2","0.48","0.46","0.41","0.4","0.41","0.36","0.21","0.28","0.37","0.45","0.27","0.25","-0.01","0.19","-0.05","0.29","0.2","0.32","0.2","0.03","0","0.19","0.03","0.15","0.56","-0.9","0.17","-0.16","-0.77","0.27","0.28","-0.6","-0.26","0.33","0.44","-0.48","0.15","0.72","0.23",,"0.82","1.28","1.16",,"1.18","1.19","1.07",,"1.02","1.06","1.14",,"0.91","0.93","0.915",,"0.96","0.9","0.795",,"0.725","0.7","0.69",,"0.255","0.62","0.575",,"0.55","0.615","0.665",,"0.615","0.535","0.54",,"0.105","0.715","0.255",,"0.54","0.51","0.47",,"0.525","0.495","0.42",,"0.485","0.425","0.395",,"0.385","0.395","0.38",,"0.33","0.3","0.47",,"0.34","0.25","0.31"
