name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"12,980,213,000","3,923,538,000","3,353,278,000","2,999,816,000","2,703,581,000","2,912,185,000","3,020,161,000","2,506,231,000","2,764,095,000","3,112,800,000","3,352,895,000","2,839,199,000","2,807,259,000","3,112,218,000","2,985,281,000","2,656,348,000","2,417,576,000","2,478,627,000","2,609,307,000","2,200,374,000","2,178,170,000","2,102,966,000","2,042,186,000","1,792,430,000","1,713,737,000","1,899,272,000","1,939,438,000","1,872,340,000","1,886,956,000","2,052,982,000","2,171,144,000","1,864,550,000","1,762,574,000","1,817,623,000","1,645,132,000","1,474,377,000","1,585,710,000","1,293,195,000","1,685,201,000","1,516,696,000","1,425,177,000","1,513,137,000","1,250,819,000","1,010,914,000","848,959,000","1,106,426,000","1,206,007,000","870,502,000","748,283,000","985,423,000","780,794,000","813,379,000","738,530,000","921,534,000","1,053,355,000","960,882,000","844,442,000","878,992,000","655,865,000","557,600,000","574,880,000","592,028,000","528,468,000","514,048,000","496,494,000","523,494,000","523,340,000","439,287,000","372,505,000","419,242,000","463,077,000","389,194,000","354,997,000","431,289,000","436,133,000","408,302,000","367,129,000","432,756,000","436,215,000","432,522,000","449,220,000","488,045,000","504,472,000","503,342,000","519,018,000","548,193,000","487,845,000","423,526,000","333,737,000","332,400,000","271,800,000","193,800,000","127,800,000","114,800,000","100,600,000","63,700,000","24,100,000","-32,500,000","36,300,000","36,200,000","36,200,000"
	OperatingRevenue,"12,980,213,000","3,923,538,000","3,353,278,000","2,999,816,000","2,703,581,000","2,912,185,000","3,020,161,000","2,506,231,000","2,764,095,000","3,112,800,000","3,352,895,000","2,839,199,000","2,807,259,000","3,112,218,000","2,985,281,000","2,656,348,000","2,417,576,000","2,478,627,000","2,609,307,000","2,200,374,000","2,178,170,000","2,102,966,000","2,042,186,000","1,792,430,000","1,713,737,000","1,899,272,000","1,939,438,000","1,872,340,000","1,886,956,000","2,052,982,000","2,171,144,000","1,864,550,000","1,762,574,000","1,817,623,000","1,645,132,000","1,474,377,000","1,585,710,000","1,293,195,000","1,685,201,000","1,516,696,000","1,425,177,000","1,513,137,000","1,250,819,000","1,010,914,000","848,959,000","1,106,426,000","1,206,007,000","870,502,000","748,283,000","985,423,000","780,794,000","813,379,000","738,530,000","921,534,000","1,053,355,000","960,882,000","844,442,000","878,992,000","655,865,000","557,600,000","574,880,000","592,028,000","528,468,000","514,048,000","496,494,000","523,494,000","523,340,000","439,287,000","372,505,000","419,242,000","463,077,000","389,194,000","354,997,000","431,289,000","436,133,000","408,302,000","367,129,000","432,756,000","436,215,000","432,522,000","449,220,000","488,045,000","504,472,000","503,342,000","519,018,000","548,193,000","487,845,000","423,526,000","333,737,000","332,400,000","271,800,000","193,800,000","127,800,000","114,800,000","100,600,000","63,700,000","24,100,000","-32,500,000","36,300,000","36,200,000","36,200,000"
CostOfRevenue,"11,026,954,000","3,325,556,000","2,818,602,000","2,552,105,000","2,330,691,000","2,446,312,000","2,512,647,000","2,150,967,000","2,431,899,000","2,669,479,000","2,879,450,000","2,519,694,000","2,443,278,000","2,692,503,000","2,559,451,000","2,322,977,000","2,116,528,000","2,155,751,000","2,258,676,000","1,898,209,000","1,911,982,000","1,795,278,000","1,739,604,000","1,592,213,000","1,510,424,000","1,676,233,000","1,704,223,000","1,644,835,000","1,634,295,000","1,725,952,000","1,818,173,000","1,583,102,000","1,490,503,000","1,514,780,000","1,372,079,000","1,233,093,000","1,347,437,000","1,066,844,000","1,404,767,000","1,281,289,000","1,229,662,000","1,312,209,000","1,056,129,000","856,824,000","778,068,000","947,176,000","1,016,013,000","714,465,000","619,141,000","794,476,000","633,166,000","675,597,000","621,399,000","754,801,000","867,789,000","802,192,000","720,565,000","728,117,000","540,812,000","471,931,000","496,474,000","499,151,000","445,332,000","433,693,000","437,046,000","436,827,000","443,167,000","385,471,000","336,413,000","369,341,000","404,652,000","342,853,000","328,273,000","377,677,000","381,125,000","354,784,000","329,372,000","374,098,000","381,947,000","384,362,000","373,533,000","404,136,000","394,249,000","392,588,000","410,066,000","413,520,000","358,827,000","316,503,000","252,865,000","242,700,000","198,400,000","145,100,000","101,000,000","89,000,000","78,100,000","49,400,000","20,000,000",,,,
GrossProfit,"1,953,259,000","597,982,000","534,676,000","447,711,000","372,890,000","465,873,000","507,514,000","355,264,000","332,196,000","443,321,000","473,445,000","319,505,000","363,981,000","419,715,000","425,830,000","333,371,000","301,048,000","322,876,000","350,631,000","302,165,000","266,188,000","307,688,000","302,582,000","200,217,000","203,313,000","223,039,000","235,215,000","227,505,000","252,661,000","327,030,000","352,971,000","281,448,000","272,071,000","302,843,000","273,053,000","241,284,000","238,273,000","226,351,000","280,434,000","235,407,000","195,515,000","200,928,000","194,690,000","154,090,000","70,891,000","159,250,000","189,994,000","156,037,000","129,142,000","190,947,000","147,628,000","137,782,000","117,131,000","166,733,000","185,566,000","158,690,000","123,877,000","150,875,000","115,053,000","85,669,000","78,406,000","92,877,000","83,136,000","80,355,000","59,448,000","86,667,000","80,173,000","53,816,000","36,092,000","49,901,000","58,425,000","46,341,000","26,724,000","53,612,000","55,008,000","53,518,000","37,757,000","58,658,000","54,268,000","48,160,000","75,687,000","83,909,000","110,223,000","110,754,000","108,952,000","134,673,000","129,018,000","107,023,000","80,872,000","89,700,000","73,400,000","48,700,000","26,800,000","25,800,000","22,500,000","14,300,000","4,100,000",,,,
OperatingExpense,"1,321,322,000","467,596,000","297,618,000","291,401,000","264,707,000","287,105,000","270,341,000","245,631,000","248,701,000","276,676,000","260,274,000","236,554,000","244,578,000","224,467,000","234,663,000","216,611,000","225,827,000","216,434,000","210,203,000","192,374,000","191,114,000","181,837,000","172,419,000","164,748,000","166,019,000","160,964,000","154,337,000","158,654,000","158,944,000","218,255,000","210,059,000","148,055,000","181,576,000","153,458,000","131,975,000","124,110,000","118,982,000","97,505,000","134,780,000","124,260,000","116,040,000","108,040,000","100,709,000","96,360,000","97,807,000","104,743,000","95,433,000","91,212,000","86,852,000","118,515,000","76,466,000","77,876,000","78,509,000","89,101,000","89,124,000","86,168,000","81,306,000","97,142,000","64,684,000","48,002,000","50,004,000","105,796,000","45,103,000","46,640,000","42,275,000","52,447,000","49,420,000","43,874,000","42,462,000","43,141,000","44,265,000","40,589,000","43,370,000","47,361,000","38,886,000","58,107,000","38,970,000","46,769,000","68,747,000","226,069,000","50,720,000","53,338,000","51,850,000","67,048,000","48,337,000","60,975,000","51,012,000","46,513,000","42,358,000","38,500,000","34,100,000","25,300,000","17,400,000","13,900,000","11,000,000","7,900,000","3,200,000",,,,
	SellingGeneralAndAdministration,"1,155,956,000","367,648,000","274,846,000","270,110,000","243,352,000","265,775,000","250,654,000","227,852,000","230,793,000","255,129,000","245,010,000","223,944,000","231,908,000","212,008,000","224,040,000","206,104,000","215,422,000","206,264,000","201,224,000","185,880,000","184,552,000","173,882,000","164,325,000","156,607,000","158,524,000","151,790,000","145,687,000","149,923,000","150,238,000","208,746,000","200,521,000","139,440,000","173,331,000","143,349,000","124,949,000","119,031,000","113,681,000","89,261,000","124,276,000","114,711,000","106,646,000","99,519,000","92,414,000","89,489,000","91,541,000","94,509,000","82,037,000","82,122,000","81,004,000","94,823,000","71,018,000","72,970,000","73,603,000","82,265,000","80,126,000","76,292,000","70,716,000","84,715,000","59,816,000","47,310,000","49,232,000","48,984,000","45,103,000","46,640,000","42,275,000","52,447,000","49,420,000","43,874,000","42,462,000","43,141,000","44,265,000","40,589,000","43,370,000","40,909,000","38,886,000","58,107,000","38,970,000","46,769,000","68,747,000","59,489,000","50,720,000","46,766,000","45,281,000","60,495,000","42,033,000","44,058,000","36,040,000","33,515,000","29,951,000","26,600,000","23,600,000","17,900,000","12,000,000","9,900,000","7,700,000","5,500,000","2,200,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"165,366,000","99,948,000","22,772,000","21,291,000","21,355,000","21,330,000","19,687,000","17,779,000","17,908,000","21,547,000","15,264,000","12,610,000","12,670,000","12,459,000","10,623,000","10,507,000","10,405,000","10,170,000","8,979,000","6,494,000","6,562,000","7,955,000","8,094,000","8,141,000","7,495,000","9,174,000","8,650,000","8,731,000","8,706,000","9,509,000","9,538,000","8,615,000","8,245,000","10,109,000","7,026,000","5,079,000","5,301,000","8,244,000","10,504,000","9,549,000","9,394,000","8,521,000","8,295,000","6,871,000","6,266,000","10,234,000","13,396,000","9,090,000","5,848,000","23,692,000","5,448,000","4,906,000","4,906,000","6,836,000","8,998,000","9,876,000","10,590,000","12,427,000","4,868,000","692,000","772,000",,,,,,,,,,,,,,,,,,,,,"6,572,000","6,569,000","6,553,000","6,304,000","16,917,000","14,972,000","12,998,000","12,407,000","11,900,000","10,500,000","7,400,000","5,400,000","4,000,000","3,300,000","2,400,000","1,000,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"165,366,000","99,948,000","22,772,000","21,291,000","21,355,000","21,330,000","19,687,000","17,779,000","17,908,000","21,547,000","15,264,000","12,610,000","12,670,000","12,459,000","10,623,000","10,507,000","10,405,000","10,170,000","8,979,000","6,494,000","6,562,000","7,955,000","8,094,000","8,141,000","7,495,000","9,174,000","8,650,000","8,731,000","8,706,000","9,509,000","9,538,000","8,615,000","8,245,000","10,109,000","7,026,000","5,079,000","5,301,000","8,244,000","10,504,000","9,549,000","9,394,000","8,521,000","8,295,000","6,871,000","6,266,000","10,234,000","13,396,000","9,090,000","5,848,000","23,692,000","5,448,000","4,906,000","4,906,000","6,836,000","8,998,000","9,876,000","10,590,000","12,427,000","4,868,000","692,000","772,000",,,,,,,,,,,,,,,,,,,,,"6,572,000","6,569,000","6,553,000","6,304,000","16,917,000","14,972,000","12,998,000","12,407,000","11,900,000","10,500,000","7,400,000","5,400,000","4,000,000","3,300,000","2,400,000","1,000,000",,,,
			Amortization,"165,366,000","99,948,000","22,772,000","21,291,000","21,355,000","21,330,000","19,687,000","17,779,000","17,908,000","21,547,000","15,264,000","12,610,000","12,670,000","12,459,000","10,623,000","10,507,000","10,405,000","10,170,000","8,979,000","6,494,000","6,562,000","7,955,000","8,094,000","8,141,000","7,495,000","9,174,000","8,650,000","8,731,000","8,706,000","9,509,000","9,538,000","8,615,000","8,245,000","10,109,000","7,026,000","5,079,000","5,301,000","8,244,000","10,504,000","9,549,000","9,394,000","8,521,000","8,295,000","6,871,000","6,266,000","10,234,000","13,396,000","9,090,000","5,848,000","23,692,000","5,448,000","4,906,000","4,906,000","6,836,000","8,998,000","9,876,000","10,590,000","12,427,000","4,868,000","692,000","772,000",,,,,,,,,,,,,,,,,,,,,"6,572,000","6,569,000","6,553,000","6,304,000",,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"165,366,000","99,948,000","22,772,000","21,291,000","21,355,000","21,330,000","19,687,000","17,779,000","17,908,000","21,547,000","15,264,000","12,610,000","12,670,000","12,459,000","10,623,000","10,507,000","10,405,000","10,170,000","8,979,000","6,494,000","6,562,000","7,955,000","8,094,000","8,141,000","7,495,000","9,174,000","8,650,000","8,731,000","8,706,000","9,509,000","9,538,000","8,615,000","8,245,000","10,109,000","7,026,000","5,079,000","5,301,000","8,244,000","10,504,000","9,549,000","9,394,000","8,521,000","8,295,000","6,871,000","6,266,000","10,234,000","13,396,000","9,090,000","5,848,000","23,692,000","5,448,000","4,906,000","4,906,000","6,836,000","8,998,000","9,876,000","10,590,000","12,427,000","4,868,000","692,000","772,000",,,,,,,,,,,,,,,,,,,,,"6,572,000","6,569,000","6,553,000","6,304,000",,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"49,918,000","52,542,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,848,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"166,580,000",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"631,937,000","130,386,000","237,058,000","156,310,000","108,183,000","178,768,000","237,173,000","109,633,000","83,495,000","166,645,000","213,171,000","82,951,000","119,403,000","195,248,000","191,167,000","116,760,000","75,221,000","106,442,000","140,428,000","109,791,000","75,074,000","125,851,000","130,163,000","35,469,000","37,294,000","62,075,000","80,878,000","68,851,000","93,717,000","108,775,000","142,912,000","133,393,000","90,495,000","149,385,000","141,078,000","117,174,000","119,291,000","128,846,000","145,654,000","111,147,000","79,475,000","92,888,000","93,981,000","57,730,000","-26,916,000","54,507,000","94,561,000","64,825,000","42,290,000","72,432,000","71,162,000","59,906,000","38,622,000","77,632,000","96,442,000","72,522,000","42,571,000","53,733,000","50,369,000","37,667,000","28,402,000","-12,919,000","38,033,000","33,715,000","17,173,000","34,220,000","30,753,000","9,942,000","-6,370,000","6,760,000","14,160,000","5,752,000","-16,646,000","6,251,000","16,122,000","-4,589,000","-1,213,000","11,889,000","-14,479,000","-177,909,000","24,967,000","30,571,000","58,373,000","43,706,000","60,615,000","73,698,000","78,006,000","60,510,000","38,514,000","51,200,000","39,300,000","23,400,000","9,400,000","11,900,000","11,500,000","6,400,000","900,000","-103,100,000","36,300,000","36,200,000","36,200,000"
NetNonOperatingInterestIncomeExpense,"-65,705,000","-25,960,000","-17,187,000","-10,200,000","-12,358,000","-9,969,000","-10,969,000","-8,379,000","-13,247,000","-18,659,000","-18,183,000","-15,554,000","-13,567,000","-11,343,000","-8,897,000","-8,518,000","-6,632,000","-6,467,000","-5,862,000","-4,107,000","-3,678,000","-3,597,000","-2,852,000","-2,942,000","-3,073,000","-2,553,000","-1,675,000","-1,356,000","-945,000","-639,000","-419,000","-529,000","563,000","-38,000","664,000","66,000","20,000","-944,000","-583,000","-572,000","-176,000","-268,000","-512,000","-6,000","31,000","-2,000","149,000","-1,148,000","-2,495,000","-2,423,000","-2,478,000","-2,175,000","-1,737,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"3,194,000","96,000","72,000","2,909,000","117,000","1,335,000","80,000","275,000","759,000","165,000","186,000","267,000","309,000","427,000","322,000","660,000","146,000","185,000","196,000","164,000","287,000","392,000","874,000","641,000","516,000","375,000","346,000","319,000","455,000","695,000","902,000","599,000","1,545,000","1,150,000","1,139,000","569,000","522,000","292,000","384,000","387,000","408,000","305,000","226,000","249,000","286,000","251,000","418,000","379,000","369,000","409,000","338,000","628,000","1,081,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"68,899,000","26,056,000","17,259,000","13,109,000","12,475,000","11,304,000","11,049,000","8,654,000","14,006,000","18,824,000","18,369,000","15,821,000","13,876,000","11,770,000","9,219,000","9,178,000","6,778,000","6,652,000","6,058,000","4,271,000","3,965,000","3,989,000","3,726,000","3,583,000","3,589,000","2,928,000","2,021,000","1,675,000","1,400,000","1,334,000","1,321,000","1,128,000","982,000","1,188,000","475,000","503,000","502,000","1,236,000","967,000","959,000","584,000","573,000","738,000","255,000","255,000","253,000","269,000","1,527,000","2,864,000","2,832,000","2,816,000","2,803,000","2,818,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"56,669,000","16,531,000","17,108,000","13,812,000","9,218,000","2,923,000","7,973,000","6,530,000","-12,585,000","-2,053,000","-3,060,000","2,150,000","59,043,000","-55,114,000","-14,104,000","-4,147,000","-11,975,000","-54,050,000","-2,371,000","-1,079,000","-364,000","-8,357,000","752,000","-1,103,000","81,000","-59,018,000","-1,070,000","-448,000","-212,000","-466,000","-378,000","-1,233,000","643,000","113,299,000","-824,000","-353,000","-513,000","740,000","1,138,000","-310,000","165,000","-164,000","-528,000","199,000","-65,000","304,000","479,000","-7,586,000","371,000","-405,000","592,000","158,000","76,000","-66,000","-76,000","278,000","204,000","22,000","-713,000","82,000","29,000","-56,774,000","59,000","1,778,000","148,000","-89,000","62,000","97,000","1,684,000","1,023,000","823,000","249,000","301,000","-44,342,000","182,000","-326,000","216,000","-2,390,000","-1,674,000","-165,397,000","435,000","275,000","57,000","-581,000","22,000","-28,172,000","816,000","838,000","549,000","400,000","300,000","-6,000,000","200,000","100,000","300,000","-100,000","100,000",,,,
	EarningsFromEquityInterest,"44,061,000","21,196,000","10,232,000","7,450,000","5,183,000","5,138,000","5,120,000","1,045,000",,,,,,,,,,,,,"-603,000","-331,000","-89,000","-378,000","-181,000","-152,000","0","-314,000",,"0",,,,"112,744,000","0",,,"776,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-12,477,000","-11,518,000","787,000","-2,109,000","363,000","-8,403,000","-78,000","2,238,000","-2,758,000","-19,232,000","-3,777,000","-4,371,000","84,000","-45,800,000","1,394,000","6,279,000",,"-52,886,000",,,,"-7,964,000",,,,"-58,451,000",,,,,,,,,,,,"-993,000","1,138,000","-310,000","165,000","-164,000","-528,000","199,000","-65,000","304,000","479,000","-7,586,000","371,000","-405,000","592,000","158,000","76,000","-66,000","-76,000","278,000","204,000","22,000","-713,000","82,000","29,000","-56,774,000","59,000","1,778,000","148,000","-89,000","62,000","97,000","1,684,000","1,023,000","823,000","249,000","301,000","-44,342,000","182,000","-326,000","216,000","-2,390,000","-1,674,000","-165,397,000","435,000","275,000","57,000","-581,000","22,000","-28,172,000","816,000","838,000","549,000","400,000","300,000","-6,000,000","200,000","100,000","300,000","-100,000","100,000",,,,
		RestructuringAndMergernAcquisition,"6,734,000","8,094,000","-787,000","-210,000","-363,000","121,000","78,000","-2,238,000","2,758,000","5,340,000","3,777,000","4,371,000","-84,000","-3,575,000","-1,394,000","-6,279,000",,"-5,171,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"5,743,000","3,424,000","0","2,319,000",,"8,282,000",,,,"13,892,000",,,,"49,375,000",,,,"58,057,000",,,,"7,964,000",,,,"58,451,000",,,,,,,,,,,,,,,,,,,,,,"7,107,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"479,000",,,"-592,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"25,085,000","6,853,000","6,089,000","8,471,000","3,672,000","6,188,000","2,931,000","3,247,000","-9,827,000","17,179,000","717,000","6,521,000","58,959,000","-9,314,000","-15,498,000","-10,426,000","-11,975,000","-1,164,000","-2,371,000","-1,079,000","239,000","-62,000","841,000","-725,000","262,000","-415,000","-1,070,000","-134,000","-212,000","-134,000","-378,000","-1,233,000","643,000","555,000","-824,000","-353,000","-513,000","24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"622,901,000","120,957,000","236,979,000","159,922,000","105,043,000","171,722,000","234,177,000","107,784,000","57,663,000","145,933,000","191,928,000","69,547,000","164,879,000","128,791,000","168,166,000","104,095,000","56,614,000","45,925,000","132,195,000","104,605,000","71,032,000","113,897,000","128,063,000","31,424,000","34,302,000","504,000","78,133,000","67,047,000","92,560,000","107,670,000","142,115,000","131,631,000","91,701,000","262,646,000","140,918,000","116,887,000","118,798,000","128,642,000","146,209,000","110,265,000","79,464,000","92,456,000","92,941,000","57,923,000","-26,950,000","54,809,000","95,189,000","56,091,000","40,166,000","69,604,000","69,276,000","57,889,000","36,961,000","77,363,000","93,165,000","69,669,000","41,570,000","53,137,000","49,880,000","37,859,000","27,177,000","-14,678,000","36,653,000","28,735,000","14,416,000","30,425,000","26,695,000","5,831,000","-10,704,000","1,689,000","8,604,000","-227,000","-22,711,000","-39,279,000","8,224,000","-13,053,000","-8,961,000","-671,000","-25,960,000","-184,761,000","17,548,000","22,186,000","49,384,000","33,987,000","51,409,000","37,689,000","71,894,000","54,938,000","34,530,000","47,100,000","34,400,000","13,900,000","7,400,000","10,100,000","10,500,000","5,500,000","800,000",,,,
TaxProvision,"130,918,000","14,662,000","61,581,000","40,951,000","13,724,000","-239,000","70,477,000","32,989,000","16,160,000","25,634,000","54,906,000","41,088,000","43,844,000","71,000,000","43,267,000","29,389,000","18,003,000","-69,651,000","42,346,000","40,245,000","22,592,000","24,592,000","54,516,000","14,695,000","13,443,000","2,898,000","32,389,000","31,584,000","34,375,000","36,068,000","42,100,000","46,187,000","33,053,000","91,329,000","42,509,000","42,161,000","41,941,000","43,568,000","45,353,000","40,468,000","29,470,000","21,648,000","37,341,000","23,610,000","-10,645,000","20,375,000","31,489,000","22,768,000","16,066,000","25,159,000","5,320,000","24,245,000","15,471,000","30,250,000","38,307,000","29,151,000","17,318,000","19,596,000","2,930,000","15,993,000","-4,027,000","15,780,000","14,230,000","11,075,000","6,558,000","11,963,000","13,815,000","2,488,000","-5,576,000","-147,000","4,448,000","3,265,000","-11,017,000","-13,569,000","2,825,000","-3,218,000","-4,118,000","-1,784,000","-17,644,000","-7,564,000","7,282,000","8,729,000","23,061,000","17,304,000","22,106,000","23,297,000","31,202,000","23,843,000","14,986,000","20,600,000","15,300,000","9,100,000","4,000,000","4,300,000","4,500,000","2,500,000","400,000",,,,
NetIncomeCommonStockholders,"485,956,000","104,797,000","174,365,000","117,033,000","89,761,000","170,051,000","162,913,000","73,946,000","38,686,000","118,144,000","136,068,000","27,344,000","120,488,000","56,816,000","124,551,000","74,365,000","37,614,000","113,561,000","89,313,000","63,837,000","48,267,000","87,583,000","73,742,000","16,562,000","20,496,000","-5,074,000","216,388,000","46,109,000","53,484,000","66,576,000","94,648,000","81,082,000","54,408,000","166,697,000","92,906,000","70,237,000","72,081,000","98,986,000","96,398,000","65,538,000","45,707,000","66,314,000","51,994,000","31,801,000","-17,594,000","33,666,000","62,780,000","32,986,000","23,744,000","43,945,000","63,436,000","33,427,000","21,354,000","47,113,000","54,858,000","40,518,000","24,252,000","33,587,000","49,321,000","21,866,000","31,204,000","-30,458,000","22,423,000","17,660,000","7,858,000","18,462,000","12,880,000","3,343,000","-5,128,000","1,836,000","4,156,000","-3,492,000","-11,694,000","-25,710,000","5,399,000","-9,835,000","-6,952,000","1,800,000","-8,548,000","-177,429,000","10,034,000","13,225,000","26,089,000","16,451,000","29,071,000","14,160,000","40,458,000","30,863,000","19,312,000","26,200,000","19,100,000","4,800,000","3,400,000","5,800,000","6,000,000","3,000,000","400,000","-4,700,000","2,400,000","2,400,000","2,400,000"
	NetIncome,"485,956,000","104,797,000","174,365,000","117,033,000","89,761,000","170,051,000","162,913,000","73,946,000","38,686,000","118,144,000","136,068,000","27,344,000","120,488,000","56,816,000","124,551,000","74,365,000","37,614,000","113,561,000","89,313,000","63,837,000","48,267,000","87,583,000","73,742,000","16,562,000","20,496,000","-5,074,000","216,388,000","46,109,000","53,484,000","66,576,000","94,648,000","81,082,000","54,408,000","166,697,000","92,906,000","70,237,000","72,081,000","98,986,000","96,398,000","65,538,000","45,707,000","66,314,000","51,994,000","31,801,000","-17,594,000","33,666,000","62,780,000","32,986,000","23,744,000","43,945,000","63,436,000","33,427,000","21,354,000","47,113,000","54,858,000","40,518,000","24,252,000","33,587,000","49,321,000","21,866,000","31,204,000","-30,458,000","22,423,000","17,660,000","7,858,000","18,462,000","12,880,000","3,343,000","-5,128,000","1,836,000","4,156,000","-3,492,000","-11,694,000","-25,710,000","5,399,000","-9,835,000","-4,843,000","1,113,000","-8,316,000","-177,197,000","10,266,000","13,457,000","26,323,000","16,683,000","29,303,000","14,392,000","40,692,000","31,095,000","19,544,000","26,500,000","19,100,000","4,800,000","3,400,000","5,800,000","6,000,000","3,000,000","400,000","-4,700,000","2,400,000","2,400,000","2,400,000"
