name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989
TotalRevenue,"6,512,000,000","1,789,000,000","1,826,000,000","1,551,000,000","1,346,000,000","1,673,000,000","1,151,000,000","1,459,000,000","1,387,000,000","1,593,000,000","1,348,000,000","1,209,000,000","1,238,000,000","1,289,000,000","1,286,000,000","1,137,000,000","1,582,000,000","1,160,000,000","959,000,000","1,449,000,000","1,527,000,000","1,149,000,000","898,000,000","1,271,000,000","1,308,000,000","1,070,000,000","815,000,000","1,203,000,000","1,185,000,000","1,126,000,000","990,000,000","1,214,000,000","1,123,000,000","808,000,000","695,000,000","949,000,000","1,209,000,000","922,000,000","711,000,000","955,000,000","1,368,000,000","1,061,000,000","715,000,000","999,000,000","1,090,000,000","1,053,000,000","631,000,000","815,000,000","979,000,000","1,243,000,000","788,000,000","644,000,000","860,000,000","1,654,000,000","894,000,000","804,000,000","1,128,000,000","1,503,000,000","640,000,000","395,000,000","613,000,000","1,281,000,000","784,000,000","413,000,000","641,000,000","1,270,000,000","675,000,000","365,000,000","553,780,000","1,427,851,000","715,728,000","431,641,000","598,432,000","1,475,323,000","530,005,000","353,381,000","463,130,000","1,233,726,000","453,490,000","331,898,000","469,691,000","832,878,000","240,156,000","181,950,000","307,255,000","640,319,000","219,900,000","154,799,000","294,311,000","600,700,000","338,900,000","186,100,000","277,800,000","520,200,000","245,800,000","178,200,000","204,100,000","391,200,000","189,800,000","117,800,000","143,800,000","271,100,000","129,300,000","80,600,000","118,500,000","239,700,000","93,700,000","80,000,000","116,100,000","216,700,000","86,300,000","74,200,000","107,200,000","149,500,000","82,100,000","79,500,000","86,600,000","107,100,000","54,600,000","45,200,000","45,400,000","59,100,000","33,000,000","23,900,000","25,200,000","35,200,000","24,300,000","17,000,000","17,900,000","23,500,000","17,300,000","13,700,000"
	OperatingRevenue,"6,512,000,000","1,789,000,000","1,826,000,000","1,551,000,000","1,346,000,000","1,673,000,000","1,151,000,000","1,459,000,000","1,387,000,000","1,593,000,000","1,348,000,000","1,209,000,000","1,238,000,000","1,289,000,000","1,286,000,000","1,137,000,000","1,582,000,000","1,160,000,000","959,000,000","1,449,000,000","1,527,000,000","1,149,000,000","898,000,000","1,271,000,000","1,308,000,000","1,070,000,000","815,000,000","1,203,000,000","1,185,000,000","1,126,000,000","990,000,000","1,214,000,000","1,123,000,000","808,000,000","695,000,000","949,000,000","1,209,000,000","922,000,000","711,000,000","955,000,000","1,368,000,000","1,061,000,000","715,000,000","999,000,000","1,090,000,000","1,053,000,000","631,000,000","815,000,000","979,000,000","1,243,000,000","788,000,000","644,000,000","860,000,000","1,654,000,000","894,000,000","804,000,000","1,128,000,000","1,503,000,000","640,000,000","395,000,000","613,000,000","1,281,000,000","784,000,000","413,000,000","641,000,000","1,270,000,000","675,000,000","365,000,000","553,780,000","1,427,851,000","715,728,000","431,641,000","598,432,000","1,475,323,000","530,005,000","353,381,000","463,130,000","1,233,726,000","453,490,000","331,898,000","469,691,000","832,878,000","240,156,000","181,950,000","307,255,000","640,319,000","219,900,000","154,799,000","294,311,000","600,700,000","338,900,000","186,100,000","277,800,000","520,200,000","245,800,000","178,200,000","204,100,000","391,200,000","189,800,000","117,800,000","143,800,000","271,100,000","129,300,000","80,600,000","118,500,000","239,700,000","93,700,000","80,000,000","116,100,000","216,700,000","86,300,000","74,200,000","107,200,000","149,500,000","82,100,000","79,500,000","86,600,000","107,100,000","54,600,000","45,200,000","45,400,000","59,100,000","33,000,000","23,900,000","25,200,000","35,200,000","24,300,000","17,000,000","17,900,000","23,500,000","17,300,000","13,700,000"
CostOfRevenue,"1,759,000,000","631,000,000","494,000,000","315,000,000","319,000,000","601,000,000","286,000,000","288,000,000","269,000,000","508,000,000","405,000,000","187,000,000","276,000,000","413,000,000","418,000,000","215,000,000","233,000,000","501,000,000","389,000,000","154,000,000","202,000,000","516,000,000","401,000,000","179,000,000","226,000,000","546,000,000","409,000,000","173,000,000","234,000,000","401,000,000","427,000,000","367,000,000","223,000,000","517,000,000","413,000,000","194,000,000","309,000,000","429,000,000","445,000,000","205,000,000","374,000,000","552,000,000","432,000,000","240,000,000","328,000,000","586,000,000","363,000,000","222,000,000","298,000,000","654,000,000","593,000,000","321,000,000","349,000,000","925,000,000","557,000,000","296,000,000","463,000,000","782,000,000","395,000,000","166,000,000","235,000,000","470,000,000","339,000,000","168,000,000","244,000,000","502,000,000","284,000,000","151,000,000","233,571,000","502,763,000","283,911,000","176,755,000","225,970,000","513,255,000","213,762,000","149,963,000","173,866,000","558,680,000","198,891,000","141,365,000","199,969,000","400,853,000","117,760,000","89,029,000","115,967,000","292,138,000","106,932,000","67,537,000","131,872,000","291,300,000","167,900,000","78,200,000","122,900,000","260,900,000","126,900,000","80,200,000","97,500,000","204,200,000","95,300,000","55,100,000","66,300,000","130,100,000","59,300,000","35,000,000","50,700,000","123,300,000","44,500,000","39,600,000","50,900,000","124,200,000","41,800,000","35,800,000","54,200,000","82,800,000","40,100,000","40,200,000","43,400,000","60,400,000","27,600,000","23,300,000","23,300,000","32,600,000","16,800,000","12,600,000","14,400,000","19,500,000","14,000,000","9,200,000","9,400,000","12,300,000",,
GrossProfit,"4,753,000,000","1,158,000,000","1,332,000,000","1,236,000,000","1,027,000,000","1,072,000,000","865,000,000","1,171,000,000","1,118,000,000","1,085,000,000","943,000,000","1,022,000,000","962,000,000","876,000,000","868,000,000","922,000,000","1,349,000,000","659,000,000","570,000,000","1,295,000,000","1,325,000,000","633,000,000","497,000,000","1,092,000,000","1,082,000,000","524,000,000","406,000,000","1,030,000,000","951,000,000","725,000,000","563,000,000","847,000,000","900,000,000","291,000,000","282,000,000","755,000,000","900,000,000","493,000,000","266,000,000","750,000,000","994,000,000","509,000,000","283,000,000","759,000,000","762,000,000","467,000,000","268,000,000","593,000,000","681,000,000","589,000,000","195,000,000","323,000,000","511,000,000","729,000,000","337,000,000","508,000,000","665,000,000","721,000,000","245,000,000","229,000,000","378,000,000","811,000,000","445,000,000","245,000,000","397,000,000","768,000,000","391,000,000","214,000,000","320,209,000","925,088,000","431,817,000","254,886,000","372,462,000","962,068,000","316,243,000","203,418,000","289,264,000","675,046,000","254,599,000","190,533,000","269,722,000","432,025,000","122,396,000","92,921,000","191,288,000","348,181,000","112,968,000","87,262,000","162,439,000","309,400,000","171,000,000","107,900,000","154,900,000","259,300,000","118,900,000","98,000,000","106,600,000","187,000,000","94,500,000","62,700,000","77,500,000","141,000,000","70,000,000","45,600,000","67,800,000","116,400,000","49,200,000","40,400,000","65,200,000","92,500,000","44,500,000","38,400,000","53,000,000","66,700,000","42,000,000","39,300,000","43,200,000","46,700,000","27,000,000","21,900,000","22,100,000","26,500,000","16,200,000","11,300,000","10,800,000","15,700,000","10,300,000","7,800,000","8,500,000","11,200,000",,
OperatingExpense,"3,814,000,000","1,056,000,000","992,000,000","914,000,000","852,000,000","821,000,000","716,000,000","700,000,000","717,000,000","722,000,000","673,000,000","606,000,000","755,000,000","633,000,000","608,000,000","622,000,000","596,000,000","680,000,000","611,000,000","552,000,000","608,000,000","637,000,000","546,000,000","532,000,000","546,000,000","555,000,000","525,000,000","518,000,000","552,000,000","563,000,000","540,000,000","486,000,000","553,000,000","584,000,000","580,000,000","514,000,000","590,000,000","575,000,000","632,000,000","528,000,000","619,000,000","692,000,000","641,000,000","512,000,000","610,000,000","615,000,000","542,000,000","491,000,000","576,000,000","596,000,000","606,000,000","554,000,000","145,000,000","1,016,000,000","677,000,000","583,000,000","547,000,000","636,000,000","514,000,000","410,000,000","447,000,000","593,000,000","425,000,000","358,000,000","348,000,000","412,000,000","342,000,000","310,000,000","315,034,000","396,405,000","307,023,000","229,538,000","268,900,000","403,964,000","214,376,000","181,646,000","273,964,000","296,545,000","183,353,000","184,271,000","196,097,000","229,473,000","174,453,000","161,299,000","152,773,000","222,813,000","173,122,000","151,639,000","154,514,000","179,800,000","147,300,000","108,800,000","125,500,000","156,800,000","106,500,000","92,700,000","86,100,000","114,600,000","86,800,000","62,700,000","65,000,000","85,200,000","64,800,000","51,900,000","58,200,000","75,300,000","46,400,000","40,400,000","48,000,000","59,100,000","37,900,000","30,900,000","36,800,000","42,300,000","31,900,000","29,500,000","31,500,000","30,500,000","20,400,000","16,000,000","15,400,000","16,100,000","12,400,000","9,300,000","7,700,000","9,800,000","8,000,000","6,400,000","6,700,000","7,100,000",,
	SellingGeneralAndAdministration,"1,594,000,000","456,000,000","409,000,000","359,000,000","370,000,000","365,000,000","289,000,000","257,000,000","309,000,000","328,000,000","280,000,000","220,000,000","352,000,000","293,000,000","263,000,000","254,000,000","256,000,000","350,000,000","278,000,000","226,000,000","272,000,000","350,000,000","254,000,000","236,000,000","263,000,000","287,000,000","257,000,000","221,000,000","264,000,000","276,000,000","275,000,000","218,000,000","260,000,000","305,000,000","293,000,000","232,000,000","318,000,000","282,000,000","311,000,000","231,000,000","337,000,000","367,000,000","310,000,000","214,000,000","269,000,000","328,000,000","250,000,000","201,000,000","250,000,000","292,000,000","278,000,000","230,000,000","190,000,000","332,000,000","289,000,000","212,000,000","218,000,000","308,000,000","248,000,000","153,000,000","182,000,000","256,000,000","180,000,000","136,000,000","157,000,000","205,000,000","159,000,000","126,000,000","153,745,000","210,420,000","149,561,000","98,274,000","113,210,000","252,166,000","100,073,000","89,844,000","107,566,000","181,742,000","82,967,000","91,037,000","88,018,000","125,708,000","70,423,000","64,019,000","73,546,000","93,874,000","64,555,000","57,402,000","65,430,000","95,700,000","68,100,000","51,400,000","60,400,000","79,600,000","49,900,000","49,100,000","42,700,000","62,600,000","42,200,000","33,600,000","28,300,000","46,000,000","30,900,000","22,100,000","23,400,000","41,600,000","22,200,000","17,900,000","21,600,000","35,600,000","19,400,000","14,800,000","-28,200,000","40,500,000","30,200,000","28,100,000","29,400,000","29,500,000","20,100,000","15,400,000","15,000,000","15,600,000","11,900,000","9,000,000","7,300,000","9,500,000","7,600,000","6,100,000","6,400,000","6,800,000",,
		GeneralAndAdministrativeExpense,"682,000,000","163,000,000","176,000,000","169,000,000","174,000,000","149,000,000","133,000,000","136,000,000","142,000,000","126,000,000","128,000,000","110,000,000","123,000,000","106,000,000","117,000,000","114,000,000","126,000,000","120,000,000","118,000,000","105,000,000","110,000,000","110,000,000","111,000,000","108,000,000","110,000,000","97,000,000","101,000,000","98,000,000","99,000,000","107,000,000","92,000,000","88,000,000","105,000,000","91,000,000","129,000,000","85,000,000","101,000,000","68,000,000","99,000,000","86,000,000","115,000,000","98,000,000","88,000,000","74,000,000","75,000,000","75,000,000","77,000,000","74,000,000","79,000,000","84,000,000","91,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"682,000,000","163,000,000","176,000,000","169,000,000","174,000,000","149,000,000","133,000,000","136,000,000","142,000,000","126,000,000","128,000,000","110,000,000","123,000,000","106,000,000","117,000,000","114,000,000","126,000,000","120,000,000","118,000,000","105,000,000","110,000,000","110,000,000","111,000,000","108,000,000","110,000,000","97,000,000","101,000,000","98,000,000","99,000,000","107,000,000","92,000,000","88,000,000","105,000,000","91,000,000","129,000,000","85,000,000","101,000,000","68,000,000","99,000,000","86,000,000","115,000,000","98,000,000","88,000,000","74,000,000","75,000,000","75,000,000","77,000,000","74,000,000","79,000,000","84,000,000","91,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"912,000,000","293,000,000","233,000,000","190,000,000","196,000,000","216,000,000","156,000,000","121,000,000","167,000,000","202,000,000","152,000,000","110,000,000","229,000,000","187,000,000","146,000,000","140,000,000","130,000,000","230,000,000","160,000,000","121,000,000","162,000,000","240,000,000","143,000,000","128,000,000","153,000,000","190,000,000","156,000,000","123,000,000","165,000,000","169,000,000","183,000,000","130,000,000","155,000,000","214,000,000","164,000,000","147,000,000","217,000,000","214,000,000","212,000,000","145,000,000","222,000,000","269,000,000","222,000,000","140,000,000","194,000,000","253,000,000","173,000,000","127,000,000","171,000,000","208,000,000","187,000,000","164,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,075,000,000","539,000,000","553,000,000","515,000,000","468,000,000","451,000,000","421,000,000","438,000,000","402,000,000","389,000,000","387,000,000","381,000,000","398,000,000","334,000,000","339,000,000","362,000,000","335,000,000","329,000,000","331,000,000","325,000,000","335,000,000","285,000,000","291,000,000","294,000,000","282,000,000","266,000,000","265,000,000","296,000,000","285,000,000","283,000,000","261,000,000","265,000,000","289,000,000","275,000,000","283,000,000","278,000,000","263,000,000","286,000,000","314,000,000","290,000,000","284,000,000","325,000,000","318,000,000","285,000,000","328,000,000","273,000,000","277,000,000","275,000,000","311,000,000","290,000,000","316,000,000","312,000,000","332,000,000","299,000,000","372,000,000","356,000,000","316,000,000","321,000,000","259,000,000","250,000,000","258,000,000","330,000,000","238,000,000","216,000,000","187,000,000","206,000,000","182,000,000","183,000,000","160,364,000","185,155,000","156,839,000","130,642,000","155,068,000","151,175,000","113,493,000","91,122,000","99,323,000","112,558,000","98,140,000","90,969,000","101,970,000","97,406,000","97,555,000","90,805,000","107,457,000","110,250,000","92,008,000","79,213,000","73,759,000","73,400,000","68,400,000","47,500,000","55,700,000","61,800,000","48,300,000","36,200,000","36,900,000","45,400,000","36,300,000","23,600,000","30,300,000","33,800,000","28,700,000","25,300,000","29,700,000","30,000,000","20,700,000","19,300,000","23,300,000","20,800,000","15,900,000","13,800,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"145,000,000","61,000,000","30,000,000","40,000,000","14,000,000","5,000,000","6,000,000","5,000,000","6,000,000","5,000,000","6,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","5,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","3,000,000","1,000,000","3,000,000","4,000,000","4,000,000","3,000,000","4,000,000","4,000,000","4,000,000","4,000,000","9,000,000","7,000,000","7,000,000","7,000,000","6,000,000","11,000,000","13,000,000","13,000,000","13,000,000","14,000,000","15,000,000","15,000,000","15,000,000","14,000,000","12,000,000","12,000,000","12,000,000","15,000,000","16,000,000","15,000,000","13,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","7,000,000","6,000,000","4,000,000","1,000,000","1,000,000","1,000,000","925,000","830,000","623,000","622,000","622,000","623,000","810,000","680,000","746,000","2,245,000","2,246,000","2,245,000","6,109,000","6,359,000","6,475,000","6,475,000","38,719,000","18,689,000","16,559,000","15,024,000","15,325,000","10,700,000","10,800,000","9,900,000","9,400,000","15,400,000","8,300,000","7,400,000","6,500,000","6,600,000","8,300,000","5,500,000","6,400,000","5,400,000","5,200,000","4,500,000","5,100,000","3,700,000","3,500,000","3,200,000","3,100,000","2,700,000","2,600,000","2,300,000","2,400,000","1,800,000","1,700,000","1,400,000","2,100,000","1,000,000","300,000","600,000","400,000","500,000","500,000","300,000","400,000","300,000","400,000","300,000","300,000","300,000",,
