name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,505,796,000","1,012,786,000","568,384,000","605,553,000","1,319,073,000","914,480,000","474,914,000","492,995,000","977,665,000","875,563,000","443,683,000","485,738,000","1,094,645,000","877,782,000","444,700,000","562,245,000","1,219,409,000","889,192,000","464,880,000","526,501,000","988,186,000","780,168,000","678,519,000","632,916,000","1,132,293,000","906,221,000","656,902,000","686,401,000","1,540,068,000","1,258,765,000","778,728,000","942,718,000","1,964,322,000","1,255,148,000","685,171,000","857,935,000","1,308,996,000","1,034,155,000","508,029,000","585,831,000","1,243,450,000","1,101,173,000","789,260,000","843,615,000","1,617,287,000","1,156,995,000","786,315,000","770,257,000","1,940,266,000","1,292,852,000","650,567,000","780,775,000","1,821,406,000","1,716,332,000","1,440,665,000","1,639,145,000","2,483,985,000","1,657,510,000","1,002,064,000","1,218,152,000","2,075,582,000","1,602,633,000","971,454,000","863,243,000","2,033,846,000","2,283,820,000","1,004,627,000","909,952,000","1,685,085,000","1,368,624,000","492,878,000","546,058,000","1,117,485,000","763,616,000","1,450,219,000","247,789,000","700,361,000","401,547,000","138,226,000","161,800,000","379,481,000","271,342,000","160,112,000","164,260,000","675,113,000","442,790,000","159,135,000","152,362,000","314,197,000","224,500,000","109,000,000","109,600,000","261,400,000","210,200,000","127,000,000","137,300,000","288,600,000","295,300,000","462,600,000","86,700,000","199,800,000","157,700,000","68,600,000","93,600,000","191,100,000","130,500,000","76,000,000","84,700,000","157,300,000","117,800,000","77,300,000","90,000,000","186,900,000","145,500,000","62,700,000","77,200,000","136,200,000","112,400,000","58,900,000","58,400,000","116,100,000","106,700,000","54,000,000","61,500,000","124,400,000","96,200,000","55,800,000","75,200,000","114,500,000","106,500,000","57,700,000","66,500,000","124,300,000","93,900,000","54,500,000","59,600,000","132,800,000","76,000,000","38,300,000","48,000,000","80,500,000","66,200,000","44,700,000","49,000,000","80,100,000","62,400,000","57,500,000"
	OperatingRevenue,"3,505,796,000","1,012,786,000","568,384,000","605,553,000","1,319,073,000","914,480,000","474,914,000","492,995,000","977,665,000","875,563,000","443,683,000","485,738,000","1,094,645,000","877,782,000","444,700,000","562,245,000","1,219,409,000","889,192,000","464,880,000","526,501,000","988,186,000","780,168,000","678,519,000","632,916,000","1,132,293,000","906,221,000","656,902,000","686,401,000","1,540,068,000","1,258,765,000","778,728,000","942,718,000","1,964,322,000","1,255,148,000","685,171,000","857,935,000","1,308,996,000","1,034,155,000","508,029,000","585,831,000","1,243,450,000","1,101,173,000","789,260,000","843,615,000","1,617,287,000","1,156,995,000","786,315,000","770,257,000","1,940,266,000","1,292,852,000","650,567,000","780,775,000","1,821,406,000","1,716,332,000","1,440,665,000","1,639,145,000","2,483,985,000","1,657,510,000","1,002,064,000","1,218,152,000","2,075,582,000","1,602,633,000","971,454,000","863,243,000","2,033,846,000","2,283,820,000","1,004,627,000","909,952,000","1,685,085,000","1,368,624,000","492,878,000","546,058,000","1,117,485,000","763,616,000","1,450,219,000","247,789,000","700,361,000","401,547,000","138,226,000","161,800,000","379,481,000","271,342,000","160,112,000","164,260,000","675,113,000","442,790,000","159,135,000","152,362,000","314,197,000","224,500,000","109,000,000","109,600,000","261,400,000","210,200,000","127,000,000","137,300,000","288,600,000","295,300,000","462,600,000","86,700,000","199,800,000","157,700,000","68,600,000","93,600,000","191,100,000","130,500,000","76,000,000","84,700,000","157,300,000","117,800,000","77,300,000","90,000,000","186,900,000","145,500,000","62,700,000","77,200,000","136,200,000","112,400,000","58,900,000","58,400,000","116,100,000","106,700,000","54,000,000","61,500,000","124,400,000","96,200,000","55,800,000","75,200,000","114,500,000","106,500,000","57,700,000","66,500,000","124,300,000","93,900,000","54,500,000","59,600,000","132,800,000","76,000,000","38,300,000","48,000,000","80,500,000","66,200,000","44,700,000","49,000,000","80,100,000","62,400,000","57,500,000"
CostOfRevenue,"1,136,087,000","530,273,000","-395,710,000","271,340,000","730,184,000","426,903,000","198,103,000","175,532,000","317,883,000","296,868,000","13,670,000","31,326,000","471,676,000","342,165,000","43,085,000","130,886,000","626,960,000","366,917,000","72,561,000","114,176,000","427,494,000","311,305,000","302,508,000","225,605,000","614,482,000","462,458,000","302,581,000","304,728,000","1,019,330,000","835,480,000","441,069,000","583,185,000","1,468,045,000","866,191,000","384,731,000","541,438,000","876,245,000","671,793,000","280,223,000","287,041,000","809,189,000","738,291,000","547,216,000","576,810,000","1,152,465,000","783,435,000","539,772,000","517,029,000","1,485,945,000","882,003,000","418,768,000","521,135,000","1,361,355,000","1,321,120,000","1,166,197,000","1,392,923,000","2,049,591,000","1,287,872,000","783,484,000","990,136,000","1,646,896,000","1,227,041,000","710,539,000","658,743,000","1,628,443,000","1,937,230,000","802,921,000","685,603,000","1,306,502,000","1,044,172,000","403,358,000","438,566,000","911,359,000","604,563,000","1,335,640,000","160,583,000","499,756,000","268,961,000","78,705,000","87,967,000","229,598,000","161,977,000","94,943,000","102,981,000","536,789,000","332,842,000","101,136,000","92,332,000","196,070,000","134,900,000","66,100,000","56,200,000","149,000,000","119,000,000","76,100,000","79,900,000","164,600,000","195,700,000","287,100,000","51,600,000","132,500,000","106,000,000","41,500,000","59,800,000","125,700,000","79,700,000","46,100,000","50,600,000","97,700,000","74,400,000","48,700,000","58,200,000","127,600,000","97,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,369,709,000","482,513,000","964,094,000","334,213,000","588,889,000","487,577,000","276,811,000","317,463,000","659,782,000","578,695,000","430,013,000","454,412,000","622,969,000","535,617,000","401,615,000","431,359,000","592,449,000","522,275,000","392,319,000","412,325,000","560,692,000","468,863,000","376,011,000","407,311,000","517,811,000","443,763,000","354,321,000","381,673,000","520,738,000","423,285,000","337,659,000","359,533,000","496,277,000","388,957,000","300,440,000","316,497,000","432,751,000","362,362,000","227,806,000","298,790,000","434,261,000","362,882,000","242,044,000","266,805,000","464,822,000","373,560,000","246,543,000","253,228,000","454,321,000","410,849,000","231,799,000","259,640,000","460,051,000","395,212,000","274,468,000","246,222,000","434,394,000","369,638,000","218,580,000","228,016,000","428,686,000","375,592,000","260,915,000","204,500,000","405,403,000","346,590,000","201,706,000","224,349,000","378,583,000","324,452,000","89,520,000","107,492,000","206,126,000","159,053,000","114,579,000","87,206,000","200,605,000","132,586,000","59,521,000","73,833,000","149,883,000","109,365,000","65,169,000","61,279,000","138,324,000","109,948,000","57,999,000","60,030,000","118,127,000","89,600,000","42,900,000","53,400,000","112,400,000","91,200,000","50,900,000","57,400,000","124,000,000","99,600,000","175,500,000","35,100,000","67,300,000","51,700,000","27,100,000","33,800,000","65,400,000","50,800,000","29,900,000","34,100,000","59,600,000","43,400,000","28,600,000","31,800,000","59,300,000","48,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,487,690,000","206,652,000","873,130,000","200,823,000","207,085,000","188,737,000","175,966,000","178,428,000","328,344,000","325,914,000","340,298,000","332,210,000","325,292,000","299,153,000","312,023,000","308,366,000","323,461,000","280,714,000","300,527,000","271,661,000","275,520,000","258,945,000","291,378,000","270,147,000","267,795,000","247,558,000","278,468,000","264,066,000","270,528,000","235,560,000","253,715,000","252,928,000","246,197,000","218,237,000","250,057,000","230,101,000","222,573,000","207,440,000","213,836,000","214,001,000","225,899,000","218,475,000","200,711,000","221,739,000","227,618,000","213,451,000","206,352,000","219,119,000","229,781,000","220,253,000","217,821,000","212,653,000","233,504,000","232,018,000","236,934,000","225,513,000","223,251,000","211,129,000","207,847,000","220,285,000","219,674,000","204,432,000","213,632,000","199,697,000","224,570,000","196,893,000","193,374,000","184,881,000","206,402,000","195,778,000","86,240,000","86,032,000","100,712,000","95,512,000","101,297,000","73,150,000","92,727,000","79,962,000","53,147,000","54,655,000","63,550,000","65,919,000","60,894,000","58,105,000","64,433,000","61,007,000","56,467,000","62,374,000","62,140,000","59,400,000","71,600,000","52,900,000","61,600,000","59,500,000","54,100,000","49,400,000","56,800,000","58,600,000","159,200,000","30,100,000","40,200,000","33,400,000","29,700,000","29,600,000","32,800,000","32,600,000","29,900,000","31,000,000","34,100,000","30,100,000","32,900,000","31,000,000","35,600,000","34,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,295,000","110,708,000","116,062,000","107,973,000","112,665,000","116,379,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"490,548,000","127,856,000","124,708,000","119,348,000","118,636,000","115,285,000","111,746,000","107,104,000","105,916,000","105,062,000","100,919,000","97,700,000","96,772,000","96,065,000","92,657,000","90,671,000","89,381,000","88,374,000","84,800,000","80,023,000","77,667,000","76,958,000","76,426,000","73,459,000","71,972,000","71,239,000","70,737,000","68,444,000","68,022,000","67,593,000","68,256,000","63,955,000","61,307,000","60,469,000","60,191,000","58,129,000","57,180,000","59,579,000","58,219,000","59,819,000","60,272,000","59,215,000","59,923,000","56,932,000","57,136,000","56,161,000","56,753,000","53,288,000","53,080,000","53,839,000","56,451,000","54,181,000","53,450,000","53,126,000","52,783,000","50,356,000","48,790,000","48,513,000","49,828,000","48,974,000","51,066,000","48,995,000","48,422,000","46,838,000","47,076,000","43,260,000","45,234,000","43,448,000","45,326,000","43,997,000","26,768,000","23,268,000","23,138,000","23,473,000","21,728,000","23,192,000","20,887,000","21,194,000","20,594,000","20,362,000","20,039,000","20,474,000","19,849,000","16,129,000","15,905,000","15,781,000","15,727,000","15,138,000","16,490,000","16,500,000","15,500,000","14,000,000","13,800,000","13,600,000","11,500,000","12,300,000","11,900,000","11,900,000","21,800,000","5,800,000","6,200,000","6,200,000","4,400,000","5,500,000","5,300,000","5,600,000","5,200,000","5,200,000","5,200,000","5,200,000","4,500,000","4,900,000","4,700,000","4,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"490,548,000","127,856,000","124,708,000","119,348,000","118,636,000","115,285,000","111,746,000","107,104,000","105,916,000","105,062,000","100,919,000","97,700,000","96,772,000","96,065,000","92,657,000","90,671,000","89,381,000","88,374,000","84,800,000","80,023,000","77,667,000","76,958,000","76,426,000","73,459,000","71,972,000","71,239,000","70,737,000","68,444,000","68,022,000","67,593,000","68,256,000","63,955,000","61,307,000","60,469,000","60,191,000","58,129,000","57,180,000","59,579,000","58,219,000","59,819,000","60,272,000","59,215,000","59,923,000","56,932,000","57,136,000","56,161,000","56,753,000","53,288,000","53,080,000","53,839,000","56,451,000","54,181,000","53,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"318,123,000","78,796,000","69,403,000","81,475,000","88,449,000","73,452,000","64,220,000","71,324,000","74,604,000","68,607,000","61,643,000","69,965,000","79,093,000","64,488,000","55,486,000","72,620,000","73,007,000","62,773,000","54,796,000","62,948,000","65,614,000","57,049,000","50,144,000","59,244,000","62,157,000","51,471,000","50,352,000","63,175,000","69,046,000","49,385,000","46,296,000","63,414,000","60,215,000","42,011,000","40,717,000","50,714,000","54,307,000","41,334,000","36,069,000","46,887,000","54,919,000","43,198,000","32,815,000","52,142,000","54,103,000","40,696,000","35,859,000","52,483,000","59,613,000","42,552,000","32,672,000","47,577,000","58,314,000","44,137,000","39,585,000","57,335,000","54,408,000","41,427,000","33,172,000","52,881,000","56,746,000","40,067,000","33,302,000","48,479,000","64,796,000","45,416,000","34,159,000","46,915,000","54,967,000","38,655,000","11,478,000","12,297,000","18,481,000","15,123,000","10,988,000","12,675,000","18,538,000","12,844,000","6,560,000","8,720,000","10,861,000","10,080,000","7,260,000","7,584,000","13,544,000","9,267,000","4,843,000","7,114,000","9,196,000","7,500,000","8,300,000","6,800,000","9,000,000","7,400,000","5,000,000","7,200,000","9,400,000","8,200,000","16,800,000","4,000,000","6,300,000","4,900,000","3,500,000","3,700,000","5,500,000","4,200,000","3,300,000","3,800,000","5,400,000","4,100,000","2,800,000","3,700,000","5,800,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,858,000","-2,363,000","-4,580,000","-9,512,000","-12,259,000","-9,604,000","-7,163,000","-3,683,000","3,195,000",,,,,,,"0",,"3,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"882,019,000","275,861,000","90,964,000","133,390,000","381,804,000","298,840,000","100,845,000","139,035,000","331,438,000","252,781,000","89,715,000","122,202,000","297,677,000","236,464,000","89,592,000","122,993,000","268,988,000","241,561,000","91,792,000","140,664,000","285,172,000","209,918,000","84,633,000","137,164,000","250,016,000","196,205,000","75,853,000","117,607,000","250,210,000","187,725,000","83,944,000","106,605,000","250,080,000","170,720,000","50,383,000","86,396,000","210,178,000","154,922,000","13,970,000","84,789,000","208,362,000","144,407,000","41,333,000","45,066,000","237,204,000","160,109,000","40,191,000","34,109,000","224,540,000","190,596,000","13,978,000","46,987,000","226,547,000","163,194,000","37,534,000","20,709,000","211,143,000","158,509,000","10,733,000","7,731,000","209,012,000","171,160,000","47,283,000","4,803,000","180,833,000","149,697,000","8,332,000","39,468,000","172,181,000","128,674,000","3,280,000","21,460,000","105,414,000","63,541,000","13,282,000","14,056,000","107,878,000","52,624,000","6,374,000","19,178,000","86,333,000","43,446,000","4,275,000","3,174,000","73,891,000","48,941,000","1,532,000","-2,344,000","55,987,000","30,200,000","-28,700,000","500,000","50,800,000","31,700,000","-3,200,000","8,000,000","67,200,000","41,000,000","16,300,000","5,000,000","27,100,000","18,300,000","-2,600,000","4,200,000","32,600,000","18,200,000","0","3,100,000","25,500,000","13,300,000","-4,300,000","800,000","23,700,000","14,300,000","62,700,000","77,200,000","136,200,000","112,400,000","58,900,000","58,400,000","116,100,000","106,700,000","54,000,000","61,500,000","124,400,000","96,200,000","55,800,000","75,200,000","114,500,000","106,500,000","57,700,000","66,500,000","124,300,000","93,900,000","54,500,000","59,600,000","132,800,000","76,000,000","38,300,000","48,000,000","80,500,000","66,200,000","44,700,000","49,000,000","80,100,000","62,400,000","57,500,000"
NetNonOperatingInterestIncomeExpense,"-79,251,000","-19,851,000","-12,342,000","-20,962,000","-26,096,000","-22,010,000","-12,562,000","-19,580,000","-22,171,000","-27,229,000","-24,603,000","-19,592,000","-26,949,000","-27,849,000","-24,484,000","-23,349,000","-27,304,000","-31,509,000","-33,710,000","-28,498,000","-26,944,000","-31,030,000","-30,207,000","-27,698,000","-27,560,000","-30,483,000","-31,075,000","-27,955,000","-27,447,000","-29,764,000","-33,739,000","-31,840,000","-31,601,000","-32,115,000","-31,791,000","-32,741,000","-33,331,000","-30,522,000","-34,149,000","-34,923,000","-36,660,000","-35,442,000","-38,210,000","-35,845,000","-37,892,000","-38,917,000","-38,891,000","-37,290,000","-39,582,000","-38,708,000","-36,795,000","-41,511,000","-35,533,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"81,395,000","19,851,000","14,486,000","20,962,000","26,096,000","22,010,000","15,494,000","19,580,000","22,171,000","27,229,000","28,763,000","19,592,000","26,949,000","27,849,000","24,484,000","23,349,000","27,304,000","31,509,000","33,710,000","28,498,000","26,944,000","31,030,000","30,207,000","27,698,000","27,560,000","30,483,000","31,075,000","27,955,000","27,447,000","29,764,000","33,739,000","31,840,000","31,601,000","32,115,000","31,791,000","32,741,000","33,331,000","30,522,000","34,149,000","34,923,000","36,660,000","35,442,000","38,210,000","35,845,000","37,892,000","38,917,000","38,891,000","37,290,000","39,582,000","38,708,000","36,795,000","41,511,000","35,533,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-1,659,000","8,702,000","-19,082,000","5,887,000","2,834,000","6,072,000","-4,894,000","7,235,000","-2,989,000","4,887,000","5,090,000","1,645,000","4,232,000","-7,723,000","-1,053,000","-2,003,000","-253,000","-2,035,000","-2,820,000","-289,000","833,000","-994,000","-532,000","833,000","-685,000","-1,209,000","-1,755,000","634,000","-1,561,000","-1,707,000","-1,213,000","-374,000","-1,516,000","-2,132,000","-2,140,000","-467,000","1,712,000","698,000","-16,725,000","-1,948,000","616,000","-1,875,000","-2,547,000","-12,418,000","6,905,000","-737,000","731,000","-850,000","49,000","-269,000","-2,656,000","-2,085,000","-1,565,000","-301,000","-243,000","1,600,000","1,467,000","-93,000","1,501,000","4,266,000","1,838,000","1,579,000","1,909,000","963,000","-2,439,000","448,000","-846,000","1,524,000","958,000","385,000","1,657,000","2,187,000","4,456,000","1,207,000","-1,130,000","686,000","-1,489,000","4,124,000","-428,000","-182,000","-6,112,000","5,401,000","-448,000","644,000","6,339,000","-347,000","4,304,000","4,794,000","1,688,000","4,000,000","-3,000,000","1,100,000","2,400,000","1,700,000","-1,200,000","2,500,000","2,200,000","800,000",,"-100,000",,"100,000","-100,000","-300,000","-100,000","200,000","-600,000","500,000","-200,000","100,000","0","200,000",,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-5,288,000","0","0","-1,875,000","-2,547,000","-12,418,000","6,905,000","-737,000","731,000","-850,000","49,000","-269,000","-2,656,000","-2,085,000","-1,565,000","-301,000","-243,000","1,600,000","1,467,000","-93,000","1,501,000","4,266,000","1,838,000","1,579,000","1,909,000","963,000","-2,439,000","448,000","-846,000","1,524,000","958,000","385,000","1,657,000","2,187,000","4,456,000","1,207,000","-1,130,000","686,000","-1,489,000","4,124,000","-428,000","-182,000","-6,112,000","5,401,000","-448,000","644,000","6,339,000","-347,000","4,304,000","4,794,000","1,688,000","4,000,000","-3,000,000","1,100,000","2,400,000","1,700,000","-1,200,000","2,500,000","2,200,000","800,000",,"-100,000",,"100,000","-100,000","-300,000","-100,000","200,000","-600,000","500,000","-200,000","100,000","0","200,000",,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"0","10,988,000","19,282,000",,"0","0",,"0","0","3,304,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,948,000",,,"2,547,000","1,430,000","-26,187,000",,"-731,000","850,000",,"269,000","2,656,000","-1,219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-19,948,000","8,702,000","-37,371,000","5,887,000","2,834,000","6,072,000","-16,659,000","7,235,000","-2,989,000","4,887,000","45,000","1,645,000","4,232,000","-7,723,000","-1,053,000","-2,003,000","-253,000","-2,035,000","-2,820,000","-289,000","833,000","-994,000","-532,000","833,000","-685,000","-1,209,000","-1,755,000","634,000","-1,561,000","-1,707,000","-1,213,000","-374,000","-1,516,000","-2,132,000","-2,140,000","-467,000","1,712,000","698,000","-11,437,000","-1,948,000","616,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"801,109,000","264,712,000","59,540,000","118,315,000","358,542,000","282,902,000","83,389,000","126,690,000","306,278,000","230,439,000","70,202,000","104,255,000","274,960,000","200,892,000","64,055,000","97,641,000","241,431,000","208,017,000","55,262,000","111,877,000","259,061,000","177,894,000","53,894,000","110,299,000","221,771,000","164,513,000","43,023,000","90,286,000","221,202,000","156,254,000","48,992,000","74,391,000","216,963,000","136,473,000","16,452,000","53,188,000","178,559,000","125,098,000","-36,904,000","47,918,000","172,318,000","107,090,000","576,000","-3,197,000","206,217,000","120,455,000","2,031,000","-4,031,000","185,007,000","151,619,000","-25,473,000","3,391,000","189,449,000","123,902,000","3,172,000","-11,161,000","179,094,000","121,599,000","-23,729,000","-22,482,000","175,588,000","133,207,000","10,210,000","-30,178,000","142,902,000","113,956,000","-25,868,000","7,303,000","140,066,000","96,517,000","-10,994,000","7,636,000","93,710,000","47,413,000","-3,829,000","-1,300,000","90,231,000","41,269,000","-8,924,000","5,173,000","65,732,000","32,855,000","-11,889,000","-5,414,000","70,413,000","36,348,000","-5,579,000","-7,714,000","46,648,000","22,900,000","-33,900,000","-8,200,000","45,000,000","24,400,000","-8,000,000","2,700,000","60,100,000","32,400,000","100,000","800,000","23,000,000","14,100,000","-6,400,000","500,000","28,800,000","14,400,000","-3,500,000",,"21,800,000","10,100,000","-7,100,000","-1,900,000","20,700,000","11,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"104,015,000","15,503,000","10,820,000","15,904,000","61,788,000","65,224,000","18,056,000","8,899,000","66,632,000","51,766,000","11,796,000","23,789,000","60,072,000","43,246,000","25,308,000","26,448,000","62,439,000","-106,115,000","19,409,000","41,069,000","97,049,000","63,856,000","19,654,000","39,106,000","79,961,000","61,652,000","19,508,000","34,005,000","83,518,000","58,659,000","25,279,000","28,670,000","83,596,000","49,457,000","8,916,000","19,714,000","66,219,000","47,750,000","-27,258,000","17,774,000","66,408,000","41,302,000","-522,000","-1,723,000","74,008,000","46,458,000","494,000","-877,000","70,881,000","58,289,000","-9,521,000","1,427,000","60,446,000","47,939,000","1,590,000","-4,573,000","67,560,000","47,796,000","-17,815,000","-9,122,000","69,083,000","51,946,000","4,151,000","-12,033,000","54,106,000","42,929,000","-9,066,000","2,817,000","51,564,000","36,918,000","-4,610,000","2,871,000","35,405,000","17,872,000","-1,393,000","-1,099,000","33,926,000","15,476,000","-3,315,000","1,919,000","24,354,000","12,222,000","-4,333,000","-2,014,000","26,339,000","13,376,000","-1,996,000","-3,318,000","17,075,000","8,600,000","-12,700,000","-2,900,000","16,200,000","9,000,000","-4,100,000","1,000,000","22,700,000","12,300,000","200,000","300,000","8,500,000","5,200,000","-2,400,000","200,000","10,400,000","5,200,000","-1,900,000",,"7,900,000","3,600,000","-2,700,000","-700,000","7,500,000","4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"696,614,000","249,043,000","48,695,000","102,341,000","296,555,000","217,527,000","65,297,000","117,703,000","239,468,000","178,537,000","58,376,000","80,402,000","214,718,000","157,511,000","38,712,000","71,134,000","178,831,000","313,804,000","35,805,000","70,733,000","167,249,000","125,032,000","34,736,000","71,085,000","141,579,000","102,689,000","23,485,000","56,170,000","137,684,000","97,379,000","24,387,000","45,614,000","133,367,000","87,016,000","7,536,000","38,768,000","116,425,000","80,465,000","7,967,000","31,132,000","109,111,000","68,507,000","1,961,000","-566,000","132,209,000","73,997,000","1,537,000","-3,154,000","114,126,000","93,330,000","-15,952,000","1,964,000","129,003,000","75,963,000","1,582,000","-6,588,000","111,534,000","73,803,000","-5,914,000","-13,360,000","106,505,000","81,261,000","6,059,000","-18,145,000","88,796,000","71,027,000","-16,802,000","4,486,000","88,502,000","59,599,000","-6,384,000","4,765,000","58,305,000","29,541,000","-2,436,000","-201,000","48,532,000","25,793,000","-5,609,000","3,254,000","41,378,000","20,633,000","-7,556,000","-3,400,000","44,074,000","22,972,000","-3,583,000","-4,396,000","29,573,000","14,300,000","-21,200,000","-5,300,000","28,800,000","15,400,000","-3,900,000","1,700,000","37,400,000","20,100,000","-100,000","500,000","14,500,000","8,900,000","-4,000,000","300,000","18,400,000","9,200,000","-1,600,000","100,000","13,900,000","6,500,000","-4,400,000","-1,200,000","13,200,000","7,100,000","-2,300,000","1,300,000","10,900,000","5,800,000","-2,000,000","-1,100,000","8,400,000","4,700,000","-2,500,000","-1,300,000","8,000,000","3,600,000","-2,000,000","100,000","6,000,000","4,900,000",,,,,,,,,,,,,,,,,
