name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986
TotalRevenue,"3,505,000,000","1,623,000,000","1,287,000,000","546,000,000","49,000,000","26,000,000","33,000,000","31,000,000","740,000,000","4,790,000,000","4,781,000,000","6,532,000,000","4,838,000,000","4,674,000,000","4,456,000,000","5,836,000,000","4,357,000,000","4,232,000,000","4,259,000,000","5,515,000,000","3,945,000,000","3,791,000,000","3,935,000,000","5,097,000,000","3,705,000,000","3,651,000,000","3,711,000,000","4,883,000,000","3,590,000,000","3,531,000,000","3,719,000,000","4,947,000,000","3,633,000,000","3,585,000,000","3,658,000,000","4,726,000,000","3,479,000,000","3,593,000,000","3,578,000,000","4,684,000,000","3,538,000,000","3,582,000,000","3,697,000,000","5,058,000,000","3,620,000,000","3,419,000,000","3,753,000,000","4,426,000,000","3,195,000,000","3,095,000,000","3,206,000,000","4,139,000,000","2,948,000,000","2,864,000,000","3,302,000,000","4,814,000,000","3,378,000,000","3,152,000,000","3,124,000,000","4,321,000,000","2,900,000,000","2,688,000,000","2,810,000,000","3,905,000,000","2,662,000,000","2,461,000,000","2,567,000,000","3,605,000,000","2,519,000,000","2,396,000,000","2,242,000,000","3,245,000,000","2,256,000,000","1,980,000,000","1,816,749,000","2,523,740,000","1,334,616,000","1,031,105,000","1,035,681,000","1,437,655,000","989,157,000","905,776,000","959,102,000","1,489,918,000","1,079,125,000","1,007,606,000","850,326,000","1,228,211,000","875,127,000","824,878,000","783,870,000","1,169,100,000","796,100,000","748,300,000","728,606,000","1,061,500,000","661,400,000","557,800,000","524,368,000","805,400,000","596,600,000","521,100,000","474,972,000","772,000,000","516,800,000","448,800,000","452,950,000","672,600,000","452,800,000","419,800,000","410,516,000","600,800,000","409,400,000","385,300,000","325,700,000","529,300,000","378,200,000","323,600,000","310,900,000","487,800,000","346,000,000","328,800,000","305,600,000","499,200,000","307,000,000","292,900,000","296,500,000","482,900,000","352,500,000","259,400,000","226,100,000","405,200,000","284,700,000","231,800,000","130,400,000","157,600,000","158,700,000","152,900,000","125,900,000","160,100,000","156,700,000","121,400,000","105,200,000","105,200,000","105,200,000","105,200,000"
	OperatingRevenue,"3,505,000,000","1,623,000,000","1,287,000,000","546,000,000","49,000,000","26,000,000","33,000,000","31,000,000","740,000,000","4,790,000,000","4,781,000,000","6,532,000,000","4,838,000,000","4,674,000,000","4,456,000,000","5,836,000,000","4,357,000,000","4,232,000,000","4,259,000,000","5,515,000,000","3,945,000,000","3,791,000,000","3,935,000,000","5,097,000,000","3,705,000,000","3,651,000,000","3,711,000,000","4,883,000,000","3,590,000,000","3,531,000,000","3,719,000,000","4,947,000,000","3,633,000,000","3,585,000,000","3,658,000,000","4,726,000,000","3,479,000,000","3,593,000,000","3,578,000,000","4,684,000,000","3,538,000,000","3,582,000,000","3,697,000,000","5,058,000,000","3,620,000,000","3,419,000,000","3,753,000,000","4,426,000,000","3,195,000,000","3,095,000,000","3,206,000,000","4,139,000,000","2,948,000,000","2,864,000,000","3,302,000,000","4,814,000,000","3,378,000,000","3,152,000,000","3,124,000,000","4,321,000,000","2,900,000,000","2,688,000,000","2,810,000,000","3,905,000,000","2,662,000,000","2,461,000,000","2,567,000,000","3,605,000,000","2,519,000,000","2,396,000,000","2,242,000,000","3,245,000,000","2,256,000,000","1,980,000,000","1,816,749,000","2,523,740,000","1,334,616,000","1,031,105,000","1,035,681,000","1,437,655,000","989,157,000","905,776,000","959,102,000","1,489,918,000","1,079,125,000","1,007,606,000","850,326,000","1,228,211,000","875,127,000","824,900,000","783,900,000","1,169,100,000","796,100,000","748,300,000","728,600,000","1,061,500,000","661,400,000","557,800,000","524,400,000","805,400,000","596,600,000","521,100,000","475,000,000","772,000,000","516,800,000","448,800,000","453,000,000","672,600,000","452,800,000","419,800,000","410,500,000","600,800,000","409,400,000","385,300,000","325,700,000","529,300,000","378,200,000","323,600,000","310,900,000","487,800,000","346,000,000","328,800,000","305,600,000","499,200,000","307,000,000","292,900,000","296,500,000","482,900,000","352,500,000","259,400,000","226,100,000","405,200,000","284,700,000","231,800,000","130,400,000","157,600,000","158,700,000","152,900,000","125,900,000","160,100,000","156,700,000","121,400,000","105,200,000","105,200,000","105,200,000","105,200,000"
CostOfRevenue,"6,150,000,000","2,030,000,000","1,823,000,000","1,616,000,000","681,000,000","535,000,000","689,000,000","1,549,000,000","2,484,000,000","3,523,000,000","3,076,000,000","3,532,000,000","3,159,000,000","3,142,000,000","2,741,000,000","2,958,000,000","2,681,000,000","2,709,000,000","2,617,000,000","3,013,000,000","2,436,000,000","2,435,000,000","2,319,000,000","2,563,000,000","2,258,000,000","2,243,000,000","2,218,000,000","2,490,000,000","2,404,000,000","2,335,000,000","2,497,000,000","2,754,000,000","2,565,000,000","2,588,000,000","2,621,000,000","2,917,000,000","2,487,000,000","2,599,000,000","2,551,000,000","2,597,000,000","2,478,000,000","2,694,000,000","2,569,000,000","2,814,000,000","2,521,000,000","2,395,000,000","7,113,000,000","776,000,000","2,093,000,000","2,099,000,000","2,143,000,000","2,226,000,000","1,885,000,000","1,850,000,000","2,132,000,000","2,634,000,000","2,159,000,000","2,114,000,000","1,985,000,000","2,189,000,000","1,763,000,000","1,691,000,000","1,680,000,000","1,975,000,000","1,620,000,000","1,487,000,000","1,533,000,000","1,790,000,000","1,470,000,000","1,423,000,000","1,341,000,000","1,569,000,000","1,329,000,000","1,216,000,000","1,090,934,000","1,279,645,000","819,981,000","615,194,000","578,056,000","682,243,000","533,455,000","518,165,000","2,424,706,000","820,767,000","22,961,000","21,063,000","2,053,981,000","614,724,000","497,121,000","11,437,000","434,336,000","579,700,000","432,400,000","416,100,000","409,077,000","540,300,000","362,400,000","307,600,000","299,969,000","388,100,000","337,700,000","296,900,000","278,869,000","396,200,000","302,500,000","263,700,000","265,813,000","352,100,000","265,900,000","247,200,000","237,775,000","314,500,000","245,800,000","230,300,000","195,100,000","281,100,000","232,500,000","199,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"-2,645,000,000","-407,000,000","-536,000,000","-1,070,000,000","-632,000,000","-509,000,000","-656,000,000","-1,518,000,000","-1,744,000,000","1,267,000,000","1,705,000,000","3,000,000,000","1,679,000,000","1,532,000,000","1,715,000,000","2,878,000,000","1,676,000,000","1,523,000,000","1,642,000,000","2,502,000,000","1,509,000,000","1,356,000,000","1,616,000,000","2,534,000,000","1,447,000,000","1,408,000,000","1,493,000,000","2,393,000,000","1,186,000,000","1,196,000,000","1,222,000,000","2,193,000,000","1,068,000,000","997,000,000","1,037,000,000","1,809,000,000","992,000,000","994,000,000","1,027,000,000","2,087,000,000","1,060,000,000","888,000,000","1,128,000,000","2,244,000,000","1,099,000,000","1,024,000,000","-3,360,000,000","3,650,000,000","1,102,000,000","996,000,000","1,063,000,000","1,913,000,000","1,063,000,000","1,014,000,000","1,170,000,000","2,180,000,000","1,219,000,000","1,038,000,000","1,139,000,000","2,132,000,000","1,137,000,000","997,000,000","1,130,000,000","1,930,000,000","1,042,000,000","974,000,000","1,034,000,000","1,815,000,000","1,049,000,000","973,000,000","901,000,000","1,676,000,000","927,000,000","764,000,000","725,815,000","1,244,095,000","514,635,000","415,911,000","457,625,000","755,412,000","455,702,000","387,611,000","-1,465,604,000","669,151,000","1,056,164,000","986,543,000","-1,203,655,000","613,487,000","378,006,000","813,441,000","349,534,000","589,400,000","363,700,000","332,200,000","319,529,000","521,200,000","299,000,000","250,200,000","224,399,000","417,300,000","258,900,000","224,200,000","196,103,000","375,800,000","214,300,000","185,100,000","187,137,000","320,500,000","186,900,000","172,600,000","172,741,000","286,300,000","163,600,000","155,000,000","130,600,000","248,200,000","145,700,000","124,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"4,188,000,000","1,084,000,000","1,132,000,000","987,000,000","984,000,000","1,014,000,000","986,000,000","816,000,000","1,069,000,000","1,248,000,000","1,220,000,000","1,111,000,000","1,163,000,000","1,145,000,000","1,163,000,000","1,084,000,000","1,117,000,000","1,104,000,000","1,094,000,000","1,020,000,000","1,009,000,000","988,000,000","1,019,000,000","972,000,000","969,000,000","974,000,000","983,000,000","883,000,000","897,000,000","930,000,000","955,000,000","895,000,000","913,000,000","925,000,000","934,000,000","845,000,000","840,000,000","849,000,000","851,000,000","792,000,000","807,000,000","797,000,000","820,000,000","811,000,000","820,000,000","789,000,000","-3,701,000,000","2,248,000,000","753,000,000","741,000,000","769,000,000","717,000,000","710,000,000","703,000,000","720,000,000","695,000,000","737,000,000","726,000,000","716,000,000","642,000,000","678,000,000","644,000,000","654,000,000","590,000,000","594,000,000","597,000,000","586,000,000","524,000,000","567,000,000","555,000,000","554,000,000","516,000,000","522,000,000","504,000,000","451,698,000","435,364,000","346,793,000","283,601,000","270,213,000","246,988,000","235,291,000","241,799,000","-1,668,154,000","142,416,000","848,257,000","847,602,000","-1,374,390,000","809,301,000","686,236,000","653,923,000","-1,243,507,000","752,700,000","596,800,000","584,800,000","-1,049,463,000","696,500,000","493,700,000","429,400,000","-906,480,000","496,800,000","456,400,000","417,100,000","-859,358,000","504,900,000","406,600,000","367,800,000","-771,001,000","448,400,000","356,500,000","342,900,000","91,867,000","81,300,000","77,800,000","83,000,000","76,800,000","76,300,000","75,500,000","72,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,953,000,000","530,000,000","580,000,000","425,000,000","417,000,000","462,000,000","443,000,000","265,000,000","492,000,000","678,000,000","667,000,000","563,000,000","621,000,000","629,000,000","656,000,000","573,000,000","605,000,000","616,000,000","616,000,000","547,000,000","553,000,000","549,000,000","584,000,000","529,000,000","532,000,000","551,000,000","563,000,000","484,000,000","491,000,000","529,000,000","547,000,000","481,000,000","504,000,000","521,000,000","532,000,000","439,000,000","449,000,000","460,000,000","459,000,000","409,000,000","431,000,000","421,000,000","435,000,000","421,000,000","440,000,000","422,000,000","433,000,000","381,000,000","404,000,000","396,000,000","424,000,000","381,000,000","393,000,000","392,000,000","407,000,000","372,000,000","425,000,000","425,000,000","426,000,000","363,000,000","406,000,000","384,000,000","393,000,000","335,000,000","354,000,000","365,000,000","356,000,000","298,000,000","342,000,000","334,000,000","341,000,000","306,000,000","322,000,000","316,000,000","283,688,000","259,582,000","212,068,000","177,118,000","169,301,000","147,900,000","142,702,000","152,045,000","161,412,000","146,797,000","154,564,000","155,891,000","126,368,000","119,329,000","120,827,000","120,879,000","121,035,000","109,900,000","105,500,000","110,800,000","106,869,000","98,800,000","85,000,000","78,800,000","74,833,000","65,500,000","76,700,000","79,500,000","65,655,000","69,000,000","69,000,000","71,300,000","60,666,000","63,600,000","60,100,000","64,200,000","61,772,000","53,500,000","51,600,000","56,500,000","52,700,000","52,700,000","52,200,000","50,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,235,000,000","554,000,000","552,000,000","562,000,000","567,000,000","552,000,000","543,000,000","551,000,000","577,000,000","570,000,000","553,000,000","548,000,000","542,000,000","516,000,000","507,000,000","511,000,000","512,000,000","488,000,000","478,000,000","473,000,000","456,000,000","439,000,000","435,000,000","443,000,000","437,000,000","423,000,000","420,000,000","399,000,000","406,000,000","401,000,000","408,000,000","414,000,000","409,000,000","404,000,000","402,000,000","406,000,000","391,000,000","389,000,000","392,000,000","383,000,000","376,000,000","376,000,000","385,000,000","390,000,000","380,000,000","367,000,000","367,000,000","355,000,000","349,000,000","345,000,000","345,000,000","336,000,000","317,000,000","311,000,000","313,000,000","323,000,000","312,000,000","301,000,000","290,000,000","279,000,000","272,000,000","260,000,000","261,000,000","255,000,000","240,000,000","232,000,000","230,000,000","226,000,000","225,000,000","221,000,000","213,000,000","210,000,000","200,000,000","188,000,000","168,010,000","175,782,000","134,725,000","106,483,000","100,912,000","99,088,000","92,589,000","89,754,000","91,266,000","97,008,000","92,359,000","91,591,000","76,527,000","75,248,000","68,288,000","67,604,000","63,758,000","63,100,000","58,900,000","57,900,000","53,968,000","57,400,000","46,300,000","43,000,000","41,387,000","43,200,000","42,000,000","40,700,000","37,387,000","39,700,000","35,100,000","32,800,000","33,633,000","32,700,000","30,500,000","31,500,000","30,095,000","27,800,000","26,200,000","26,500,000","24,100,000","23,600,000","23,300,000","22,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,235,000,000","554,000,000","552,000,000","562,000,000","567,000,000","552,000,000","543,000,000","551,000,000","577,000,000","570,000,000","553,000,000","548,000,000","542,000,000","516,000,000","507,000,000","511,000,000","512,000,000","488,000,000","478,000,000","473,000,000","456,000,000","439,000,000","435,000,000","443,000,000","437,000,000","423,000,000","420,000,000","399,000,000","406,000,000","401,000,000","408,000,000","414,000,000","409,000,000","404,000,000","402,000,000","406,000,000","391,000,000","389,000,000","392,000,000","383,000,000","376,000,000","376,000,000","385,000,000","390,000,000","380,000,000","367,000,000","367,000,000","355,000,000","349,000,000","345,000,000","345,000,000","336,000,000","317,000,000","311,000,000","313,000,000","323,000,000","312,000,000","301,000,000","290,000,000","279,000,000","272,000,000","260,000,000","261,000,000","255,000,000","240,000,000","232,000,000","230,000,000","226,000,000","225,000,000","221,000,000","213,000,000","210,000,000","200,000,000","188,000,000","168,010,000","175,782,000","134,725,000","106,483,000","100,912,000","99,088,000","92,589,000","89,754,000","91,266,000","97,008,000","92,359,000","91,591,000","76,527,000","75,248,000","68,288,000","67,604,000","63,758,000","63,100,000","58,900,000","57,900,000","53,968,000","57,400,000","46,300,000","43,000,000","41,387,000","43,200,000","42,000,000","40,700,000","37,387,000","39,700,000","35,100,000","32,800,000","33,633,000","32,700,000","30,500,000","31,500,000","30,095,000","27,800,000","26,200,000","26,500,000","24,100,000","23,600,000","23,300,000","22,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"323,000,000","312,000,000","301,000,000","290,000,000","279,000,000","272,000,000","260,000,000","261,000,000","255,000,000","240,000,000","232,000,000","230,000,000","226,000,000","225,000,000","221,000,000","213,000,000","210,000,000","200,000,000","188,000,000","168,010,000","175,782,000","134,725,000","106,483,000","100,912,000","99,088,000","92,589,000","89,754,000","91,266,000","97,008,000","92,359,000","91,591,000","76,527,000","75,248,000","68,288,000","67,604,000","63,758,000","63,100,000","58,900,000","57,900,000","53,968,000","57,400,000","46,300,000","43,000,000","41,387,000","43,200,000","42,000,000","40,700,000","37,387,000","39,700,000","35,100,000","32,800,000","33,633,000","32,700,000","30,500,000","31,500,000","30,095,000","27,800,000","26,200,000","26,500,000","24,100,000","23,600,000","23,300,000","22,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,512,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-101,389,000","601,334,000","600,120,000",,"614,724,000","497,121,000","465,440,000",,"579,700,000","432,400,000","416,100,000",,"540,300,000","362,400,000","307,600,000",,"388,100,000","337,700,000","296,900,000",,"396,200,000","302,500,000","263,700,000",,"352,100,000","265,900,000","247,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"-6,833,000,000","-1,491,000,000","-1,668,000,000","-2,057,000,000","-1,616,000,000","-1,523,000,000","-1,642,000,000","-2,334,000,000","-2,813,000,000","19,000,000","485,000,000","1,889,000,000","516,000,000","387,000,000","552,000,000","1,794,000,000","559,000,000","419,000,000","548,000,000","1,482,000,000","500,000,000","368,000,000","597,000,000","1,562,000,000","478,000,000","434,000,000","510,000,000","1,510,000,000","289,000,000","266,000,000","267,000,000","1,298,000,000","155,000,000","72,000,000","103,000,000","964,000,000","152,000,000","145,000,000","176,000,000","1,295,000,000","253,000,000","91,000,000","308,000,000","1,433,000,000","279,000,000","235,000,000","341,000,000","1,402,000,000","349,000,000","255,000,000","294,000,000","1,196,000,000","353,000,000","311,000,000","450,000,000","1,485,000,000","482,000,000","312,000,000","423,000,000","1,490,000,000","459,000,000","353,000,000","476,000,000","1,340,000,000","448,000,000","377,000,000","448,000,000","1,291,000,000","482,000,000","418,000,000","347,000,000","1,160,000,000","405,000,000","260,000,000","274,117,000","808,731,000","167,842,000","132,310,000","187,412,000","508,424,000","220,411,000","145,812,000","202,550,000","526,735,000","207,907,000","138,941,000","170,735,000","-195,814,000","-308,230,000","159,518,000","1,593,041,000","-163,300,000","-233,100,000","-252,600,000","1,368,992,000","-175,300,000","-194,700,000","-179,200,000","1,130,879,000","-79,500,000","-197,500,000","-192,900,000","1,055,461,000","-129,100,000","-192,300,000","-182,700,000","958,138,000","-127,900,000","-169,600,000","-170,300,000","80,874,000","205,000,000","85,800,000","72,000,000","53,800,000","171,900,000","70,200,000","51,700,000","-837,800,000","487,800,000","346,000,000","328,800,000","-783,200,000","499,200,000","307,000,000","292,900,000","-825,300,000","482,900,000","352,500,000","259,400,000","-680,800,000","405,200,000","284,700,000","231,800,000","-311,300,000","157,600,000","158,700,000","152,900,000","-286,100,000","160,100,000","156,700,000","121,400,000","-214,400,000","105,200,000","105,200,000","105,200,000"
NetNonOperatingInterestIncomeExpense,"-1,559,000,000","-365,000,000","-346,000,000","-415,000,000","-433,000,000","-395,000,000","-345,000,000","-307,000,000","-176,000,000","-50,000,000","-42,000,000","-44,000,000","-49,000,000","-47,000,000","-43,000,000","-44,000,000","-46,000,000","-45,000,000","-46,000,000","-46,000,000","-48,000,000","-49,000,000","-54,000,000","-59,000,000","-55,000,000","-50,000,000","-48,000,000","-51,000,000","-55,000,000","-55,000,000","-73,000,000","-67,000,000","-70,000,000","-70,000,000","-78,000,000","-74,000,000","-75,000,000","-81,000,000","-75,000,000","-82,000,000","-84,000,000","-85,000,000","-89,000,000","-93,000,000","-88,000,000","-84,000,000","-91,000,000","-87,000,000","-96,000,000","-92,000,000","-95,000,000","-91,000,000","-88,000,000","-92,000,000","-101,000,000","-100,000,000","-90,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"12,000,000","3,000,000","2,000,000","3,000,000","4,000,000","3,000,000","3,000,000","3,000,000","6,000,000","5,000,000","7,000,000","8,000,000","5,000,000","4,000,000","4,000,000","5,000,000","3,000,000","3,000,000","2,000,000","3,000,000","2,000,000","2,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","4,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","3,000,000","3,000,000","4,000,000","4,000,000","4,000,000","2,000,000","4,000,000","5,000,000","8,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,571,000,000","368,000,000","348,000,000","418,000,000","437,000,000","398,000,000","348,000,000","310,000,000","182,000,000","55,000,000","49,000,000","52,000,000","54,000,000","51,000,000","47,000,000","49,000,000","49,000,000","48,000,000","48,000,000","49,000,000","50,000,000","51,000,000","55,000,000","61,000,000","57,000,000","52,000,000","50,000,000","53,000,000","57,000,000","57,000,000","75,000,000","69,000,000","72,000,000","72,000,000","82,000,000","76,000,000","78,000,000","83,000,000","77,000,000","84,000,000","87,000,000","88,000,000","92,000,000","96,000,000","91,000,000","86,000,000","93,000,000","90,000,000","99,000,000","96,000,000","99,000,000","95,000,000","90,000,000","96,000,000","106,000,000","108,000,000","102,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-1,041,000,000","-32,000,000","-610,000,000","-387,000,000","-11,000,000","-61,000,000","-251,000,000","-221,000,000","-1,396,000,000","-738,000,000","-5,000,000","-19,000,000","-7,000,000","-2,000,000","-1,000,000","-5,000,000","51,000,000","17,000,000","58,000,000","-68,000,000","-68,000,000","35,000,000","70,000,000","-38,000,000","184,000,000","-241,000,000","-191,000,000","-209,000,000","-8,000,000","-159,000,000","-289,000,000","16,000,000","22,000,000","-16,000,000","32,000,000","45,000,000","-36,000,000","-25,000,000","-8,000,000","123,000,000","-155,000,000","-147,000,000","-10,000,000","2,000,000","13,000,000","6,000,000","5,000,000","-2,000,000","-2,000,000","-3,000,000","2,000,000","-8,000,000","5,000,000","19,000,000","21,000,000",,"4,000,000","2,000,000",,"1,000,000","-1,000,000",,"9,000,000","-1,000,000","-1,000,000","-14,000,000","6,000,000","-23,000,000","3,000,000","7,000,000","4,000,000","-2,000,000","-7,000,000",,"-506,000","4,934,000","-11,156,000","14,729,000","21,261,000","10,552,000","-5,951,000","6,620,000","-23,542,000","-8,256,000","3,294,000","17,103,000","-3,781,000",,"9,349,000","8,897,000","-9,135,000","20,800,000","3,700,000","-2,900,000","-16,224,000","16,800,000","200,000","-14,000,000","1,136,000","13,900,000","-2,200,000","-7,400,000","-13,386,000","31,500,000","4,500,000","800,000","-9,170,000","13,700,000","3,800,000","1,400,000","-16,099,000","-6,800,000","1,900,000","2,000,000","1,700,000","3,100,000","2,700,000","2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,"-2,000,000","4,000,000","41,000,000","16,000,000","54,000,000","7,000,000","-53,000,000","27,000,000","55,000,000","-36,000,000","171,000,000","-236,000,000","-198,000,000","-197,000,000","-13,000,000","-169,000,000","-281,000,000","15,000,000","11,000,000","-16,000,000","31,000,000","64,000,000","-31,000,000","-28,000,000","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-898,000,000","0","-524,000,000","-376,000,000","0","0","0","0","-1,364,000,000","-731,000,000",,,,,"0","0",,,"0","-89,000,000",,,,,,,,,,,"0","0",,,"0","-13,000,000","0","0","6,000,000","123,000,000","-155,000,000","-147,000,000","-10,000,000","2,000,000","13,000,000","6,000,000",,"-2,000,000","-2,000,000","-3,000,000","2,000,000","-8,000,000","5,000,000","19,000,000","21,000,000","0","4,000,000","2,000,000","-1,000,000","1,000,000","-1,000,000","0","9,000,000","-1,000,000","-1,000,000","-14,000,000","6,000,000","-23,000,000","3,000,000","7,000,000","4,000,000","-2,000,000","-7,000,000","0","-506,000","4,934,000","-11,156,000","14,729,000","21,261,000","10,552,000","-5,951,000","6,620,000","-23,542,000","-8,256,000","3,294,000","17,103,000","-3,781,000","0","9,349,000","8,897,000","-9,135,000","20,800,000","3,700,000","-2,900,000","-16,224,000","16,800,000","200,000","-14,000,000","1,136,000","13,900,000","-2,200,000","-7,400,000","-13,386,000","31,500,000","4,500,000","800,000","-9,170,000","13,700,000","3,800,000","1,400,000","-16,099,000","-6,800,000","1,900,000","2,000,000","1,700,000","3,100,000","2,700,000","2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,"226,000,000","0","0","0","0","0","1,364,000,000","731,000,000",,,,,"0","0",,,"0","89,000,000",,,,,,,,,,,"0","0",,,"0","13,000,000","0","0","0","0","0","173,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"298,000,000","376,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-123,000,000","155,000,000","-26,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-143,000,000","-32,000,000","-86,000,000","-11,000,000","-11,000,000","-61,000,000","-251,000,000","-221,000,000","-32,000,000","-7,000,000","-5,000,000","-19,000,000","-7,000,000","-2,000,000","1,000,000","-9,000,000","10,000,000","1,000,000","4,000,000","14,000,000","-15,000,000","8,000,000","15,000,000","-2,000,000","13,000,000","-5,000,000","7,000,000","-12,000,000","5,000,000","10,000,000","-8,000,000","1,000,000","11,000,000",,"1,000,000","-6,000,000","-5,000,000","3,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
