name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990
TotalRevenue,"30,361,600,000","8,050,400,000","8,146,700,000","7,496,500,000","6,668,000,000","6,749,400,000","6,203,100,000","4,222,100,000","5,995,700,000","7,097,100,000","6,747,000,000","6,823,000,000","6,305,900,000","6,632,700,000","6,303,600,000","6,310,300,000","6,031,800,000","6,073,700,000","5,698,300,000","5,661,500,000","5,294,000,000","5,732,900,000","5,711,200,000","5,238,000,000","4,993,200,000","5,373,500,000","4,914,800,000","4,881,200,000","4,563,500,000","4,803,200,000","4,180,700,000","4,153,700,000","3,873,800,000","4,239,600,000","3,795,000,000","3,741,700,000","3,555,900,000","3,799,600,000","3,364,100,000","3,303,600,000","3,195,900,000","3,435,900,000","3,031,700,000","2,932,200,000","2,785,700,000","2,950,800,000","2,838,000,000","2,612,000,000","2,534,700,000","2,722,700,000","2,422,200,000","2,403,900,000","2,333,300,000","2,615,200,000","2,515,400,000","2,574,000,000","2,526,000,000","2,767,600,000","2,440,935,000","2,359,245,000","2,255,594,000","2,355,723,000","2,003,355,000","1,963,673,000","1,885,822,000","1,934,092,000","1,659,241,000","1,601,799,000","1,518,716,000","1,589,544,000","1,453,297,000","1,318,691,000","1,241,068,000","1,281,191,000","1,081,014,000","1,036,776,000","954,206,000","1,003,526,000","865,198,000","835,158,000","783,217,000","805,335,000","689,536,000","662,769,000","629,288,000","667,387,000","581,992,000","555,546,000","504,698,000","527,000,000","474,800,000","423,800,000","375,800,000","405,600,000","357,700,000","334,400,000","289,600,000","317,000,000","270,700,000","242,200,000","214,900,000","239,100,000","196,400,000","177,000,000","153,600,000","169,500,000","129,400,000","119,200,000","101,100,000","115,500,000","80,300,000","73,000,000","57,400,000","66,000,000","50,300,000","40,600,000","34,000,000","38,600,000","26,900,000","23,500,000","21,400,000","21,400,000","14,400,000","14,400,000","14,400,000","14,400,000"
	OperatingRevenue,"28,523,500,000","7,573,200,000","7,658,800,000","7,043,300,000","6,248,100,000","6,340,300,000","5,718,300,000","3,744,900,000","5,455,800,000","6,572,700,000","6,214,800,000","6,260,000,000","5,837,200,000","6,107,400,000","3,926,600,000","6,310,300,000","6,031,800,000","6,073,700,000","5,698,300,000","5,661,500,000","5,294,000,000","5,732,900,000","5,711,200,000","5,238,000,000","4,993,200,000","5,373,500,000","4,914,800,000","4,881,200,000","4,563,500,000","4,803,200,000","4,180,700,000","4,153,700,000","3,873,800,000","4,239,600,000","3,795,000,000","3,741,700,000","3,555,900,000","3,799,600,000","3,364,100,000","3,303,600,000","3,195,900,000","3,435,900,000","3,031,700,000","2,932,200,000","2,785,700,000","2,950,800,000","2,838,000,000","2,612,000,000","2,534,700,000","2,722,700,000","3,622,800,000","2,013,800,000","2,333,300,000","2,615,200,000","2,515,400,000","2,574,000,000","2,526,000,000","2,767,600,000","2,440,935,000","2,359,245,000","2,255,594,000","2,355,723,000","2,003,355,000","1,963,673,000","1,885,822,000","1,934,092,000","1,659,241,000","1,601,799,000","1,518,716,000","1,589,544,000","1,453,297,000","1,318,691,000","1,241,068,000","1,281,191,000","1,081,014,000","1,036,776,000","954,206,000","1,003,526,000","865,198,000","835,158,000","783,217,000","805,335,000","689,536,000","662,769,000","629,288,000","667,387,000","581,992,000","555,546,000","504,698,000","527,000,000","474,800,000","423,800,000","375,800,000","405,600,000","357,700,000","334,400,000","289,600,000","317,000,000","270,700,000","242,200,000","214,900,000","239,100,000","196,400,000","177,000,000","153,600,000","169,500,000","129,400,000","119,200,000","101,100,000","115,500,000","80,300,000","73,000,000","57,400,000","66,000,000","50,300,000","40,600,000","34,000,000","38,600,000","26,900,000","23,500,000","21,400,000","21,400,000","14,400,000","14,400,000","14,400,000","14,400,000"
CostOfRevenue,"21,680,100,000","5,926,900,000","5,764,500,000","5,172,900,000","4,815,700,000","4,916,400,000","4,660,000,000","4,021,800,000","4,719,100,000","5,057,900,000","4,888,200,000","4,827,100,000","4,553,400,000","4,751,700,000","4,442,400,000","4,379,900,000","4,305,600,000","4,239,900,000","3,992,700,000","3,878,000,000","3,727,600,000","3,933,200,000","3,816,500,000","3,589,700,000","3,476,700,000","3,692,400,000","3,361,200,000","3,346,300,000","3,184,400,000","3,306,700,000","2,875,200,000","2,888,000,000","2,763,700,000","2,970,200,000","2,707,600,000","2,681,700,000","2,568,800,000","2,710,200,000","1,459,200,000","1,446,100,000","1,411,900,000","1,496,100,000","1,322,400,000","1,246,100,000","1,180,100,000","1,200,800,000","1,172,600,000","1,076,200,000","1,064,100,000","1,145,700,000","1,041,200,000","1,043,400,000","1,863,100,000","1,196,800,000","4,934,600,000","1,163,100,000","2,116,600,000","1,186,000,000","1,684,693,000","1,899,600,000","1,801,392,000","1,829,328,000","1,616,578,000","1,560,969,000","1,489,794,000","1,400,204,000","1,302,771,000","1,244,303,000","1,208,031,000","1,168,761,000","1,169,351,000","1,034,436,000","936,078,000","936,471,000","-691,348,000","829,490,000","767,528,000","780,258,000","687,728,000","658,115,000","624,610,000","627,844,000","533,658,000","520,659,000","503,571,000","520,594,000","413,727,000","443,872,000","408,918,000","414,200,000","372,800,000","333,300,000","300,700,000","319,500,000","277,700,000","266,100,000","228,800,000","247,100,000","207,500,000","189,700,000","173,600,000","192,500,000","155,300,000","141,100,000","127,700,000","139,000,000","224,800,000","52,000,000","44,000,000","50,300,000","-37,500,000","58,900,000","45,000,000","29,700,000","39,700,000","33,400,000","28,200,000","30,100,000","22,100,000","18,600,000","16,400,000",,,,,
GrossProfit,"8,681,500,000","2,123,500,000","2,382,200,000","2,323,600,000","1,852,300,000","1,833,000,000","1,543,100,000","200,300,000","1,276,600,000","2,039,200,000","1,858,800,000","1,995,900,000","1,752,500,000","1,881,000,000","1,861,200,000","1,930,400,000","1,726,200,000","1,833,800,000","1,705,600,000","1,783,500,000","1,566,400,000","1,799,700,000","1,894,700,000","1,648,300,000","1,516,500,000","1,681,100,000","1,553,600,000","1,534,900,000","1,379,100,000","1,496,500,000","1,305,500,000","1,265,700,000","1,110,100,000","1,269,400,000","1,087,400,000","1,060,000,000","987,100,000","1,089,400,000","1,904,900,000","1,857,500,000","1,784,000,000","1,939,800,000","1,709,300,000","1,686,100,000","1,605,600,000","1,750,000,000","1,665,400,000","1,535,800,000","1,470,600,000","1,577,000,000","1,381,000,000","1,360,500,000","470,200,000","1,418,400,000","-2,419,200,000","1,410,900,000","409,400,000","1,581,600,000","756,242,000","459,645,000","454,202,000","526,395,000","386,777,000","402,704,000","396,028,000","533,888,000","356,470,000","357,496,000","310,685,000","420,783,000","283,946,000","284,255,000","304,990,000","344,720,000","1,772,362,000","207,286,000","186,678,000","223,268,000","177,470,000","177,043,000","158,607,000","177,491,000","155,878,000","142,110,000","125,717,000","146,793,000","168,265,000","111,674,000","95,780,000","112,800,000","102,000,000","90,500,000","75,100,000","86,100,000","80,000,000","68,300,000","60,800,000","69,900,000","63,200,000","52,500,000","41,300,000","46,600,000","41,100,000","35,900,000","25,900,000","30,500,000","-95,400,000","67,200,000","57,100,000","65,200,000","117,800,000","14,100,000","12,400,000","36,300,000","10,600,000","7,200,000","5,800,000","8,500,000","4,800,000","4,900,000","5,000,000",,,,,
OperatingExpense,"3,797,300,000","993,500,000","964,600,000","920,600,000","918,800,000","930,000,000","902,000,000","894,500,000","857,800,000","887,000,000","855,500,000","912,900,000","914,100,000","889,900,000","947,300,000","946,700,000","871,700,000","779,500,000","771,600,000","720,100,000","715,100,000","751,500,000","773,200,000","708,500,000","717,900,000","687,200,000","666,100,000","656,600,000","656,500,000","633,800,000","535,100,000","570,100,000","525,900,000","527,200,000","499,600,000","508,200,000","495,500,000","513,300,000","1,765,200,000","1,311,700,000","1,405,800,000","1,428,700,000","1,644,300,000","1,225,800,000","1,267,800,000","1,282,600,000","1,307,700,000","1,224,000,000","1,157,300,000","1,235,500,000","1,171,900,000","1,134,600,000","302,400,000","1,225,200,000","-2,532,600,000","1,264,800,000","231,200,000","1,248,500,000","508,209,000","214,431,000","213,228,000","206,671,000","189,139,000","188,131,000","194,134,000","254,007,000","160,074,000","157,864,000","153,332,000","193,549,000","127,677,000","130,448,000","180,469,000","169,200,000","1,660,166,000","101,172,000","101,153,000","100,823,000","87,880,000","89,334,000","109,827,000","170,906,000","-640,176,000","320,112,000","81,030,000","75,541,000","68,304,000","61,707,000","60,573,000","58,100,000","51,500,000","52,400,000","48,400,000","45,000,000","42,500,000","42,400,000","38,300,000","35,300,000","33,100,000","29,500,000","27,300,000","25,400,000","22,200,000","21,300,000","18,300,000","14,800,000","-103,900,000","56,800,000","50,100,000","51,000,000","110,600,000","8,400,000","9,100,000","28,200,000","6,800,000","4,500,000","4,100,000","3,700,000","3,200,000","3,600,000","3,200,000",,,,,
	SellingGeneralAndAdministration,"1,986,300,000","525,800,000","501,200,000","494,900,000","464,400,000","472,100,000","439,000,000","399,900,000","406,500,000","434,200,000","404,900,000","480,200,000","475,600,000","463,300,000","505,400,000","468,700,000","405,800,000","379,100,000","385,100,000","325,000,000","326,800,000","356,400,000","401,200,000","323,400,000","330,500,000","305,500,000","303,900,000","288,500,000","305,900,000","298,400,000","238,700,000","269,400,000","240,600,000","242,600,000","226,200,000","249,600,000","230,300,000","231,900,000","1,193,600,000","1,175,000,000","1,163,400,000","1,187,200,000","1,105,100,000","1,096,300,000","1,037,700,000","1,062,300,000","1,099,300,000","1,021,600,000","967,000,000","1,033,000,000","980,700,000","931,700,000","104,300,000","1,114,400,000","-2,634,300,000","1,154,000,000","117,600,000","1,138,900,000","422,528,000","119,525,000","126,104,000","115,228,000","114,829,000","115,258,000","119,611,000","182,473,000","100,949,000","90,637,000","81,929,000","127,880,000","80,537,000","73,357,000","120,784,000","113,749,000","1,614,700,000","49,325,000","49,796,000","51,649,000","46,721,000","46,997,000","67,314,000","41,129,000","38,455,000","35,651,000","42,433,000","34,877,000","27,385,000","28,049,000","28,622,000","26,100,000","22,300,000","24,700,000","22,400,000","20,400,000","19,900,000","20,600,000","19,300,000","17,800,000","16,800,000","14,200,000","13,200,000","12,900,000","10,900,000","10,000,000","9,700,000","6,600,000","-113,200,000","50,900,000","44,800,000","46,100,000","107,800,000","5,000,000","4,400,000","25,900,000","4,300,000","3,000,000","2,800,000","2,400,000","2,600,000","2,100,000","2,200,000",,,,,
		GeneralAndAdministrativeExpense,"1,986,300,000","525,800,000","501,200,000","494,900,000","464,400,000","472,100,000","439,000,000","399,900,000","406,500,000","434,200,000","404,900,000","480,200,000","475,600,000","463,300,000","505,400,000","468,700,000","405,800,000","379,100,000","385,100,000","325,000,000","326,800,000","356,400,000","401,200,000","323,400,000","330,500,000","305,500,000","303,900,000","288,500,000","305,900,000","298,400,000","238,700,000","269,400,000","240,600,000","242,600,000","226,200,000","249,600,000","230,300,000","231,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,986,300,000","525,800,000","501,200,000","494,900,000","464,400,000","472,100,000","439,000,000","399,900,000","406,500,000","434,200,000","404,900,000","480,200,000","475,600,000","463,300,000","505,400,000","468,700,000","405,800,000","379,100,000","385,100,000","325,000,000","326,800,000","356,400,000","401,200,000","323,400,000","330,500,000","305,500,000","303,900,000","288,500,000","305,900,000","298,400,000","238,700,000","269,400,000","240,600,000","242,600,000","226,200,000","249,600,000","230,300,000","231,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,441,600,000","366,000,000","354,700,000","354,300,000","366,700,000","366,100,000","363,000,000","361,000,000","356,300,000","351,000,000","344,800,000","343,100,000","356,200,000","333,400,000","326,600,000","330,000,000","331,600,000","258,800,000","255,400,000","252,600,000","253,600,000","249,700,000","249,900,000","247,600,000","247,800,000","235,500,000","234,300,000","236,500,000","217,100,000","206,000,000","185,400,000","180,100,000","174,400,000","169,700,000","166,100,000","153,300,000","153,100,000","148,900,000","141,700,000","136,700,000","137,100,000","134,800,000","137,200,000","129,500,000","129,000,000","127,800,000","126,100,000","125,200,000","128,500,000","130,600,000","132,600,000","133,700,000","134,100,000","134,300,000","138,200,000","139,800,000","138,100,000","133,200,000","124,170,000","119,409,000","113,385,000","110,196,000","102,876,000","98,539,000","94,508,000","91,288,000","88,475,000","85,363,000","87,772,000","78,559,000","71,645,000","70,550,000","71,966,000","65,863,000","62,697,000","59,764,000","57,961,000","57,385,000","54,411,000","50,873,000","49,972,000","50,301,000","45,458,000","41,884,000","38,597,000","40,664,000","40,919,000","33,658,000","31,951,000","32,000,000","29,200,000","27,700,000","26,000,000","24,600,000","22,600,000","21,800,000","19,000,000","17,500,000","16,300,000","15,300,000","14,100,000","12,500,000","11,300,000","11,300,000","8,600,000","8,200,000","9,300,000","5,900,000","5,300,000","4,900,000","2,800,000","3,400,000","4,700,000","2,300,000","2,500,000","1,500,000","1,300,000","1,300,000","600,000","1,500,000","1,000,000",,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,441,600,000","366,000,000","354,700,000","354,300,000","366,700,000","366,100,000","363,000,000","361,000,000","356,300,000","351,000,000","344,800,000","343,100,000","356,200,000","333,400,000","326,600,000","330,000,000","331,600,000","258,800,000","255,400,000","252,600,000","253,600,000","249,700,000","249,900,000","247,600,000","247,800,000","235,500,000","234,300,000","236,500,000","217,100,000","206,000,000","185,400,000","180,100,000","174,400,000","169,700,000","166,100,000","153,300,000","153,100,000","148,900,000","141,700,000","136,700,000","137,100,000","134,800,000","137,200,000","129,500,000","129,000,000","127,800,000","126,100,000","125,200,000","128,500,000","130,600,000","132,600,000","133,700,000","134,100,000","134,300,000","138,200,000","139,800,000","138,100,000","133,200,000","124,170,000","119,409,000","113,385,000","110,196,000","102,876,000","98,539,000","94,508,000","91,288,000","88,475,000","85,363,000","87,772,000","78,559,000","71,645,000","70,550,000","71,966,000","65,863,000","62,697,000","59,764,000","57,961,000","57,385,000","54,411,000","50,873,000","49,972,000","50,301,000","45,458,000","41,884,000","38,597,000","40,664,000","40,919,000","33,658,000","31,951,000","32,000,000","29,200,000","27,700,000","26,000,000","24,600,000","22,600,000","21,800,000","19,000,000","17,500,000","16,300,000","15,300,000","14,100,000","12,500,000","11,300,000","11,300,000","8,600,000","8,200,000","9,300,000","5,900,000","5,300,000","4,900,000","2,800,000","3,400,000","4,700,000","2,300,000","2,500,000","1,500,000","1,300,000","1,300,000","600,000","1,500,000","1,000,000",,,,,
	OtherOperatingExpenses,"369,400,000","101,700,000","108,700,000","71,400,000","87,700,000","91,800,000","100,000,000","133,600,000","95,000,000","101,800,000","105,800,000","89,600,000","82,300,000","93,200,000","115,300,000","148,000,000","134,300,000","141,600,000","131,100,000","142,500,000","134,700,000","145,400,000","122,100,000","137,500,000","139,600,000","146,200,000","127,900,000","131,600,000","133,500,000","129,400,000","111,000,000","120,600,000","110,900,000","114,900,000","107,300,000","105,300,000","112,100,000","132,500,000","112,000,000","105,900,000","105,300,000","106,700,000",,"102,400,000","101,100,000","92,500,000","82,300,000","77,200,000","61,800,000","71,900,000","58,600,000","69,200,000","64,000,000","-23,500,000","-36,500,000","-29,000,000","-24,500,000","-23,600,000","-38,489,000","-24,503,000","-26,261,000","-18,753,000","-28,566,000","-25,666,000","-19,985,000","-19,754,000","-29,350,000","-18,136,000","-16,369,000","-12,890,000","-24,505,000","-13,459,000","-12,281,000","-10,412,000","-17,231,000","-7,917,000","-6,604,000","-8,211,000","-13,252,000","-8,536,000","-7,459,000","79,476,000","-724,089,000","242,577,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"4,884,200,000","1,130,000,000","1,417,600,000","1,403,000,000","933,500,000","903,000,000","641,100,000","-694,200,000","418,800,000","1,152,200,000","1,003,300,000","1,083,000,000","838,400,000","991,100,000","913,900,000","983,700,000","854,500,000","1,054,300,000","934,000,000","1,063,400,000","851,300,000","1,048,200,000","1,121,500,000","939,800,000","798,600,000","993,900,000","887,500,000","878,300,000","722,600,000","862,700,000","770,400,000","695,600,000","584,200,000","742,200,000","587,800,000","551,800,000","491,600,000","576,100,000","139,700,000","545,800,000","378,200,000","511,100,000","65,000,000","460,300,000","337,800,000","467,400,000","357,700,000","311,800,000","313,300,000","341,500,000","209,100,000","225,900,000","167,800,000","193,200,000","113,400,000","146,100,000","178,200,000","333,100,000","248,033,000","245,214,000","240,974,000","319,724,000","197,638,000","214,573,000","201,894,000","279,881,000","196,396,000","199,632,000","157,353,000","227,234,000","156,269,000","153,807,000","124,521,000","175,520,000","112,196,000","106,114,000","85,525,000","122,445,000","89,590,000","87,709,000","48,780,000","6,585,000","796,054,000","-178,002,000","44,687,000","71,252,000","99,961,000","49,967,000","35,207,000","54,700,000","50,500,000","38,100,000","26,700,000","41,100,000","37,500,000","25,900,000","22,500,000","34,600,000","30,100,000","23,000,000","14,000,000","21,200,000","18,900,000","14,600,000","7,600,000","15,700,000","8,500,000","10,400,000","7,000,000","14,200,000","7,200,000","5,700,000","3,300,000","8,100,000","3,800,000","2,700,000","1,700,000","4,800,000","1,600,000","1,300,000","1,800,000","21,400,000","-40,300,000","14,400,000","14,400,000","14,400,000"
NetNonOperatingInterestIncomeExpense,"-389,900,000","-115,400,000","-99,100,000","-77,400,000","-97,700,000","-105,200,000","-115,900,000","-108,100,000","-97,200,000","-76,000,000","-79,400,000","-46,200,000","-58,700,000","-50,200,000","-27,700,000","-13,900,000","400,000","62,300,000","129,300,000","8,200,000","45,000,000","300,000","-12,200,000","51,100,000","-3,800,000","-8,400,000","-11,800,000","6,400,000","-15,600,000","-6,600,000","69,300,000","3,000,000","1,100,000","5,300,000","63,100,000","-2,800,000","44,700,000","-9,500,000","-74,700,000","800,000","-8,800,000","14,600,000","55,800,000","7,500,000","-7,100,000","6,500,000","13,300,000","-6,500,000","-3,300,000","16,900,000","9,300,000","13,300,000","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,"21,500,000","36,000,000","17,300,000","15,500,000","9,000,000","12,700,000","2,000,000","15,900,000","16,300,000","40,200,000","15,200,000","24,800,000","36,200,000","31,500,000","35,500,000","88,200,000","151,600,000","31,700,000","67,900,000","24,100,000","12,500,000","72,900,000","14,500,000","8,100,000","6,400,000","25,500,000","1,300,000","9,700,000","85,700,000","19,400,000","17,800,000","19,800,000","72,200,000","3,500,000","50,800,000","-2,900,000","26,300,000","9,700,000","35,300,000","23,200,000","65,600,000","16,000,000",,"14,400,000","21,900,000","1,400,000","4,700,000","25,100,000","17,900,000","21,900,000","2,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"464,500,000","115,400,000","120,600,000","113,400,000","115,000,000","120,700,000","124,900,000","120,800,000","99,200,000","91,900,000","95,700,000","86,400,000","73,900,000","75,000,000","63,900,000","45,400,000","35,100,000","25,900,000","22,300,000","23,500,000","22,900,000","23,800,000","24,700,000","21,800,000","18,300,000","16,500,000","18,200,000","19,100,000","16,900,000","16,300,000","16,400,000","16,400,000","16,700,000","14,500,000","9,100,000","6,300,000","6,100,000","9,500,000","6,500,000","8,900,000","8,800,000","8,600,000","9,800,000","8,500,000","7,100,000","7,900,000","8,600,000","7,900,000","8,000,000","8,200,000","8,600,000","8,600,000","8,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"1,116,700,000","47,800,000","929,100,000","85,700,000","54,100,000","10,500,000","-82,800,000","-9,700,000","68,600,000","67,600,000","80,000,000","640,100,000","40,300,000","24,600,000","45,400,000","57,000,000","-39,300,000","1,889,300,000","88,600,000","-19,200,000","84,100,000","84,400,000","105,900,000","82,500,000","65,600,000","64,100,000","20,800,000","60,300,000","54,900,000","443,400,000","84,400,000","72,900,000","59,900,000","71,300,000","-2,703,100,000","63,400,000","52,500,000","54,500,000","263,500,000","-54,200,000","35,300,000",,,"-58,100,000","19,900,000",,"-106,500,000","15,900,000","-7,900,000","-18,300,000","-131,600,000","-21,900,000","-126,900,000","-52,000,000","-62,700,000","-138,700,000","24,500,000","23,600,000","38,489,000","24,503,000","26,261,000","18,753,000","28,566,000","25,666,000","19,985,000","19,754,000","29,350,000","18,136,000","16,369,000","12,890,000","24,505,000","13,459,000","12,281,000","10,412,000","17,231,000","7,917,000","6,604,000","8,211,000","13,252,000","8,536,000","7,459,000","19,946,000","7,971,000","6,732,000","6,167,000","4,805,000","-90,647,000","4,339,000",,,"2,200,000","2,000,000","2,400,000","2,100,000","1,800,000","-6,700,000","2,300,000","2,200,000","2,400,000","2,600,000","3,500,000","3,900,000","3,100,000","2,800,000","12,100,000","2,300,000","1,500,000","1,900,000","2,400,000","1,000,000","100,000","-3,300,000","-200,000","800,000","900,000","200,000","300,000","300,000",,"100,000",,,,,,
	EarningsFromEquityInterest,"342,900,000","40,300,000","120,000,000","105,500,000","77,100,000","82,700,000","112,200,000","68,400,000","67,900,000","73,900,000","91,900,000","76,000,000","62,300,000","67,800,000","87,700,000","71,400,000","52,700,000","89,400,000","121,900,000","101,000,000","84,100,000","84,400,000","105,900,000","82,500,000","65,600,000","64,100,000","81,900,000","60,300,000","54,900,000","52,800,000","84,400,000","72,900,000","59,900,000","51,100,000","81,000,000","63,400,000","52,500,000","54,500,000","62,000,000","51,700,000",,,,"44,300,000","38,300,000",,,"36,300,000",,,,"29,700,000","25,200,000","23,500,000","36,500,000","29,000,000","24,500,000","23,600,000","38,489,000","24,503,000","26,261,000","18,753,000","28,566,000","25,666,000","19,985,000","19,754,000","29,350,000","18,136,000","16,369,000","12,890,000","24,505,000","13,459,000",,"10,412,000","17,231,000","7,917,000","6,604,000","8,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"773,800,000","7,500,000","809,100,000","-19,800,000","-23,000,000","-72,200,000","-195,000,000","-78,100,000","700,000","-6,300,000","-11,900,000","564,100,000","-22,000,000","-43,200,000","-42,300,000","-14,400,000","-92,000,000","1,799,900,000","-33,300,000","-120,200,000",,,"0","0","0","0","-61,100,000","0","0","390,600,000","0","0","0","20,200,000","-2,784,100,000",,,,"412,300,000","-105,900,000","35,300,000",,"296,200,000","-102,400,000","19,900,000","0","-6,400,000","-20,400,000","-7,900,000","-18,300,000","-53,200,000","-51,600,000","-152,100,000","-75,500,000","-99,200,000","-167,700,000",,,,,,,,,,,,,,,,,"12,281,000",,,,,,"35,832,000","8,536,000","7,459,000","19,946,000","7,971,000","6,732,000","6,167,000","4,805,000","-90,647,000","4,339,000",,,"2,200,000","2,000,000","2,400,000","2,100,000","1,800,000","-6,700,000","2,300,000","2,200,000","2,400,000","2,600,000","3,500,000","3,900,000","3,100,000","2,800,000","12,100,000","2,300,000","1,500,000","1,900,000","2,400,000","1,000,000","100,000","-3,300,000","-200,000","800,000","900,000","200,000","300,000","300,000",,"100,000",,,,,,
		RestructuringAndMergernAcquisition,"90,700,000","-7,500,000","55,400,000","19,800,000","23,000,000","72,200,000","195,000,000","78,100,000","-700,000","6,300,000","11,900,000","37,700,000","43,000,000","43,200,000","45,200,000","14,400,000","87,100,000","-1,298,700,000","33,300,000",,,,"0","0","0","0","0","0","0","-390,600,000",,,,,,,,,,,,,"0","0","0","0","6,400,000","20,400,000","7,900,000","18,300,000","53,200,000","51,600,000","152,100,000","75,500,000","99,200,000","167,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,"120,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,100,000",,,,"0",,,"-20,200,000","2,784,100,000",,,,,,,,,"102,400,000","-19,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,"864,500,000",,,,"0","0","0",,"0","601,800,000","21,000,000","0","2,900,000",,"-4,900,000","501,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
