name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
TotalRevenue,"354,636,000,000","112,325,000,000","75,504,000,000","96,508,000,000","70,299,000,000","103,735,000,000","94,606,000,000","96,925,000,000","-9,010,000,000","96,679,000,000","75,898,000,000","73,646,000,000","81,000,000,000","28,206,000,000","78,156,000,000","68,562,000,000","50,458,000,000","58,907,000,000","60,525,000,000","57,518,000,000","65,187,000,000","57,673,000,000","59,068,000,000","54,460,000,000","52,403,000,000","51,820,000,000","58,989,000,000","51,368,000,000","48,644,000,000","48,259,000,000","51,199,000,000","49,762,000,000","45,453,000,000","47,049,000,000","46,541,000,000","44,693,000,000","43,867,000,000","44,720,000,000","41,050,000,000","38,546,000,000","38,147,000,000","37,955,000,000","33,739,000,000","38,274,000,000","33,720,000,000","36,165,000,000","36,274,000,000","31,709,000,000","32,037,000,000","30,198,000,000","29,904,000,000","29,607,000,000","22,784,000,000","24,592,000,000","27,926,000,000","30,093,000,000","25,175,000,000","28,043,000,000","29,937,000,000","27,347,000,000","32,918,000,000","26,231,000,000","25,360,000,000","24,185,000,000","22,763,000,000","25,368,000,000","20,533,000,000","18,128,000,000","17,634,000,000","20,030,000,000","19,172,000,000","17,996,000,000","17,184,000,000","19,855,000,000","18,232,000,000","14,396,000,000","11,423,000,000","12,144,000,000","10,637,000,000","9,886,000,000","9,255,000,000","9,395,000,000","9,310,000,000","10,656,000,000","8,135,000,000","12,523,000,000","8,426,000,000","6,553,000,000","6,474,000,000","6,070,000,000","7,051,000,000","5,461,000,000","5,446,000,000","3,662,000,000","2,909,000,000","3,936,000,000","3,325,000,000","3,644,300,000","2,372,700,000","2,338,200,000","2,074,800,000","2,430,500,000","2,015,300,000","1,914,800,000","4,139,700,000","1,180,000,000","895,900,000","808,600,000","828,800,000","1,200,200,000","820,800,000","890,500,000","935,900,000","445,500,000","744,100,000","703,700,000","725,800,000","923,500,000","809,400,000","656,800,000","639,600,000","98,000,000","776,500,000","776,500,000","776,500,000","453,500,000","354,400,000","380,100,000","392,000,000","620,800,000","597,100,000","564,200,000","701,700,000","662,900,000","583,900,000","576,400,000","641,700,000"
	OperatingRevenue,"354,636,000,000","112,325,000,000","75,504,000,000","96,508,000,000","70,299,000,000","103,735,000,000","94,606,000,000","96,925,000,000","-9,010,000,000","96,679,000,000","75,898,000,000","73,646,000,000","81,000,000,000","28,206,000,000","78,156,000,000","68,562,000,000","50,458,000,000","58,907,000,000","60,525,000,000","57,518,000,000","65,187,000,000","57,673,000,000","59,068,000,000","54,460,000,000","52,403,000,000","51,820,000,000","58,989,000,000","51,368,000,000","48,644,000,000","48,259,000,000","51,199,000,000","49,762,000,000","45,453,000,000","47,049,000,000","46,541,000,000","44,693,000,000","43,867,000,000","44,720,000,000","41,050,000,000","38,546,000,000","38,147,000,000","37,955,000,000","33,739,000,000","38,274,000,000","33,720,000,000","36,165,000,000","36,274,000,000","31,709,000,000","32,037,000,000","30,198,000,000","29,904,000,000","29,607,000,000","22,784,000,000","24,592,000,000","27,926,000,000","30,093,000,000","25,175,000,000","28,043,000,000","29,937,000,000","27,347,000,000","32,918,000,000","26,231,000,000","25,360,000,000","24,185,000,000","22,763,000,000","25,368,000,000","20,533,000,000","18,128,000,000","17,634,000,000","20,030,000,000","19,172,000,000","17,996,000,000","17,184,000,000","19,855,000,000","18,232,000,000","14,396,000,000","11,423,000,000","12,144,000,000","10,637,000,000","9,886,000,000","9,255,000,000","9,395,000,000","9,310,000,000","10,656,000,000","8,135,000,000","12,523,000,000","8,426,000,000","6,553,000,000","6,474,000,000","6,070,000,000","7,051,000,000","5,461,000,000","5,446,000,000","3,662,000,000","2,909,000,000","3,936,000,000","3,325,000,000","3,644,300,000","2,372,700,000","2,338,200,000","2,074,800,000","2,430,500,000","2,015,300,000","1,914,800,000","4,139,700,000","1,180,000,000","895,900,000","808,600,000","828,800,000","1,200,200,000","820,800,000","890,500,000","935,900,000","445,500,000","744,100,000","703,700,000","725,800,000","923,500,000","809,400,000","656,800,000","639,600,000","98,000,000","776,500,000","776,500,000","776,500,000","453,500,000","354,400,000","380,100,000","392,000,000","620,800,000","597,100,000","564,200,000","701,700,000","662,900,000","583,900,000","576,400,000","641,700,000"
NetNonOperatingInterestIncomeExpense,"-4,172,000,000","-990,000,000","-1,056,000,000","-1,076,000,000","-1,050,000,000","-1,057,000,000","-1,000,000,000","-1,002,000,000","-1,024,000,000","-993,000,000","-985,000,000","-992,000,000","-991,000,000","-1,244,000,000","-896,000,000","-521,000,000","-1,192,000,000","-1,594,000,000","-1,233,000,000","-1,500,000,000","-1,067,000,000","-554,000,000","-1,043,000,000","-727,000,000","-1,173,000,000","-808,000,000","-865,000,000","-967,000,000","-875,000,000","-830,000,000","-817,000,000","-824,000,000","-782,000,000","-718,000,000","-706,000,000","-691,000,000","-686,000,000","-665,000,000","-692,000,000","-696,000,000","-691,000,000","-675,000,000","-669,000,000","-662,000,000","-658,000,000","-660,000,000","-668,000,000","-637,000,000","-593,000,000","-500,000,000","-494,000,000","-510,000,000","-488,000,000","-480,000,000","-514,000,000","-493,000,000","-476,000,000","-497,000,000","-481,000,000","-469,000,000","-463,000,000","-453,000,000","-463,000,000","-446,000,000","-362,000,000","-169,000,000","-193,000,000","-195,000,000","-166,000,000","-131,000,000","-112,000,000","-245,000,000","-233,000,000","-118,000,000","-98,000,000","-124,000,000","-132,000,000","-180,000,000","-176,000,000","-49,000,000","-46,000,000","-49,000,000","-43,000,000","-57,000,000","-60,000,000","-39,000,000","-38,000,000","-34,000,000","-33,000,000","-34,000,000","-35,000,000","-32,000,000","-33,000,000","-27,000,000","-28,000,000","-27,000,000","-27,000,000","-27,900,000","-28,600,000","-27,300,000","-28,100,000","-20,000,000","-26,500,000","-26,900,000","-26,300,000","-18,700,000","-13,900,000","-13,400,000","-13,200,000","9,400,000","-22,100,000","-23,500,000","-24,000,000","-23,200,000","-21,000,000","-18,500,000",,"-32,500,000","-30,000,000",,"-37,400,000",,,,,"-30,600,000","-28,100,000","-28,200,000","-25,900,000",,,,,,,,
	InterestExpenseNonOperating,"4,172,000,000","990,000,000","1,056,000,000","1,076,000,000","1,050,000,000","1,057,000,000","1,000,000,000","1,002,000,000","1,024,000,000","993,000,000","985,000,000","992,000,000","991,000,000","1,244,000,000","896,000,000","521,000,000","1,192,000,000","1,594,000,000","1,233,000,000","1,500,000,000","1,067,000,000","554,000,000","1,043,000,000","727,000,000","1,173,000,000","808,000,000","865,000,000","967,000,000","875,000,000","830,000,000","817,000,000","824,000,000","782,000,000","718,000,000","706,000,000","691,000,000","686,000,000","665,000,000","692,000,000","696,000,000","691,000,000","675,000,000","669,000,000","662,000,000","658,000,000","660,000,000","668,000,000","637,000,000","593,000,000","500,000,000","494,000,000","510,000,000","488,000,000","480,000,000","514,000,000","493,000,000","476,000,000","497,000,000","481,000,000","469,000,000","463,000,000","453,000,000","463,000,000","446,000,000","362,000,000","169,000,000","193,000,000","195,000,000","166,000,000","131,000,000","112,000,000","245,000,000","233,000,000","118,000,000","98,000,000","124,000,000","132,000,000","180,000,000","176,000,000","49,000,000","46,000,000","49,000,000","43,000,000","57,000,000","60,000,000","39,000,000","38,000,000","34,000,000","33,000,000","34,000,000","35,000,000","32,000,000","33,000,000","27,000,000","28,000,000","27,000,000","27,000,000","27,900,000","28,600,000","27,300,000","28,100,000","20,000,000","26,500,000","26,900,000","26,300,000","18,700,000","13,900,000","13,400,000","13,200,000","-9,400,000","22,100,000","23,500,000","24,000,000","23,200,000","21,000,000","18,500,000",,"32,500,000","30,000,000",,"37,400,000",,,,,"30,600,000","28,100,000","28,200,000","25,900,000",,,,,,,,
OtherIncomeExpense,"193,099,000,000","50,308,000,000","49,273,000,000","48,270,000,000","45,248,000,000","44,701,000,000","43,618,000,000","37,856,000,000","42,368,000,000","45,340,000,000","45,784,000,000","45,036,000,000","43,395,000,000","41,641,000,000","47,124,000,000","46,143,000,000","43,418,000,000","43,912,000,000","44,531,000,000","43,240,000,000","41,147,000,000","41,299,000,000","42,454,000,000","40,970,000,000","38,516,000,000","37,828,000,000","39,512,000,000","39,041,000,000","36,054,000,000","36,601,000,000","37,097,000,000","36,006,000,000","33,177,000,000","34,315,000,000","33,670,000,000","32,973,000,000","31,427,000,000","31,334,000,000","30,040,000,000","29,269,000,000","27,744,000,000","-44,914,000,000","27,010,000,000","26,435,000,000","24,699,000,000","25,009,000,000","25,274,000,000","24,723,000,000","21,186,000,000","20,213,000,000","19,711,000,000","18,889,000,000","17,848,000,000","27,278,000,000","19,007,000,000","20,636,000,000","16,045,000,000","22,757,000,000","17,871,000,000","17,472,000,000","16,157,000,000","20,630,000,000","16,100,000,000","15,240,000,000","14,332,000,000","15,811,000,000","11,845,000,000","11,081,000,000","10,480,000,000","10,605,000,000","11,374,000,000","11,094,000,000","9,894,000,000","14,242,000,000","10,772,000,000","5,636,000,000","3,361,000,000","7,065,000,000","3,970,000,000","4,078,000,000","3,279,000,000","5,479,000,000","3,351,000,000","3,216,000,000","2,764,000,000","1,522,000,000","1,350,000,000","1,130,000,000","1,250,000,000","3,582,000,000","12,000,000","76,000,000","59,000,000","3,802,000,000","13,000,000","11,000,000","12,000,000","8,100,000","8,700,000","8,200,000","6,800,000","8,400,000","5,900,000","5,200,000","5,800,000","2,096,600,000","601,400,000","519,800,000","495,300,000",,,,,,,,,,"809,400,000","656,800,000","639,600,000",,,,,"453,500,000","354,400,000","380,100,000","392,000,000",,,,,,,,
	SpecialIncomeCharges,"0","0","0","0",,"-12,000,000","-25,000,000","-10,634,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,246,000,000",,"-1,132,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0","0","0","0",,"12,000,000","25,000,000","10,634,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"111,686,000,000","48,953,000,000","12,484,000,000","35,721,000,000","14,528,000,000","45,403,000,000","37,930,000,000","35,409,000,000","-63,049,000,000","36,801,000,000","20,489,000,000","17,759,000,000","27,647,000,000","-32,721,000,000","23,147,000,000","15,098,000,000","-1,523,000,000","6,391,000,000","5,630,000,000","6,129,000,000","5,688,000,000","9,314,000,000","10,525,000,000","7,372,000,000","6,456,000,000","7,381,000,000","14,072,000,000","5,846,000,000","7,647,000,000","5,841,000,000","6,750,000,000","8,916,000,000","6,598,000,000","7,232,000,000","7,378,000,000","6,891,000,000","7,295,000,000","6,754,000,000","5,936,000,000","4,615,000,000","4,931,000,000","4,452,000,000","3,363,000,000","5,265,000,000","2,234,000,000","6,481,000,000","4,534,000,000","2,938,000,000","5,098,000,000","4,465,000,000","4,839,000,000","4,791,000,000","-2,543,000,000","148,000,000","1,502,000,000","4,471,000,000","1,453,000,000","4,426,000,000","6,847,000,000","4,816,000,000","4,072,000,000","5,262,000,000","4,301,000,000","3,602,000,000","3,613,000,000","7,829,000,000","835,000,000","2,154,000,000","1,973,000,000","4,928,000,000","1,794,000,000","1,914,000,000","2,300,000,000","3,553,000,000","2,582,000,000","3,335,000,000","2,578,000,000","1,826,000,000","1,672,000,000","1,547,000,000","1,390,000,000","291,000,000","-1,046,000,000","1,267,000,000","957,000,000","1,792,000,000","1,376,000,000","1,114,000,000","1,305,000,000","34,000,000","669,000,000","865,000,000","882,000,000","862,000,000","548,000,000","1,815,000,000","1,089,000,000","1,492,500,000","539,700,000","397,600,000","397,800,000","520,000,000","366,000,000","263,400,000","2,556,500,000","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0",,,,,"0","0","0","0",,,,,,,,
TaxProvision,"20,879,000,000","9,055,000,000","1,840,000,000","7,296,000,000","2,688,000,000","9,273,000,000","7,517,000,000","9,002,000,000","-13,352,000,000","7,571,000,000","3,832,000,000","3,586,000,000","5,915,000,000","-7,330,000,000","4,440,000,000","3,021,000,000","-452,000,000","-26,265,000,000","1,427,000,000","1,774,000,000","1,549,000,000","2,959,000,000","3,192,000,000","2,290,000,000","799,000,000","1,834,000,000","4,545,000,000","1,739,000,000","2,414,000,000","1,623,000,000","2,029,000,000","2,458,000,000","1,825,000,000","2,169,000,000","2,225,000,000","2,279,000,000","2,278,000,000","2,093,000,000","1,882,000,000","1,384,000,000","1,565,000,000","7,875,000,000","953,000,000","1,725,000,000","-629,000,000","2,008,000,000","1,415,000,000","848,000,000","1,336,000,000","1,431,000,000","1,601,000,000","1,520,000,000","-1,014,000,000","-167,000,000","294,000,000","1,443,000,000","408,000,000","1,392,000,000","2,197,000,000","1,617,000,000","1,388,000,000","1,604,000,000","1,451,000,000","1,208,000,000","1,242,000,000","2,636,000,000","232,000,000","691,000,000","600,000,000","1,570,000,000","649,000,000","617,000,000","733,000,000","1,156,000,000","766,000,000","1,078,000,000","833,000,000","650,000,000","539,000,000","485,000,000","460,000,000","169,000,000","-361,000,000","473,000,000","339,000,000","680,000,000","479,000,000","395,000,000","464,000,000","-3,000,000","237,000,000","291,000,000","327,000,000","291,000,000","179,000,000","624,000,000","363,000,000","502,700,000","169,300,000","116,100,000","109,600,000","151,400,000","98,200,000","69,100,000","878,100,000","114,700,000","57,500,000","66,300,000","31,900,000","28,100,000","29,700,000","60,300,000","40,700,000","252,200,000","101,100,000","35,300,000",,"98,600,000","-600,000","26,800,000","13,300,000",,,,,"37,200,000","25,900,000","26,500,000","22,400,000",,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"50,000,000","120,000,000","111,000,000","113,000,000","83,000,000",,,,,,"-97,000,000","-81,000,000","-89,000,000",,"-78,000,000","-47,000,000","-58,000,000",,"-17,000,000","-14,000,000","-10,000,000","-19,000,000","-8,000,000","-15,000,000","-17,000,000",,"-10,000,000","-28,000,000","-15,000,000",,"8,000,000","-17,000,000","-14,000,000",,"6,000,000","-21,000,000","-12,000,000","-28,000,000","-100,000,000","-79,000,000","-34,000,000",,,,,,,,,,,,,,,,,"367,600,000","230,000,000","245,900,000","152,100,000","119,500,000","135,500,000","224,900,000","173,600,000","775,800,000","123,900,000","147,300,000",,"302,100,000","37,700,000","124,800,000","80,700,000",,,,,"162,700,000","116,100,000","120,500,000","106,900,000",,,,,,,,
NetIncomeCommonStockholders,"89,795,000,000","39,646,000,000","10,344,000,000","28,094,000,000","11,711,000,000","35,835,000,000","30,137,000,000","26,295,000,000","-49,746,000,000","29,159,000,000","16,524,000,000","14,073,000,000","21,661,000,000","-25,392,000,000","18,540,000,000","12,011,000,000","-1,138,000,000","32,551,000,000","4,067,000,000","4,262,000,000","4,060,000,000","6,286,000,000","7,198,000,000","5,001,000,000","5,589,000,000","5,478,000,000","9,428,000,000","4,013,000,000","5,164,000,000","4,155,000,000","4,617,000,000","6,395,000,000","4,705,000,000","4,990,000,000","5,053,000,000","4,541,000,000","4,892,000,000","4,551,000,000","3,920,000,000","3,108,000,000","3,245,000,000","3,048,000,000","2,278,000,000","3,417,000,000","1,511,000,000","4,377,000,000","2,989,000,000","1,968,000,000","3,633,000,000","3,056,000,000","3,238,000,000","3,295,000,000","-1,534,000,000","117,000,000","1,057,000,000","2,880,000,000","940,000,000","2,947,000,000","4,553,000,000","3,118,000,000","2,595,000,000","3,583,000,000","2,772,000,000","2,347,000,000","2,313,000,000","5,130,000,000","586,000,000","1,449,000,000","1,363,000,000","3,339,000,000","1,137,000,000","1,282,000,000","1,550,000,000","2,386,000,000","1,806,000,000","2,229,000,000","1,730,000,000","1,184,000,000","1,141,000,000","1,045,000,000","916,000,000","95,000,000","-679,000,000","773,000,000","606,000,000","1,084,000,000","797,000,000","640,000,000","807,000,000","24,000,000","420,000,000","572,000,000","541,000,000","567,000,000","365,000,000","1,176,000,000","722,000,000","972,800,000","366,600,000","277,800,000","284,400,000","364,700,000","264,000,000","191,200,000","1,668,700,000","252,900,000","172,500,000","179,600,000","120,200,000","91,400,000","105,800,000","164,600,000","132,900,000","523,600,000","22,800,000","112,000,000","29,700,000","203,500,000","38,300,000","98,000,000","67,400,000","109,900,000","110,000,000","110,000,000","110,000,000","125,500,000","90,200,000","94,000,000","84,500,000","111,400,000","121,700,000","87,400,000","127,100,000","121,300,000","84,500,000","94,400,000","99,100,000"
