name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"48,704,000,000","13,521,000,000","13,154,000,000","11,402,000,000","12,080,000,000","12,515,000,000","12,551,000,000","10,872,000,000","12,057,000,000","11,868,000,000","12,397,000,000","11,760,000,000","10,816,000,000","10,998,000,000","10,794,000,000","10,465,000,000","10,037,000,000","10,433,000,000","10,325,000,000","9,930,000,000","9,434,000,000","10,115,000,000","10,536,000,000","9,844,000,000","9,312,000,000","10,215,000,000","10,073,000,000","9,785,000,000","9,425,000,000","10,482,000,000","10,557,000,000","10,934,000,000","10,264,000,000","11,320,000,000","11,032,000,000","11,010,000,000","10,671,000,000","11,737,000,000","11,488,000,000","12,311,000,000","11,731,000,000","12,294,000,000","12,022,000,000","12,151,000,000","11,580,000,000","12,093,700,000","11,125,000,000","11,346,300,000","11,422,200,000","10,093,500,000","6,049,700,000","5,899,900,000","5,385,200,000","6,032,400,000","5,943,900,000","6,051,800,000","5,822,100,000","6,242,900,000","6,074,100,000","6,111,400,000","5,769,400,000","6,044,100,000","5,410,400,000","5,771,700,000","5,409,800,000","5,765,900,000","5,416,200,000","5,467,500,000","5,362,200,000","5,747,900,000","5,538,100,000","6,021,700,000","5,630,800,000","5,627,100,000","5,762,000,000","13,281,200,000","13,388,400,000","13,918,400,000","12,892,900,000","12,809,700,000","12,169,300,000","12,557,900,000","11,919,600,000","11,893,100,000","11,345,100,000","11,467,300,000","10,567,500,000","9,477,100,000","8,851,400,000","8,963,400,000","8,195,700,000","8,018,200,000","7,536,700,000","7,530,700,000","6,838,300,000","6,470,400,000","6,058,800,000","6,232,100,000","5,927,700,000","5,909,200,000","5,567,900,000","5,406,100,000","4,983,400,000","4,908,800,000","4,530,400,000","4,557,000,000","4,171,100,000","4,135,700,000","3,817,300,000","3,871,500,000","3,792,000,000","3,792,000,000","3,514,300,000","3,000,800,000","2,544,100,000","2,573,600,000","2,379,600,000","2,601,100,000","2,464,300,000","2,373,700,000","2,223,400,000","2,313,900,000","2,117,400,000","2,122,400,000","2,048,900,000","2,099,400,000","1,914,300,000","1,899,300,000","1,758,400,000","1,761,100,000","1,632,800,000","1,585,200,000","1,571,400,000","1,534,100,000","1,468,800,000","1,499,800,000","1,436,800,000","1,394,400,000","1,306,500,000","1,249,300,000","1,111,100,000","1,149,100,000","1,053,700,000","1,005,000,000","921,100,000","958,000,000","855,800,000"
	OperatingRevenue,"48,704,000,000","13,521,000,000","13,154,000,000","11,402,000,000","12,080,000,000","12,515,000,000","12,551,000,000","10,872,000,000","12,057,000,000","11,868,000,000","12,397,000,000","11,760,000,000","10,816,000,000","10,998,000,000","10,794,000,000","10,465,000,000","10,037,000,000","10,433,000,000","10,325,000,000","9,930,000,000","9,434,000,000","10,115,000,000","10,536,000,000","9,844,000,000","9,312,000,000","10,215,000,000","10,073,000,000","9,785,000,000","9,425,000,000","10,482,000,000","10,557,000,000","10,934,000,000","10,264,000,000","11,320,000,000","11,032,000,000","11,010,000,000","10,671,000,000","11,737,000,000","11,488,000,000","12,311,000,000","11,731,000,000","12,294,000,000","12,022,000,000","12,151,000,000","11,580,000,000","12,093,700,000","11,125,000,000","11,346,300,000","11,422,200,000","10,093,500,000","6,049,700,000","5,899,900,000","5,385,200,000","6,032,400,000","5,943,900,000","6,051,800,000","5,822,100,000","6,242,900,000","6,074,100,000","6,111,400,000","5,769,400,000","6,044,100,000","5,410,400,000","5,771,700,000","5,409,800,000","5,765,900,000","5,416,200,000","5,467,500,000","5,362,200,000","5,747,900,000","5,538,100,000","6,021,700,000","5,630,800,000","5,627,100,000","5,762,000,000","13,281,200,000","13,388,400,000","13,918,400,000","12,892,900,000","12,809,700,000","12,169,300,000","12,557,900,000","11,919,600,000","11,893,100,000","11,345,100,000","11,467,300,000","10,567,500,000","9,477,100,000","8,851,400,000","8,963,400,000","8,195,700,000","8,018,200,000","7,536,700,000","7,530,700,000","6,838,300,000","6,470,400,000","6,058,800,000","6,232,100,000","5,927,700,000","5,909,200,000","5,567,900,000","5,406,100,000","4,983,400,000","4,908,800,000","4,530,400,000","4,557,000,000","4,171,100,000","4,135,700,000","3,817,300,000","3,871,500,000","3,792,000,000","3,792,000,000","3,514,300,000","3,000,800,000","2,544,100,000","2,573,600,000","2,379,600,000","2,601,100,000","2,464,300,000","2,373,700,000","2,223,400,000","2,313,900,000","2,117,400,000","2,122,400,000","2,048,900,000","2,099,400,000","1,914,300,000","1,899,300,000","1,758,400,000","1,761,100,000","1,632,800,000","1,585,200,000","1,571,400,000","1,534,100,000","1,468,800,000","1,499,800,000","1,436,800,000","1,394,400,000","1,306,500,000","1,249,300,000","1,111,100,000","1,149,100,000","1,053,700,000","1,005,000,000","921,100,000","958,000,000","855,800,000"
CostOfRevenue,"13,626,000,000","3,874,000,000","3,450,000,000","3,104,000,000","3,670,000,000","5,533,000,000","3,481,000,000","3,159,000,000","3,312,000,000","3,669,000,000","3,990,000,000","3,401,000,000","3,052,000,000","3,289,000,000","3,619,000,000","3,417,000,000","3,184,000,000","3,406,000,000","3,274,000,000","3,080,000,000","3,015,000,000","3,332,000,000","3,409,000,000","3,578,000,000","3,572,000,000","3,850,000,000","3,761,000,000","3,754,000,000","3,569,000,000","3,749,000,000","4,223,000,000","4,893,000,000","3,903,000,000","4,607,000,000","4,104,000,000","4,284,000,000","3,959,000,000","4,160,000,000","4,137,000,000","4,112,000,000","4,037,000,000","4,176,000,000","4,352,000,000","4,284,000,000","4,059,000,000","4,440,100,000","4,191,000,000","4,548,900,000","5,215,600,000","4,900,900,000","1,430,300,000","1,353,900,000","1,333,800,000","1,470,000,000","1,477,900,000","1,396,500,000","1,238,100,000","1,544,800,000","1,517,700,000","1,552,300,000","1,525,800,000","1,669,100,000","1,544,100,000","1,445,200,000","1,342,700,000","1,478,700,000","1,238,800,000","1,160,600,000","1,271,400,000","1,283,600,000","1,364,200,000","1,131,300,000","1,115,800,000","1,228,300,000","1,051,700,000","8,436,900,000","8,450,500,000","8,700,100,000","8,080,100,000","8,292,600,000","7,980,700,000","7,642,400,000","7,082,800,000","7,204,800,000","7,046,500,000","6,016,700,000","5,710,500,000","4,846,700,000","4,592,300,000","4,440,100,000","4,158,400,000","4,155,700,000","3,952,600,000","3,593,700,000","3,544,100,000","3,383,400,000","3,235,600,000","2,231,600,000","2,991,000,000","2,944,300,000","2,786,300,000","1,743,000,000","2,328,400,000","2,283,800,000","2,233,100,000","1,458,700,000","1,858,200,000","1,746,000,000","1,726,200,000","845,000,000","1,451,900,000","1,528,700,000","1,455,600,000","452,200,000","538,600,000","583,500,000","536,700,000","266,100,000","515,700,000","526,800,000","466,100,000","251,700,000","486,200,000","406,100,000","395,100,000","231,300,000","443,300,000","440,600,000","408,900,000","185,100,000","395,800,000",,,,,,,,,,,,,,,,
GrossProfit,"35,078,000,000","9,647,000,000","9,704,000,000","8,298,000,000","8,410,000,000","6,982,000,000","9,070,000,000","7,713,000,000","8,745,000,000","8,199,000,000","8,407,000,000","8,359,000,000","7,764,000,000","7,709,000,000","7,175,000,000","7,048,000,000","6,853,000,000","7,027,000,000","7,051,000,000","6,850,000,000","6,419,000,000","6,783,000,000","7,127,000,000","6,266,000,000","5,740,000,000","6,365,000,000","6,312,000,000","6,031,000,000","5,856,000,000","6,733,000,000","6,334,000,000","6,041,000,000","6,361,000,000","6,713,000,000","6,928,000,000","6,726,000,000","6,712,000,000","7,577,000,000","7,351,000,000","8,199,000,000","7,694,000,000","8,118,000,000","7,670,000,000","7,867,000,000","7,521,000,000","7,653,600,000","6,934,000,000","6,797,400,000","6,206,600,000","5,192,600,000","4,619,400,000","4,546,000,000","4,051,400,000","4,562,400,000","4,466,000,000","4,655,300,000","4,584,000,000","4,698,100,000","4,556,400,000","4,559,100,000","4,243,600,000","4,375,000,000","3,866,300,000","4,326,500,000","4,067,100,000","4,287,200,000","4,177,400,000","4,306,900,000","4,090,800,000","4,464,300,000","4,173,900,000","4,890,400,000","4,515,000,000","4,398,800,000","4,710,300,000","4,844,300,000","4,937,900,000","5,218,300,000","4,812,800,000","4,517,100,000","4,188,600,000","4,915,500,000","4,836,800,000","4,688,300,000","4,298,600,000","5,450,600,000","4,857,000,000","4,630,400,000","4,259,100,000","4,523,300,000","4,037,300,000","3,862,500,000","3,584,100,000","3,937,000,000","3,294,200,000","3,087,000,000","2,823,200,000","4,000,500,000","2,936,700,000","2,964,900,000","2,781,600,000","3,663,100,000","2,655,000,000","2,625,000,000","2,297,300,000","3,098,300,000","2,312,900,000","2,389,700,000","2,091,100,000","3,026,500,000","2,340,100,000","2,263,300,000","2,058,700,000","2,548,600,000","2,005,500,000","1,990,100,000","1,842,900,000","2,335,000,000","1,948,600,000","1,846,900,000","1,757,300,000","2,062,200,000","1,631,200,000","1,716,300,000","1,653,800,000","1,868,100,000","1,471,000,000","1,458,700,000","1,349,500,000","1,576,000,000","1,237,000,000",,,,,,,,,,,,,,,,
OperatingExpense,"21,879,000,000","5,898,000,000","4,781,000,000","6,602,000,000","5,098,000,000","8,922,000,000","5,840,000,000","4,501,000,000","4,764,000,000","5,437,000,000","5,793,000,000","4,901,000,000","4,356,000,000","4,857,000,000","4,511,000,000","4,782,000,000","5,704,000,000","4,860,000,000","6,784,000,000","4,187,000,000","4,207,000,000","7,242,000,000","4,057,000,000","4,609,000,000","3,977,000,000","4,413,000,000","3,972,000,000","4,294,000,000","4,338,000,000","5,208,000,000","4,634,000,000","4,637,000,000","4,308,000,000","4,817,000,000","4,463,000,000","5,241,000,000","4,894,000,000","5,614,000,000","4,981,000,000","5,272,000,000","4,936,000,000","6,123,000,000","5,294,000,000","5,461,000,000","5,322,000,000","8,095,200,000","5,514,000,000","5,353,600,000","5,272,900,000","5,426,700,000","2,979,500,000","3,124,800,000","2,857,100,000","3,248,600,000","2,901,400,000","3,099,500,000","2,932,700,000","3,101,300,000","3,391,900,000","3,114,200,000","2,832,000,000","4,068,800,000","3,316,000,000","2,906,500,000","2,657,000,000","3,157,700,000","2,683,800,000","2,702,100,000","2,459,900,000","3,474,400,000","2,672,200,000","2,639,400,000","2,645,000,000","2,725,500,000","2,276,200,000","2,594,000,000","2,476,500,000","2,571,700,000","2,290,700,000","2,160,000,000","2,046,500,000","2,357,100,000","2,199,300,000","2,320,300,000","2,134,200,000","3,071,300,000","2,445,400,000","2,330,500,000","2,260,700,000","2,498,700,000","2,074,000,000","1,959,400,000","1,881,000,000","2,163,500,000","1,621,900,000","1,548,100,000","1,431,900,000","2,529,600,000","1,521,600,000","1,488,900,000","1,477,100,000","2,345,200,000","1,358,600,000","1,341,100,000","1,210,800,000","2,008,300,000","1,147,300,000","1,226,700,000","1,106,000,000","1,982,800,000","1,173,800,000","1,061,500,000","1,065,500,000","772,000,000","999,100,000","1,777,700,000","952,600,000","1,500,600,000","1,055,800,000","915,200,000","924,700,000","1,277,700,000","840,800,000","902,000,000","933,300,000","1,190,000,000","797,200,000","761,900,000","746,800,000","1,023,600,000","657,400,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"9,634,000,000","2,830,000,000","2,336,000,000","2,281,000,000","2,633,000,000","3,085,000,000","2,450,000,000","2,378,000,000","2,555,000,000","2,889,000,000","2,589,000,000","2,712,000,000","2,425,000,000","2,643,000,000","2,443,000,000","2,508,000,000","2,508,000,000","2,579,000,000","2,401,000,000","2,438,000,000","2,411,000,000","2,593,000,000","2,393,000,000","2,458,000,000","2,318,000,000","2,615,000,000","2,472,000,000","2,624,000,000","2,601,000,000","2,925,000,000","2,975,000,000","2,973,000,000","2,734,000,000","2,982,000,000","2,803,000,000","3,140,000,000","2,987,000,000","3,390,000,000","3,063,000,000","3,249,000,000","3,074,000,000","3,704,000,000","3,340,000,000","3,525,000,000","3,164,000,000","3,578,200,000","3,192,000,000","3,202,700,000","3,246,200,000","3,455,200,000","1,725,500,000","1,729,500,000","1,632,900,000","1,862,000,000","1,730,300,000","1,930,200,000","1,854,400,000","1,719,500,000","1,951,400,000","2,083,700,000","1,802,000,000","2,345,800,000","2,370,600,000","1,734,000,000","1,715,000,000","2,045,700,000","1,741,200,000","1,755,300,000","1,613,300,000","2,365,800,000","1,752,900,000","1,616,200,000","1,611,400,000","1,794,100,000","1,463,600,000","1,747,100,000","1,701,400,000","1,681,500,000","1,562,700,000","1,477,800,000","1,464,800,000","1,555,400,000","1,525,300,000","1,637,400,000","1,506,200,000","1,774,200,000","1,512,800,000","1,463,600,000","1,417,200,000","1,588,600,000","1,272,700,000","1,184,400,000","1,154,300,000","1,370,200,000","1,087,200,000","1,058,800,000","995,100,000","1,146,000,000","1,048,400,000","1,044,200,000","1,060,700,000","1,139,000,000","941,800,000","946,200,000","814,300,000","911,000,000","767,200,000","849,600,000","770,000,000","874,200,000","820,700,000","726,700,000","755,900,000","-815,500,000","999,100,000","1,777,700,000","952,600,000","1,179,200,000","1,055,800,000","915,200,000","924,700,000","1,013,900,000","840,800,000","836,000,000","867,300,000","936,000,000","797,200,000","761,900,000","746,800,000","801,900,000","657,400,000",,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"2,443,000,000","2,508,000,000","2,508,000,000","2,579,000,000","2,401,000,000","2,438,000,000","2,411,000,000","2,593,000,000","2,393,000,000","2,458,000,000","2,318,000,000","2,615,000,000","2,472,000,000","2,624,000,000","2,601,000,000","2,925,000,000","2,975,000,000","2,973,000,000","2,734,000,000","2,982,000,000","2,803,000,000","3,140,000,000","2,987,000,000","3,390,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"12,245,000,000","3,068,000,000","2,445,000,000","4,321,000,000","2,465,000,000","5,837,000,000","3,390,000,000","2,123,000,000","2,209,000,000","2,548,000,000","3,204,000,000","2,189,000,000","1,931,000,000","2,214,000,000","2,068,000,000","2,274,000,000","3,196,000,000","2,281,000,000","4,383,000,000","1,749,000,000","1,796,000,000","4,649,000,000","1,664,000,000","2,151,000,000","1,659,000,000","1,798,000,000","1,500,000,000","1,670,000,000","1,737,000,000","2,283,000,000","1,659,000,000","1,664,000,000","1,574,000,000","1,835,000,000","1,660,000,000","2,101,000,000","1,907,000,000","2,224,000,000","1,918,000,000","2,165,000,000","1,862,000,000","2,419,000,000","1,954,000,000","1,936,000,000","2,158,000,000","4,517,000,000","2,322,000,000","2,150,900,000","2,026,700,000","1,971,500,000","1,254,000,000","1,395,300,000","1,224,200,000","1,386,600,000","1,171,100,000","1,169,300,000","1,078,300,000","1,381,800,000","1,440,500,000","1,030,500,000","1,030,000,000","1,723,000,000","945,400,000","1,172,500,000","942,000,000","1,112,000,000","942,600,000","946,800,000","846,600,000","1,108,600,000","919,300,000","986,000,000","996,300,000","894,900,000","776,500,000","786,400,000","720,300,000","838,800,000","676,900,000","631,200,000","530,300,000","716,400,000","590,300,000","602,400,000","547,400,000","662,300,000","609,800,000","548,000,000","523,600,000","627,800,000","516,000,000","482,700,000","441,800,000","541,200,000","450,400,000","441,000,000","388,500,000","493,900,000","424,700,000","396,400,000","368,600,000","423,300,000","366,800,000","347,700,000","349,500,000","381,000,000","332,500,000","329,700,000","288,200,000","365,000,000","308,400,000","290,900,000","266,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,200,000","37,300,000","36,500,000","36,100,000","60,500,000","54,800,000","51,400,000","51,100,000","51,000,000","51,400,000","85,300,000","83,700,000","80,500,000","80,600,000","634,800,000","322,800,000","318,900,000","319,900,000","282,300,000","285,300,000","292,300,000","284,900,000","252,100,000","84,300,000","48,300,000","48,300,000","889,700,000","48,500,000","48,300,000","47,800,000","782,900,000","50,000,000","47,200,000","47,000,000","716,300,000","47,600,000","47,400,000","47,800,000","743,600,000","44,700,000","43,900,000","43,300,000",,,,,,,,,,,"66,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,200,000","37,300,000","36,500,000","36,100,000","60,500,000","54,800,000","51,400,000","51,100,000","51,000,000","51,400,000","85,300,000","83,700,000","80,500,000","80,600,000","634,800,000","322,800,000","318,900,000","319,900,000","282,300,000","285,300,000","292,300,000","284,900,000","252,100,000","84,300,000","48,300,000","48,300,000","889,700,000","48,500,000","48,300,000","47,800,000","782,900,000","50,000,000","47,200,000","47,000,000","716,300,000","47,600,000","47,400,000","47,800,000","743,600,000","44,700,000","43,900,000","43,300,000",,,,,,,,,,,"66,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,200,000","37,300,000","36,500,000","36,100,000","60,500,000","54,800,000","51,400,000","51,100,000","51,000,000","51,400,000","85,300,000","83,700,000","80,500,000","80,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,200,000","37,300,000","36,500,000","36,100,000","60,500,000","54,800,000","51,400,000","51,100,000","51,000,000","51,400,000","85,300,000","83,700,000","80,500,000","80,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-142,000,000",,,,,,,"871,900,000",,,,,"-583,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
