name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992
TotalRevenue,"11,414,000,000","2,673,000,000","2,007,000,000","2,561,000,000","4,173,000,000","1,576,000,000","1,323,000,000","1,816,000,000","3,002,000,000","1,696,000,000","1,165,000,000","994,000,000","3,272,000,000","1,502,000,000","1,016,000,000","988,000,000","2,925,000,000","1,165,000,000","886,000,000","842,000,000","2,541,000,000","1,016,000,000","778,000,000","754,000,000","2,304,000,000","923,000,000","713,000,000","518,000,000","2,194,000,000","808,000,000","672,000,000","714,000,000","2,388,000,000","782,000,000","622,000,000","378,000,000","2,178,000,000","968,000,000","647,000,000","593,000,000","1,945,000,000","1,019,000,000","594,000,000","593,000,000","1,848,000,000","878,000,000","532,000,000","537,000,000","1,607,000,000","837,000,000","493,000,000","475,774,000","1,434,408,000","790,976,000","481,379,000","482,154,000","1,313,008,000","834,874,000","444,938,000","393,172,000","1,154,397,000","763,307,000","362,071,000","342,925,000","952,603,000","742,704,000","304,071,000","259,569,000","849,505,000","662,639,000","265,990,000","275,893,000","712,953,000","636,289,000","242,528,000","175,845,000","634,698,000","558,076,000","223,282,000","57,111,000","545,226,000","547,245,000","208,766,000","191,169,000","425,210,000","457,560,000","187,522,000","162,259,000","329,139,000","425,500,000","163,100,000","150,000,000","239,700,000","346,000,000","112,000,000","117,200,000","142,000,000","237,500,000","96,000,000","94,100,000","136,300,000","266,000,000","102,500,000","76,800,000","136,500,000","221,700,000","96,800,000","65,800,000","98,900,000","162,800,000","68,200,000","32,600,000","92,400,000","60,000,000","35,300,000","21,800,000","31,200,000","33,200,000"
	OperatingRevenue,"11,414,000,000","2,673,000,000","2,007,000,000","2,561,000,000","4,173,000,000","1,576,000,000","1,323,000,000","1,816,000,000","3,002,000,000","1,696,000,000","1,165,000,000","994,000,000","3,272,000,000","1,502,000,000","1,016,000,000","988,000,000","2,925,000,000","1,165,000,000","886,000,000","842,000,000","2,541,000,000","1,016,000,000","778,000,000","754,000,000","2,304,000,000","923,000,000","713,000,000","518,000,000","2,194,000,000","808,000,000","672,000,000","714,000,000","2,388,000,000","782,000,000","622,000,000","378,000,000","2,178,000,000","968,000,000","647,000,000","593,000,000","1,945,000,000","1,019,000,000","594,000,000","593,000,000","1,848,000,000","878,000,000","532,000,000","537,000,000","1,607,000,000","837,000,000","493,000,000","475,774,000","1,434,408,000","790,976,000","481,379,000","478,154,000","1,313,008,000","834,874,000","444,938,000","393,172,000","1,154,397,000","763,307,000","362,071,000","342,925,000","952,603,000","742,704,000","304,071,000","259,569,000","849,505,000","662,639,000","265,990,000","275,893,000","712,953,000","636,289,000","242,528,000","175,845,000","634,698,000","558,076,000","223,282,000","57,111,000","545,226,000","547,245,000","208,766,000","191,169,000","425,210,000","457,560,000","187,522,000","162,259,000","329,139,000","425,500,000","163,100,000","150,000,000","239,700,000","346,000,000","112,000,000","117,200,000","142,000,000","237,500,000","96,000,000","94,100,000","136,300,000","266,000,000","102,500,000","76,800,000","136,500,000","221,700,000","96,800,000","65,800,000","98,900,000","162,800,000","68,200,000","32,600,000","92,400,000","60,000,000","35,300,000","21,800,000","31,200,000","33,200,000"
CostOfRevenue,"2,042,000,000","565,000,000","417,000,000","465,000,000","595,000,000","367,000,000","256,000,000","322,000,000","426,000,000","340,000,000","290,000,000","281,000,000","354,000,000","285,000,000","247,000,000","231,000,000","304,000,000","246,000,000","196,000,000","183,000,000","237,000,000","206,000,000","183,000,000","171,000,000","216,000,000","199,000,000","166,000,000","125,000,000","219,000,000","206,000,000","175,000,000","179,000,000","170,000,000","176,000,000","143,000,000","0","187,000,000","208,000,000","182,000,000","176,000,000","202,000,000","210,000,000","172,000,000","164,000,000","168,000,000","180,000,000","159,000,000","152,000,000","157,000,000","178,000,000","176,000,000","210,911,000","157,692,000","178,160,000","160,321,000","153,203,000","154,023,000","173,017,000","144,015,000","126,361,000","138,824,000","138,546,000","105,715,000","91,447,000","107,931,000","135,132,000","91,679,000","75,453,000","103,121,000","117,607,000","76,472,000","75,632,000","96,071,000","115,256,000","74,638,000","69,561,000","88,706,000","115,783,000","71,313,000","22,901,000","80,513,000","121,064,000","72,352,000","52,594,000","81,888,000","107,677,000","69,881,000","-116,259,000","64,805,000","83,100,000","44,600,000","-63,600,000","70,200,000","63,300,000","21,000,000","-74,000,000","49,300,000","38,600,000","43,000,000","40,000,000","49,600,000","89,900,000","46,700,000","38,300,000","22,000,000","35,700,000","12,200,000","18,200,000","22,200,000","37,100,000","15,400,000","10,100,000","26,400,000","24,900,000","8,800,000","6,500,000","9,300,000","11,200,000"
GrossProfit,"9,372,000,000","2,108,000,000","1,590,000,000","2,096,000,000","3,578,000,000","1,209,000,000","1,067,000,000","1,494,000,000","2,576,000,000","1,356,000,000","875,000,000","713,000,000","2,918,000,000","1,217,000,000","769,000,000","757,000,000","2,621,000,000","919,000,000","690,000,000","659,000,000","2,304,000,000","810,000,000","595,000,000","583,000,000","2,088,000,000","724,000,000","547,000,000","393,000,000","1,975,000,000","602,000,000","497,000,000","535,000,000","2,218,000,000","606,000,000","479,000,000","378,000,000","1,991,000,000","760,000,000","465,000,000","417,000,000","1,743,000,000","809,000,000","422,000,000","429,000,000","1,680,000,000","698,000,000","373,000,000","385,000,000","1,450,000,000","659,000,000","317,000,000","264,863,000","1,276,716,000","612,816,000","321,058,000","328,951,000","1,158,985,000","661,857,000","300,923,000","266,811,000","1,015,573,000","624,761,000","256,356,000","251,478,000","844,672,000","607,572,000","212,392,000","184,116,000","746,384,000","545,032,000","189,518,000","200,261,000","616,882,000","521,033,000","167,890,000","106,284,000","545,992,000","442,293,000","151,969,000","34,210,000","464,713,000","426,181,000","136,414,000","138,575,000","343,322,000","349,883,000","117,641,000","278,518,000","264,334,000","342,400,000","118,500,000","213,600,000","169,500,000","282,700,000","91,000,000","191,200,000","92,700,000","198,900,000","53,000,000","54,100,000","86,700,000","176,100,000","55,800,000","38,500,000","114,500,000","186,000,000","84,600,000","47,600,000","76,700,000","125,700,000","52,800,000","22,500,000","66,000,000","35,100,000","26,500,000","15,300,000","21,900,000","22,000,000"
OperatingExpense,"6,805,000,000","2,052,000,000","1,395,000,000","1,694,000,000","1,664,000,000","1,234,000,000","858,000,000","1,011,000,000","1,163,000,000","1,086,000,000","865,000,000","866,000,000","1,134,000,000","984,000,000","779,000,000","838,000,000","1,006,000,000","899,000,000","747,000,000","669,000,000","860,000,000","788,000,000","656,000,000","639,000,000","803,000,000","682,000,000","576,000,000","464,000,000","806,000,000","700,000,000","611,000,000","592,000,000","724,000,000","652,000,000","556,000,000","462,000,000","698,000,000","667,000,000","534,000,000","445,000,000","636,000,000","617,000,000","516,000,000","460,000,000","619,000,000","587,000,000","477,000,000","480,000,000","552,000,000","509,000,000","406,000,000","370,870,000","502,190,000","490,711,000","384,500,000","412,947,000","475,230,000","480,144,000","396,110,000","315,708,000","427,148,000","407,444,000","355,008,000","305,645,000","361,287,000","365,047,000","311,254,000","229,082,000","316,348,000","316,538,000","262,439,000","232,295,000","263,360,000","295,643,000","251,255,000","139,869,000","229,059,000","261,390,000","229,373,000","86,892,000","232,686,000","240,627,000","218,087,000","180,519,000","182,631,000","255,288,000","208,836,000","189,286,000","203,821,000","259,800,000","201,900,000","276,900,000","123,700,000","177,100,000","159,100,000","206,600,000","100,100,000","133,300,000","78,500,000","76,300,000","82,400,000","102,500,000","89,900,000","62,200,000","117,000,000","135,700,000","115,500,000","74,200,000","79,000,000","98,700,000","64,400,000","33,300,000","53,600,000","204,100,000","22,000,000","14,500,000","18,800,000","17,000,000"
	SellingGeneralAndAdministration,"4,418,000,000","1,341,000,000","812,000,000","1,119,000,000","1,146,000,000","830,000,000","531,000,000","617,000,000","829,000,000","752,000,000","529,000,000","531,000,000","822,000,000","688,000,000","483,000,000","525,000,000","708,000,000","612,000,000","453,000,000","406,000,000","613,000,000","545,000,000","409,000,000","398,000,000","572,000,000","476,000,000","361,000,000","289,000,000","583,000,000","494,000,000","405,000,000","376,000,000","533,000,000","461,000,000","376,000,000","297,000,000","514,000,000","481,000,000","349,000,000","272,000,000","467,000,000","439,000,000","328,000,000","293,000,000","444,000,000","418,000,000","310,000,000","291,000,000","411,000,000","365,000,000","263,000,000","262,586,000","353,944,000","347,462,000","251,283,000","252,217,000","325,245,000","330,377,000","246,774,000","216,720,000","294,199,000","290,046,000","232,486,000","199,460,000","261,663,000","262,200,000","211,025,000","156,009,000","233,572,000","235,356,000","183,978,000","162,897,000","188,771,000","218,986,000","176,635,000","142,939,000","163,395,000","191,792,000","160,714,000","77,737,000","164,976,000","180,193,000","139,441,000","113,659,000","129,934,000","157,615,000","121,279,000","93,074,000","111,796,000","157,100,000","110,600,000","190,000,000","58,300,000","115,300,000","88,400,000","157,800,000","64,300,000","94,200,000","40,500,000","37,200,000","48,900,000","64,000,000","49,300,000","100,600,000","82,100,000","101,000,000","79,600,000","44,200,000","49,700,000","66,800,000","38,200,000","15,900,000","26,500,000","197,900,000","20,800,000","13,700,000","18,200,000","16,200,000"
		GeneralAndAdministrativeExpense,"1,224,000,000","399,000,000","262,000,000","274,000,000","289,000,000","250,000,000","169,000,000","193,000,000","181,000,000","159,000,000","146,000,000","150,000,000","170,000,000","140,000,000","137,000,000","217,000,000","159,000,000","143,000,000","145,000,000","141,000,000","146,000,000","140,000,000","126,000,000","132,000,000","149,000,000","120,000,000","117,000,000","106,000,000","135,000,000","118,000,000","124,000,000","117,000,000","121,000,000","109,000,000","118,000,000","107,000,000","108,000,000","109,000,000","98,000,000","99,000,000","102,000,000","95,000,000","92,000,000","83,000,000","93,000,000","88,000,000","90,000,000","81,000,000","102,000,000","88,000,000","78,000,000","76,581,000","75,335,000","71,088,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,224,000,000","399,000,000","262,000,000","274,000,000","289,000,000","250,000,000","169,000,000","193,000,000","181,000,000","159,000,000","146,000,000","150,000,000","170,000,000","140,000,000","137,000,000","217,000,000","159,000,000","143,000,000","145,000,000","141,000,000","146,000,000","140,000,000","126,000,000","132,000,000","149,000,000","120,000,000","117,000,000","106,000,000","135,000,000","118,000,000","124,000,000","117,000,000","121,000,000","109,000,000","118,000,000","107,000,000","108,000,000","109,000,000","98,000,000","99,000,000","102,000,000","95,000,000","92,000,000","83,000,000","93,000,000","88,000,000","90,000,000","81,000,000","102,000,000","88,000,000","78,000,000","76,581,000","75,335,000","71,088,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"3,194,000,000","942,000,000","550,000,000","845,000,000","857,000,000","580,000,000","362,000,000","424,000,000","648,000,000","593,000,000","383,000,000","381,000,000","652,000,000","548,000,000","346,000,000","308,000,000","549,000,000","469,000,000","308,000,000","265,000,000","467,000,000","405,000,000","283,000,000","266,000,000","423,000,000","356,000,000","244,000,000","183,000,000","448,000,000","376,000,000","281,000,000","259,000,000","412,000,000","352,000,000","258,000,000","190,000,000","406,000,000","372,000,000","251,000,000","173,000,000","365,000,000","344,000,000","236,000,000","210,000,000","351,000,000","330,000,000","220,000,000","210,000,000","309,000,000","277,000,000","185,000,000","186,005,000","278,609,000","276,374,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"2,105,000,000","590,000,000","530,000,000","521,000,000","464,000,000","368,000,000","325,000,000","393,000,000","332,000,000","333,000,000","334,000,000","333,000,000","311,000,000","295,000,000","294,000,000","311,000,000","296,000,000","286,000,000","293,000,000","263,000,000","246,000,000","243,000,000","246,000,000","235,000,000","228,000,000","205,000,000","213,000,000","181,000,000","217,000,000","200,000,000","200,000,000","210,000,000","186,000,000","186,000,000","176,000,000","151,000,000","177,000,000","179,000,000","178,000,000","167,000,000","167,000,000","168,000,000","167,000,000","156,000,000","164,000,000","158,000,000","156,000,000","147,000,000","141,000,000","144,000,000","143,000,000","153,900,000","132,866,000","143,249,000","136,217,000","156,730,000","149,985,000","149,767,000","149,336,000","117,696,000","119,132,000","115,474,000","120,214,000","104,284,000","97,335,000","100,084,000","97,280,000","72,969,000","79,422,000","77,743,000","75,107,000","65,298,000","71,167,000","73,333,000","71,331,000","63,612,000","62,002,000","66,080,000","65,682,000","47,411,000","52,908,000","53,263,000","49,940,000","51,911,000","52,697,000","54,599,000","47,878,000","42,554,000","40,779,000","44,000,000","41,700,000","39,100,000","34,300,000","36,400,000","33,700,000","30,400,000","25,400,000","26,600,000","26,100,000","25,200,000","22,400,000","22,900,000","22,500,000",,"18,700,000","18,300,000","19,900,000","15,100,000","14,100,000","13,500,000","10,700,000","7,000,000","7,700,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"282,000,000","121,000,000","53,000,000","54,000,000","54,000,000","36,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","6,000,000","3,000,000","1,000,000","2,000,000","-6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","14,000,000","7,000,000","7,000,000","7,000,000","6,000,000","2,000,000","10,000,000","21,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,"16,000,000","22,000,000",,"15,380,000",,,,,,,,"13,817,000","2,583,000","2,308,000","1,901,000","2,289,000","2,763,000","2,949,000","104,000","3,354,000","3,439,000","3,354,000","3,421,000","3,422,000","3,324,000","3,289,000","3,639,000","3,662,000","3,518,000","2,977,000","1,981,000","1,565,000","7,171,000","1,706,000",,,"43,074,000","39,679,000","53,658,000","51,246,000","58,700,000","49,600,000","47,800,000","31,100,000","25,400,000","37,000,000","18,400,000","10,400,000","12,500,000","11,900,000","13,900,000","11,100,000","15,600,000","18,100,000","19,700,000","16,200,000","16,400,000","16,000,000","14,900,000","15,200,000","18,400,000","15,500,000","10,400,000","19,400,000","6,200,000","1,200,000","800,000","600,000","800,000"
		DepreciationAndAmortizationInIncomeStatement,"282,000,000","121,000,000","53,000,000","54,000,000","54,000,000","36,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","6,000,000","3,000,000","1,000,000","2,000,000","-6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","14,000,000","7,000,000","7,000,000","7,000,000","6,000,000","2,000,000","10,000,000","21,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,"16,000,000","22,000,000",,"15,380,000",,,,,,,,"13,817,000","2,583,000","2,308,000","1,901,000","2,289,000","2,763,000","2,949,000","104,000","3,354,000","3,439,000","3,354,000","3,421,000","3,422,000","3,324,000","3,289,000","3,639,000","3,662,000","3,518,000","2,977,000","1,981,000","1,565,000","7,171,000","1,706,000",,,"43,074,000","39,679,000","53,658,000","51,246,000","58,700,000","49,600,000","47,800,000","31,100,000","25,400,000","37,000,000","18,400,000","10,400,000","12,500,000","11,900,000","13,900,000","11,100,000","15,600,000","18,100,000","19,700,000","16,200,000","16,400,000","16,000,000","14,900,000","15,200,000","18,400,000","15,500,000","10,400,000","19,400,000","6,200,000","1,200,000","800,000","600,000","800,000"
			Amortization,"282,000,000","121,000,000","53,000,000","54,000,000","54,000,000","36,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","6,000,000","3,000,000","1,000,000","2,000,000","-6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","14,000,000","7,000,000","7,000,000","7,000,000","6,000,000","2,000,000","10,000,000","21,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,"16,000,000","22,000,000",,"15,380,000",,,,,,,,"13,817,000","2,583,000","2,308,000","1,901,000","2,289,000","2,763,000","2,949,000","104,000","3,354,000","3,439,000","3,354,000","3,421,000","3,422,000","3,324,000","3,289,000","3,639,000","3,662,000","3,518,000","2,977,000","1,981,000","1,565,000","7,171,000","1,706,000",,,"43,074,000","39,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"282,000,000","121,000,000","53,000,000","54,000,000","54,000,000","36,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","0","1,000,000","0","1,000,000","6,000,000","3,000,000","1,000,000","2,000,000","-6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","14,000,000","7,000,000","7,000,000","7,000,000","6,000,000","2,000,000","10,000,000","21,000,000","11,000,000","11,000,000","11,000,000","11,000,000",,,"16,000,000","22,000,000",,"15,380,000",,,,,,,,"13,817,000","2,583,000","2,308,000","1,901,000","2,289,000","2,763,000","2,949,000","104,000","3,354,000","3,439,000","3,354,000","3,421,000","3,422,000","3,324,000","3,289,000","3,639,000","3,662,000","3,518,000","2,977,000","1,981,000","1,565,000","7,171,000","1,706,000",,,"43,074,000","39,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,000,000",,,,,"-3,000,000",,,,,,,"-659,000",,,,,,,,,,,,,,,,,,,"13,237,000",,"27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,567,000,000","56,000,000","195,000,000","402,000,000","1,914,000,000","-25,000,000","209,000,000","483,000,000","1,413,000,000","270,000,000","10,000,000","-153,000,000","1,784,000,000","233,000,000","-10,000,000","-81,000,000","1,615,000,000","20,000,000","-57,000,000","-10,000,000","1,444,000,000","22,000,000","-61,000,000","-56,000,000","1,285,000,000","42,000,000","-29,000,000","-71,000,000","1,169,000,000","-98,000,000","-114,000,000","-57,000,000","1,494,000,000","-46,000,000","-77,000,000","-84,000,000","1,293,000,000","93,000,000","-69,000,000","-28,000,000","1,107,000,000","192,000,000","-94,000,000","-31,000,000","1,061,000,000","111,000,000","-104,000,000","-95,000,000","898,000,000","150,000,000","-89,000,000","-106,007,000","774,526,000","122,105,000","-63,442,000","-83,996,000","683,755,000","181,713,000","-95,187,000","-48,897,000","588,425,000","217,317,000","-98,652,000","-54,167,000","483,385,000","242,525,000","-98,862,000","-44,966,000","430,036,000","228,494,000","-72,921,000","-32,034,000","353,522,000","225,390,000","-83,365,000","-33,585,000","316,933,000","180,903,000","-77,404,000","-52,682,000","232,027,000","185,554,000","-81,673,000","-41,944,000","160,691,000","94,595,000","-91,195,000","89,232,000","60,513,000","82,600,000","-83,400,000","-63,300,000","45,800,000","105,600,000","-68,100,000","-15,400,000","-7,400,000","65,600,000","-25,500,000","-22,200,000","4,300,000","73,600,000","-34,100,000","-23,700,000","-2,500,000","50,300,000","-30,900,000","-26,600,000","-2,300,000","27,000,000","-11,600,000","-10,800,000","12,400,000","-169,000,000","4,500,000","800,000","3,100,000","5,000,000"
NetNonOperatingInterestIncomeExpense,"-32,000,000","-21,000,000","-2,000,000","-4,000,000","-4,000,000","-5,000,000","-5,000,000","-1,000,000","8,000,000","8,000,000","10,000,000","16,000,000","10,000,000","2,000,000","3,000,000","6,000,000","-1,000,000","-4,000,000","-3,000,000","1,000,000","-6,000,000","-10,000,000","-8,000,000","-7,000,000","-9,000,000","-9,000,000","-7,000,000","-4,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-6,000,000","-7,000,000","-7,000,000","-6,000,000","-7,000,000","-7,000,000","-7,000,000","-4,000,000","-10,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-12,000,000","-12,000,000","-13,000,000","-13,000,000","-14,000,000","-12,000,000","-4,924,000","-6,665,000","-5,496,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"10,000,000","0","5,000,000","3,000,000","3,000,000","2,000,000","3,000,000","6,000,000","10,000,000","11,000,000","12,000,000","19,000,000","14,000,000","6,000,000","7,000,000","10,000,000","4,000,000","2,000,000","2,000,000","4,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","0","0","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","0","1,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","1,000,000","4,000,000","10,201,000","5,977,000","6,190,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"42,000,000","21,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","7,000,000","2,000,000","3,000,000","2,000,000","3,000,000","4,000,000","4,000,000","4,000,000","4,000,000","5,000,000","6,000,000","5,000,000","3,000,000","8,000,000","11,000,000","9,000,000","9,000,000","10,000,000","9,000,000","7,000,000","6,000,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","8,000,000","8,000,000","7,000,000","8,000,000","7,000,000","8,000,000","7,000,000","12,000,000","16,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","15,000,000","16,000,000","15,125,000","12,642,000","11,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"57,000,000","-5,000,000","45,000,000","5,000,000","11,000,000","52,000,000","6,000,000","4,000,000","-13,000,000","4,000,000","2,000,000","0","3,000,000",,"-7,000,000","1,000,000","3,000,000","3,000,000","1,000,000","-1,000,000","1,000,000","-2,000,000","-3,000,000","1,000,000","1,000,000","-5,000,000","-4,000,000","111,000,000","-264,000,000",,"-2,000,000","21,000,000","1,000,000","-1,000,000","4,000,000","46,000,000","-44,000,000","1,000,000","1,000,000","-2,000,000","7,000,000","1,000,000","9,000,000","-33,000,000","4,000,000","3,000,000","5,000,000","30,000,000","-7,000,000","-10,000,000","-9,000,000","-8,551,000","-9,957,000","-12,548,000","-9,011,000","-9,942,000","4,839,000","5,921,000","16,652,000","26,548,000","-9,313,000","-2,334,000","-1,621,000","-2,491,000","-3,199,000","-526,000","508,000","924,000","-3,846,000","-4,112,000","-4,286,000","-23,260,000","-6,284,000","-6,690,000","-5,902,000","64,207,000","-1,392,000","-7,397,000","-16,991,000","-49,288,000","-41,135,000","-60,467,000","-80,341,000","-70,574,000","-134,317,000","-70,296,000","-3,868,000","-78,914,000","422,206,000","-2,800,000","-10,100,000","497,900,000","63,900,000","14,000,000","3,300,000","-48,800,000","3,100,000","2,200,000","6,300,000","-7,200,000","-3,300,000","1,800,000","-2,900,000","2,200,000","2,000,000","1,300,000","2,100,000","34,900,000","700,000","500,000","-43,400,000","900,000","1,000,000","400,000","300,000","200,000","100,000",
	GainOnSaleOfSecurity,,,,,,,,,,"4,000,000","3,000,000","1,000,000","5,000,000","1,000,000","-5,000,000","3,000,000","-3,000,000","5,000,000","2,000,000","1,000,000","3,000,000","4,000,000","-1,000,000",,"4,000,000","-4,000,000","-2,000,000","0","2,000,000",,"1,000,000","22,000,000","2,000,000",,"3,000,000","1,000,000","2,000,000","3,000,000","1,000,000",,,,,,,,,,,,,"-600,000","507,000","577,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"115,000,000","-263,000,000",,,,,,,,"-46,000,000",,,"-17,000,000","7,000,000","1,000,000","9,000,000","-32,000,000","4,000,000","3,000,000","5,000,000","29,000,000","-7,000,000","-10,000,000","-9,000,000","-7,951,000","-10,464,000","-12,548,000","-9,011,000","-9,942,000","4,839,000","5,921,000","16,652,000","26,548,000","-9,313,000","-2,334,000","-1,621,000","-2,491,000","-3,199,000","-526,000","508,000","924,000","-3,846,000","-4,112,000","-4,286,000","-23,260,000","-6,284,000","-6,690,000","-5,902,000","64,207,000","-1,392,000","-7,397,000","-16,991,000","-49,288,000","-41,135,000","-60,467,000","-80,341,000","-70,574,000","-134,317,000","-70,296,000","-3,868,000","-78,914,000","422,206,000","-2,800,000","-10,100,000","497,900,000","63,900,000","14,000,000","3,300,000","-48,800,000","3,100,000","2,200,000","6,300,000","-7,200,000","-3,300,000","1,800,000","-2,900,000","2,200,000","2,000,000","1,300,000","2,100,000","34,900,000","700,000","500,000","-43,400,000","900,000","1,000,000","400,000","300,000","200,000","100,000",
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000","11,000,000","10,000,000","9,522,000","10,464,000","12,548,000","9,588,000","10,169,000","9,254,000","8,083,000","8,012,000","5,128,000","9,660,000","2,334,000","2,842,000","2,747,000","3,278,000","3,553,000","3,759,000","3,959,000","3,970,000","4,172,000","4,444,000","23,916,000","6,391,000","6,780,000","6,049,000","6,932,000","8,406,000","9,154,000","9,455,000","40,868,000","37,562,000","62,099,000","41,087,000","42,874,000","122,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-115,000,000","263,000,000",,,,,,,,"46,000,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
