name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"17,814,000,000","4,350,000,000","4,229,000,000","4,668,000,000","4,567,000,000","4,660,000,000","4,463,000,000","4,445,000,000","4,626,000,000","4,832,000,000","4,431,000,000","1,865,000,000","1,728,000,000","1,666,000,000","1,542,000,000","1,666,000,000","1,568,000,000","1,535,000,000","1,413,000,000","1,542,000,000","1,489,000,000","1,700,000,000","1,754,000,000","1,904,000,000","1,909,000,000","1,843,000,000","1,811,000,000","1,534,700,000","1,186,600,000","1,206,300,000","1,155,400,000","1,329,400,000","1,267,500,000","1,223,200,000","1,191,900,000","1,359,600,000","1,203,700,000","1,286,900,000","1,261,500,000","1,079,000,000","1,476,000,000","1,446,400,000","1,460,300,000","1,667,400,000","1,413,300,000","1,438,500,000","1,405,400,000","1,455,900,000","1,329,500,000","1,217,700,000","1,203,000,000","752,200,000","1,361,700,000","1,523,400,000","1,367,700,000","1,433,200,000","1,329,600,000","1,317,700,000","1,230,500,000","1,207,600,000","1,072,400,000","1,016,200,000","946,800,000","992,400,000","881,100,000","841,600,000","759,700,000","821,900,000","772,100,000","737,200,000","669,400,000","686,600,000","664,200,000","608,600,000","559,200,000","579,700,000","538,900,000","523,900,000","450,200,000","497,600,000","483,300,000","451,500,000","443,400,000","528,500,000","479,300,000","486,900,000","460,400,000","512,400,000","455,200,000","441,000,000","398,800,000","-1,013,900,000","949,600,000","919,400,000","888,400,000","979,000,000","961,600,000","970,000,000","979,600,000","1,046,500,000","921,400,000","945,900,000","883,400,000","1,012,000,000","875,900,000","916,600,000","816,700,000","923,300,000","850,400,000","863,100,000","807,300,000","921,200,000","838,300,000","807,500,000","769,100,000","858,500,000","744,200,000","768,800,000","727,600,000","827,800,000","734,600,000","755,700,000","685,900,000","805,100,000","750,300,000","765,400,000","719,300,000","790,200,000","778,600,000","761,100,000","722,700,000","590,200,000","581,700,000","555,200,000","486,500,000","538,500,000","524,700,000","492,800,000","506,600,000","562,200,000","522,300,000","525,200,000","469,400,000","577,200,000","517,300,000","562,200,000","559,900,000"
	OperatingRevenue,"17,814,000,000","4,350,000,000","4,229,000,000","4,668,000,000","4,567,000,000","4,660,000,000","4,463,000,000","4,445,000,000","4,626,000,000","4,832,000,000","4,431,000,000","1,865,000,000","1,728,000,000","1,666,000,000","1,542,000,000","1,666,000,000","1,568,000,000","1,535,000,000","1,413,000,000","1,542,000,000","1,489,000,000","1,700,000,000","1,754,000,000","1,904,000,000","1,909,000,000","1,843,000,000","1,811,000,000","1,534,700,000","1,186,600,000","1,206,300,000","1,155,400,000","1,329,400,000","1,267,500,000","1,223,200,000","1,191,900,000","1,359,600,000","1,203,700,000","1,286,900,000","1,261,500,000","1,079,000,000","1,476,000,000","1,446,400,000","1,460,300,000","1,667,400,000","1,413,300,000","1,438,500,000","1,405,400,000","1,455,900,000","1,329,500,000","1,217,700,000","1,203,000,000","752,200,000","1,361,700,000","1,523,400,000","1,367,700,000","1,433,200,000","1,329,600,000","1,317,700,000","1,230,500,000","1,207,600,000","1,072,400,000","1,016,200,000","946,800,000","992,400,000","881,100,000","841,600,000","759,700,000","821,900,000","772,100,000","737,200,000","669,400,000","686,600,000","664,200,000","608,600,000","559,200,000","579,700,000","538,900,000","523,900,000","450,200,000","497,600,000","483,300,000","451,500,000","443,400,000","528,500,000","479,300,000","486,900,000","460,400,000","512,400,000","455,200,000","441,000,000","398,800,000","-1,013,900,000","949,600,000","919,400,000","888,400,000","979,000,000","961,600,000","970,000,000","979,600,000","1,046,500,000","921,400,000","945,900,000","883,400,000","1,012,000,000","875,900,000","916,600,000","816,700,000","923,300,000","850,400,000","863,100,000","807,300,000","921,200,000","838,300,000","807,500,000","769,100,000","858,500,000","744,200,000","768,800,000","727,600,000","827,800,000","734,600,000","755,700,000","685,900,000","805,100,000","750,300,000","765,400,000","719,300,000","790,200,000","778,600,000","761,100,000","722,700,000","590,200,000","581,700,000","555,200,000","486,500,000","538,500,000","524,700,000","492,800,000","506,600,000","562,200,000","522,300,000","525,200,000","469,400,000","577,200,000","517,300,000","562,200,000","559,900,000"
CostOfRevenue,"12,438,000,000","3,053,000,000","2,921,000,000","3,251,000,000","3,213,000,000","3,261,000,000","3,152,000,000","3,175,000,000","3,298,000,000","3,484,000,000","3,242,000,000","1,223,000,000","1,139,000,000","1,095,000,000","1,010,000,000","1,027,000,000","1,007,000,000","999,000,000","898,000,000","1,019,000,000","964,000,000","1,138,000,000","1,175,000,000","1,319,000,000","1,312,000,000","1,281,000,000","1,220,000,000","1,038,200,000","753,400,000","807,800,000","762,600,000","899,600,000","841,000,000","795,400,000","774,500,000","887,800,000","803,500,000","845,400,000","848,300,000","746,000,000","937,900,000","933,900,000","966,700,000","1,092,600,000","896,300,000","940,500,000","881,100,000","923,700,000","820,000,000","778,600,000","812,100,000","478,300,000","952,300,000","1,061,200,000","928,400,000","990,000,000","933,900,000","908,200,000","849,600,000","827,400,000","719,100,000","683,700,000","640,900,000","651,400,000","584,200,000","602,300,000","534,800,000","585,100,000","547,400,000","540,200,000","504,100,000","520,200,000","498,700,000","449,700,000","419,700,000","446,700,000","404,900,000","388,700,000","335,300,000","359,200,000","354,300,000","333,800,000","330,800,000","380,400,000","352,600,000","362,500,000","335,600,000","367,700,000","327,600,000","313,400,000","283,600,000","-456,600,000","592,600,000","524,100,000","554,700,000","605,700,000","569,800,000","591,000,000","608,500,000","639,900,000","561,300,000","590,600,000","543,900,000","620,500,000","533,900,000","575,700,000","503,800,000","545,100,000","538,800,000","559,300,000","520,000,000","585,600,000","540,600,000","511,200,000","483,900,000","538,000,000","461,200,000","480,200,000","456,800,000","487,100,000","464,900,000","481,500,000","432,800,000","487,100,000","462,800,000","466,200,000","433,500,000","451,900,000","434,600,000","468,900,000","435,800,000",,,,,,,,,,,,,,,,
GrossProfit,"5,376,000,000","1,297,000,000","1,308,000,000","1,417,000,000","1,354,000,000","1,399,000,000","1,311,000,000","1,270,000,000","1,328,000,000","1,348,000,000","1,189,000,000","642,000,000","589,000,000","571,000,000","532,000,000","639,000,000","561,000,000","536,000,000","515,000,000","523,000,000","525,000,000","562,000,000","579,000,000","585,000,000","597,000,000","562,000,000","591,000,000","496,500,000","433,200,000","398,500,000","392,800,000","429,800,000","426,500,000","427,800,000","417,400,000","471,800,000","400,200,000","441,500,000","413,200,000","333,000,000","538,100,000","512,500,000","493,600,000","574,800,000","517,000,000","498,000,000","524,300,000","532,200,000","509,500,000","439,100,000","390,900,000","273,900,000","409,400,000","462,200,000","439,300,000","443,200,000","395,700,000","409,500,000","380,900,000","380,200,000","353,300,000","332,500,000","305,900,000","341,000,000","296,900,000","239,300,000","224,900,000","236,800,000","224,700,000","197,000,000","165,300,000","166,400,000","165,500,000","158,900,000","139,500,000","133,000,000","134,000,000","135,200,000","114,900,000","138,400,000","129,000,000","117,700,000","112,600,000","148,100,000","126,700,000","124,400,000","124,800,000","144,700,000","127,600,000","127,600,000","115,200,000","-557,300,000","357,000,000","395,300,000","333,700,000","373,300,000","391,800,000","379,000,000","371,100,000","406,600,000","360,100,000","355,300,000","339,500,000","391,500,000","342,000,000","340,900,000","312,900,000","378,200,000","311,600,000","303,800,000","287,300,000","335,600,000","297,700,000","296,300,000","285,200,000","320,500,000","283,000,000","288,600,000","270,800,000","340,700,000","269,700,000","274,200,000","253,100,000","318,000,000","287,500,000","299,200,000","285,800,000","338,300,000","344,000,000","292,200,000","286,900,000",,,,,,,,,,,,,,,,
OperatingExpense,"3,280,000,000","795,000,000","793,000,000","891,000,000","801,000,000","831,000,000","817,000,000","904,000,000","815,000,000","928,000,000","999,000,000","349,000,000","310,000,000","304,000,000","279,000,000","317,000,000","305,000,000","264,000,000","243,000,000","248,000,000","250,000,000","276,000,000","311,000,000","309,000,000","309,000,000","239,000,000","329,000,000","404,500,000","220,800,000","187,500,000","195,200,000","203,900,000","203,200,000","204,700,000","207,800,000","300,700,000","202,500,000","213,100,000","198,200,000","76,800,000","297,600,000","286,400,000","290,900,000","347,900,000","285,600,000","255,200,000","255,200,000","286,100,000","245,000,000","215,700,000","212,100,000","74,300,000","240,100,000","236,600,000","240,300,000","270,200,000","236,400,000","230,300,000","216,900,000","238,400,000","241,500,000","181,400,000","169,400,000","205,100,000","177,800,000","171,000,000","141,500,000","141,400,000","136,000,000","124,200,000","101,000,000","112,800,000","107,600,000","104,900,000","95,700,000","128,600,000","97,600,000","108,900,000","96,800,000","103,800,000","99,300,000","89,700,000","81,700,000","98,500,000","103,200,000","93,500,000","61,400,000","138,700,000","127,100,000","112,300,000","107,900,000","-450,400,000","300,300,000","323,200,000","274,700,000","289,600,000","303,700,000","295,600,000","298,200,000","311,900,000","280,000,000","282,700,000","272,700,000","294,100,000","272,900,000","262,800,000","252,800,000","282,700,000","241,000,000","240,000,000","237,400,000","258,600,000","242,200,000","241,300,000","242,200,000","268,400,000","237,300,000","241,500,000","233,200,000","288,300,000","235,700,000","236,100,000","228,400,000","382,500,000","252,500,000","384,700,000","253,600,000","295,100,000","281,600,000","231,300,000","236,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"3,280,000,000","795,000,000","793,000,000","891,000,000","801,000,000","831,000,000","817,000,000","904,000,000","815,000,000","928,000,000","999,000,000","349,000,000","310,000,000","304,000,000","279,000,000","317,000,000","305,000,000","264,000,000","243,000,000","248,000,000","250,000,000","276,000,000","311,000,000","309,000,000","309,000,000","239,000,000","329,000,000","404,500,000","220,800,000","187,500,000","195,200,000","203,900,000","203,200,000","204,700,000","207,800,000","300,700,000","202,500,000","213,100,000","198,200,000","76,800,000","297,600,000","286,400,000","290,900,000","347,900,000","285,600,000","255,200,000",,,,"215,700,000","212,100,000","74,300,000","240,100,000","236,600,000","240,300,000","270,200,000","236,400,000","230,300,000","216,900,000","238,400,000","241,500,000","181,400,000","169,400,000","205,100,000","177,800,000","171,000,000","141,500,000","141,400,000","136,000,000","124,200,000","101,000,000","112,800,000","107,600,000","104,900,000","95,700,000","128,600,000","97,600,000","108,900,000","96,800,000","103,800,000","99,300,000","97,500,000","99,600,000","113,100,000","104,800,000","95,700,000","100,800,000","120,600,000","108,300,000","96,500,000","92,000,000","-308,700,000","234,300,000","237,300,000","221,400,000","234,400,000","246,000,000","245,600,000","250,900,000","262,400,000","231,500,000","239,000,000","230,900,000","248,300,000","229,100,000","223,000,000","211,500,000","229,600,000","201,200,000","209,100,000","195,900,000","221,600,000","203,400,000","201,900,000","203,900,000","228,600,000","197,400,000","202,400,000","194,700,000","231,100,000","204,700,000","194,400,000","187,100,000","329,200,000","209,500,000","340,400,000","210,100,000","240,600,000","220,200,000","199,200,000","201,300,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","5,700,000","4,500,000","18,100,000","18,800,000","15,800,000","15,900,000","-141,700,000","66,000,000","85,900,000","53,300,000","55,200,000","57,700,000","50,000,000","47,300,000","49,500,000","48,500,000","43,700,000","41,800,000","45,800,000","43,800,000","39,800,000","41,300,000","53,100,000","39,800,000","30,900,000","41,500,000","37,000,000","38,800,000","39,400,000","38,300,000","39,800,000","39,900,000","39,100,000","38,500,000","57,200,000","31,000,000","41,700,000","41,300,000","53,300,000","43,000,000","44,300,000","43,500,000","54,500,000","61,400,000","32,100,000","35,600,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","5,700,000","4,500,000","18,100,000","18,800,000","15,800,000","15,900,000","-141,700,000","66,000,000","85,900,000","53,300,000","55,200,000","57,700,000","50,000,000","47,300,000","49,500,000","48,500,000","43,700,000","41,800,000","45,800,000","43,800,000","39,800,000","41,300,000","53,100,000","39,800,000","30,900,000","41,500,000","37,000,000","38,800,000","39,400,000","38,300,000","39,800,000","39,900,000","39,100,000","38,500,000","57,200,000","31,000,000","41,700,000","41,300,000","53,300,000","43,000,000","44,300,000","43,500,000","54,500,000","61,400,000","32,100,000","35,600,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","5,700,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","6,000,000","5,700,000","4,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,800,000","-17,900,000","-20,600,000","-7,600,000","-7,900,000","-43,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,096,000,000","502,000,000","515,000,000","526,000,000","553,000,000","568,000,000","494,000,000","366,000,000","513,000,000","420,000,000","190,000,000","293,000,000","279,000,000","267,000,000","253,000,000","322,000,000","256,000,000","272,000,000","272,000,000","275,000,000","275,000,000","286,000,000","268,000,000","276,000,000","288,000,000","323,000,000","262,000,000","92,000,000","212,400,000","211,000,000","197,600,000","225,900,000","223,300,000","223,100,000","209,600,000","171,100,000","197,700,000","228,400,000","215,000,000","256,200,000","240,500,000","226,100,000","202,700,000","226,900,000","231,400,000","242,800,000","269,100,000","246,100,000","264,500,000","223,400,000","178,800,000","199,600,000","169,300,000","225,600,000","199,000,000","173,000,000","159,300,000","179,200,000","164,000,000","141,800,000","111,800,000","151,100,000","136,500,000","135,900,000","119,100,000","68,300,000","83,400,000","95,400,000","88,700,000","72,800,000","64,300,000","53,600,000","57,900,000","54,000,000","43,800,000","4,400,000","36,400,000","26,300,000","18,100,000","34,600,000","29,700,000","28,000,000","30,900,000","49,600,000","23,500,000","30,900,000","63,400,000","6,000,000","500,000","15,300,000","7,300,000","-106,900,000","56,700,000","72,100,000","59,000,000","83,700,000","88,100,000","83,400,000","72,900,000","94,700,000","80,100,000","72,600,000","66,800,000","97,400,000","69,100,000","78,100,000","60,100,000","95,500,000","70,600,000","63,800,000","49,900,000","77,000,000","55,500,000","55,000,000","43,000,000","52,100,000","45,700,000","47,100,000","37,600,000","52,400,000","34,000,000","38,100,000","24,700,000","-64,500,000","35,000,000","-85,500,000","32,200,000","43,200,000","62,400,000","60,900,000","50,000,000","-1,458,800,000","581,700,000","555,200,000","486,500,000","-1,438,800,000","524,700,000","492,800,000","506,600,000","-1,411,400,000","522,300,000","525,200,000","469,400,000","-1,566,200,000","517,300,000","562,200,000","559,900,000"
NetNonOperatingInterestIncomeExpense,"-265,000,000","-67,000,000","-67,000,000","-65,000,000","-66,000,000","-64,000,000","-62,000,000","-65,000,000","-63,000,000","-65,000,000","-58,000,000","-39,000,000","-42,000,000","-43,000,000","-43,000,000","-45,000,000","-41,000,000","-41,000,000","-41,000,000","-41,000,000","-42,000,000","-43,000,000","-43,000,000","-43,000,000","-46,000,000","-45,000,000","-47,000,000","-50,200,000","-33,700,000","-22,000,000","-22,100,000","-22,200,000","-22,500,000","-23,000,000","-23,100,000","-25,600,000","-26,800,000","-27,100,000","-27,400,000","-27,100,000","-27,500,000","-28,000,000","-27,100,000","-25,700,000","-24,700,000","-20,000,000","-17,200,000","-17,200,000","-17,700,000","-17,900,000","-17,800,000","-12,300,000","-12,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,"3,000,000","4,000,000","4,000,000","3,000,000","5,000,000","3,000,000","9,000,000","0","1,000,000","0","1,000,000","1,000,000","0","1,000,000",,"1,000,000","0","1,000,000","1,000,000","1,000,000","0","0","1,000,000","300,000","300,000","700,000","700,000","800,000","700,000","700,000","600,000","400,000","800,000","500,000","500,000","200,000","1,200,000","200,000","900,000","500,000","1,300,000","400,000","600,000","400,000","400,000","300,000","400,000","-500,000","800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"265,000,000","67,000,000","67,000,000","65,000,000","69,000,000","68,000,000","66,000,000","68,000,000","68,000,000","68,000,000","67,000,000","39,000,000","43,000,000","43,000,000","44,000,000","46,000,000","41,000,000","42,000,000","41,000,000","42,000,000","42,000,000","44,000,000","44,000,000","44,000,000","46,000,000","45,000,000","48,000,000","50,500,000","34,000,000","22,700,000","22,800,000","23,000,000","23,200,000","23,700,000","23,700,000","26,000,000","27,600,000","27,600,000","27,900,000","27,300,000","28,700,000","28,200,000","28,000,000","26,200,000","26,000,000","20,400,000","17,800,000","17,600,000","18,100,000","18,200,000","18,200,000","11,800,000","13,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"452,000,000","153,000,000","138,000,000","121,000,000","40,000,000","-257,000,000","86,000,000","35,000,000","-229,000,000","113,000,000","308,000,000","48,000,000","46,000,000","47,000,000","47,000,000","-26,000,000",,"-2,000,000",,"0",,"1,000,000",,"10,000,000","-1,000,000","-367,000,000","1,000,000","-108,500,000","300,000","200,000",,"-400,000","200,000","3,200,000","1,300,000","-39,100,000","-500,000","-1,100,000",,"423,800,000","-415,900,000","2,900,000","700,000","-300,000","-300,000","-900,000","-400,000","-900,000","-500,000","-300,000","-200,000","44,600,000","6,600,000","-301,700,000","-8,100,000","2,700,000","2,800,000","4,200,000","1,700,000","-300,000","166,200,000","-200,000","-18,500,000","-400,000",,"-200,000","-600,000","-100,000","-1,000,000","-3,500,000","-1,700,000","-3,600,000","-1,400,000","-6,000,000",,"1,600,000","2,800,000","3,100,000","16,200,000","7,700,000","7,600,000","7,800,000","17,900,000","20,600,000","7,600,000","7,900,000","-29,600,000","18,100,000","-22,100,000","3,800,000","7,400,000","-68,200,000","27,700,000","28,900,000","5,200,000","-100,400,000","22,600,000","12,800,000","10,100,000","18,900,000","19,700,000","12,900,000","6,200,000","8,300,000","16,500,000","600,000","6,800,000","3,100,000","5,200,000","5,700,000","9,200,000","-7,900,000","10,300,000","7,900,000","11,000,000","17,200,000","12,400,000","8,400,000","9,100,000","12,000,000","12,400,000","9,400,000","11,200,000","124,500,000","23,100,000","11,700,000","10,800,000","30,100,000","7,700,000","5,300,000","6,400,000",,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-22,000,000","28,000,000","27,000,000","0","-77,000,000","-360,000,000","-10,000,000","-70,000,000","-324,000,000","-2,000,000","229,000,000",,,,,,,,,,,,,"10,000,000","0","-367,000,000",,,,,,,,,,,,,,"412,300,000","-415,900,000","2,900,000","700,000","-300,000","-300,000","-900,000","-400,000","-900,000","-500,000","-300,000","-200,000","44,600,000","6,600,000","-301,700,000","-8,100,000","2,900,000","2,500,000","4,300,000","1,700,000","-400,000","166,200,000","-200,000","-18,500,000","-400,000",,"-200,000","-600,000","-100,000","-1,000,000","-3,500,000","-1,700,000","-3,600,000","-1,400,000","-6,000,000",,"1,600,000","2,800,000","3,100,000","16,200,000","7,700,000","7,600,000","7,800,000","17,900,000","20,600,000","7,600,000","7,900,000","-29,600,000","18,100,000","-22,100,000","3,800,000","7,400,000","-68,200,000","27,700,000","28,900,000","5,200,000","-100,400,000","22,600,000","12,800,000","10,100,000","18,900,000","19,700,000","12,900,000","6,200,000","8,300,000","16,500,000","600,000","6,800,000","3,100,000","5,200,000","5,700,000","9,200,000","-7,900,000","10,300,000","7,900,000","11,000,000","17,200,000","12,400,000","8,400,000","9,100,000","12,000,000","12,400,000","9,400,000","11,200,000","124,500,000","23,100,000","11,700,000","10,800,000","30,100,000","7,700,000","5,300,000","6,400,000",,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-163,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"207,000,000","0","0","145,000,000","62,000,000","373,000,000","0","70,000,000","324,000,000",,,,,,,,,,,,,,,"0","0","367,000,000",,,,,,,,,,,,,,,"424,000,000",,,,,,,,,,,"-45,500,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"35,000,000","0","0","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,100,000",,,,,,,,,,,"900,000","-6,600,000",,,,,,,,"-2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"220,000,000","28,000,000","27,000,000","180,000,000","-15,000,000","11,000,000","-10,000,000",,,"0","229,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"474,000,000","125,000,000","111,000,000","121,000,000","117,000,000","103,000,000","96,000,000","105,000,000","95,000,000","115,000,000","79,000,000","47,000,000","46,000,000","47,000,000","47,000,000","-2,000,000",,"-2,000,000",,,,"1,000,000",,"10,000,000","-1,000,000",,"1,000,000","500,000","300,000","200,000",,"-400,000","200,000","3,200,000","1,300,000","2,200,000","-500,000","-1,100,000",,"-200,000",,,,,,"-900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"2,283,000,000","588,000,000","586,000,000","582,000,000","527,000,000","247,000,000","518,000,000","336,000,000","221,000,000","468,000,000","440,000,000","302,000,000","283,000,000","271,000,000","257,000,000","251,000,000","215,000,000","229,000,000","231,000,000","234,000,000","233,000,000","244,000,000","225,000,000","243,000,000","241,000,000","-89,000,000","216,000,000","-66,700,000","179,000,000","189,200,000","175,500,000","203,300,000","201,000,000","203,300,000","187,800,000","106,400,000","170,400,000","200,200,000","187,600,000","652,900,000","-202,900,000","201,000,000","176,300,000","200,900,000","206,400,000","221,900,000","251,500,000","228,000,000","246,300,000","205,200,000","160,800,000","231,900,000","163,300,000","-89,400,000","179,500,000","164,600,000","150,100,000","171,200,000","152,600,000","134,500,000","272,100,000","143,600,000","110,600,000","128,900,000","111,300,000","61,000,000","79,600,000","91,400,000","83,200,000","64,900,000","58,900,000","45,800,000","52,200,000","43,200,000","38,800,000","1,000,000","34,200,000","24,700,000","30,200,000","40,300,000","34,100,000","24,800,000","25,900,000","44,700,000","17,000,000","24,600,000","-13,900,000","25,300,000","-22,100,000","21,000,000","14,300,000","-107,700,000","62,800,000","79,800,000","43,100,000","-36,700,000","90,800,000","79,800,000","66,100,000","101,000,000","83,300,000","69,500,000","58,200,000","92,700,000","68,000,000","62,100,000","51,600,000","81,300,000","58,500,000","53,500,000","44,300,000","54,300,000","51,000,000","48,400,000","39,800,000","54,800,000","43,000,000","40,200,000","31,900,000","48,700,000","30,700,000","27,400,000","18,300,000","39,100,000","38,800,000","-93,200,000","25,000,000","53,000,000","52,300,000","46,100,000","38,400,000",,,,,,,,,,,,,,,,
