name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005
TotalRevenue,"13,737,000,000","3,491,000,000","3,483,000,000","3,448,000,000","3,315,000,000","3,252,000,000","3,242,000,000","2,914,000,000","2,889,000,000","2,954,000,000","2,835,000,000","2,728,000,000","2,577,000,000","2,647,000,000","2,575,000,000","2,529,000,000","2,443,000,000","2,516,000,000","2,503,000,000","2,571,000,000","2,580,000,000","2,575,000,000","1,868,000,000","1,288,000,000","1,312,000,000","1,281,000,000","1,302,000,000","1,257,000,000","1,246,000,000","1,169,000,000","1,276,000,000","1,306,000,000","1,320,000,000","1,286,000,000","1,420,000,000","2,474,000,000","2,707,000,000","2,711,000,000","2,870,000,000","2,848,000,000","2,782,000,000","2,492,000,000","2,811,000,000","2,596,000,000","2,688,000,000","2,769,000,000","2,869,000,000","2,794,000,000","2,685,000,000","2,683,000,000","2,765,000,000","2,749,000,000","2,649,000,000","2,518,000,000","2,631,000,000","2,555,000,000","2,369,000,000","2,337,000,000","2,365,000,000","2,222,000,000","2,068,000,000","2,147,000,000","2,142,000,000","1,994,000,000","1,954,000,000","1,977,000,000","2,024,000,000"
	OperatingRevenue,"13,737,000,000","3,491,000,000","3,483,000,000","3,448,000,000","3,315,000,000","3,252,000,000","3,242,000,000","2,914,000,000","2,889,000,000","2,954,000,000","2,835,000,000","2,728,000,000","2,577,000,000","2,647,000,000","2,575,000,000","2,529,000,000","2,443,000,000","2,516,000,000","2,503,000,000","2,571,000,000","2,580,000,000","2,575,000,000","1,868,000,000","1,288,000,000","1,312,000,000","1,281,000,000","1,302,000,000","1,257,000,000","1,246,000,000","1,169,000,000","1,276,000,000","1,306,000,000","1,320,000,000","1,286,000,000","1,420,000,000","2,474,000,000","2,707,000,000","2,711,000,000","2,870,000,000","2,848,000,000","2,782,000,000","2,492,000,000","2,811,000,000","2,596,000,000","2,688,000,000","2,769,000,000","2,869,000,000","2,794,000,000","2,685,000,000","2,683,000,000","2,765,000,000","2,749,000,000","2,649,000,000","2,518,000,000","2,631,000,000","2,555,000,000","2,369,000,000","2,337,000,000","2,365,000,000","2,222,000,000","2,068,000,000","2,147,000,000","2,142,000,000","1,994,000,000","1,954,000,000","1,977,000,000","2,024,000,000"
CostOfRevenue,"11,723,000,000","2,983,000,000","2,942,000,000","2,950,000,000","2,848,000,000","2,761,000,000","2,774,000,000","2,531,000,000","2,494,000,000","2,527,000,000","2,450,000,000","2,348,000,000","2,221,000,000","2,278,000,000","2,174,000,000","2,152,000,000","2,086,000,000","2,231,000,000","2,189,000,000","2,233,000,000","2,270,000,000","2,266,000,000","1,630,000,000","1,141,000,000","1,154,000,000","1,124,000,000","1,138,000,000","1,113,000,000","1,093,000,000","1,017,000,000","1,115,000,000","1,119,000,000","1,147,000,000","1,103,000,000","1,224,000,000","2,217,000,000","2,378,000,000","2,380,000,000","2,509,000,000","2,504,000,000","2,448,000,000","2,496,000,000","2,495,000,000","2,258,000,000","2,357,000,000","2,411,000,000","2,481,000,000","2,388,000,000","2,352,000,000","2,301,000,000","2,378,000,000","2,369,000,000","2,295,000,000","2,163,000,000","2,277,000,000","2,202,000,000","2,053,000,000","2,015,000,000","2,027,000,000","1,910,000,000","1,797,000,000","1,874,000,000","1,862,000,000","1,714,000,000","1,684,000,000","1,708,000,000","1,793,000,000"
GrossProfit,"2,014,000,000","508,000,000","541,000,000","498,000,000","467,000,000","491,000,000","468,000,000","383,000,000","395,000,000","427,000,000","385,000,000","380,000,000","356,000,000","369,000,000","401,000,000","377,000,000","357,000,000","285,000,000","314,000,000","338,000,000","310,000,000","309,000,000","238,000,000","147,000,000","158,000,000","157,000,000","164,000,000","144,000,000","153,000,000","152,000,000","161,000,000","187,000,000","173,000,000","183,000,000","196,000,000","257,000,000","329,000,000","331,000,000","361,000,000","344,000,000","334,000,000","-4,000,000","316,000,000","338,000,000","331,000,000","358,000,000","388,000,000","406,000,000","333,000,000","382,000,000","387,000,000","380,000,000","354,000,000","355,000,000","354,000,000","353,000,000","316,000,000","322,000,000","338,000,000","312,000,000","271,000,000","273,000,000","280,000,000","280,000,000","270,000,000","269,000,000","231,000,000"
OperatingExpense,"860,000,000","235,000,000","233,000,000","224,000,000","159,000,000","187,000,000","200,000,000","195,000,000","197,000,000","171,000,000","177,000,000","175,000,000","166,000,000","182,000,000","195,000,000","174,000,000","178,000,000","124,000,000","141,000,000","143,000,000","144,000,000","131,000,000","87,000,000","57,000,000","60,000,000","53,000,000","53,000,000","51,000,000","75,000,000","71,000,000","72,000,000","87,000,000","83,000,000","82,000,000","116,000,000","117,000,000","154,000,000","148,000,000","168,000,000","153,000,000","126,000,000","107,000,000","333,000,000","129,000,000","101,000,000","138,000,000","130,000,000","133,000,000","126,000,000","173,000,000","154,000,000","159,000,000","150,000,000","147,000,000","149,000,000","167,000,000","143,000,000","151,000,000","152,000,000","139,000,000","131,000,000","129,000,000","136,000,000","129,000,000","128,000,000","131,000,000","125,000,000"
	SellingGeneralAndAdministration,"860,000,000","235,000,000","233,000,000","224,000,000","159,000,000","187,000,000","200,000,000","195,000,000","197,000,000","171,000,000","177,000,000","175,000,000","166,000,000","182,000,000","195,000,000","174,000,000","178,000,000","124,000,000","141,000,000","143,000,000","144,000,000","131,000,000","87,000,000","57,000,000","60,000,000","53,000,000","53,000,000","51,000,000","75,000,000","71,000,000","72,000,000","87,000,000","83,000,000","82,000,000","116,000,000","117,000,000","154,000,000","148,000,000","168,000,000","153,000,000","126,000,000","107,000,000","333,000,000","129,000,000","101,000,000","138,000,000","130,000,000","133,000,000","126,000,000","173,000,000","154,000,000","159,000,000","150,000,000","147,000,000","149,000,000","167,000,000","143,000,000","151,000,000","152,000,000","139,000,000","131,000,000","129,000,000","136,000,000","129,000,000","128,000,000","131,000,000","125,000,000"
OperatingIncome,"1,154,000,000","273,000,000","308,000,000","274,000,000","308,000,000","304,000,000","268,000,000","188,000,000","198,000,000","256,000,000","208,000,000","205,000,000","190,000,000","187,000,000","206,000,000","203,000,000","179,000,000","161,000,000","173,000,000","195,000,000","166,000,000","178,000,000","151,000,000","90,000,000","98,000,000","104,000,000","111,000,000","93,000,000","78,000,000","81,000,000","89,000,000","100,000,000","90,000,000","101,000,000","80,000,000","140,000,000","175,000,000","183,000,000","193,000,000","191,000,000","208,000,000","-111,000,000","-17,000,000","209,000,000","230,000,000","220,000,000","258,000,000","273,000,000","207,000,000","209,000,000","233,000,000","221,000,000","204,000,000","208,000,000","205,000,000","186,000,000","173,000,000","171,000,000","186,000,000","173,000,000","140,000,000","144,000,000","144,000,000","151,000,000","142,000,000","138,000,000","106,000,000"
NetNonOperatingInterestIncomeExpense,"-184,000,000","-46,000,000","-47,000,000","-46,000,000","-45,000,000","-46,000,000","-44,000,000","-41,000,000","-48,000,000","-34,000,000","-28,000,000","-33,000,000","-38,000,000","-34,000,000","-35,000,000","-35,000,000","-34,000,000","-35,000,000","-35,000,000","-34,000,000","-36,000,000","-37,000,000","-25,000,000","-13,000,000","-11,000,000","-12,000,000","-14,000,000","-14,000,000","-14,000,000","-17,000,000","-18,000,000","-19,000,000","-20,000,000","-24,000,000","-16,000,000","-13,000,000","-16,000,000","-17,000,000","-18,000,000","-22,000,000","-27,000,000","-27,000,000","-27,000,000","-28,000,000","-27,000,000","-22,000,000","-19,000,000","-18,000,000","-18,000,000","-19,000,000","-18,000,000","-19,000,000","-18,000,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,000,000",,,,,,,,,,,,,,,,,"3,000,000","1,000,000","2,000,000","2,000,000","2,000,000","3,000,000",,,,,,,"0","0","1,000,000","0","0","5,000,000","6,000,000","4,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","0","1,000,000","1,000,000","0","1,000,000","0","0","1,000,000","0","1,000,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"185,000,000","47,000,000","47,000,000","46,000,000","45,000,000","49,000,000","44,000,000","41,000,000","48,000,000","48,000,000","28,000,000","33,000,000","38,000,000","41,000,000","35,000,000","35,000,000","34,000,000","38,000,000","36,000,000","36,000,000","38,000,000","39,000,000","28,000,000","13,000,000","11,000,000","12,000,000","14,000,000","14,000,000","14,000,000","17,000,000","18,000,000","20,000,000","20,000,000","24,000,000","21,000,000","19,000,000","20,000,000","20,000,000","20,000,000","24,000,000","29,000,000","29,000,000","29,000,000","28,000,000","28,000,000","23,000,000","19,000,000","19,000,000","18,000,000","19,000,000","19,000,000","19,000,000","19,000,000",,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"34,000,000","28,000,000","33,000,000","38,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-3,000,000","-5,000,000","-1,000,000","-5,000,000","-1,000,000","-13,000,000","-10,000,000","45,000,000","-20,000,000","5,000,000","34,000,000","7,000,000","94,000,000","-3,000,000","-1,000,000","-3,000,000","-20,000,000","-92,000,000","-22,000,000","-26,000,000","-22,000,000","-36,000,000","-51,000,000","-17,000,000","-9,000,000","81,000,000","-17,000,000","-27,000,000","-41,000,000","-40,000,000","-17,000,000","-511,000,000","1,000,000","-17,000,000","-85,000,000","-65,000,000","-32,000,000","-38,000,000","2,000,000","4,000,000","2,000,000","2,000,000","-2,000,000","1,000,000","4,000,000","-3,000,000","7,000,000","-2,000,000",,"1,000,000","2,000,000",,"3,000,000","-10,000,000","-16,000,000","3,000,000","8,000,000","1,000,000","2,000,000","-4,000,000",,"1,000,000","1,000,000","-1,000,000","-1,000,000","-14,000,000","1,000,000"
	GainOnSaleOfSecurity,"-1,000,000"
	EarningsFromEquityInterest,"20,000,000","6,000,000","5,000,000","4,000,000","5,000,000","4,000,000","-3,000,000","7,000,000","6,000,000","2,000,000","6,000,000","6,000,000","4,000,000","6,000,000","4,000,000","4,000,000","4,000,000","8,000,000","5,000,000","-7,000,000","7,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","2,000,000",,,,,,,,
	SpecialIncomeCharges,"-25,000,000","-12,000,000","-8,000,000","-9,000,000","-5,000,000","-45,000,000","-7,000,000","54,000,000","-12,000,000","91,000,000","35,000,000","-1,000,000","-2,000,000","-5,000,000","-7,000,000","-8,000,000","-24,000,000","-68,000,000","-27,000,000","-22,000,000","-32,000,000","-36,000,000","-50,000,000","-15,000,000","-9,000,000","-2,000,000","-17,000,000","-29,000,000","-40,000,000","-44,000,000","-17,000,000","-510,000,000","-1,000,000","-6,000,000","-87,000,000","-65,000,000","-33,000,000","-46,000,000","2,000,000","4,000,000","2,000,000","2,000,000","-2,000,000","1,000,000","4,000,000","-3,000,000","7,000,000","-2,000,000","0","1,000,000","2,000,000","0","3,000,000","-1,000,000","-16,000,000","3,000,000","8,000,000","-2,000,000",,"-4,000,000",,"-1,000,000","1,000,000","-1,000,000","-1,000,000","-14,000,000","1,000,000"
		RestructuringAndMergernAcquisition,"27,000,000","6,000,000","6,000,000","10,000,000","5,000,000","6,000,000","5,000,000","16,000,000","12,000,000","2,000,000","0","1,000,000","2,000,000","5,000,000","7,000,000","8,000,000","17,000,000","58,000,000","27,000,000","22,000,000","32,000,000","30,000,000","49,000,000","15,000,000","9,000,000","3,000,000",,,,"2,000,000","0","0","1,000,000","7,000,000","25,000,000","35,000,000","33,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"11,000,000",,,,,,"0","11,000,000",,"0","0","0","0","0","0",,"7,000,000",,,,,"4,000,000",,"0",,,"0","0","40,000,000","0","0","486,000,000","0","0","19,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"-5,000,000","3,000,000","2,000,000","-1,000,000",,"3,000,000","2,000,000","-70,000,000",,"-5,000,000","-35,000,000","0","0","0","0",,"7,000,000","-1,000,000",,,,"6,000,000","1,000,000","0",,"-1,000,000","17,000,000","29,000,000","40,000,000","42,000,000","17,000,000","24,000,000","0","-1,000,000","62,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"-3,000,000"
	OtherNonOperatingIncomeExpenses,"3,000,000","2,000,000","2,000,000",,"-1,000,000","32,000,000",,"-16,000,000","-14,000,000",,"-7,000,000","2,000,000","92,000,000","-6,000,000","2,000,000","1,000,000",,"-32,000,000",,"3,000,000","3,000,000","8,000,000","-1,000,000","-2,000,000",,"83,000,000",,"2,000,000","-1,000,000","4,000,000",,"-1,000,000","2,000,000","-11,000,000","2,000,000",,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"967,000,000","222,000,000","260,000,000","223,000,000","262,000,000","245,000,000","214,000,000","192,000,000","130,000,000","227,000,000","214,000,000","179,000,000","246,000,000","150,000,000","170,000,000","165,000,000","125,000,000","34,000,000","116,000,000","135,000,000","108,000,000","105,000,000","75,000,000","60,000,000","78,000,000","173,000,000","80,000,000","52,000,000","23,000,000","24,000,000","54,000,000","-430,000,000","71,000,000","60,000,000","-21,000,000","62,000,000","127,000,000","128,000,000","177,000,000","173,000,000","183,000,000","-136,000,000","-46,000,000","182,000,000","207,000,000","195,000,000","246,000,000","253,000,000","189,000,000","191,000,000","217,000,000","202,000,000","189,000,000","181,000,000","174,000,000","174,000,000","170,000,000","163,000,000","178,000,000","159,000,000","129,000,000","138,000,000","155,000,000","160,000,000","147,000,000","130,000,000","111,000,000"
TaxProvision,"208,000,000","46,000,000","52,000,000","53,000,000","57,000,000","48,000,000","51,000,000","38,000,000","15,000,000","46,000,000","52,000,000","41,000,000","57,000,000","-38,000,000","23,000,000","20,000,000","23,000,000","-79,000,000","37,000,000","37,000,000","34,000,000","45,000,000","-17,000,000","19,000,000","29,000,000","46,000,000","31,000,000","15,000,000","0","-2,000,000","16,000,000","9,000,000","25,000,000","5,000,000","-12,000,000","18,000,000","46,000,000","-58,000,000","65,000,000","63,000,000","66,000,000","24,000,000","44,000,000","70,000,000","77,000,000","63,000,000","92,000,000","95,000,000","64,000,000","68,000,000","82,000,000","77,000,000","72,000,000","62,000,000","56,000,000","70,000,000","66,000,000","60,000,000","69,000,000","60,000,000","52,000,000","53,000,000","65,000,000","60,000,000","54,000,000","-6,000,000","40,000,000"
