name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987,05/31/1987,02/28/1987,11/30/1986,08/31/1986,05/31/1986,02/28/1986,11/30/1985,08/31/1985
TotalRevenue,"11,365,400,000","2,913,700,000","3,058,900,000","2,653,300,000","2,739,500,000","2,771,100,000","2,995,200,000","2,678,900,000","3,287,900,000","2,555,000,000","2,820,800,000","2,390,700,000","2,613,200,000","2,707,100,000","2,383,700,000","1,834,400,000","1,966,200,000","1,994,500,000","2,173,400,000","1,804,200,000","1,861,700,000","1,981,200,000","2,088,400,000","2,667,500,000","2,827,500,000","2,924,100,000","3,092,700,000","2,793,800,000","4,104,700,000","3,876,700,000","4,150,000,000","3,701,000,000","4,435,500,000","4,389,700,000","4,713,900,000","4,201,800,000","4,593,500,000","3,850,500,000","3,735,500,000","3,311,900,000","3,413,600,000","3,373,100,000","3,403,900,000","3,072,000,000","3,169,700,000","3,154,700,000","3,161,100,000","2,817,600,000","2,848,600,000","3,096,800,000","3,172,600,000","2,961,400,000","3,266,600,000","3,134,700,000","3,264,300,000","3,065,600,000","1,610,700,000","3,528,400,000","3,511,000,000","2,955,600,000","3,332,500,000","2,918,400,000","3,088,700,000","2,688,600,000","2,974,600,000","2,878,900,000","3,810,200,000","3,362,900,000","3,385,200,000","3,569,900,000","4,116,200,000","3,495,600,000","3,756,000,000","3,597,700,000","3,872,800,000","4,393,700,000","2,362,500,000","4,448,900,000","5,964,600,000","7,063,200,000","6,413,500,000","6,244,700,000","7,363,600,000","7,607,800,000","6,683,500,000","6,429,200,000","7,206,200,000","6,801,600,000","6,540,300,000","5,797,800,000","6,602,900,000","6,593,600,000","6,013,200,000","5,693,300,000","6,404,400,000","6,483,400,000","5,881,500,000","5,385,000,000","6,433,600,000","6,140,400,000","5,198,300,000","5,635,000,000","6,764,500,000","6,404,300,000","5,987,100,000","5,771,800,000","6,626,300,000","6,436,400,000","5,816,800,000","5,757,600,000","6,288,600,000","6,245,900,000","5,888,400,000","5,581,300,000","6,355,100,000","5,687,400,000","5,378,300,000","5,060,400,000","5,564,400,000","5,516,000,000","5,574,600,000","4,848,500,000","5,470,700,000","5,325,200,000","4,814,800,000","4,874,200,000","5,328,300,000","4,487,400,000","4,006,300,000","3,626,300,000","3,860,500,000","4,008,000,000","2,971,900,000","2,716,700,000","2,843,700,000","2,808,100,000","2,569,900,000","2,193,300,000","2,295,800,000","2,416,000,000","3,833,700,000","1,531,800,000","1,694,900,000","1,771,100,000","1,589,000,000","1,302,000,000","1,444,200,000","1,575,800,000"
	OperatingRevenue,"11,365,400,000","2,913,700,000","3,058,900,000","2,653,300,000","2,739,500,000","2,771,100,000","2,995,200,000","2,678,900,000","3,287,900,000","2,555,000,000","2,820,800,000","2,390,700,000","2,613,200,000","2,707,100,000","2,383,700,000","1,834,400,000","1,966,200,000","1,994,500,000","2,173,400,000","1,804,200,000","1,861,700,000","1,981,200,000","2,088,400,000","2,667,500,000","2,827,500,000","2,924,100,000","3,092,700,000","2,793,800,000","4,104,700,000","3,876,700,000","4,150,000,000","3,701,000,000","4,435,500,000","4,389,700,000","4,713,900,000","4,201,800,000","4,593,500,000","3,850,500,000","3,735,500,000","3,311,900,000","3,413,600,000","3,373,100,000","3,403,900,000","3,072,000,000","3,169,700,000","3,154,700,000","3,161,100,000","2,817,600,000","2,848,600,000","3,096,800,000","3,172,600,000","2,961,400,000","3,266,600,000","3,134,700,000","3,264,300,000","3,065,600,000","1,610,700,000","3,528,400,000","3,511,000,000","2,955,600,000","3,332,500,000","2,918,400,000","3,088,700,000","2,688,600,000","2,974,600,000","2,878,900,000","3,810,200,000","3,362,900,000","3,385,200,000","3,569,900,000","4,116,200,000","3,495,600,000","3,756,000,000","3,597,700,000","3,872,800,000","4,393,700,000","2,362,500,000","4,448,900,000","5,964,600,000","7,063,200,000","6,413,500,000","6,244,700,000","7,363,600,000","7,607,800,000","6,683,500,000","6,429,200,000","7,206,200,000","6,801,600,000","6,540,300,000","5,797,800,000","6,602,900,000","6,593,600,000","6,013,200,000","5,693,300,000","6,404,400,000","6,483,400,000","5,881,500,000","5,385,000,000","6,433,600,000","6,140,400,000","5,198,300,000","5,635,000,000","6,764,500,000","6,404,300,000","5,987,100,000","5,771,800,000","6,626,300,000","6,436,400,000","5,816,800,000","5,757,600,000","6,288,600,000","6,245,900,000","5,888,400,000","5,581,300,000","6,355,100,000","5,687,400,000","5,378,300,000","5,060,400,000","5,564,400,000","5,516,000,000","5,574,600,000","4,848,500,000","5,470,700,000","5,325,200,000","4,814,800,000","4,874,200,000","5,328,300,000","4,487,400,000","4,006,300,000","3,626,300,000","3,860,500,000","4,008,000,000","2,971,900,000","2,716,700,000","2,843,700,000","2,808,100,000","2,569,900,000","2,193,300,000","2,295,800,000","2,416,000,000","3,833,700,000","1,531,800,000","1,694,900,000","1,771,100,000","1,589,000,000","1,302,000,000","1,444,200,000","1,575,800,000"
CostOfRevenue,"8,518,300,000","2,216,500,000","2,304,100,000","1,979,900,000","2,017,800,000","2,012,700,000","2,106,300,000","1,868,700,000","2,365,100,000","1,870,600,000","2,022,900,000","1,726,200,000","1,905,200,000","1,954,800,000","1,706,500,000","1,318,900,000","1,390,800,000","1,395,700,000","1,515,100,000","1,285,200,000","1,332,700,000","1,360,200,000","1,440,900,000","1,943,400,000","2,066,600,000","2,123,700,000","2,264,700,000","2,093,000,000","3,212,300,000","3,052,900,000","3,261,500,000","2,997,200,000","3,530,000,000","3,414,500,000","3,699,200,000","3,370,900,000","3,641,700,000","2,976,500,000","2,872,600,000","2,440,600,000","2,732,700,000","2,583,100,000","2,646,600,000","2,473,300,000","2,465,700,000","2,357,100,000","2,401,000,000","2,165,800,000","2,143,500,000","2,308,500,000","2,317,300,000","2,244,900,000","2,442,900,000","2,395,800,000","2,577,800,000","2,474,100,000","1,527,300,000","2,555,400,000","2,565,900,000","2,241,500,000","2,442,300,000","2,143,400,000","2,278,400,000","2,025,600,000","2,275,000,000","2,164,100,000","3,003,000,000","2,635,400,000","2,634,600,000","2,803,500,000","3,213,700,000","2,807,400,000","2,967,800,000","2,792,800,000","2,964,900,000","3,543,100,000","1,533,400,000","3,567,000,000","4,873,200,000","6,042,700,000","5,430,600,000","5,290,800,000","6,263,300,000","6,551,800,000","6,428,800,000","5,243,900,000","5,856,200,000","5,621,300,000","6,238,300,000","4,649,200,000","5,335,400,000","5,486,900,000","4,878,600,000","4,558,400,000","5,173,600,000","5,445,800,000","4,727,900,000","4,473,400,000","5,324,000,000","5,190,800,000","4,165,500,000","4,649,000,000","5,689,100,000","5,524,400,000","4,992,700,000","4,809,600,000","5,564,800,000","5,547,200,000","4,807,400,000","4,844,100,000","5,298,500,000","5,428,900,000","5,049,200,000","4,734,500,000","5,433,200,000","4,937,000,000","4,587,300,000","4,290,100,000","4,682,000,000","4,769,200,000","4,677,600,000","4,022,200,000","4,604,000,000","4,572,800,000","4,039,700,000","4,153,600,000","4,568,900,000","3,996,800,000","3,538,800,000","3,193,400,000","3,445,000,000",,,,,,,,,,,,,,,,,
GrossProfit,"2,847,100,000","697,200,000","754,800,000","673,400,000","721,700,000","758,400,000","888,900,000","810,200,000","922,800,000","684,400,000","797,900,000","664,500,000","708,000,000","752,300,000","677,200,000","515,500,000","575,400,000","598,800,000","658,300,000","519,000,000","529,000,000","621,000,000","647,500,000","724,100,000","760,900,000","800,400,000","828,000,000","700,800,000","892,400,000","823,800,000","888,500,000","703,800,000","905,500,000","975,200,000","1,014,700,000","830,900,000","951,800,000","874,000,000","862,900,000","871,300,000","680,900,000","790,000,000","757,300,000","598,700,000","704,000,000","797,600,000","760,100,000","651,800,000","705,100,000","788,300,000","855,300,000","716,500,000","823,700,000","738,900,000","686,500,000","591,500,000","83,400,000","973,000,000","945,100,000","714,100,000","890,200,000","775,000,000","810,300,000","663,000,000","699,600,000","714,800,000","807,200,000","727,500,000","750,600,000","766,400,000","902,500,000","688,200,000","788,200,000","804,900,000","907,900,000","850,600,000","829,100,000","881,900,000","1,091,400,000","1,020,500,000","982,900,000","953,900,000","1,100,300,000","1,056,000,000","254,700,000","1,185,300,000","1,350,000,000","1,180,300,000","302,000,000","1,148,600,000","1,267,500,000","1,106,700,000","1,134,600,000","1,134,900,000","1,230,800,000","1,037,600,000","1,153,600,000","911,600,000","1,109,600,000","949,600,000","1,032,800,000","986,000,000","1,075,400,000","879,900,000","994,400,000","962,200,000","1,061,500,000","889,200,000","1,009,400,000","913,500,000","990,100,000","817,000,000","839,200,000","846,800,000","921,900,000","750,400,000","791,000,000","770,300,000","882,400,000","746,800,000","897,000,000","826,300,000","866,700,000","752,400,000","775,100,000","720,600,000","759,400,000","490,600,000","467,500,000","432,900,000","415,500,000",,,,,,,,,,,,,,,,,
OperatingExpense,"1,428,800,000","338,000,000","345,400,000","310,100,000","435,300,000","309,700,000","357,700,000","300,300,000","532,000,000","319,900,000","369,800,000","400,800,000","394,700,000","334,100,000","487,300,000","257,300,000","441,500,000","330,200,000","307,300,000","239,000,000","417,800,000","349,700,000","417,900,000","281,500,000","789,700,000","489,600,000","524,700,000","405,400,000","521,400,000","1,726,100,000","732,600,000","492,000,000","1,085,700,000","550,200,000","572,700,000","559,400,000","571,000,000","614,000,000","496,700,000","453,900,000","745,300,000","373,700,000","455,800,000","422,900,000","252,200,000","420,500,000","428,400,000","410,000,000","511,700,000","421,900,000","460,000,000","426,400,000","510,800,000","425,100,000","389,900,000","369,000,000","339,300,000","494,600,000","527,200,000","405,000,000","570,000,000","450,200,000","450,400,000","437,200,000","568,500,000","525,400,000","459,200,000","434,000,000","488,400,000","505,900,000","441,700,000","414,500,000","424,000,000","430,700,000","486,500,000","569,800,000","472,000,000","586,500,000","659,100,000","581,800,000","568,300,000","583,300,000","627,000,000","644,800,000","-63,100,000","894,200,000","742,200,000","868,500,000","51,300,000","809,300,000","857,800,000","862,800,000","762,800,000","768,200,000","783,800,000","783,400,000","804,200,000","614,800,000","690,500,000","694,500,000","676,200,000","669,600,000","686,400,000","647,000,000","650,200,000","666,100,000","704,200,000","665,500,000","694,100,000","643,300,000","669,000,000","623,000,000","567,400,000","609,700,000","629,800,000","582,400,000","588,500,000","567,400,000","604,700,000","567,800,000","692,000,000","617,100,000","594,100,000","551,500,000","546,100,000","528,600,000","527,200,000","354,200,000","327,600,000","327,600,000","273,400,000",,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,428,800,000","338,000,000","345,400,000","310,100,000","435,300,000","309,700,000","357,700,000","300,300,000","532,000,000","319,900,000","369,800,000","400,800,000","394,700,000","334,100,000","487,300,000","257,300,000","441,500,000","330,200,000","307,300,000","239,000,000","417,800,000","349,700,000","417,900,000","281,500,000","789,700,000","489,600,000","524,700,000","405,400,000","521,400,000","1,726,100,000","732,600,000","492,000,000","1,085,700,000","550,200,000","572,700,000","559,400,000","571,000,000","614,000,000","496,700,000","453,900,000","745,300,000","373,700,000","455,800,000","422,900,000","252,200,000","420,500,000","428,400,000","410,000,000","511,700,000","421,900,000","460,000,000","426,400,000","510,800,000","425,100,000","389,900,000","369,000,000","339,300,000","494,600,000","527,200,000","405,000,000","570,000,000","450,200,000","450,400,000","437,200,000","568,500,000","525,400,000","459,200,000","434,000,000","488,400,000","505,900,000","441,700,000","414,500,000","424,000,000","430,700,000","486,500,000","569,800,000","472,000,000","586,500,000","659,100,000","581,800,000","568,300,000","583,300,000","627,000,000","644,800,000","378,600,000","732,900,000","627,500,000","735,100,000","-34,300,000","678,300,000","731,800,000","732,300,000","635,800,000","640,400,000","658,900,000","663,300,000","640,900,000","549,900,000","580,000,000","586,900,000","576,000,000","561,200,000","569,200,000","559,000,000","537,700,000","570,500,000","591,600,000","578,300,000","540,300,000","569,300,000","575,200,000","545,100,000","545,300,000","518,800,000","537,200,000","489,700,000","516,300,000","499,100,000","518,900,000","482,300,000","614,100,000","532,300,000","515,800,000","474,100,000","481,200,000","492,500,000","491,100,000","318,100,000","296,600,000","294,700,000","273,400,000",,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,622,500,000",,,,,,,,"532,000,000","319,900,000","369,800,000","400,800,000","394,700,000","334,100,000","487,300,000","257,300,000","441,500,000","330,200,000","307,300,000","239,000,000","417,800,000","349,700,000","417,900,000","281,500,000","789,700,000","489,600,000","524,700,000","405,400,000","521,400,000","1,726,100,000","732,600,000","492,000,000","1,085,700,000","550,200,000","572,700,000","559,400,000","571,000,000","614,000,000","496,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,622,500,000",,,,,,,,"532,000,000","319,900,000","369,800,000","400,800,000","394,700,000","334,100,000","487,300,000","257,300,000","441,500,000","330,200,000","307,300,000","239,000,000","417,800,000","349,700,000","417,900,000","281,500,000","789,700,000","489,600,000","524,700,000","405,400,000","521,400,000","1,726,100,000","732,600,000","492,000,000","1,085,700,000","550,200,000","572,700,000","559,400,000","571,000,000","614,000,000","496,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161,300,000","114,700,000","133,400,000","85,600,000","131,000,000","126,000,000","130,500,000","127,000,000","127,800,000","124,900,000","120,100,000","163,300,000","64,900,000","110,500,000","107,600,000","100,200,000","108,400,000","117,200,000","88,000,000","112,500,000","95,600,000","112,600,000","87,200,000","153,800,000","74,000,000","93,800,000","77,900,000","22,100,000","90,900,000","92,600,000","92,700,000","72,200,000","68,300,000","85,800,000","85,500,000","77,900,000","84,800,000","78,300,000","77,400,000","64,900,000","36,100,000","36,100,000","36,100,000","31,000,000","32,900,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"161,300,000","114,700,000","133,400,000","85,600,000","131,000,000","126,000,000","130,500,000","127,000,000","127,800,000","124,900,000","120,100,000","163,300,000","64,900,000","110,500,000","107,600,000","100,200,000","108,400,000","117,200,000","88,000,000","112,500,000","95,600,000","112,600,000","87,200,000","153,800,000","74,000,000","93,800,000","77,900,000","22,100,000","90,900,000","92,600,000","92,700,000","72,200,000","68,300,000","85,800,000","85,500,000","77,900,000","84,800,000","78,300,000","77,400,000","64,900,000","36,100,000","36,100,000","36,100,000","31,000,000","32,900,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"1,418,300,000","359,200,000","409,400,000","363,300,000","286,400,000","448,700,000","531,200,000","509,900,000","390,800,000","364,500,000","428,100,000","263,700,000","313,300,000","418,200,000","189,900,000","258,200,000","133,900,000","268,600,000","351,000,000","280,000,000","111,200,000","271,300,000","229,600,000","442,600,000","-28,800,000","310,800,000","303,300,000","295,400,000","371,000,000","-902,300,000","155,900,000","211,800,000","-180,200,000","425,000,000","442,000,000","271,500,000","380,800,000","260,000,000","366,200,000","417,400,000","-64,400,000","416,300,000","301,500,000","175,800,000","451,800,000","377,100,000","331,700,000","241,800,000","193,400,000","366,400,000","395,300,000","290,100,000","312,900,000","313,800,000","296,600,000","222,500,000","-255,900,000","478,400,000","417,900,000","309,100,000","320,200,000","324,800,000","359,900,000","225,800,000","131,100,000","189,400,000","348,000,000","293,500,000","262,200,000","260,500,000","460,800,000","273,700,000","364,200,000","374,200,000","421,400,000","280,800,000","357,100,000","295,400,000","432,300,000","438,700,000","414,600,000","370,600,000","473,300,000","411,200,000","317,800,000","291,100,000","607,800,000","311,800,000","250,700,000","339,300,000","409,700,000","243,900,000","371,800,000","366,700,000","447,000,000","254,200,000","349,400,000","296,800,000","419,100,000","255,100,000","356,600,000","316,400,000","389,000,000","232,900,000","344,200,000","296,100,000","357,300,000","223,700,000","315,300,000","270,200,000","321,100,000","194,000,000","271,800,000","237,100,000","292,100,000","168,000,000","202,500,000","202,900,000","277,700,000","179,000,000","205,000,000","209,200,000","272,600,000","200,900,000","229,000,000","192,000,000","232,200,000","136,400,000","139,900,000","105,300,000","142,100,000","4,008,000,000","-7,924,100,000","2,716,700,000","2,843,700,000","2,808,100,000","-6,608,000,000","2,193,300,000","2,295,800,000","2,416,000,000","-4,846,200,000","1,531,800,000","1,694,900,000","1,771,100,000","-4,101,800,000","1,302,000,000","1,444,200,000","1,575,800,000"
NetNonOperatingInterestIncomeExpense,"-382,100,000","-94,600,000","-94,900,000","-94,200,000","-98,400,000","-100,600,000","-107,700,000","-113,700,000","-125,300,000","-117,700,000","-121,400,000","-122,700,000","-130,900,000","-130,900,000","-80,600,000","-49,000,000","-44,500,000","-39,800,000","-38,000,000","-36,400,000","-37,500,000","-45,700,000","-54,100,000","-59,000,000","-61,000,000","-76,900,000","-79,600,000","-80,300,000","-88,600,000","-80,300,000","-79,300,000","-83,700,000","-93,000,000","-95,000,000","-95,400,000","-95,600,000","-102,300,000","-70,600,000","-53,400,000","-49,300,000","-50,800,000","-49,700,000","-50,600,000","-52,900,000","-54,900,000","-51,600,000","-33,700,000","-37,300,000","-38,400,000","-39,900,000","-40,600,000","-41,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"1,400,000","500,000","300,000","300,000","300,000","400,000","400,000","800,000","800,000","1,300,000","400,000","600,000","1,800,000","1,900,000","2,500,000","600,000","1,000,000","800,000","1,100,000","900,000","900,000","1,300,000","800,000","800,000","500,000","500,000","100,000","200,000","300,000","100,000","300,000","500,000","800,000","400,000","700,000","600,000","600,000","1,000,000","700,000","800,000","800,000","1,000,000","900,000","1,300,000","900,000","2,500,000","19,400,000","19,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"383,500,000","95,100,000","95,200,000","94,500,000","98,700,000","101,000,000","108,100,000","114,500,000","126,100,000","119,000,000","121,800,000","123,300,000","132,700,000","132,800,000","83,100,000","49,600,000","45,500,000","40,600,000","39,100,000","37,300,000","38,400,000","47,000,000","54,900,000","59,800,000","61,500,000","77,400,000","79,700,000","80,500,000","88,900,000","80,400,000","79,600,000","84,200,000","93,800,000","95,400,000","96,100,000","96,200,000","102,900,000","71,600,000","54,100,000","50,100,000","51,600,000","50,700,000","51,500,000","54,200,000","55,800,000","54,100,000","53,100,000","56,700,000",,"39,900,000","40,600,000","41,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,"117,700,000","121,400,000","122,700,000","130,900,000","130,900,000","80,600,000","49,000,000","44,500,000","39,800,000","38,000,000","36,400,000","37,500,000","45,700,000","54,100,000","59,000,000","61,000,000",,"79,600,000","80,300,000","88,600,000","80,300,000","79,300,000","83,700,000","93,000,000","95,000,000","95,400,000","95,600,000","102,300,000",,"53,400,000",,,,,,,,"33,700,000",,"38,400,000","39,900,000","40,600,000","41,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"61,600,000","16,100,000","16,100,000","16,100,000","13,300,000","13,700,000","13,700,000","13,800,000","-27,300,000","16,400,000","11,300,000","9,500,000","5,400,000","9,800,000","9,700,000","10,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900,000","5,900,000",,,"11,100,000","1,900,000","900,000","-31,000,000","45,300,000","23,100,000","12,300,000","20,000,000","9,600,000","12,600,000","2,200,000","-18,400,000","-600,000","-16,700,000","315,500,000","9,900,000","121,700,000","15,100,000","14,100,000","14,100,000","1,900,000","16,300,000","9,500,000","11,900,000","11,400,000","6,800,000",,,,,,,,,,"-260,800,000","-27,700,000","-30,200,000","-3,500,000",,,,,,,,,,,,,"-512,300,000","1,100,000","3,600,000","-200,000","-1,600,000","-500,000","2,800,000","2,700,000","600,000","1,100,000","-1,600,000","5,100,000","6,500,000","4,700,000","8,200,000","6,000,000","4,900,000","4,000,000","5,300,000","3,300,000","6,500,000","4,700,000","7,000,000","5,400,000","5,600,000","5,900,000","4,300,000",,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900,000","5,900,000",,,"11,100,000","1,900,000","900,000","-31,000,000","45,300,000","23,100,000","12,300,000","20,000,000","9,600,000","12,600,000","2,200,000","-18,400,000","-600,000","-16,700,000","-13,900,000","9,900,000","-64,000,000","15,100,000","14,100,000","14,100,000","1,900,000","16,300,000","9,500,000","11,900,000","11,400,000","6,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"329,400,000","0","185,700,000",,,,,,,,,,,,,,,,,,,"-260,800,000","-27,700,000","-30,200,000","-3,500,000",,,,,,,,,,,,,"-512,300,000","1,100,000","3,600,000","-200,000","-1,600,000","-500,000","2,800,000","2,700,000","600,000","1,100,000","-1,600,000","5,100,000","6,500,000","4,700,000","8,200,000","6,000,000","4,900,000","4,000,000","5,300,000","3,300,000","6,500,000","4,700,000","7,000,000","5,400,000","5,600,000","5,900,000","4,300,000",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"61,600,000","16,100,000","16,100,000","16,100,000","13,300,000","13,700,000","13,700,000","13,800,000","-27,300,000","16,400,000","11,300,000","9,500,000","5,400,000","9,800,000","9,700,000","10,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,097,800,000","280,700,000","330,600,000","285,200,000","201,300,000","361,800,000","437,200,000","410,000,000","238,200,000","263,200,000","318,000,000","150,500,000","187,800,000","297,100,000","119,000,000","219,400,000","89,400,000","228,800,000","313,000,000","243,600,000","73,700,000","225,600,000","175,500,000","383,600,000","-89,800,000","233,900,000","223,700,000","215,100,000","282,400,000","-982,600,000","76,600,000","128,100,000","-273,200,000","330,000,000","346,600,000","175,900,000","278,500,000","189,400,000","312,800,000","368,100,000","-115,200,000","366,600,000","250,900,000","122,900,000","396,900,000","325,500,000","298,000,000","204,500,000","177,100,000","326,500,000","354,700,000","248,600,000","285,500,000","271,800,000","253,900,000","172,400,000","-324,300,000","416,300,000","353,600,000","250,600,000","260,800,000","268,700,000","307,800,000","167,800,000","76,700,000","92,700,000","285,800,000","554,800,000","194,500,000","378,100,000","390,100,000","214,400,000","299,300,000","314,100,000","369,500,000","224,600,000","298,300,000","231,400,000","362,400,000","355,100,000","311,100,000","276,500,000","373,500,000","307,100,000","217,700,000","160,200,000","490,500,000","235,700,000","-80,000,000","231,300,000","302,100,000","164,200,000","-130,200,000","278,700,000","356,000,000","177,800,000","274,300,000","220,900,000","343,900,000","182,000,000","295,500,000","243,100,000","316,300,000","162,800,000","-236,900,000","214,600,000","283,300,000","147,600,000","250,600,000","197,500,000","249,800,000","128,000,000","212,900,000","171,100,000","225,300,000","110,700,000","155,200,000","145,300,000","213,000,000","117,900,000","157,900,000","127,000,000","187,300,000","115,500,000","158,300,000","107,900,000","152,500,000","96,600,000","110,700,000","67,000,000","99,900,000",,,,,,,,,,,,,,,,,
