name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,586,700,000","1,122,100,000","1,616,500,000","1,236,200,000","1,611,900,000","1,094,400,000","1,517,600,000","1,184,700,000","1,116,700,000","1,131,600,000","1,577,600,000","1,221,700,000","1,216,900,000","1,199,800,000","1,582,500,000","893,400,000","600,204,000","594,781,000","794,327,000","609,321,000","572,574,000","606,535,000","764,654,000","621,448,000","569,450,000","545,965,000","732,829,000","589,563,000","590,807,000","596,439,000","764,040,000","612,668,000","628,556,000","559,878,000","694,974,000","569,589,000","546,212,000","523,772,000","695,758,000","566,262,000","475,677,000","486,228,000","678,152,000","524,892,000","481,720,000","456,723,000","644,437,000","495,181,000","459,830,000","440,118,000","528,534,000","467,812,000","421,767,000","406,097,000","574,853,000","451,219,000","406,827,000","392,853,000","548,496,000","415,178,000","370,306,000","343,151,000","515,947,000","406,622,000","340,023,000","394,077,000","477,896,000","374,802,000","336,502,000","344,308,000","421,489,000","358,430,000","340,263,000","331,658,000","438,167,000","345,885,000","345,434,000","417,157,000","529,115,000","505,126,000","502,241,000","435,554,000","667,068,000","522,901,000","560,741,000","572,480,000","762,545,000","549,281,000","484,170,000","450,500,000","649,000,000","476,100,000","460,600,000","487,100,000","701,400,000","463,300,000","382,300,000","511,600,000","560,000,000","454,000,000","626,200,000","564,900,000","490,200,000","436,100,000","555,600,000","397,300,000","423,900,000","333,400,000","417,600,000","359,300,000","379,200,000","341,100,000","538,400,000","510,400,000","419,000,000","400,400,000","579,600,000","460,200,000","380,700,000","341,700,000","373,600,000","297,700,000","220,900,000","220,700,000","422,900,000","260,700,000","220,800,000","245,800,000","422,500,000","293,400,000","206,600,000","220,600,000","407,000,000","262,600,000","222,300,000","228,000,000","453,200,000","303,700,000","228,000,000","238,000,000","396,700,000","310,900,000","232,200,000","230,700,000","425,100,000","379,300,000","247,000,000"
	OperatingRevenue,"5,329,100,000","1,078,500,000","1,580,100,000","1,208,100,000","1,462,400,000","962,600,000","1,517,600,000","1,184,700,000","1,116,700,000","1,131,600,000","1,577,600,000","1,221,700,000","1,216,900,000","1,199,800,000","1,582,500,000","893,400,000","600,204,000","594,781,000","794,327,000","609,321,000","572,574,000","606,535,000","764,654,000","621,448,000","569,450,000","545,965,000","732,829,000","589,563,000","590,807,000","596,439,000","764,040,000","612,668,000","628,556,000","559,878,000","694,974,000","569,589,000","546,212,000","523,772,000","695,758,000","566,262,000","475,677,000","486,228,000","678,152,000","524,892,000","481,720,000","456,723,000","644,437,000","495,181,000","459,830,000","440,118,000","528,534,000","467,812,000","421,767,000","406,097,000","574,853,000","451,219,000","406,827,000","392,853,000","548,496,000","415,178,000","370,306,000","343,151,000","515,947,000","406,622,000","340,023,000","394,077,000","477,896,000","374,802,000","336,502,000","344,308,000","421,489,000","358,430,000","340,263,000","331,658,000","438,167,000","345,885,000","345,434,000","417,157,000","529,115,000","505,126,000","502,241,000","435,554,000","667,068,000","522,901,000","560,741,000","572,480,000","762,545,000","549,281,000","484,170,000","450,500,000","649,000,000","476,100,000","460,600,000","487,100,000","701,400,000","463,300,000","382,300,000","511,600,000","560,000,000","454,000,000","626,200,000","564,900,000","490,200,000","436,100,000","555,600,000","397,300,000","423,900,000","333,400,000","417,600,000","359,300,000","379,200,000","341,100,000","538,400,000","510,400,000","419,000,000","400,400,000","579,600,000","460,200,000","380,700,000","341,700,000","373,600,000","297,700,000","220,900,000","220,700,000","422,900,000","260,700,000","220,800,000","245,800,000","422,500,000","293,400,000","206,600,000","220,600,000","407,000,000","262,600,000","222,300,000","228,000,000","453,200,000","303,700,000","228,000,000","238,000,000","396,700,000","310,900,000","232,200,000","230,700,000","425,100,000","379,300,000","247,000,000"
CostOfRevenue,"2,954,900,000","662,500,000","694,600,000","617,800,000","980,000,000","629,400,000","686,900,000","600,500,000","608,400,000","660,100,000","731,300,000","643,000,000","700,400,000","756,900,000","772,500,000","581,900,000","343,094,000","274,665,000","332,238,000","260,711,000","255,727,000","290,151,000","300,370,000","259,476,000","238,575,000","240,979,000","301,874,000","280,171,000","297,374,000","311,137,000","340,688,000","322,151,000","317,587,000","198,315,000","347,662,000","316,003,000","310,481,000","750,021,000","177,506,000","147,680,000","127,654,000","144,096,000","199,540,000","152,973,000","134,184,000","124,568,000","187,877,000","137,116,000","133,800,000","132,242,000","141,470,000","120,508,000","140,644,000","136,404,000","220,140,000","191,355,000","146,449,000","126,979,000","182,686,000","131,348,000","103,409,000","93,156,000","169,053,000","129,750,000","110,503,000","184,792,000","132,030,000","119,610,000","91,797,000","98,896,000","120,037,000","99,092,000","101,762,000","90,272,000","121,434,000","88,709,000","89,897,000","126,545,000","142,867,000","205,234,000","213,423,000","182,651,000","309,991,000","237,304,000","270,579,000","277,781,000","365,710,000","216,140,000","176,201,000","130,400,000","232,800,000","151,700,000","147,900,000","185,000,000","336,000,000","171,700,000","130,300,000","484,400,000","127,600,000","128,300,000","226,800,000","185,300,000","119,100,000","122,700,000","221,300,000","148,900,000","110,200,000","95,000,000","156,800,000","117,300,000","90,800,000","96,800,000","257,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,631,800,000","459,600,000","921,900,000","618,400,000","631,900,000","465,000,000","830,700,000","584,200,000","508,300,000","471,500,000","846,300,000","578,700,000","516,500,000","442,900,000","810,000,000","311,500,000","257,110,000","320,116,000","462,089,000","348,610,000","316,847,000","316,384,000","464,284,000","361,972,000","330,875,000","304,986,000","430,955,000","309,392,000","293,433,000","285,302,000","423,352,000","290,517,000","310,969,000","361,563,000","347,312,000","253,586,000","235,731,000","-226,249,000","518,252,000","418,582,000","348,023,000","342,132,000","478,612,000","371,919,000","347,536,000","332,155,000","456,560,000","358,065,000","326,030,000","307,876,000","387,064,000","347,304,000","281,123,000","269,693,000","354,713,000","259,864,000","260,378,000","265,874,000","365,810,000","283,830,000","266,897,000","249,995,000","346,894,000","276,872,000","229,520,000","209,285,000","345,866,000","255,192,000","244,705,000","245,412,000","301,452,000","259,338,000","238,501,000","241,386,000","316,733,000","257,176,000","255,537,000","290,612,000","386,248,000","299,892,000","288,818,000","252,903,000","357,077,000","285,597,000","290,162,000","294,699,000","396,835,000","333,141,000","307,969,000","320,100,000","416,200,000","324,400,000","312,700,000","302,100,000","365,400,000","291,600,000","252,000,000","27,200,000","432,400,000","325,700,000","399,400,000","379,600,000","371,100,000","313,400,000","334,300,000","248,400,000","313,700,000","238,400,000","260,800,000","242,000,000","288,400,000","244,300,000","280,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,276,900,000","318,400,000","321,200,000","323,100,000","314,200,000","312,000,000","309,000,000","312,500,000","310,800,000","305,700,000","307,600,000","307,000,000","306,900,000","292,800,000","276,900,000","184,600,000","133,580,000","202,834,000","202,113,000","193,498,000","190,498,000","200,503,000","193,708,000","208,357,000","189,064,000","196,627,000","175,351,000","177,916,000","167,875,000","180,032,000","167,933,000","167,788,000","161,428,000","258,035,000","123,106,000","122,074,000","115,791,000","-334,025,000","268,362,000","285,480,000","276,658,000","269,556,000","237,524,000","264,313,000","256,377,000","283,915,000","244,938,000","237,071,000","234,029,000","246,069,000","236,731,000","257,262,000","228,363,000","218,168,000","210,440,000","224,825,000","206,570,000","219,757,000","215,243,000","213,068,000","196,952,000","203,505,000","207,308,000","207,862,000","177,837,000","179,149,000","192,611,000","192,783,000","189,777,000","204,033,000","183,072,000","185,853,000","181,852,000","80,435,000","163,830,000","177,556,000","178,785,000","409,231,000","232,721,000","243,028,000","607,073,000","296,666,000","266,726,000","293,307,000","274,043,000","289,700,000","273,296,000","266,400,000","277,619,000","319,600,000","298,200,000","246,300,000","234,800,000","377,900,000","206,200,000","210,900,000","185,400,000","-689,400,000","313,500,000","261,700,000","296,100,000","287,000,000","239,500,000","239,600,000","239,400,000","176,200,000","170,100,000","180,800,000","169,900,000","166,100,000","170,100,000","174,500,000","179,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,,,,,,,,,,,,,,,,,,"67,200,000","65,630,000","57,579,000","59,157,000","68,689,000","60,582,000","75,724,000","56,456,000","70,711,000","60,485,000","63,663,000","55,418,000","70,806,000","60,977,000","62,168,000","56,486,000","66,465,000","54,245,000","54,477,000","48,945,000","61,666,000","54,300,000","62,711,000","47,334,000","52,462,000","27,499,000","55,970,000","48,767,000","63,108,000","50,418,000","48,154,000","45,927,000","56,421,000","41,920,000","53,638,000","47,982,000","47,715,000","50,802,000","44,254,000","41,656,000","45,797,000","46,182,000","42,960,000","43,645,000","51,827,000","41,832,000","39,078,000","38,265,000","41,337,000","42,071,000","41,391,000","41,261,000","49,830,000","40,638,000","42,063,000","40,967,000","41,928,000","35,669,000","40,187,000","43,041,000","589,808,000","72,485,000","78,194,000","99,123,000","89,304,000","82,923,000","83,761,000","78,874,000","96,123,000","84,371,000","77,061,000","85,042,000","95,200,000","100,600,000","75,000,000","71,900,000","100,200,000","52,700,000","62,800,000","47,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"896,400,000","226,900,000","225,000,000","225,200,000","219,300,000","222,000,000","218,000,000","221,600,000","218,500,000","216,600,000","216,100,000","215,400,000","213,600,000","207,200,000","193,900,000","128,000,000","89,641,000","94,425,000","94,668,000","94,029,000","88,625,000","85,681,000","84,972,000","84,226,000","83,640,000","82,062,000","77,184,000","76,759,000","74,586,000","73,172,000","72,279,000","70,882,000","70,110,000","69,288,000","68,861,000","67,597,000","66,846,000","65,824,000","65,061,000","66,299,000","73,280,000","71,771,000","72,202,000","71,089,000","70,259,000","69,982,000","67,918,000","67,107,000","66,930,000","64,990,000","64,516,000","63,814,000","58,214,000","53,271,000","51,966,000","49,605,000","48,896,000","51,233,000","47,907,000","48,052,000","45,719,000","31,988,000","50,452,000","50,216,000","47,572,000","22,838,000","42,821,000","42,556,000","42,305,000","42,661,000","42,464,000","42,258,000","41,927,000","41,801,000","41,805,000","42,239,000","41,391,000","61,596,000","67,134,000","67,206,000","74,587,000","104,323,000","103,804,000","103,029,000","102,486,000","109,331,000","103,982,000","106,688,000","106,369,000","106,400,000","130,100,000","86,800,000","83,800,000","76,100,000","73,300,000","69,600,000","61,600,000","62,400,000","63,500,000","70,600,000","60,200,000","57,300,000","56,600,000","52,100,000","48,200,000","46,400,000","44,900,000","44,800,000","43,900,000","40,400,000","42,500,000","43,300,000","44,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"896,400,000","226,900,000","225,000,000","225,200,000","219,300,000","222,000,000","218,000,000","221,600,000","218,500,000","216,600,000","216,100,000","215,400,000","213,600,000","207,200,000","193,900,000","128,000,000","89,641,000","94,425,000","94,668,000","94,029,000","88,625,000","85,681,000","84,972,000","84,226,000","83,640,000","82,062,000","77,184,000","76,759,000","74,586,000","73,172,000","72,279,000","70,882,000","70,110,000","69,288,000","68,861,000","67,597,000","66,846,000","65,824,000","65,061,000","66,299,000","73,280,000","71,771,000","72,202,000","71,089,000","70,259,000","69,982,000","67,918,000","67,107,000","66,930,000","64,990,000","64,516,000","63,814,000","58,214,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"380,500,000","91,500,000","96,200,000","97,900,000","94,900,000","90,000,000","91,000,000","90,900,000","92,300,000","89,100,000","91,500,000","91,600,000","93,300,000","85,600,000","83,000,000","56,600,000","43,939,000","41,209,000","41,815,000","41,890,000","42,716,000","46,133,000","48,154,000","48,407,000","48,968,000","43,854,000","37,682,000","37,494,000","37,871,000","36,054,000","34,677,000","34,738,000","34,832,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,800,000","22,300,000","25,000,000","21,200,000","25,400,000","25,400,000","25,100,000","23,100,000","24,600,000","24,600,000","24,500,000","21,500,000","25,600,000","25,600,000","32,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,823,000","137,254,000","137,351,000","150,825,000","126,602,000","121,810,000","121,172,000","124,658,000","130,295,000","139,810,000","122,167,000","117,182,000","107,672,000","130,966,000","116,018,000","122,727,000","121,154,000","122,056,000","107,588,000","119,690,000","115,024,000","118,568,000","92,000,000","114,974,000","107,719,000","108,836,000","106,211,000","111,542,000","99,970,000","101,532,000","98,958,000","-3,294,000","86,356,000","95,130,000","94,353,000","-242,173,000","93,102,000","97,628,000","433,363,000","103,039,000","79,999,000","106,517,000","92,683,000","84,246,000","84,943,000","82,651,000","86,208,000","118,000,000","67,500,000","84,500,000","79,100,000","201,600,000","80,200,000","78,500,000","76,300,000","-993,600,000","226,200,000","168,800,000","210,900,000","208,500,000","157,500,000","162,100,000","166,100,000","106,700,000","100,600,000","111,400,000","101,500,000","104,200,000","102,000,000","105,600,000","103,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,354,900,000","141,200,000","600,700,000","295,300,000","317,700,000","153,000,000","521,700,000","271,700,000","197,500,000","165,800,000","538,700,000","271,700,000","209,600,000","150,100,000","533,100,000","126,900,000","123,530,000","117,282,000","259,976,000","155,112,000","126,349,000","115,881,000","270,576,000","153,615,000","141,811,000","108,359,000","255,604,000","131,476,000","125,558,000","105,270,000","255,419,000","122,729,000","149,541,000","103,528,000","224,206,000","131,512,000","119,940,000","107,776,000","249,890,000","133,102,000","71,365,000","72,576,000","241,088,000","107,606,000","91,159,000","48,240,000","211,622,000","120,994,000","92,001,000","61,807,000","150,333,000","90,042,000","52,760,000","51,525,000","144,273,000","35,039,000","53,808,000","46,117,000","150,567,000","70,762,000","69,945,000","46,490,000","139,586,000","69,010,000","51,683,000","30,136,000","153,255,000","62,409,000","54,928,000","41,379,000","118,380,000","73,485,000","56,649,000","160,951,000","152,903,000","79,620,000","76,752,000","-118,619,000","153,527,000","56,864,000","-318,255,000","-43,763,000","90,351,000","-7,710,000","16,119,000","4,999,000","123,539,000","66,741,000","30,350,000","500,000","118,000,000","78,100,000","77,900,000","-75,800,000","159,200,000","80,700,000","66,600,000","716,600,000","118,900,000","64,000,000","103,300,000","92,600,000","131,600,000","73,800,000","94,900,000","72,200,000","143,600,000","57,600,000","90,900,000","75,900,000","118,300,000","69,800,000","101,000,000","510,400,000","419,000,000","400,400,000","579,600,000","460,200,000","380,700,000","341,700,000","373,600,000","297,700,000","220,900,000","220,700,000","422,900,000","260,700,000","220,800,000","245,800,000","422,500,000","293,400,000","206,600,000","220,600,000","407,000,000","262,600,000","222,300,000","228,000,000","453,200,000","303,700,000","228,000,000","238,000,000","396,700,000","310,900,000","232,200,000","230,700,000","425,100,000","379,300,000","247,000,000"
NetNonOperatingInterestIncomeExpense,"-372,600,000","-91,200,000","-93,600,000","-93,800,000","-94,000,000","-93,400,000","-94,800,000","-99,500,000","-96,200,000","-96,700,000","-90,800,000","-95,400,000","-91,100,000","-88,300,000","-89,100,000","-58,400,000","-43,841,000","-42,769,000","-43,458,000","-43,679,000","-41,095,000","-40,715,000","-40,897,000","-39,683,000","-40,431,000","-42,682,000","-44,306,000","-45,516,000","-44,298,000","-45,043,000","-44,531,000","-47,303,000","-46,241,000","-46,377,000","-45,708,000","-45,798,000","-44,284,000","-44,451,000","-45,017,000","-44,823,000","-42,046,000","-41,779,000","-43,844,000","-43,300,000","-43,538,000","-43,079,000","-43,956,000","-43,289,000","-44,616,000","-40,591,000","-41,599,000","-40,094,000","-35,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"372,600,000","91,200,000","93,600,000","93,800,000","94,000,000","93,400,000","94,800,000","99,500,000","96,200,000","96,700,000","90,800,000","95,400,000","91,100,000","88,300,000","89,100,000","58,400,000","43,841,000","42,769,000","43,458,000","43,679,000","41,095,000","40,715,000","40,897,000","39,683,000","40,431,000","42,682,000","44,306,000","45,516,000","44,298,000","45,043,000","44,531,000","47,303,000","46,241,000","46,377,000","45,708,000","45,798,000","44,284,000","44,451,000","45,017,000","44,823,000","42,046,000","41,779,000","43,844,000","43,300,000","43,538,000","43,079,000","43,956,000","43,289,000","44,616,000","40,591,000","41,599,000","40,094,000","35,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"18,800,000","22,000,000","600,000","4,300,000","-8,100,000","600,000","-11,300,000","-4,200,000","-21,200,000","-6,500,000","-15,100,000","-9,400,000","-8,000,000","-10,700,000","-24,300,000","-10,500,000","-7,611,000","390,000","-51,000","512,000","-861,000","6,793,000","10,085,000","2,754,000","5,950,000","339,000","-4,441,000","14,122,000","-419,000","4,173,000","10,404,000","6,546,000","2,631,000","3,117,000","8,989,000","13,047,000","2,413,000","3,350,000","2,566,000","4,523,000","12,361,000","-959,000","848,000","818,000","-1,151,000","-359,000","-1,000","-2,017,000","-1,883,000","-104,000","664,000","4,134,000","-2,096,000","-4,994,000","5,293,000","3,804,000","-222,000","1,378,000","-2,376,000","1,995,000","-2,311,000","1,108,000","1,154,000","3,938,000","7,302,000","-348,000","486,000","5,503,000","-1,907,000","1,309,000","1,471,000","-16,300,000","-700,000","-44,800,000","23,292,000","8,159,000","12,163,000","22,393,000","-17,041,000","10,684,000","29,522,000","33,501,000","8,972,000","-242,000","13,591,000","23,318,000","16,769,000","33,753,000","118,584,000","-74,400,000","10,300,000","15,500,000","22,500,000","-12,400,000","16,000,000","28,900,000","23,600,000","-443,100,000","470,100,000","19,100,000","8,000,000","-2,800,000","8,800,000","6,100,000","2,200,000","16,800,000","2,500,000","3,500,000","3,100,000","4,900,000","2,400,000","3,700,000","22,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"59,900,000","41,100,000","8,800,000","8,400,000","1,600,000","6,800,000","1,700,000","3,100,000","-800,000","3,400,000","1,800,000","2,600,000","3,200,000","2,600,000","4,900,000","1,600,000","999,000","2,309,000","2,593,000","2,636,000","3,155,000","2,097,000","2,619,000","2,280,000","2,016,000","3,372,000","314,000","1,634,000","2,480,000","3,414,000","1,655,000","3,175,000","2,378,000","1,444,000","2,863,000","1,690,000","4,059,000","955,000","2,729,000",,"4,324,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-163,000",,"8,037,000","-10,260,000","848,000","818,000","-1,151,000","-359,000","-1,000","-2,017,000","-1,883,000","-104,000","664,000","4,134,000","-2,096,000","-4,994,000","5,293,000","3,804,000","-222,000","1,378,000","-2,376,000","1,995,000","-2,311,000","1,108,000","1,154,000","3,938,000","7,302,000","-348,000","486,000","5,503,000","-1,907,000","1,309,000","1,471,000","-16,300,000","-700,000","-44,800,000","23,292,000","8,159,000","12,163,000","22,393,000","-17,041,000","10,684,000","29,522,000","33,501,000","8,972,000","-242,000","13,591,000","23,318,000","16,769,000","33,753,000","118,584,000","-74,400,000","10,300,000","15,500,000","22,500,000","-12,400,000","16,000,000","28,900,000","23,600,000","-443,100,000","470,100,000","19,100,000","8,000,000","-2,800,000","8,800,000","6,100,000","2,200,000","16,800,000","2,500,000","3,500,000","3,100,000","4,900,000","2,400,000","3,700,000","22,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,000",,"-8,037,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-41,100,000","-19,100,000","-8,200,000","-4,100,000","-9,700,000","-6,200,000","-13,000,000","-7,300,000","-20,400,000","-9,900,000","-16,900,000","-12,000,000","-11,200,000","-13,300,000","-29,200,000","-12,100,000","-8,610,000","-1,919,000","-2,644,000","-2,124,000","-4,016,000","4,696,000","7,466,000","474,000","3,934,000","-3,033,000","-4,755,000","12,488,000","-2,899,000","759,000","8,749,000","3,371,000","253,000","1,673,000","6,126,000","11,357,000","-1,646,000",,,"4,523,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,001,100,000","72,000,000","507,700,000","205,800,000","215,600,000","60,200,000","415,600,000","168,000,000","80,100,000","62,600,000","432,800,000","166,900,000","110,500,000","51,100,000","419,700,000","58,000,000","72,078,000","74,903,000","216,467,000","111,945,000","84,393,000","81,959,000","239,764,000","116,686,000","107,330,000","66,016,000","206,857,000","100,082,000","80,841,000","64,400,000","221,292,000","81,972,000","105,931,000","60,268,000","187,487,000","98,761,000","78,069,000","66,675,000","207,439,000","92,802,000","41,680,000","29,838,000","198,092,000","65,124,000","46,470,000","4,802,000","167,665,000","75,688,000","45,502,000","21,112,000","109,398,000","54,082,000","15,587,000","13,001,000","117,646,000","8,532,000","42,896,000","28,340,000","119,327,000","42,338,000","42,189,000","23,151,000","114,983,000","47,900,000","35,587,000","5,196,000","126,855,000","40,173,000","23,157,000","12,740,000","88,343,000","19,915,000","12,524,000","67,581,000","118,700,000","29,219,000","29,183,000","-151,252,000","67,125,000","-1,746,000","-254,047,000","-70,673,000","35,664,000","-70,367,000","-38,226,000","-39,225,000","68,937,000","29,101,000","78,297,000","-143,300,000","59,000,000","21,300,000","30,300,000","-147,800,000","115,300,000","53,700,000","39,500,000","232,600,000","540,600,000","32,300,000","62,500,000","49,200,000","100,800,000","43,700,000","64,400,000","59,200,000","116,000,000","31,300,000","63,800,000","51,200,000","92,100,000","46,200,000","93,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"117,400,000","17,600,000","57,200,000","19,600,000","23,000,000","8,400,000","50,000,000","33,700,000","10,100,000","-2,200,000","65,500,000","24,400,000","9,300,000","30,700,000","64,100,000","-45,000,000","9,174,000","38,596,000","55,743,000","35,906,000","20,911,000","24,164,000","81,211,000","40,542,000","38,622,000","24,190,000","66,293,000","33,839,000","27,678,000","18,627,000","71,532,000","26,150,000","34,961,000","17,207,000","52,392,000","29,310,000","24,813,000","18,980,000","66,372,000","28,340,000","12,443,000","8,532,000","61,700,000","19,599,000","13,513,000","-1,748,000","51,802,000","21,158,000","13,820,000","10,496,000","28,256,000","15,696,000","4,401,000","-9,872,000","29,361,000","2,687,000","-18,240,000","14,575,000","27,621,000","9,630,000","12,014,000","10,079,000","24,949,000","12,535,000","8,749,000","-1,705,000","42,380,000","12,297,000","7,542,000","-4,201,000","27,974,000","5,936,000","3,733,000","27,159,000","38,116,000","7,412,000","9,081,000","-51,959,000","23,350,000","-6,779,000","-127,290,000","-36,425,000","8,942,000","-34,353,000","-19,039,000","-8,109,000","13,288,000","3,909,000","36,973,000","-55,800,000","10,000,000","2,800,000","9,600,000","-57,500,000","42,500,000","20,500,000","9,100,000","312,300,000","32,200,000","8,000,000","21,500,000","16,600,000","37,900,000","15,000,000","19,600,000","12,700,000","44,100,000","9,600,000","22,200,000","17,800,000","34,400,000","16,000,000","27,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,"8,200,000","2,100,000","2,000,000","2,100,000","2,000,000","2,200,000","1,900,000","2,000,000","2,200,000","1,900,000","3,600,000","2,100,000","2,200,000","700,000","2,000,000","1,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
