name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,415,824,000","924,316,000","894,931,000","829,315,000","767,262,000","759,044,000","730,657,000","709,285,000","716,082,000","717,499,000","729,336,000","710,950,000","689,038,000","692,460,000","706,368,000","685,528,000","669,924,000","672,308,000","686,361,000","664,312,000","645,547,000","651,427,000","663,148,000","634,188,000","611,786,000","609,330,000","618,872,000","592,631,000","569,394,000","566,147,000","571,596,000","538,037,000","519,624,000","513,511,000","511,957,000","485,378,000","470,900,000","465,451,000","472,931,000","457,739,000","442,619,000","444,715,000","452,990,000","434,844,000","419,818,000","418,238,000","422,765,000","407,645,000","398,056,000","402,879,000","412,864,000","407,252,000","405,066,000","421,815,000","436,890,000","424,138,000","462,764,000","464,185,000","468,960,000","449,148,000","434,367,000","433,586,000","371,359,000","298,027,000","278,683,000","298,132,000","264,928,000","254,296,000","243,750,000","240,282,000","237,173,000","231,625,000","222,666,000","221,436,000","228,625,000","218,880,000","208,812,000","201,930,000","220,082,000","212,541,000","216,975,000","213,659,000","215,719,000","207,428,000","197,839,000","196,599,000","195,966,000","188,150,000","176,595,000","177,534,000","179,000,000","172,300,000","148,300,000","148,551,000","150,000,000","141,100,000","142,700,000","134,144,000","126,400,000","110,700,000","101,300,000","96,522,000","87,400,000","82,700,000","75,000,000","64,550,000","56,900,000","47,900,000","43,200,000","41,096,000","37,500,000","35,600,000","32,900,000","30,900,000","30,300,000","21,900,000","18,800,000","23,100,000","17,300,000","15,400,000","12,400,000","18,900,000","10,900,000","10,300,000","9,900,000","8,600,000","8,700,000","8,000,000","7,700,000","8,500,000","7,000,000","7,000,000","7,200,000","7,500,000","7,500,000","7,400,000","7,400,000","7,100,000","7,100,000","7,100,000","7,100,000","11,700,000","6,000,000","5,500,000","5,400,000","5,600,000","5,200,000"
	OperatingRevenue,"3,415,824,000","924,316,000","894,931,000","829,315,000","767,262,000","759,044,000","730,657,000","709,285,000","716,082,000","717,499,000","729,336,000","710,950,000","689,038,000","692,460,000","706,368,000","685,528,000","669,924,000","672,308,000","686,361,000","664,312,000","645,547,000","651,427,000","663,148,000","634,188,000","611,786,000","609,330,000","618,872,000","592,631,000","569,394,000","566,147,000","571,596,000","538,037,000","519,624,000","513,511,000","511,957,000","485,378,000","470,900,000","465,451,000","472,931,000","457,739,000","442,619,000","444,715,000","452,990,000","434,844,000","419,818,000","418,238,000","422,765,000","407,645,000","389,840,000","402,879,000","412,864,000","399,736,000","397,433,000","421,815,000","436,890,000","424,138,000","462,764,000","485,963,000","468,960,000","461,492,000","443,384,000","441,458,000","374,765,000","301,151,000","282,149,000","305,821,000","274,639,000","259,147,000","249,428,000","251,231,000","240,393,000","236,030,000","226,723,000","227,953,000","234,395,000","227,879,000","213,499,000","208,079,000","227,565,000","217,702,000","219,216,000","216,182,000","215,719,000","207,428,000","199,407,000","196,599,000","195,966,000","188,150,000","176,595,000","177,500,000","179,000,000","172,300,000","148,300,000","148,600,000","150,000,000","141,100,000","142,700,000","134,100,000","126,400,000","110,700,000","101,300,000","96,500,000","87,400,000","82,700,000","75,000,000","64,500,000","56,900,000","47,900,000","43,200,000","41,100,000","37,500,000","35,600,000","32,900,000","30,900,000","30,300,000","21,900,000","18,800,000","23,100,000","17,300,000","15,400,000","12,400,000","18,900,000","10,900,000","10,300,000","9,900,000","8,600,000","8,700,000","8,000,000","7,700,000","8,500,000","7,000,000","7,000,000","7,200,000","7,500,000","7,500,000","7,400,000","7,400,000","7,100,000","7,100,000","7,100,000","7,100,000","11,700,000","6,000,000","5,500,000","5,400,000","5,600,000","5,200,000"
CostOfRevenue,"920,598,000","236,855,000","236,734,000","218,586,000","228,423,000","205,524,000","217,461,000","225,607,000","218,870,000","172,584,000","212,262,000","207,736,000","204,201,000","160,374,000","195,544,000","190,977,000","192,827,000","151,879,000","190,619,000","182,578,000","182,902,000","145,166,000","178,627,000","172,004,000","173,286,000","137,709,000","164,686,000","162,232,000","173,162,000","133,654,000","159,993,000","150,554,000","174,519,000","124,398,000","147,803,000","142,571,000","150,389,000","115,592,000","137,224,000","139,136,000","148,492,000","120,695,000","138,769,000","139,387,000","144,300,000","116,845,000","134,763,000","137,233,000","141,114,000","116,206,000","128,754,000","134,852,000","143,294,000","128,062,000","131,669,000","146,463,000","174,383,000","154,789,000","166,058,000","171,109,000","169,921,000","162,909,000","128,067,000","106,575,000","103,009,000","115,658,000","88,123,000","86,321,000","88,608,000","83,382,000","82,383,000","83,468,000","83,852,000","82,520,000","81,348,000","81,358,000","75,584,000","76,647,000","77,100,000","125,158,000","71,320,000","-67,962,000","119,187,000","112,859,000","66,897,000","-56,251,000","107,977,000","102,121,000","59,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"2,495,226,000","687,461,000","658,197,000","610,729,000","538,839,000","553,520,000","513,196,000","483,678,000","497,212,000","544,915,000","517,074,000","503,214,000","484,837,000","532,086,000","510,824,000","494,551,000","477,097,000","520,429,000","495,742,000","481,734,000","462,645,000","506,261,000","484,521,000","462,184,000","438,500,000","471,621,000","454,186,000","430,399,000","396,232,000","432,493,000","411,603,000","387,483,000","345,105,000","389,113,000","364,154,000","342,807,000","320,511,000","349,859,000","335,707,000","318,603,000","294,127,000","324,020,000","314,221,000","295,457,000","275,518,000","301,393,000","288,002,000","270,412,000","256,942,000","286,673,000","284,110,000","272,400,000","261,772,000","293,753,000","305,221,000","277,675,000","288,381,000","309,396,000","302,902,000","278,039,000","264,446,000","270,677,000","243,292,000","191,452,000","175,674,000","182,474,000","176,805,000","167,975,000","155,142,000","156,900,000","154,790,000","148,157,000","138,814,000","138,916,000","147,277,000","137,522,000","133,228,000","125,283,000","142,982,000","87,383,000","145,655,000","281,621,000","96,532,000","94,569,000","130,942,000","252,850,000","87,989,000","86,029,000","117,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"814,682,000","227,547,000","220,234,000","200,468,000","166,433,000","161,959,000","159,621,000","157,912,000","156,964,000","155,193,000","146,141,000","142,123,000","141,444,000","149,816,000","151,945,000","151,106,000","149,499,000","140,651,000","135,631,000","125,169,000","135,957,000","131,889,000","131,572,000","125,334,000","128,175,000","125,763,000","129,655,000","127,461,000","131,306,000","129,792,000","128,951,000","121,820,000","128,010,000","125,618,000","114,187,000","105,022,000","109,254,000","105,306,000","105,195,000","100,947,000","103,343,000","101,296,000","105,051,000","101,779,000","102,777,000","101,066,000","101,558,000","94,960,000","94,905,000","94,766,000","94,562,000","91,995,000","94,846,000","110,129,000","100,910,000","128,556,000","137,402,000","89,600,000","174,440,000","189,066,000","195,662,000","260,443,000","149,773,000","55,601,000","56,828,000","56,486,000","53,538,000","54,389,000","53,117,000","40,400,000","49,902,000","49,617,000","52,654,000","51,924,000","50,683,000","50,743,000","50,170,000","47,923,000","49,335,000","0","47,997,000","189,099,000","0","0","45,206,000","174,059,000","0","0","39,079,000","412,010,000","-91,600,000","-89,300,000","-79,900,000","355,854,000","-78,600,000","-76,400,000","-84,300,000","282,540,000","-73,000,000","-60,300,000","-53,300,000","189,409,000","-41,000,000","-38,500,000","-36,400,000","139,520,000","-32,800,000","-27,100,000","-25,600,000","97,688,000","-21,300,000","-20,700,000","-19,900,000","-18,500,000","-18,300,000","-12,100,000","-11,500,000","-15,000,000","-9,100,000","-8,700,000","-6,700,000","-15,300,000","-4,700,000","-4,700,000","-4,500,000","-3,300,000","-3,100,000","-3,100,000","-1,800,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"81,321,000","15,615,000","25,392,000","24,037,000","16,277,000","15,587,000","17,957,000","14,723,000","16,907,000","17,467,000","14,326,000","12,256,000","16,003,000","25,541,000","25,458,000","29,003,000","27,839,000","17,917,000","19,593,000","11,982,000","20,402,000","16,920,000","19,082,000","15,279,000","18,795,000","14,903,000","20,519,000","17,390,000","19,987,000","15,069,000","13,419,000","12,199,000","15,300,000","10,994,000","13,571,000","11,698,000","15,237,000","1,590,000","15,298,000","12,414,000","16,405,000","11,466,000","14,116,000","12,593,000","14,235,000","9,419,000","8,910,000","10,081,000","10,077,000","9,203,000","8,654,000","8,199,000","9,679,000","5,841,000","8,879,000","33,173,000","14,916,000","10,352,000","11,416,000","21,465,000","16,516,000","34,665,000","36,242,000","6,975,000","6,779,000","4,225,000","5,621,000","6,128,000","5,141,000","2,830,000","5,527,000","4,572,000","5,884,000","3,806,000","4,642,000","4,429,000","4,250,000","3,346,000","3,968,000","4,305,000","4,000,000","4,489,000","5,965,000","5,000,000","5,584,000","7,249,000","5,436,000","5,576,000","3,045,000","3,091,000","4,000,000","2,600,000","2,000,000","1,772,000","2,700,000","2,200,000","2,300,000","1,184,000","1,900,000","1,700,000","1,600,000","924,000","1,500,000","1,700,000","1,400,000","1,382,000","900,000","600,000","1,100,000","531,000","700,000","600,000","700,000","700,000","700,000","300,000","300,000","400,000","400,000","300,000","200,000","-2,800,000","500,000","200,000","300,000","100,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"81,321,000","15,615,000","25,392,000","24,037,000","16,277,000","15,587,000","17,957,000","14,723,000","16,907,000","17,467,000","14,326,000","12,256,000","16,003,000","25,541,000","25,458,000","29,003,000","27,839,000","17,917,000","19,593,000","11,982,000","20,402,000","16,920,000","19,082,000","15,279,000","18,795,000","14,903,000","20,519,000","17,390,000","19,987,000","15,069,000","13,419,000","12,199,000","15,300,000","10,994,000","13,571,000","11,698,000","15,237,000","12,720,000",,,,,,,,,,,,,,,,,,,"14,916,000","10,352,000","11,416,000","21,465,000","16,516,000","34,665,000","36,242,000","6,975,000","6,779,000","4,225,000","5,621,000","6,128,000","5,141,000","2,830,000","5,527,000","4,572,000","5,884,000","3,806,000","4,642,000","4,429,000","4,250,000","3,346,000","3,968,000","4,305,000","4,000,000","4,489,000","5,965,000","5,000,000","5,584,000","7,249,000","5,436,000","5,576,000","3,045,000","3,091,000","4,000,000","2,600,000","2,000,000","1,772,000","2,700,000","2,200,000","2,300,000","1,184,000","1,900,000","1,700,000","1,600,000","924,000","1,500,000","1,700,000","1,400,000","1,382,000","900,000","600,000","1,100,000","531,000","700,000","600,000","700,000","700,000","700,000","300,000","300,000","400,000","400,000","300,000","200,000","-2,800,000","500,000","200,000","300,000","100,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,"37,760,000","5,191,000","10,596,000","12,825,000","8,528,000","-2,843,000","8,949,000","7,336,000","8,247,000","6,642,000","7,384,000","5,973,000","8,922,000","18,610,000","19,069,000","17,694,000","20,480,000","11,812,000","13,410,000","4,681,000","13,517,000","10,001,000","11,835,000","8,847,000","12,852,000","8,584,000","10,330,000","7,750,000","11,458,000","7,800,000","9,213,000","7,493,000","10,593,000","7,339,000","9,011,000","7,421,000","9,950,000",,,,,,,,,,,,,,,,,,,,"14,916,000","10,352,000","11,416,000","21,465,000","16,516,000","34,665,000","36,242,000","6,975,000","6,779,000","4,225,000","5,621,000","6,128,000","5,141,000","2,830,000","5,527,000","4,572,000","5,884,000","3,806,000","4,642,000","4,429,000","4,250,000","3,346,000","3,968,000","4,305,000","4,000,000","4,489,000","5,965,000","5,000,000","5,584,000","7,249,000","5,436,000","5,576,000","3,045,000","3,100,000","4,000,000","2,600,000","2,000,000","2,800,000","2,700,000","2,200,000","2,300,000","3,000,000","1,900,000","1,700,000","1,600,000","900,000","1,500,000","1,700,000","1,400,000","1,400,000","900,000","600,000","1,100,000","500,000","700,000","600,000","700,000","700,000","700,000","300,000","300,000","400,000","400,000","300,000","200,000","-2,800,000","500,000","200,000","300,000","100,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"43,561,000","10,424,000","14,796,000","11,212,000","7,749,000","18,430,000","9,008,000","7,387,000","8,660,000","10,825,000","6,942,000","6,283,000","7,081,000","6,931,000","6,389,000","11,309,000","7,359,000","6,105,000","6,183,000","7,301,000","6,885,000","6,919,000","7,247,000","6,432,000","5,943,000","6,319,000","10,189,000","9,640,000","8,529,000","7,269,000","4,206,000","4,706,000","4,707,000","3,655,000","4,560,000","4,277,000","5,287,000","12,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"8,403,000","2,992,000","1,857,000","1,955,000","1,599,000","1,757,000","1,620,000","4,255,000","2,444,000","1,748,000","1,312,000","1,723,000","2,067,000","761,000","1,139,000","1,208,000","2,333,000","1,349,000","1,655,000","1,912,000","3,277,000","2,421,000","2,211,000","2,275,000","2,814,000","3,061,000","1,933,000","2,184,000","2,828,000","2,735,000","3,372,000","2,184,000","2,323,000","4,387,000","3,077,000","1,276,000","1,735,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"713,428,000","205,289,000","188,552,000","172,728,000","146,859,000","141,406,000","138,333,000","137,618,000","135,900,000","134,885,000","129,233,000","126,859,000","121,941,000","121,374,000","124,516,000","119,777,000","117,979,000","120,100,000","113,320,000","110,177,000","110,929,000","111,741,000","109,432,000","107,013,000","105,128,000","106,307,000","106,082,000","106,473,000","107,146,000","110,573,000","111,077,000","106,443,000","109,021,000","108,927,000","96,537,000","90,937,000","91,001,000","92,586,000","89,897,000","88,533,000","86,938,000","89,830,000","90,935,000","89,186,000","88,542,000","91,647,000","92,648,000","84,879,000","84,828,000","85,563,000","85,908,000","83,796,000","85,167,000","104,288,000","92,031,000","95,383,000","122,486,000","130,685,000","147,767,000","167,601,000","176,481,000","225,778,000","113,531,000","48,626,000","50,049,000","52,261,000","47,917,000","48,261,000","47,976,000","47,633,000","44,375,000","45,045,000","46,770,000","48,118,000","46,041,000","46,314,000","45,920,000","44,577,000","45,367,000",,"43,997,000","44,415,000",,,"39,622,000","39,458,000",,,"36,034,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"713,428,000","205,289,000","188,552,000","172,728,000","146,859,000","141,406,000","138,333,000","137,618,000","135,900,000","134,885,000","129,233,000","126,859,000","121,941,000","121,374,000","124,516,000","119,777,000","117,979,000","120,100,000","113,320,000","110,177,000","110,929,000","111,741,000","109,432,000","107,013,000","105,128,000","106,307,000","106,082,000","106,473,000","107,146,000","110,573,000","111,077,000","106,443,000","109,021,000","108,927,000","96,537,000","90,937,000","91,001,000","92,586,000","89,897,000","88,533,000","86,938,000","89,830,000","90,935,000","89,186,000","88,542,000","91,647,000","92,648,000","84,879,000","84,828,000","85,563,000","85,908,000","83,796,000","85,167,000","104,288,000","92,031,000","95,383,000","122,486,000","130,685,000","147,767,000","167,601,000","176,481,000","225,778,000","113,531,000","48,626,000","50,049,000","52,261,000","47,917,000","48,261,000","47,976,000","47,633,000","44,375,000","45,045,000","46,770,000","48,118,000","46,041,000","46,314,000","45,920,000","44,577,000","45,367,000",,"43,997,000",,,,"39,622,000",,,,"36,034,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"11,530,000","3,651,000","4,433,000","1,748,000","1,698,000","3,209,000","1,711,000","1,316,000","1,713,000","1,093,000","1,270,000","1,285,000","1,433,000","2,140,000","832,000","1,118,000","1,348,000","1,285,000","1,063,000","1,098,000","1,349,000","807,000","847,000","767,000","1,438,000","1,492,000","1,121,000","1,414,000","1,345,000","1,415,000","1,083,000","994,000","1,366,000","1,310,000","1,002,000","1,111,000","1,281,000",,,,,,,,,,,,,,,,,,,,,"-295,826,000",,"-360,175,000","-363,680,000","-423,180,000","-278,012,000","-162,176,000","-159,837,000","-173,865,000","-141,857,000","-140,710,000","-141,725,000","-133,845,000","-132,285,000","-133,085,000","-136,506,000","-134,444,000","-132,031,000","-132,101,000","-125,754,000","-124,570,000","-126,435,000","-125,158,000","-119,317,000","-121,137,000","-119,187,000","-112,859,000","-112,103,000","-114,022,000","-107,977,000","-102,121,000","-98,239,000","-98,000,000","-95,600,000","-91,900,000","-81,900,000","-83,700,000","-81,300,000","-78,600,000","-86,600,000","-83,700,000","-74,900,000","-62,000,000","-54,900,000","-49,700,000","-42,500,000","-40,200,000","-37,800,000","-38,400,000","-33,700,000","-27,700,000","-26,700,000","-24,800,000","-22,000,000","-21,300,000","-20,600,000","-19,200,000","-19,000,000","-12,400,000","-11,800,000","-15,400,000","-9,500,000","-9,000,000","-6,900,000","-12,500,000","-5,200,000","-4,900,000","-4,800,000","-3,400,000","-3,400,000","-3,400,000","-2,100,000",,,,,,,,,,,,,,,,,,
