name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"18,548,000,000","4,473,000,000","4,947,000,000","4,697,000,000","4,431,000,000","4,161,000,000","4,558,000,000","3,914,000,000","4,162,000,000","4,151,000,000","4,971,000,000","4,684,000,000","4,570,000,000","4,147,000,000","4,888,000,000","4,456,000,000","4,248,000,000","3,816,000,000","4,435,000,000","4,039,000,000","3,574,000,000","3,216,000,000","-245,000,000","5,126,000,000","4,928,000,000","4,713,000,000","5,814,000,000","5,503,000,000","5,400,000,000","5,587,000,000","6,807,000,000","6,312,000,000","5,812,000,000","5,606,000,000","6,812,000,000","6,344,000,000","5,960,000,000","5,553,000,000","6,700,000,000","6,484,000,000","5,919,000,000","5,309,000,000","6,545,000,000","6,288,000,000","5,854,000,000","5,535,000,000","5,243,000,000","5,417,000,000","5,144,000,000","5,011,000,000","5,322,000,000","5,091,000,000","5,087,000,000","5,415,000,000","6,696,000,000","6,568,000,000","6,023,000,000","5,637,000,000","6,134,000,000","5,874,000,000","5,513,000,000","5,051,000,000","5,516,000,000","5,217,000,000","4,852,000,000","4,548,000,000","4,643,000,000","4,465,000,000","4,227,000,000","3,970,000,000","4,120,000,000","4,036,000,000","3,859,000,000","3,600,000,000","3,694,000,000","3,573,000,000","3,478,000,000","3,241,000,000","3,537,700,000","3,570,700,000","3,420,800,000","3,294,800,000","3,551,900,000","3,904,900,000","4,103,300,000","3,919,500,000","4,065,000,000","4,041,800,000","3,894,700,000","3,543,300,000","3,620,100,000","3,634,000,000","3,588,700,000","3,426,700,000","3,428,100,000","3,465,200,000","3,382,400,000","3,171,500,000","3,156,100,000","3,208,400,000","3,103,500,000","2,830,600,000","2,867,500,000","2,896,800,000","2,819,800,000","2,565,800,000","2,584,500,000","2,629,700,000","2,514,100,000","2,284,600,000","2,237,500,000","2,243,700,000","2,116,500,000","2,009,500,000","2,041,200,000","2,092,100,000","2,056,700,000","1,983,800,000","1,991,900,000","1,973,200,000","1,923,900,000","1,817,000,000","1,885,600,000","1,851,900,000","1,888,900,000","1,800,600,000","2,038,800,000","1,982,300,000","1,906,200,000","1,646,100,000","1,762,600,000","1,783,600,000","1,805,300,000","1,719,800,000","1,747,100,000","1,698,500,000","1,627,700,000","1,578,200,000","1,639,700,000","1,566,400,000","1,533,200,000","1,358,000,000","1,265,200,000","1,272,800,000","1,260,200,000","1,154,700,000","1,163,500,000"
	OperatingRevenue,"18,548,000,000","4,473,000,000","4,947,000,000","4,697,000,000","4,431,000,000","4,161,000,000","4,558,000,000","3,914,000,000","4,162,000,000","4,151,000,000","4,971,000,000","4,684,000,000","4,570,000,000","4,147,000,000","4,888,000,000","4,456,000,000","4,248,000,000","3,816,000,000","4,435,000,000","4,039,000,000","3,574,000,000","3,216,000,000","-245,000,000","5,126,000,000","4,928,000,000","4,713,000,000","5,814,000,000","5,503,000,000","5,400,000,000","5,587,000,000","6,807,000,000","6,312,000,000","5,812,000,000","5,606,000,000","6,812,000,000","6,344,000,000","5,960,000,000","5,553,000,000","6,700,000,000","6,484,000,000","5,919,000,000","5,309,000,000","6,545,000,000","6,288,000,000","5,854,000,000","5,535,000,000","5,243,000,000","5,417,000,000","5,144,000,000","5,011,000,000","5,322,000,000","5,091,000,000","5,087,000,000","5,415,000,000","6,696,000,000","6,568,000,000","6,023,000,000","5,637,000,000","6,134,000,000","5,874,000,000","5,513,000,000","5,051,000,000","5,516,000,000","5,217,000,000","4,852,000,000","4,548,000,000","4,643,000,000","4,465,000,000","4,227,000,000","3,970,000,000","4,120,000,000","4,036,000,000","3,859,000,000","3,600,000,000","3,694,000,000","3,573,000,000","3,478,000,000","3,241,000,000","3,537,700,000","3,570,700,000","3,420,800,000","3,294,800,000","3,551,900,000","3,904,900,000","4,103,300,000","3,919,500,000","4,065,000,000","4,041,800,000","3,894,700,000","3,543,300,000","3,620,100,000","3,634,000,000","3,588,700,000","3,426,700,000","3,428,100,000","3,465,200,000","3,382,400,000","3,171,500,000","3,156,100,000","3,208,400,000","3,103,500,000","2,830,600,000","2,867,500,000","2,896,800,000","2,819,800,000","2,565,800,000","2,584,500,000","2,629,700,000","2,514,100,000","2,284,600,000","2,237,500,000","2,243,700,000","2,116,500,000","2,009,500,000","2,041,200,000","2,092,100,000","2,056,700,000","1,983,800,000","1,991,900,000","1,973,200,000","1,923,900,000","1,817,000,000","1,885,600,000","1,851,900,000","1,888,900,000","1,800,600,000","2,038,800,000","1,982,300,000","1,906,200,000","1,646,100,000","1,762,600,000","1,783,600,000","1,805,300,000","1,719,800,000","1,747,100,000","1,698,500,000","1,627,700,000","1,578,200,000","1,639,700,000","1,566,400,000","1,533,200,000","1,358,000,000","1,265,200,000","1,272,800,000","1,260,200,000","1,154,700,000","1,163,500,000"
CostOfRevenue,"10,886,000,000","2,651,000,000","2,951,000,000","2,715,000,000","2,569,000,000","2,438,000,000","2,676,000,000","2,296,000,000","2,412,000,000","2,392,000,000","2,843,000,000","2,683,000,000","2,645,000,000","2,386,000,000","2,823,000,000","2,507,000,000","2,423,000,000","2,195,000,000","2,631,000,000","2,361,000,000","2,017,000,000","1,851,000,000","-530,000,000","3,032,000,000","2,934,000,000","2,824,000,000","3,446,000,000","3,269,000,000","3,234,000,000","3,307,000,000","3,918,000,000","3,674,000,000","3,417,000,000","3,370,000,000","4,008,000,000","3,776,000,000","3,587,000,000","3,346,000,000","3,951,000,000","3,856,000,000","3,583,000,000","3,254,000,000","3,955,000,000","3,790,000,000","3,548,000,000","3,372,000,000","3,031,000,000","3,253,000,000","3,144,000,000","3,108,000,000","3,294,000,000","3,253,000,000","3,250,000,000","3,419,000,000","4,222,000,000","4,155,000,000","3,781,000,000","3,615,000,000","3,875,000,000","3,769,000,000","3,561,000,000","3,256,000,000","3,531,000,000","3,361,000,000","3,118,000,000","2,955,000,000","2,974,000,000","2,865,000,000","2,725,000,000","2,558,000,000","2,631,000,000","2,597,000,000","2,503,000,000","2,318,000,000","2,400,000,000","2,323,000,000","2,265,000,000","2,095,000,000","2,303,000,000","2,340,200,000","2,232,100,000","2,124,700,000","2,394,200,000","2,540,300,000","2,652,500,000","2,531,500,000","2,607,800,000","2,605,100,000","2,514,300,000","2,288,800,000","2,332,400,000","2,340,000,000","2,309,800,000","2,211,600,000","2,195,000,000","2,211,100,000","2,159,700,000","2,029,800,000","2,005,800,000","2,067,000,000","1,987,400,000","1,805,400,000","1,833,700,000","1,859,800,000","1,821,100,000","1,650,400,000","1,645,600,000","1,707,000,000","1,635,200,000","1,492,600,000","1,419,100,000","1,459,700,000","1,370,800,000","1,303,400,000","1,218,200,000","1,267,100,000","1,252,900,000","1,210,900,000","1,218,200,000","1,225,100,000","1,200,300,000","1,115,800,000","1,151,000,000","1,128,700,000","1,164,800,000","1,102,600,000","1,283,200,000","1,244,700,000","1,194,500,000","1,010,100,000","1,099,600,000","1,115,600,000",,,,,,,,,,,,,,,
GrossProfit,"7,662,000,000","1,822,000,000","1,996,000,000","1,982,000,000","1,862,000,000","1,723,000,000","1,882,000,000","1,618,000,000","1,750,000,000","1,759,000,000","2,128,000,000","2,001,000,000","1,925,000,000","1,761,000,000","2,065,000,000","1,949,000,000","1,825,000,000","1,621,000,000","1,804,000,000","1,678,000,000","1,557,000,000","1,365,000,000","285,000,000","2,094,000,000","1,994,000,000","1,889,000,000","2,368,000,000","2,234,000,000","2,166,000,000","2,280,000,000","2,889,000,000","2,638,000,000","2,395,000,000","2,236,000,000","2,804,000,000","2,568,000,000","2,373,000,000","2,207,000,000","2,749,000,000","2,628,000,000","2,336,000,000","2,055,000,000","2,590,000,000","2,498,000,000","2,306,000,000","2,163,000,000","2,212,000,000","2,164,000,000","2,000,000,000","1,903,000,000","2,028,000,000","1,838,000,000","1,837,000,000","1,996,000,000","2,474,000,000","2,413,000,000","2,242,000,000","2,022,000,000","2,259,000,000","2,105,000,000","1,952,000,000","1,795,000,000","1,985,000,000","1,856,000,000","1,734,000,000","1,593,000,000","1,669,000,000","1,600,000,000","1,502,000,000","1,412,000,000","1,489,000,000","1,439,000,000","1,356,000,000","1,282,000,000","1,294,000,000","1,250,000,000","1,213,000,000","1,146,000,000","1,234,700,000","1,230,500,000","1,188,700,000","1,170,100,000","1,157,700,000","1,364,600,000","1,450,800,000","1,388,000,000","1,457,200,000","1,436,700,000","1,380,400,000","1,254,500,000","1,287,700,000","1,294,000,000","1,278,900,000","1,215,100,000","1,233,100,000","1,254,100,000","1,222,700,000","1,141,700,000","1,150,300,000","1,141,400,000","1,116,100,000","1,025,200,000","1,033,800,000","1,037,000,000","998,700,000","915,400,000","938,900,000","922,700,000","878,900,000","792,000,000","818,400,000","784,000,000","745,700,000","706,100,000","823,000,000","825,000,000","803,800,000","772,900,000","773,700,000","748,100,000","723,600,000","701,200,000","734,600,000","723,200,000","724,100,000","698,000,000","755,600,000","737,600,000","711,700,000","636,000,000","663,000,000","668,000,000",,,,,,,,,,,,,,,
OperatingExpense,"4,477,000,000","1,074,000,000","1,222,000,000","1,133,000,000","1,070,000,000","1,076,000,000","1,013,000,000","1,027,000,000","994,000,000","1,195,000,000","1,170,000,000","1,186,000,000","1,205,000,000","1,134,000,000","1,237,000,000","1,101,000,000","1,083,000,000","1,048,000,000","1,056,000,000","965,000,000","889,000,000","844,000,000","-285,000,000","1,264,000,000","1,279,000,000","1,290,000,000","1,361,000,000","1,364,000,000","1,415,000,000","1,469,000,000","1,518,000,000","1,490,000,000","1,473,000,000","1,514,000,000","1,499,000,000","1,482,000,000","1,496,000,000","1,469,000,000","1,385,000,000","1,338,000,000","1,359,000,000","1,354,000,000","1,073,000,000","1,450,000,000","1,416,000,000","1,311,000,000","1,346,000,000","1,237,000,000","1,322,000,000","1,254,000,000","1,308,000,000","1,230,000,000","1,240,000,000","1,216,000,000","1,322,000,000","1,341,000,000","1,274,000,000","1,207,000,000","1,257,000,000","1,176,000,000","1,115,000,000","1,092,000,000","1,122,000,000","1,050,000,000","1,005,000,000","950,000,000","951,000,000","907,000,000","893,000,000","872,000,000","881,000,000","824,000,000","807,000,000","1,204,000,000","753,000,000","734,000,000","738,000,000","725,000,000","761,300,000","716,500,000","724,300,000","747,900,000","1,477,300,000","731,200,000","790,000,000","774,000,000","775,400,000","767,300,000","743,300,000","701,900,000","684,600,000","695,500,000","698,700,000","691,400,000","672,200,000","684,800,000","673,300,000","646,400,000","633,600,000","621,800,000","612,200,000","583,300,000","563,900,000","567,100,000","544,000,000","517,000,000","517,200,000","498,700,000","476,400,000","440,900,000","454,500,000","422,200,000","406,400,000","396,500,000","490,200,000","493,400,000","486,300,000","477,400,000","456,800,000","442,300,000","432,900,000","423,300,000","431,300,000","433,200,000","436,300,000","427,700,000","453,400,000","439,400,000","420,300,000","384,600,000","394,700,000","394,300,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"4,192,000,000","1,011,000,000","1,054,000,000","1,073,000,000","1,054,000,000","998,000,000","946,000,000","934,000,000","983,000,000","1,136,000,000","1,109,000,000","1,126,000,000","1,145,000,000","1,077,000,000","1,180,000,000","1,054,000,000","1,032,000,000","992,000,000","997,000,000","931,000,000","868,000,000","822,000,000","-183,000,000","1,203,000,000","1,218,000,000","1,226,000,000","1,185,000,000","1,276,000,000","1,318,000,000","1,405,000,000","1,453,000,000","1,424,000,000","1,394,000,000","1,444,000,000","1,432,000,000","1,396,000,000","1,426,000,000","1,394,000,000","1,385,000,000","1,338,000,000","1,359,000,000","1,354,000,000","1,339,000,000","1,363,000,000","1,315,000,000","1,311,000,000","1,358,000,000","1,168,000,000","1,230,000,000","1,161,000,000","1,426,000,000","1,089,000,000","1,119,000,000","1,193,000,000","1,300,000,000","1,321,000,000","1,252,000,000","1,190,000,000","1,240,000,000","1,160,000,000","1,115,000,000","1,078,000,000","1,107,000,000","1,037,000,000","1,005,000,000","950,000,000","923,000,000","907,000,000","893,000,000","872,000,000","860,000,000","824,000,000","807,000,000","790,000,000","753,000,000","734,000,000","734,000,000","720,000,000","733,300,000","716,500,000","724,300,000","747,900,000","786,700,000","731,200,000","790,000,000","774,000,000","775,400,000","767,300,000","743,300,000","701,900,000","684,600,000","695,500,000","698,700,000","691,400,000","672,200,000","684,800,000","673,300,000","646,400,000","633,600,000","621,800,000","612,200,000","583,300,000","563,900,000","567,100,000","544,000,000","517,000,000","517,200,000","498,700,000","476,400,000","440,900,000","454,500,000","422,200,000","406,400,000","396,500,000","413,500,000","404,100,000","396,900,000","392,100,000","387,700,000","367,700,000","355,900,000","348,800,000","359,200,000","359,000,000","361,800,000","354,100,000","384,700,000","366,200,000","353,800,000","323,700,000","340,300,000","335,600,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,"1,011,000,000","1,054,000,000","1,073,000,000","1,054,000,000","998,000,000","946,000,000","934,000,000","983,000,000","1,136,000,000","1,109,000,000","1,126,000,000","1,145,000,000","1,077,000,000","1,180,000,000","1,054,000,000","1,032,000,000","992,000,000","997,000,000","931,000,000","868,000,000","822,000,000","-183,000,000","1,203,000,000","1,218,000,000","1,226,000,000","1,185,000,000","1,276,000,000","1,318,000,000","1,405,000,000","1,453,000,000","1,424,000,000","1,394,000,000","1,444,000,000","1,432,000,000","1,396,000,000","1,426,000,000","1,394,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,"1,011,000,000","1,054,000,000","1,073,000,000","1,054,000,000","998,000,000","946,000,000","934,000,000","983,000,000","1,136,000,000","1,109,000,000","1,126,000,000","1,145,000,000","1,077,000,000","1,180,000,000","1,054,000,000","1,032,000,000","992,000,000","997,000,000","931,000,000","868,000,000","822,000,000","-183,000,000","1,203,000,000","1,218,000,000","1,226,000,000","1,185,000,000","1,276,000,000","1,318,000,000","1,405,000,000","1,453,000,000","1,424,000,000","1,394,000,000","1,444,000,000","1,432,000,000","1,396,000,000","1,426,000,000","1,394,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"285,000,000","63,000,000","77,000,000","71,000,000","74,000,000","78,000,000","61,000,000","60,000,000","59,000,000","59,000,000","61,000,000","60,000,000","60,000,000","57,000,000","57,000,000","47,000,000","51,000,000","56,000,000","59,000,000","34,000,000","21,000,000","22,000,000","-59,000,000","46,000,000","46,000,000","51,000,000","54,000,000","52,000,000","53,000,000","55,000,000","55,000,000","55,000,000","58,000,000","57,000,000","54,000,000","53,000,000","54,000,000","59,000,000",,"67,000,000","57,000,000",,,,,"67,000,000",,"44,000,000",,,,,,"23,000,000","22,000,000","20,000,000","22,000,000","17,000,000","17,000,000","16,000,000",,"14,000,000","15,000,000","13,000,000",,,,,,,,,,,,,"4,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,700,000","89,300,000","89,400,000","85,300,000","69,100,000","74,600,000","77,000,000","74,500,000","72,100,000","74,200,000","74,500,000","73,600,000","68,700,000","73,200,000","66,500,000","60,900,000","54,400,000","58,700,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"285,000,000","63,000,000","77,000,000","71,000,000","74,000,000","78,000,000","61,000,000","60,000,000","59,000,000","59,000,000","61,000,000","60,000,000","60,000,000","57,000,000","57,000,000","47,000,000","51,000,000","56,000,000","59,000,000","34,000,000","21,000,000","22,000,000","-59,000,000","46,000,000","46,000,000","51,000,000","54,000,000","52,000,000","53,000,000","55,000,000","55,000,000","55,000,000","58,000,000","57,000,000","54,000,000","53,000,000","54,000,000","59,000,000",,"67,000,000","57,000,000",,,,,"67,000,000",,"44,000,000",,,,,,"23,000,000","22,000,000","20,000,000","22,000,000","17,000,000","17,000,000","16,000,000",,"14,000,000","15,000,000","13,000,000",,,,,,,,,,,,,"4,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,700,000","89,300,000","89,400,000","85,300,000","69,100,000","74,600,000","77,000,000","74,500,000","72,100,000","74,200,000","74,500,000","73,600,000","68,700,000","73,200,000","66,500,000","60,900,000","54,400,000","58,700,000",,,,,,,,,,,,,,,
			Amortization,"285,000,000","63,000,000","77,000,000","71,000,000","74,000,000","78,000,000","61,000,000","60,000,000","59,000,000","59,000,000","61,000,000","60,000,000","60,000,000","57,000,000","57,000,000","47,000,000","51,000,000","56,000,000","59,000,000","34,000,000","21,000,000","22,000,000","-59,000,000","46,000,000","46,000,000","51,000,000","54,000,000","52,000,000","53,000,000","55,000,000","55,000,000","55,000,000","58,000,000","57,000,000","54,000,000","53,000,000","54,000,000","59,000,000",,"67,000,000","57,000,000",,,,,"67,000,000",,"44,000,000",,,,,,"23,000,000","22,000,000","20,000,000","22,000,000","17,000,000","17,000,000","16,000,000",,"14,000,000","15,000,000","13,000,000",,,,,,,,,,,,,"4,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"285,000,000","63,000,000","77,000,000","71,000,000","74,000,000","78,000,000","61,000,000","60,000,000","59,000,000","59,000,000","61,000,000","60,000,000","60,000,000","57,000,000","57,000,000","47,000,000","51,000,000","56,000,000","59,000,000","34,000,000","21,000,000","22,000,000","-59,000,000","46,000,000","46,000,000","51,000,000","54,000,000","52,000,000","53,000,000","55,000,000","55,000,000","55,000,000","58,000,000","57,000,000","54,000,000","53,000,000","54,000,000","59,000,000",,"67,000,000","57,000,000",,,,,"67,000,000",,"44,000,000",,,,,,"23,000,000","22,000,000","20,000,000","22,000,000","17,000,000","17,000,000","16,000,000",,"14,000,000","15,000,000","13,000,000",,,,,,,,,,,,,"4,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,"-11,000,000","-58,000,000",,,"33,000,000","-48,000,000",,,,,,,,,,,,,,,"15,000,000","15,000,000","13,000,000","122,000,000","36,000,000","44,000,000","9,000,000","10,000,000","11,000,000","21,000,000","13,000,000","13,000,000","33,000,000","16,000,000","16,000,000",,"-18,000,000","48,000,000","90,000,000",,"87,000,000","101,000,000","-6,000,000","-188,000,000","69,000,000","92,000,000","93,000,000","-226,000,000","141,000,000","121,000,000",,,,,,,,,,,,,,,,,,,,,"414,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
