name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"13,811,000,000","3,674,000,000","3,553,000,000","3,459,000,000","3,125,000,000","3,102,000,000","3,093,000,000","2,801,000,000","2,785,000,000","2,719,000,000","2,953,000,000","3,017,000,000","2,785,000,000","2,803,000,000","2,946,000,000","3,101,000,000","2,785,000,000","2,747,000,000","2,908,000,000","2,855,000,000","2,473,000,000","2,461,000,000","2,815,000,000","2,030,000,000","1,756,000,000","1,804,600,000","2,097,000,000","2,172,300,000","1,923,100,000","2,032,400,000","2,238,900,000","2,291,900,000","2,006,800,000","1,996,800,000","2,277,900,000","2,202,400,000","1,991,000,000","2,114,200,000","2,282,500,000","2,296,300,000","2,042,700,000","2,051,700,000","2,258,300,000","2,309,700,000","2,011,200,000","1,995,200,000","2,035,000,000","2,007,500,000","1,706,200,000","1,864,400,000","1,969,100,000","1,926,200,000","1,585,600,000","1,732,800,000","2,008,200,000","2,080,300,000","1,740,200,000","1,756,200,000","1,906,500,000","2,032,800,000","1,694,200,000","1,591,800,000","1,822,300,000","1,842,500,000","1,364,900,000","1,291,200,000","1,583,900,000","1,552,000,000","1,324,100,000","1,262,800,000","1,478,700,000","1,467,200,000","1,231,500,000","1,193,500,000","1,359,300,000","1,353,300,000","1,070,900,000","910,200,000","1,038,600,000","1,034,200,000","875,900,000","843,000,000","1,000,500,000","992,600,000","850,000,000","924,600,000","961,300,000","961,200,000","817,600,000","793,300,000","991,600,000","979,000,000","820,300,000","841,900,000","859,200,000","645,600,000","549,700,000","574,800,000","690,200,000","643,700,000","479,800,000","500,100,000","622,200,000","600,100,000","462,000,000","470,200,000","760,700,000","755,200,000","605,600,000","613,300,000","717,500,000","676,600,000","587,300,000","557,700,000","683,000,000","665,500,000","534,700,000","524,800,000","566,500,000","674,000,000","546,300,000","537,400,000","644,400,000","638,200,000","447,400,000","302,000,000","351,800,000","381,900,000","321,500,000","306,700,000","321,200,000","337,200,000","257,300,000","233,000,000","292,700,000","306,100,000","241,200,000","214,800,000","267,400,000","288,300,000","283,600,000","251,900,000","281,700,000","296,100,000","240,600,000","256,600,000","288,500,000"
	OperatingRevenue,"13,811,000,000","3,674,000,000","3,553,000,000","3,459,000,000","3,125,000,000","3,102,000,000","3,093,000,000","2,801,000,000","2,785,000,000","2,719,000,000","2,953,000,000","3,017,000,000","2,785,000,000","2,803,000,000","2,946,000,000","3,101,000,000","2,785,000,000","2,747,000,000","2,908,000,000","2,855,000,000","2,473,000,000","2,461,000,000","2,815,000,000","2,030,000,000","1,756,000,000","1,804,600,000","2,097,000,000","2,172,300,000","1,923,100,000","2,032,400,000","2,238,900,000","2,291,900,000","2,006,800,000","1,996,800,000","2,277,900,000","2,202,400,000","1,991,000,000","2,114,200,000","2,282,500,000","2,296,300,000","2,042,700,000","2,051,700,000","2,258,300,000","2,309,700,000","2,011,200,000","1,995,200,000","2,035,000,000","2,007,500,000","1,706,200,000","1,864,400,000","1,969,100,000","1,926,200,000","1,585,600,000","1,732,800,000","2,008,200,000","2,080,300,000","1,740,200,000","1,756,200,000","1,906,500,000","2,032,800,000","1,694,200,000","1,591,800,000","1,822,300,000","1,842,500,000","1,364,900,000","1,291,200,000","1,583,900,000","1,552,000,000","1,324,100,000","1,262,800,000","1,478,700,000","1,467,200,000","1,231,500,000","1,193,500,000","1,359,300,000","1,353,300,000","1,070,900,000","910,200,000","1,038,600,000","1,034,200,000","875,900,000","843,000,000","1,000,500,000","992,600,000","850,000,000","924,600,000","961,300,000","961,200,000","817,600,000","793,300,000","991,600,000","979,000,000","820,300,000","841,900,000","859,200,000","645,600,000","549,700,000","574,800,000","690,200,000","643,700,000","479,800,000","500,100,000","622,200,000","600,100,000","462,000,000","470,200,000","760,700,000","755,200,000","605,600,000","613,300,000","717,500,000","676,600,000","587,300,000","557,700,000","683,000,000","665,500,000","534,700,000","524,800,000","566,500,000","674,000,000","546,300,000","537,400,000","644,400,000","638,200,000","447,400,000","302,000,000","351,800,000","381,900,000","321,500,000","306,700,000","321,200,000","337,200,000","257,300,000","233,000,000","292,700,000","306,100,000","241,200,000","214,800,000","267,400,000","288,300,000","283,600,000","251,900,000","281,700,000","296,100,000","240,600,000","256,600,000","288,500,000"
CostOfRevenue,"11,085,000,000","2,981,000,000","2,851,000,000","2,760,000,000","2,493,000,000","2,448,000,000","2,430,000,000","2,230,000,000","2,215,000,000","2,159,000,000","2,363,000,000","2,428,000,000","2,253,000,000","2,246,000,000","2,362,000,000","2,484,000,000","2,237,000,000","2,134,000,000","2,338,000,000","2,270,000,000","1,975,000,000","1,945,000,000","2,338,000,000","1,596,000,000","1,416,000,000","1,434,000,000","1,690,300,000","1,775,100,000","1,560,900,000","1,636,900,000","1,807,300,000","1,846,400,000","1,612,900,000","1,586,100,000","1,846,900,000","1,798,900,000","1,643,500,000","1,729,400,000","1,866,100,000","1,890,800,000","1,687,700,000","1,702,800,000","1,862,200,000","1,885,500,000","1,630,700,000","1,639,400,000","1,653,400,000","1,643,100,000","1,420,400,000","1,556,100,000","1,609,700,000","1,593,200,000","1,312,500,000","1,484,300,000","1,679,900,000","1,738,500,000","1,437,700,000","1,490,100,000","1,659,500,000","1,682,600,000","1,394,300,000","1,308,100,000","1,526,000,000","1,550,000,000","1,156,000,000","1,093,800,000","1,329,100,000","1,302,700,000","1,096,800,000","1,031,100,000","1,196,400,000","1,193,500,000","1,012,500,000","989,800,000","1,107,400,000","1,106,100,000","889,500,000","755,000,000","866,800,000","862,900,000","745,700,000","461,800,000","853,000,000","1,105,000,000","722,400,000","787,400,000","794,200,000","885,000,000","680,900,000","653,700,000","824,500,000","817,900,000","691,900,000","713,500,000","717,900,000","532,600,000","461,500,000","480,100,000","573,600,000","542,400,000","407,600,000","438,400,000","544,600,000","526,500,000","404,300,000","406,900,000","662,600,000","647,400,000","503,500,000","505,100,000","604,100,000","573,700,000","501,400,000","478,100,000","568,900,000","553,500,000","441,800,000","426,500,000","466,800,000","543,200,000","445,500,000","427,300,000","531,400,000","512,200,000","364,500,000","245,900,000","285,000,000","312,600,000","268,200,000","269,100,000","267,000,000","279,600,000",,,,,,,,,,,,,,,
GrossProfit,"2,726,000,000","693,000,000","702,000,000","699,000,000","632,000,000","654,000,000","663,000,000","571,000,000","570,000,000","560,000,000","590,000,000","589,000,000","532,000,000","557,000,000","584,000,000","617,000,000","548,000,000","613,000,000","570,000,000","585,000,000","498,000,000","516,000,000","477,000,000","434,000,000","340,000,000","370,600,000","406,700,000","397,200,000","362,200,000","395,500,000","431,600,000","445,500,000","393,900,000","410,700,000","431,000,000","403,500,000","347,500,000","384,800,000","416,400,000","405,500,000","355,000,000","348,900,000","396,100,000","424,200,000","380,500,000","355,800,000","381,600,000","364,400,000","285,800,000","308,300,000","359,400,000","333,000,000","273,100,000","248,500,000","328,300,000","341,800,000","302,500,000","266,100,000","247,000,000","350,200,000","299,900,000","283,700,000","296,300,000","292,500,000","208,900,000","197,400,000","254,800,000","249,300,000","227,300,000","231,700,000","282,300,000","273,700,000","219,000,000","203,700,000","251,900,000","247,200,000","181,400,000","155,200,000","171,800,000","171,300,000","130,200,000","381,200,000","147,500,000","-112,400,000","127,600,000","137,200,000","167,100,000","76,200,000","136,700,000","139,600,000","167,100,000","161,100,000","128,400,000","128,400,000","141,300,000","113,000,000","88,200,000","94,700,000","116,600,000","101,300,000","72,200,000","61,700,000","77,600,000","73,600,000","57,700,000","63,300,000","98,100,000","107,800,000","102,100,000","108,200,000","113,400,000","102,900,000","85,900,000","79,600,000","114,100,000","112,000,000","92,900,000","98,300,000","99,700,000","130,800,000","100,800,000","110,100,000","113,000,000","126,000,000","82,900,000","56,100,000","66,800,000","69,300,000","53,300,000","37,600,000","54,200,000","57,600,000",,,,,,,,,,,,,,,
OperatingExpense,"1,293,000,000","307,000,000","323,000,000","338,000,000","325,000,000","331,000,000","281,000,000","281,000,000","300,000,000","257,000,000","259,000,000","282,000,000","297,000,000","299,000,000","284,000,000","305,000,000","292,000,000","306,000,000","289,000,000","357,000,000","291,000,000","318,000,000","282,000,000","183,000,000","183,000,000","184,800,000","178,700,000","189,000,000","184,300,000","195,500,000","194,400,000","181,000,000","176,500,000","183,700,000","175,600,000","177,400,000","181,800,000","129,700,000","197,800,000","167,900,000","173,000,000","158,400,000","167,500,000","170,100,000","186,500,000","180,200,000","160,100,000","140,000,000","156,400,000","163,100,000","157,200,000","112,500,000","141,900,000","133,300,000","141,400,000","154,700,000","156,200,000","144,200,000","156,100,000","157,200,000","147,200,000","145,500,000","131,000,000","64,300,000","127,300,000","133,900,000","107,000,000","109,000,000","116,400,000","103,300,000","119,700,000","119,900,000","124,900,000","99,200,000","112,100,000","109,000,000","104,500,000","88,700,000","78,400,000","76,400,000","73,000,000","354,300,000","70,000,000","69,400,000","75,600,000","79,100,000","76,600,000","75,100,000","77,600,000","81,000,000","80,700,000","80,100,000","75,600,000","156,300,000","79,000,000","66,600,000","63,100,000","72,800,000","63,700,000","63,500,000","53,200,000","53,000,000","44,200,000","45,200,000","44,300,000","44,900,000","56,800,000","60,700,000","63,300,000","57,800,000","63,500,000","62,900,000","57,300,000","179,900,000","80,100,000","76,800,000","67,300,000","69,700,000","57,100,000","86,900,000","70,800,000","87,500,000","62,000,000","77,700,000","53,800,000","48,700,000","37,600,000","38,600,000","35,100,000","35,300,000","35,200,000","33,900,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"593,000,000","122,000,000","148,000,000","166,000,000","157,000,000","162,000,000","121,000,000","111,000,000","131,000,000","89,000,000","90,000,000","111,000,000","127,000,000","126,000,000","113,000,000","127,000,000","112,000,000","116,000,000","127,000,000","128,000,000","143,000,000","164,000,000","135,000,000","105,000,000","108,000,000","110,800,000","106,800,000","117,700,000","116,000,000","124,300,000","123,100,000","111,400,000","107,700,000","107,400,000","99,000,000","102,900,000","109,300,000","57,000,000","123,100,000","101,400,000","104,000,000","99,200,000","89,700,000","96,000,000","99,400,000","106,900,000","93,000,000","77,600,000","84,700,000","88,700,000","86,800,000","77,900,000","75,200,000","60,600,000","67,500,000","78,500,000","81,600,000","69,900,000","84,300,000","87,300,000","82,200,000","76,900,000","66,500,000","73,500,000","70,600,000","60,000,000","52,600,000","56,000,000","63,000,000","66,100,000","63,000,000","67,700,000","71,100,000","48,700,000","62,200,000","57,500,000","53,200,000","46,100,000","42,200,000","39,300,000","37,300,000","54,000,000","30,700,000","26,600,000","34,300,000","38,600,000","37,300,000","32,500,000","33,500,000","50,100,000","36,700,000","37,200,000","30,500,000","107,000,000","39,600,000","30,400,000","33,400,000","41,300,000","32,100,000","33,100,000","29,200,000","23,200,000","22,100,000","23,800,000","24,100,000","23,600,000","28,500,000","28,700,000","31,300,000","24,800,000","31,600,000","31,300,000","26,800,000","150,100,000","49,700,000","47,500,000","40,500,000","44,400,000","37,800,000","55,500,000","41,300,000","53,700,000","35,800,000","52,300,000","31,200,000","34,700,000","24,300,000","25,500,000","22,000,000","22,200,000","22,100,000","21,600,000",,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,700,000","4,000,000","3,000,000",,,"3,700,000","3,700,000",,"3,200,000","3,200,000","3,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"700,000,000","185,000,000","175,000,000","172,000,000","168,000,000","169,000,000","160,000,000","170,000,000","169,000,000","168,000,000","169,000,000","171,000,000","170,000,000","173,000,000","171,000,000","178,000,000","180,000,000","190,000,000","162,000,000","229,000,000","148,000,000","154,000,000","147,000,000","78,000,000","75,000,000","74,000,000","71,900,000","71,300,000","68,300,000","71,200,000","71,300,000","69,600,000","68,800,000","76,300,000","76,600,000","74,500,000","72,500,000","72,700,000","74,700,000","66,500,000","69,000,000","78,900,000","74,500,000","74,100,000","73,600,000","73,300,000","67,100,000","62,400,000","71,700,000","78,700,000","70,400,000","69,400,000","66,700,000","72,700,000","73,900,000","76,200,000","74,600,000","74,300,000","71,800,000","69,900,000","65,000,000","68,600,000","64,500,000","64,900,000","54,600,000","52,700,000","54,400,000","53,000,000","53,400,000","52,400,000","56,700,000","52,200,000","53,800,000","54,200,000","49,900,000","51,500,000","49,900,000","40,200,000","36,200,000","37,100,000","35,700,000","37,800,000","37,600,000","38,800,000","38,300,000","40,500,000","39,300,000","38,900,000","40,400,000","40,900,000","40,800,000","39,700,000","41,500,000","49,300,000","39,400,000","36,200,000","29,700,000","31,500,000","31,600,000","30,400,000","24,000,000","29,800,000","22,100,000","21,400,000","20,200,000","21,300,000","28,300,000","32,000,000","32,000,000","33,000,000","31,900,000","31,600,000","30,500,000","29,800,000","30,400,000","29,300,000","26,800,000","25,300,000","19,300,000","31,400,000","29,500,000","33,800,000","26,200,000","25,400,000","22,600,000","14,000,000","13,300,000","13,100,000","13,100,000","13,100,000","13,100,000","12,300,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"700,000,000","185,000,000","175,000,000","172,000,000","168,000,000","169,000,000","160,000,000","170,000,000","169,000,000","168,000,000","169,000,000","171,000,000","170,000,000","173,000,000","171,000,000","178,000,000","180,000,000","190,000,000","162,000,000","229,000,000","148,000,000","154,000,000","147,000,000","78,000,000","75,000,000","74,000,000","71,900,000","71,300,000","68,300,000","71,200,000","71,300,000","69,600,000","68,800,000","76,300,000","76,600,000","74,500,000","72,500,000","72,700,000","74,700,000","66,500,000","69,000,000","78,900,000","74,500,000","74,100,000","73,600,000","73,300,000","67,100,000","62,400,000","71,700,000","78,700,000","70,400,000","69,400,000","66,700,000","72,700,000","73,900,000","76,200,000","74,600,000","74,300,000","71,800,000","69,900,000","65,000,000","68,600,000","64,500,000","64,900,000","54,600,000","52,700,000","54,400,000","53,000,000","53,400,000","52,400,000","56,700,000","52,200,000","53,800,000","54,200,000","49,900,000","51,500,000","49,900,000","40,200,000","36,200,000","37,100,000","35,700,000","37,800,000","37,600,000","38,800,000","38,300,000","40,500,000","39,300,000","38,900,000","40,400,000","40,900,000","40,800,000","39,700,000","41,500,000","49,300,000","39,400,000","36,200,000","29,700,000","31,500,000","31,600,000","30,400,000","24,000,000","29,800,000","22,100,000","21,400,000","20,200,000","21,300,000","28,300,000","32,000,000","32,000,000","33,000,000","31,900,000","31,600,000","30,500,000","29,800,000","30,400,000","29,300,000","26,800,000","25,300,000","19,300,000","31,400,000","29,500,000","33,800,000","26,200,000","25,400,000","22,600,000","14,000,000","13,300,000","13,100,000","13,100,000","13,100,000","13,100,000","12,300,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,300,000","2,900,000","13,500,000",,,,,"-4,300,000",,"-34,800,000",,,,,,,,,,,,"-74,100,000","2,100,000",,,,,,,,,,,,"1,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,433,000,000","386,000,000","379,000,000","361,000,000","307,000,000","323,000,000","382,000,000","290,000,000","270,000,000","303,000,000","331,000,000","307,000,000","235,000,000","258,000,000","300,000,000","312,000,000","256,000,000","307,000,000","281,000,000","228,000,000","207,000,000","198,000,000","195,000,000","251,000,000","157,000,000","185,800,000","228,000,000","208,200,000","177,900,000","200,000,000","237,200,000","264,500,000","217,400,000","227,000,000","255,400,000","226,100,000","165,700,000","255,100,000","218,600,000","237,600,000","182,000,000","190,500,000","228,600,000","254,100,000","194,000,000","175,600,000","221,500,000","224,400,000","129,400,000","145,200,000","202,200,000","220,500,000","131,200,000","115,200,000","186,900,000","187,100,000","146,300,000","121,900,000","90,900,000","193,000,000","152,700,000","138,200,000","165,300,000","228,200,000","81,600,000","63,500,000","147,800,000","140,300,000","110,900,000","128,400,000","162,600,000","153,800,000","94,100,000","104,500,000","139,800,000","138,200,000","76,900,000","66,500,000","93,400,000","94,900,000","57,200,000","26,900,000","77,500,000","-181,800,000","52,000,000","58,100,000","90,500,000","1,100,000","59,100,000","58,600,000","86,400,000","81,000,000","52,800,000","-27,900,000","62,300,000","46,400,000","25,100,000","21,900,000","52,900,000","37,800,000","19,000,000","8,700,000","33,400,000","28,400,000","13,400,000","18,400,000","41,300,000","47,100,000","38,800,000","50,400,000","49,900,000","40,000,000","28,600,000","-100,300,000","34,000,000","35,200,000","25,600,000","28,600,000","42,600,000","43,900,000","30,000,000","22,600,000","51,000,000","48,300,000","29,100,000","7,400,000","29,200,000","30,700,000","18,200,000","2,300,000","19,000,000","23,700,000","257,300,000","-789,600,000","292,700,000","306,100,000","241,200,000","-720,400,000","267,400,000","288,300,000","283,600,000","-701,800,000","281,700,000","296,100,000","240,600,000","-748,100,000","288,500,000"
NetNonOperatingInterestIncomeExpense,"-283,000,000","-81,000,000","-69,000,000","-66,000,000","-67,000,000","-69,000,000","-69,000,000","-67,000,000","-111,000,000","-83,000,000","-79,000,000","-81,000,000","-81,000,000","-75,000,000","-76,000,000","-77,000,000","-74,000,000","-71,000,000","-74,000,000","-75,000,000","-68,000,000","-71,000,000","-82,000,000","-87,000,000","-99,000,000","-66,800,000","-58,500,000","-36,000,000","-98,400,000","-39,000,000","-40,100,000","-40,600,000","-73,300,000","-45,800,000","-46,800,000","-74,400,000","-44,800,000","-60,700,000","-44,200,000","-44,700,000","-45,300,000","-42,400,000","-43,000,000","-45,200,000","-46,500,000","-43,400,000","-36,200,000","-44,700,000","-33,900,000","-37,800,000","-28,900,000","-24,700,000","-25,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"270,000,000","69,000,000","68,000,000","66,000,000","67,000,000","69,000,000","68,000,000","67,000,000","71,000,000","80,000,000","79,000,000","81,000,000","77,000,000","75,000,000","76,000,000","77,000,000","73,000,000","69,000,000","74,000,000","74,000,000","68,000,000","70,000,000","80,000,000","41,000,000","38,000,000","36,200,000","37,500,000","31,000,000","38,500,000","39,000,000","40,100,000","40,600,000","40,200,000","45,800,000","45,500,000","47,700,000","44,800,000","45,600,000","44,200,000","44,700,000","45,300,000","42,400,000","43,000,000","45,200,000","46,500,000","43,400,000","36,200,000","44,700,000","33,900,000","37,800,000","28,900,000","24,700,000","25,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"13,000,000","12,000,000","1,000,000",,,"0","1,000,000",,"40,000,000","3,000,000",,,"4,000,000","0",,,"1,000,000","2,000,000",,"1,000,000",,"1,000,000","2,000,000","46,000,000","61,000,000","30,600,000","21,000,000","5,000,000","59,900,000","0",,,"33,100,000","0","1,300,000","26,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-142,000,000","-6,000,000","-141,000,000","12,000,000","-7,000,000","-27,000,000","-8,000,000","-112,000,000","-115,000,000","-97,000,000","-133,000,000",,"-14,000,000","-60,000,000","-32,000,000","-69,000,000","-30,000,000","32,000,000","-157,000,000","-41,000,000","-55,000,000","-18,000,000","-79,000,000","27,000,000","-267,000,000","-56,400,000","-151,900,000","65,600,000","-52,000,000","-62,700,000","-9,200,000","-8,600,000",,"10,300,000","-43,800,000","-22,600,000","-22,700,000","-87,700,000","-36,800,000","-2,800,000","-15,100,000","-10,600,000","-3,300,000",,,"-117,300,000","97,400,000","25,700,000","3,000,000","8,100,000","-17,200,000","-13,900,000","-7,700,000","-28,600,000","-6,000,000","-6,900,000","11,000,000","-41,500,000","3,200,000","3,400,000","3,200,000","-32,200,000","6,400,000","79,400,000","1,100,000","-7,400,000","-17,300,000","-3,800,000","3,500,000","-1,300,000","11,400,000","2,900,000","2,800,000","6,200,000","-10,800,000","3,200,000","1,200,000","1,200,000","2,100,000","800,000","1,800,000","-268,700,000","500,000","500,000","500,000","-3,200,000","3,000,000","-1,700,000","-1,700,000","-400,000","600,000","-700,000","300,000","19,400,000","-4,000,000","-3,200,000","-6,600,000","1,700,000","-1,700,000","8,000,000","-900,000","-34,900,000","1,200,000","1,000,000","2,200,000","-10,200,000","-111,000,000","700,000","4,000,000","-3,200,000","-1,200,000","-200,000","300,000","14,000,000","-13,700,000","300,000","700,000","300,000",,"100,000","200,000","500,000","300,000",,"-1,600,000","200,000","3,300,000","2,500,000","600,000","1,100,000","3,100,000","3,600,000",,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,800,000","28,000,000","4,700,000","5,800,000","5,500,000","5,200,000","-2,700,000","2,900,000","3,100,000","4,600,000","3,900,000","3,100,000","3,200,000","3,400,000","3,200,000","3,000,000","3,600,000","4,900,000","3,200,000","3,700,000","3,300,000","5,000,000","3,500,000","-9,800,000","4,700,000","2,900,000","2,800,000","4,600,000","900,000","3,200,000","2,600,000",,"2,100,000","1,800,000","1,800,000","2,500,000","500,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-142,000,000","-6,000,000","-141,000,000","12,000,000","-7,000,000","-27,000,000","-8,000,000","-112,000,000","-115,000,000","-97,000,000","-133,000,000","0","-14,000,000","-60,000,000","-32,000,000","-69,000,000","-30,000,000","32,000,000","-157,000,000","-41,000,000","-55,000,000","-18,000,000","-79,000,000","27,000,000","-267,000,000","-56,400,000","-151,900,000","65,600,000","-52,000,000","-62,700,000","-9,200,000","-8,600,000","0","10,300,000","-43,800,000","-22,600,000","-22,700,000","-87,700,000","0","-2,800,000","-15,100,000","-30,300,000","0","0",,"1,200,000","11,600,000","-2,300,000","-1,700,000","2,300,000","-22,700,000","-19,100,000","-5,000,000","-31,500,000","-9,100,000","-11,500,000","7,100,000",,,,,"-35,200,000","2,800,000","74,500,000","-2,100,000","-11,100,000","-20,600,000","-8,800,000",,"8,500,000","6,700,000",,,"1,600,000","-11,700,000",,"-1,400,000",,,"-1,000,000",,,,,"500,000","-3,200,000","3,000,000","-1,700,000","-1,700,000","-400,000","600,000","-700,000","300,000","19,400,000","-4,000,000","-3,200,000","-6,600,000","1,700,000","-1,700,000","8,000,000","-900,000","-34,900,000","1,200,000","1,000,000","2,200,000","-10,200,000","-111,000,000","700,000","4,000,000","-3,200,000","-1,200,000","-200,000","300,000","14,000,000","-13,700,000","300,000","700,000","300,000",,"100,000","200,000","500,000","300,000",,"-1,600,000","200,000","3,300,000","2,500,000","600,000","1,100,000","3,100,000","3,600,000",,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"142,000,000","6,000,000","141,000,000","-12,000,000","7,000,000","27,000,000","8,000,000","112,000,000","115,000,000","97,000,000","133,000,000","0","14,000,000","60,000,000","32,000,000","69,000,000","30,000,000","-32,000,000","157,000,000","41,000,000","55,000,000","18,000,000","79,000,000","-27,000,000","267,000,000","56,400,000","151,900,000","-65,600,000","52,000,000","62,700,000","9,200,000","8,600,000","0","-10,300,000","43,800,000","22,600,000","22,700,000","58,800,000","36,800,000","2,800,000","4,400,000","10,600,000","3,300,000",,,,"-11,600,000","2,300,000","1,700,000","-2,300,000","22,700,000","19,100,000","5,000,000","24,400,000","9,100,000","11,500,000","-7,100,000",,,,,"33,800,000",,"-400,000",,,"19,300,000","8,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,100,000",,,,,,,,,,,,,,,,,,,,,"1,400,000",,"-74,100,000",,,"1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
