name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"6,894,500,000","1,763,400,000","1,750,000,000","1,721,400,000","1,659,700,000","1,630,100,000","1,497,600,000","1,419,000,000","1,598,900,000","1,742,800,000","1,720,600,000","1,439,400,000","1,214,600,000","1,255,900,000","1,341,800,000","1,360,600,000","1,355,800,000","1,375,600,000","1,337,700,000","1,254,400,000","1,192,600,000","1,194,700,000","1,201,600,000","1,189,400,000","1,148,700,000","1,239,700,000","1,273,500,000","1,318,100,000","1,291,600,000","1,276,700,000","1,311,000,000","1,289,900,000","1,269,500,000","1,225,100,000","1,171,800,000","1,135,500,000","1,141,800,000","1,092,900,000","1,041,400,000","1,009,000,000","1,033,700,000","997,100,000","997,800,000","1,070,000,000","1,027,300,000","1,028,500,000","953,100,000","787,000,000","719,100,000","747,800,000","705,800,000","625,100,000","548,600,000","634,400,000","827,200,000","935,600,000","910,400,000","1,765,400,000","720,300,000","722,500,000","670,700,000","655,300,000","587,100,000","588,052,000","584,119,000","614,198,000","533,687,000","528,582,000","540,453,000","666,039,000","509,086,000","524,984,000","531,282,000","640,530,000","505,919,000","466,401,000","427,969,000","515,489,000","481,973,000","564,952,000","538,406,000","531,050,000","570,745,000","602,582,000","605,622,000","665,704,000","657,476,000","583,377,000","588,787,000","454,003,000","455,300,000","408,900,000","388,500,000","345,500,000","384,500,000","319,100,000","270,700,000","223,800,000","217,600,000","217,600,000","217,600,000"
	OperatingRevenue,"6,648,400,000","1,705,700,000","1,689,400,000","1,658,900,000","1,594,400,000","1,573,900,000","1,449,500,000","1,373,300,000","1,538,900,000","1,682,000,000","1,657,100,000","1,381,100,000","1,164,800,000","1,209,000,000","1,294,800,000","1,305,000,000","1,298,900,000","1,359,200,000","1,322,200,000","1,238,400,000","1,172,900,000","1,173,500,000","1,182,700,000","1,159,000,000","1,125,800,000","1,211,500,000","1,247,300,000","1,282,000,000","1,261,600,000","1,244,000,000","1,277,600,000","1,251,600,000","1,235,100,000","1,193,900,000","1,140,200,000","1,107,200,000","1,116,600,000","983,200,000","1,041,400,000","1,009,000,000","1,033,700,000","997,100,000","997,800,000","1,070,000,000","1,027,300,000","1,028,500,000","953,100,000","787,000,000","719,100,000","747,800,000","705,800,000","625,100,000","548,600,000","634,400,000","827,200,000","935,600,000","910,400,000","1,765,400,000","720,300,000","722,500,000","670,700,000","655,300,000","587,100,000","588,052,000","584,119,000","614,198,000","533,687,000","528,582,000","540,453,000","666,039,000","509,086,000","524,984,000","531,282,000","640,530,000","505,919,000","466,401,000","427,969,000","515,489,000","481,973,000","564,952,000","538,406,000","531,050,000","570,745,000","602,582,000","605,622,000","665,704,000","657,476,000","583,377,000","588,787,000","454,003,000","455,300,000","408,900,000","388,500,000","345,500,000","384,500,000","319,100,000","270,700,000","223,800,000","217,600,000","217,600,000","217,600,000"
CostOfRevenue,"1,911,300,000","458,400,000","476,700,000","487,000,000","489,200,000","486,900,000","444,500,000","454,600,000","421,900,000","460,100,000","446,000,000","421,900,000","381,300,000","337,400,000","385,500,000","381,100,000","390,400,000","381,900,000","393,100,000","365,600,000","396,800,000","339,000,000","345,100,000","350,300,000","344,400,000","349,800,000","337,600,000","347,200,000","360,900,000","345,700,000","343,800,000","342,900,000","362,100,000","333,400,000","330,300,000","324,100,000","358,000,000","1,297,700,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,"253,360,000",,"420,896,000","399,207,000","410,385,000","498,846,000","379,001,000","385,740,000","392,459,000","454,105,000","360,575,000","342,841,000","334,383,000","388,325,000","351,658,000","399,395,000","388,966,000","382,554,000","389,479,000","394,331,000","398,313,000","405,699,000","388,428,000","359,744,000","360,832,000","279,973,000","220,800,000","274,400,000","261,500,000","201,400,000","268,100,000","212,900,000","175,700,000",,,,
GrossProfit,"4,983,200,000","1,305,000,000","1,273,300,000","1,234,400,000","1,170,500,000","1,143,200,000","1,053,100,000","964,400,000","1,177,000,000","1,282,700,000","1,274,600,000","1,017,500,000","833,300,000","918,500,000","956,300,000","979,500,000","965,400,000","993,700,000","944,600,000","888,800,000","795,800,000","855,700,000","856,500,000","839,100,000","804,300,000","889,900,000","935,900,000","970,900,000","930,700,000","931,000,000","967,200,000","947,000,000","907,400,000","891,700,000","841,500,000","811,400,000","783,800,000","-204,800,000","1,041,400,000","1,009,000,000","1,033,700,000","997,100,000","997,800,000","1,070,000,000","1,027,300,000","1,028,500,000","953,100,000","787,000,000","719,100,000","747,800,000","705,800,000","625,100,000","548,600,000",,,,,,,,,,,,"330,759,000",,"112,791,000","129,375,000","130,068,000","167,193,000","130,085,000","139,244,000","138,823,000","186,425,000","145,344,000","123,560,000","93,586,000","127,164,000","130,315,000","165,557,000","149,440,000","148,496,000","181,266,000","208,251,000","207,309,000","260,005,000","269,048,000","223,633,000","227,955,000","174,030,000","234,500,000","134,500,000","127,000,000","144,100,000","116,400,000","106,200,000","95,000,000",,,,
OperatingExpense,"3,260,900,000","848,400,000","821,500,000","810,600,000","780,400,000","750,300,000","713,600,000","775,600,000","784,500,000","831,600,000","814,000,000","694,300,000","587,000,000","551,200,000","634,200,000","648,200,000","644,300,000","649,400,000","589,300,000","569,900,000","537,200,000","561,500,000","550,200,000","537,600,000","529,900,000","586,300,000","583,200,000","606,900,000","592,600,000","582,800,000","637,600,000","592,200,000","663,100,000","598,400,000","555,500,000","535,700,000","509,000,000","-435,800,000","825,400,000","806,100,000","803,900,000","785,500,000","770,000,000","837,000,000","801,600,000","829,800,000","770,200,000","715,600,000","582,200,000","587,300,000","554,200,000","514,700,000","486,800,000","549,900,000","632,000,000","695,600,000","682,300,000","1,549,000,000","451,300,000","450,800,000","433,500,000","405,000,000","430,300,000","396,350,000","144,123,000",,,"-1,789,000","1,000","121,604,000","-261,761,000","69,875,000","69,266,000","127,809,000","61,682,000","82,295,000","59,021,000","147,730,000","57,683,000","87,159,000","52,504,000","139,403,000","52,378,000","46,969,000","45,089,000","57,394,000","43,933,000","30,539,000","32,642,000","43,704,000","94,500,000","14,200,000","14,700,000","59,300,000","14,600,000",,,,,,
	SellingGeneralAndAdministration,"3,198,000,000","833,000,000","805,900,000","794,600,000","764,500,000","750,300,000","713,600,000","775,600,000","784,500,000","831,600,000","814,000,000","694,300,000","587,000,000","551,200,000","634,200,000","648,200,000","644,300,000","649,400,000","589,300,000","569,900,000","537,200,000","561,500,000","550,200,000","537,600,000","529,900,000","586,300,000","583,200,000","606,900,000","592,600,000","582,800,000","637,600,000","592,200,000","663,100,000","598,400,000","555,500,000","535,700,000","509,000,000","-435,800,000","825,400,000","806,100,000","803,900,000","785,500,000","770,000,000","837,000,000","801,600,000","829,800,000","770,200,000","715,600,000","582,200,000","587,300,000","554,200,000","514,700,000","486,800,000","549,900,000","632,000,000","695,600,000","682,300,000","1,306,500,000","451,300,000","450,800,000","433,500,000","405,000,000","430,300,000","396,350,000","144,123,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"3,099,400,000","795,000,000","785,600,000","770,100,000","748,700,000","729,700,000","698,000,000","761,200,000","751,800,000","790,600,000","780,800,000","660,900,000","559,000,000","511,300,000","600,200,000","615,400,000","616,200,000","608,700,000","559,800,000","540,800,000","512,800,000","526,300,000","523,800,000","509,300,000","505,000,000","552,200,000","558,300,000","577,200,000","565,900,000","550,900,000","611,000,000","562,000,000","639,700,000","568,400,000","532,900,000","511,900,000","486,600,000","-459,100,000","799,000,000","779,500,000","777,200,000","764,400,000","756,900,000","810,900,000","748,400,000","778,500,000","750,600,000","680,400,000","553,900,000","556,900,000","526,500,000","490,800,000","459,900,000",,,,,,,,,,,,"107,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"460,100,000","446,000,000","421,900,000","381,300,000","337,400,000","385,500,000","381,100,000","390,400,000","381,900,000","393,100,000","365,600,000","396,800,000","339,000,000","345,100,000","350,300,000","344,400,000","349,800,000","337,600,000","347,200,000","360,900,000","345,700,000","343,800,000","342,900,000","362,100,000","333,400,000","330,300,000","324,100,000","358,000,000","343,700,000","330,900,000","304,600,000","318,500,000","316,500,000","305,500,000","318,300,000","305,900,000","312,700,000","304,100,000","260,500,000","237,600,000","247,100,000","238,900,000","229,000,000","235,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"3,099,400,000","795,000,000","785,600,000","770,100,000","748,700,000","729,700,000","698,000,000","761,200,000","751,800,000","790,600,000","780,800,000","660,900,000","559,000,000","511,300,000","600,200,000","615,400,000","616,200,000","608,700,000","559,800,000","540,800,000","512,800,000","526,300,000","523,800,000","509,300,000","505,000,000","552,200,000","558,300,000","577,200,000","565,900,000","550,900,000","611,000,000","562,000,000","639,700,000","568,400,000","532,900,000","511,900,000","486,600,000","494,900,000","468,100,000","474,900,000","458,700,000","447,900,000","451,400,000","492,600,000","442,500,000","465,800,000","446,500,000","419,900,000","316,300,000","309,800,000","287,600,000","261,800,000","224,100,000",,,,,,,,,,,,"107,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"98,600,000","38,000,000","20,300,000","24,500,000","15,800,000","20,600,000","15,600,000","14,400,000","32,700,000","41,000,000","33,200,000","33,400,000","28,000,000","39,900,000","34,000,000","32,800,000","28,100,000","40,700,000","29,500,000","29,100,000","24,400,000","35,200,000","26,400,000","28,300,000","24,900,000","34,100,000","24,900,000","29,700,000","26,700,000","31,900,000","26,600,000","30,200,000","23,400,000","30,000,000","22,600,000","23,800,000","22,400,000","23,300,000","26,400,000","26,600,000","26,700,000","21,100,000","13,100,000","26,100,000","53,200,000","51,300,000","19,600,000","35,200,000","28,300,000","30,400,000","27,700,000","23,900,000","26,900,000",,,,,,,,,,,,"36,163,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"62,900,000","15,400,000","15,600,000","16,000,000","15,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,411,000","69,382,000","69,876,000","69,265,000","79,572,000","61,682,000","62,053,000","59,022,000","67,592,000","57,684,000","56,430,000","52,504,000","52,034,000","52,378,000","46,970,000","45,089,000","57,394,000","43,933,000","30,539,000","32,642,000","43,704,000","94,500,000","14,200,000","14,700,000","59,300,000","14,600,000",,,,,,
		DepreciationAndAmortizationInIncomeStatement,"62,900,000","15,400,000","15,600,000","16,000,000","15,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,411,000","69,382,000","69,876,000","69,265,000","79,572,000","61,682,000","62,053,000","59,022,000","67,592,000","57,684,000","56,430,000","52,504,000","52,034,000","52,378,000","46,970,000","45,089,000","57,394,000","43,933,000","30,539,000","32,642,000","43,704,000","94,500,000","14,200,000","14,700,000","59,300,000","14,600,000",,,,,,
			Amortization,"62,900,000","15,400,000","15,600,000","16,000,000","15,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,411,000","69,382,000","69,876,000","69,265,000","79,572,000","61,682,000","62,053,000","59,022,000","67,592,000","57,684,000","56,430,000","52,504,000","52,034,000","52,378,000","46,970,000","45,089,000",,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"62,900,000","15,400,000","15,600,000","16,000,000","15,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,411,000","69,382,000","69,876,000","69,265,000","79,572,000","61,682,000","62,053,000","59,022,000","67,592,000","57,684,000","56,430,000","52,504,000","52,034,000","52,378,000","46,970,000","45,089,000",,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,"528,100,000","545,100,000","451,800,000","368,000,000","372,200,000","408,000,000","408,900,000","419,100,000","390,900,000","380,400,000","365,900,000","349,300,000","349,500,000","362,100,000","348,400,000","347,200,000","375,200,000","392,300,000","413,300,000","399,100,000","394,500,000","420,200,000","410,600,000","405,400,000","396,200,000","380,900,000","366,000,000","347,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,193,000","-331,143,000","-1,000","1,000","48,237,000",,"20,242,000","-1,000","80,138,000","-1,000","30,729,000",,"87,369,000",,"-1,000",,,,,,,,,,,,,,,,,
OperatingIncome,"1,722,300,000","456,600,000","451,800,000","423,800,000","390,100,000","392,900,000","339,500,000","188,800,000","392,500,000","451,100,000","460,600,000","323,200,000","246,300,000","367,300,000","322,100,000","331,300,000","321,100,000","344,300,000","355,300,000","318,900,000","258,600,000","294,200,000","306,300,000","301,500,000","274,400,000","303,600,000","352,700,000","364,000,000","338,100,000","348,200,000","329,600,000","354,800,000","244,300,000","293,300,000","286,000,000","275,700,000","274,800,000","231,000,000","216,000,000","202,900,000","229,800,000","211,600,000","227,800,000","233,000,000","225,700,000","198,700,000","182,900,000","71,400,000","136,900,000","160,500,000","151,600,000","110,400,000","61,800,000","84,500,000","195,200,000","240,000,000","228,100,000","216,400,000","269,000,000","271,700,000","237,200,000","250,300,000","156,800,000","191,702,000","186,636,000","138,559,000","112,791,000","131,164,000","130,067,000","45,589,000","391,846,000","69,369,000","69,557,000","58,616,000","83,662,000","41,265,000","34,565,000","-20,566,000","72,632,000","78,398,000","96,936,000","9,093,000","128,888,000","161,282,000","162,220,000","202,611,000","225,115,000","193,094,000","195,313,000","130,326,000","140,000,000","120,300,000","112,300,000","84,800,000","101,800,000","106,200,000","95,000,000","-345,400,000","217,600,000","217,600,000","217,600,000"
NetNonOperatingInterestIncomeExpense,"-69,500,000","-1,600,000","-21,200,000","-24,200,000","-22,500,000","-15,300,000","-31,200,000","-32,400,000","-29,900,000","-20,600,000","-29,100,000","-29,100,000","-28,400,000","-18,900,000","-25,600,000","-26,700,000","-19,000,000","-17,200,000","-21,100,000","-22,000,000","-21,100,000","-20,000,000","-21,300,000","-19,600,000","-20,300,000","-5,100,000","800,000","800,000","-1,100,000","7,400,000","400,000","2,600,000","2,200,000","4,000,000","5,800,000","12,200,000","10,100,000","8,200,000","16,700,000","10,600,000","12,200,000","10,200,000","19,400,000","19,700,000","20,100,000","16,000,000","22,000,000","15,200,000","20,900,000","-13,100,000","-15,200,000","-15,300,000","-11,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
