name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"17,870,000,000","5,576,000,000","4,961,000,000","4,269,000,000","3,064,000,000","2,016,000,000","1,857,000,000","1,141,000,000","2,010,000,000","2,641,000,000","2,406,000,000","2,379,000,000","2,244,000,000","2,204,000,000","2,458,000,000","2,381,000,000","2,336,000,000","1,139,000,000","1,576,000,000","1,285,000,000","1,293,000,000","1,224,000,000","1,087,000,000","1,008,000,000","632,000,000","807,000,000","883,000,000","832,000,000","620,000,000","976,000,000","1,169,000,000","1,164,000,000","1,057,000,000","947,770,000","908,757,000","845,136,000","787,855,000","796,740,000","695,422,000","641,737,000","718,956,000","602,493,000","610,509,000","583,931,000","497,130,000","487,290,000","477,207,000","662,394,000","817,428,000","463,690,000","410,087,000","459,343,000","373,837,000","514,302,000","612,200,000","665,689,000","584,178,000","508,579,000","458,898,000","483,920,000","406,094,000","389,840,000","432,627,000","413,908,000","379,468,000","691,301,000","568,236,000","592,644,000","550,866,000","481,778,000","454,266,000","448,371,000","448,248,000","339,125,000","332,909,000","341,318,000","285,295,000","197,685,000","178,753,000","172,430,000","165,539,000","172,337,000","198,088,000","218,611,000","257,986,000","251,829,000","228,587,000","197,947,000","174,375,000","163,400,000","159,900,000","174,200,000","147,200,000","157,000,000","173,500,000","183,600,000","197,400,000","187,800,000","150,400,000","102,100,000","102,000,000"
	OperatingRevenue,"17,870,000,000","5,576,000,000","4,961,000,000","4,269,000,000","3,064,000,000","2,016,000,000","1,857,000,000","1,141,000,000","2,010,000,000","2,641,000,000","2,406,000,000","2,379,000,000","2,244,000,000","2,204,000,000","2,458,000,000","2,381,000,000","2,336,000,000","1,139,000,000","1,576,000,000","1,285,000,000","1,293,000,000","1,224,000,000","1,087,000,000","1,008,000,000","632,000,000","807,000,000","883,000,000","832,000,000","620,000,000","976,000,000","1,169,000,000","1,164,000,000","1,057,000,000","947,770,000","908,757,000","845,136,000","787,855,000","796,740,000","695,422,000","641,737,000","718,956,000","602,493,000","610,509,000","583,931,000","497,130,000","487,290,000","477,207,000","462,142,000","507,796,000","461,472,000","409,969,000","370,692,000","373,837,000","453,365,000","612,200,000","653,309,000","558,476,000","508,579,000","458,898,000","458,032,000","391,918,000","376,905,000","418,106,000","407,570,000","379,468,000","622,207,000","558,382,000","544,600,000","520,312,000","486,305,000","452,839,000","446,993,000","446,526,000","345,022,000","332,515,000","339,954,000","281,156,000","182,031,000","178,753,000","172,430,000","165,539,000","172,337,000","198,088,000","218,611,000","257,986,000","251,829,000","228,587,000","197,947,000","174,375,000","163,400,000","159,900,000","174,200,000","147,200,000","157,000,000","173,500,000","183,600,000","197,400,000","187,800,000","150,400,000","102,100,000","102,000,000"
CostOfRevenue,"10,976,000,000","3,172,000,000","2,968,000,000","2,744,000,000","2,094,000,000","1,667,000,000","1,617,000,000","1,202,000,000","1,713,000,000","2,011,000,000","1,876,000,000","1,802,000,000","1,667,000,000","1,569,000,000","1,616,000,000","1,717,000,000","1,700,000,000","619,000,000","1,295,000,000","1,070,000,000","1,028,000,000","1,023,000,000","1,017,000,000","971,000,000","781,000,000","919,000,000","928,000,000","766,000,000","637,000,000","732,000,000","694,000,000","678,000,000","586,000,000","630,012,000","491,546,000","482,915,000","454,200,000","1,045,934,000","225,747,000","201,333,000","184,117,000","171,052,000","158,151,000","138,319,000","133,227,000","101,495,000","137,384,000","149,755,000","137,573,000","133,762,000","143,556,000","130,126,000","140,727,000","217,993,000","266,836,000","174,616,000","171,324,000","221,544,000","148,052,000","190,207,000","180,785,000","151,604,000","146,789,000","144,684,000","219,325,000","201,529,000","182,620,000","160,380,000","181,347,000","50,242,000","163,490,000","135,248,000","169,717,000","99,469,000","96,322,000","116,604,000","99,891,000",,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"6,894,000,000","2,404,000,000","1,993,000,000","1,525,000,000","970,000,000","349,000,000","240,000,000","-61,000,000","297,000,000","630,000,000","530,000,000","577,000,000","577,000,000","635,000,000","842,000,000","664,000,000","636,000,000","520,000,000","281,000,000","215,000,000","265,000,000","201,000,000","70,000,000","37,000,000","-149,000,000","-112,000,000","-45,000,000","66,000,000","-17,000,000","244,000,000","475,000,000","486,000,000","471,000,000","317,758,000","417,211,000","362,221,000","333,655,000","-249,194,000","469,675,000","440,404,000","534,839,000","431,441,000","452,358,000","445,612,000","363,903,000","385,795,000","339,823,000","512,639,000","679,855,000","329,928,000","266,531,000","329,217,000","233,110,000","296,309,000","345,364,000","491,073,000","412,854,000","287,035,000","310,846,000","293,713,000","225,309,000","238,236,000","285,838,000","269,224,000","160,143,000","489,772,000","385,616,000","432,264,000","369,519,000","431,536,000","290,776,000","313,123,000","278,531,000","239,656,000","236,587,000","224,714,000","185,404,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"367,000,000","106,000,000","84,000,000","87,000,000","92,000,000","94,000,000","100,000,000","118,000,000","78,000,000","107,000,000","94,000,000","107,000,000","149,000,000","578,000,000","125,000,000","134,000,000","129,000,000","114,000,000","104,000,000","112,000,000","122,000,000","124,000,000","116,000,000","114,000,000","174,000,000","123,000,000","131,000,000","142,000,000","133,000,000","203,000,000","108,000,000","114,000,000","115,000,000","148,103,000","96,840,000","92,375,000","79,649,000","-340,145,000","295,852,000","295,500,000","300,202,000","265,125,000","239,180,000","221,114,000","204,777,000","278,911,000","223,186,000","210,045,000","211,252,000","305,729,000","236,743,000","408,910,000","261,601,000","352,267,000","159,084,000","150,227,000","146,108,000","141,753,000","146,209,000","134,790,000","126,582,000","164,645,000","125,709,000","117,452,000","114,653,000","169,263,000","169,116,000","176,378,000","185,736,000","175,142,000","161,506,000","159,944,000","154,828,000","132,911,000","118,741,000","114,203,000","85,530,000",,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"309,000,000","93,000,000","72,000,000","75,000,000","68,000,000","69,000,000","66,000,000","62,000,000","59,000,000","85,000,000","76,000,000","82,000,000","99,000,000","100,000,000","102,000,000","102,000,000","90,000,000","81,000,000","81,000,000","81,000,000","84,000,000","90,000,000","82,000,000","80,000,000","74,000,000","81,000,000","81,000,000","83,000,000","82,000,000","89,000,000","81,000,000","82,000,000","81,000,000","91,741,000","73,722,000","66,654,000","63,751,000","67,691,000","62,567,000","54,957,000","63,067,000","54,653,000","49,812,000","44,644,000","44,106,000","37,220,000","44,759,000","45,006,000","43,908,000","125,419,000","37,553,000","36,028,000","34,639,000","122,883,000","31,617,000","35,548,000","36,481,000","35,283,000","32,330,000","30,811,000","34,444,000","70,800,000","30,421,000","29,468,000","32,247,000","33,005,000","32,749,000","29,217,000","29,585,000","19,508,000","21,515,000","17,194,000","18,329,000","16,213,000","15,207,000","13,644,000","15,481,000",,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"309,000,000","93,000,000","72,000,000","75,000,000","68,000,000","69,000,000","66,000,000","62,000,000","59,000,000","85,000,000","76,000,000","82,000,000","99,000,000","100,000,000","102,000,000","102,000,000","90,000,000","81,000,000","81,000,000","81,000,000","84,000,000","90,000,000","82,000,000","80,000,000","74,000,000","81,000,000","81,000,000","83,000,000","82,000,000","89,000,000","81,000,000","82,000,000","81,000,000","91,741,000","73,722,000","66,654,000","63,751,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,"8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"309,000,000","93,000,000","72,000,000","75,000,000","68,000,000","69,000,000","66,000,000","62,000,000","59,000,000","85,000,000","76,000,000","82,000,000","99,000,000","100,000,000","102,000,000","102,000,000","90,000,000","81,000,000","81,000,000","81,000,000","84,000,000","90,000,000","82,000,000","80,000,000","74,000,000","81,000,000","81,000,000","83,000,000","82,000,000","89,000,000","81,000,000","82,000,000","81,000,000","91,741,000","73,722,000","66,654,000","63,751,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"0",,,,,,"0","0",,"0","0","0","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"204,264,000","200,921,000","181,418,000","146,598,000","166,536,000","153,898,000","140,373,000","120,250,000","152,838,000","150,314,000","150,768,000","142,138,000","162,605,000","165,943,000","192,557,000","160,073,000","127,467,000","114,679,000","109,627,000","106,470,000","113,879,000","103,979,000","92,138,000","93,845,000","95,288,000","87,984,000","82,406,000","136,258,000","136,367,000","147,161,000","156,151,000","155,634,000","139,991,000","142,750,000","136,499,000","116,698,000","103,534,000","100,559,000","70,049,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"0",,,,,,"0","0",,"0","0","0","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,467,000","114,679,000","109,627,000","106,470,000","113,879,000","103,979,000","92,138,000","93,845,000","95,288,000","87,984,000","82,406,000","136,258,000","136,367,000","147,161,000","156,151,000","155,634,000","139,991,000","142,750,000","136,499,000","116,698,000","103,534,000","100,559,000","70,049,000",,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"0",,,,,,"0","0",,"0","0","0","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,"0","0","0","-2,000,000","0","-5,000,000","-5,000,000",,,,,,,,,,,,,,,"-12,864,000","-6,362,000","-19,408,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"58,000,000","13,000,000","12,000,000","12,000,000","24,000,000","25,000,000","34,000,000","56,000,000","19,000,000","22,000,000","18,000,000","25,000,000","27,000,000","34,000,000","23,000,000","32,000,000","39,000,000","33,000,000","23,000,000","31,000,000","38,000,000","34,000,000","34,000,000","34,000,000","100,000,000","42,000,000","50,000,000","59,000,000","51,000,000","114,000,000","27,000,000","32,000,000","34,000,000","17,729,000","35,982,000","32,083,000","35,306,000","149,228,000","29,021,000","39,622,000","55,717,000","63,874,000","22,832,000","22,572,000","20,298,000","121,441,000","25,589,000","14,725,000","16,576,000","38,172,000","36,585,000","206,939,000","34,405,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"6,527,000,000","2,298,000,000","1,909,000,000","1,438,000,000","878,000,000","255,000,000","140,000,000","-179,000,000","219,000,000","523,000,000","436,000,000","470,000,000","428,000,000","57,000,000","717,000,000","530,000,000","507,000,000","406,000,000","177,000,000","103,000,000","143,000,000","77,000,000","-46,000,000","-77,000,000","-323,000,000","-235,000,000","-176,000,000","-76,000,000","-150,000,000","41,000,000","367,000,000","372,000,000","356,000,000","169,655,000","320,371,000","269,846,000","254,006,000","90,951,000","173,823,000","144,904,000","234,637,000","166,316,000","213,178,000","224,498,000","159,126,000","106,884,000","116,637,000","302,594,000","468,603,000","24,199,000","29,788,000","-79,693,000","-28,491,000","-55,958,000","186,280,000","340,846,000","266,746,000","145,282,000","164,637,000","158,923,000","98,727,000","73,591,000","160,129,000","151,772,000","45,490,000","320,509,000","216,500,000","255,886,000","183,783,000","256,394,000","129,270,000","153,179,000","123,703,000","106,745,000","117,846,000","110,511,000","99,874,000","-352,556,000","178,753,000","172,430,000","165,539,000","172,337,000","198,088,000","218,611,000","257,986,000","251,829,000","228,587,000","197,947,000","174,375,000","163,400,000","159,900,000","174,200,000","147,200,000","157,000,000","173,500,000","183,600,000","197,400,000","187,800,000","150,400,000","102,100,000","102,000,000"
NetNonOperatingInterestIncomeExpense,"-160,000,000","-38,000,000","-41,000,000","-41,000,000","-38,000,000","-33,000,000","-34,000,000","-33,000,000","-25,000,000","82,000,000","-251,000,000","-24,000,000","-21,000,000","-21,000,000","-23,000,000","-25,000,000","-29,000,000","-28,000,000","-28,000,000","-25,000,000","-40,000,000","-38,000,000","-45,000,000","-51,000,000","-51,000,000","-48,000,000","-44,000,000","-46,000,000","-46,000,000","-46,000,000","-46,000,000","-47,000,000","-45,000,000","-45,007,000","-45,057,000","-42,724,000","-50,642,000","-78,829,000","-35,708,000","-47,748,000","-46,801,000","-11,860,000","-27,986,000","-27,314,000","-12,540,000","-38,808,000","-30,025,000","-25,105,000","-47,135,000","-42,765,000","-42,935,000","45,123,000","-30,478,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"5,000,000",,"2,000,000",,"1,000,000","21,000,000","13,000,000","0","2,000,000","118,000,000",,"5,000,000","8,000,000","14,000,000","7,000,000","7,000,000","7,000,000","16,000,000","9,000,000","10,000,000","6,000,000","8,000,000","5,000,000","5,000,000","4,000,000","1,000,000","2,000,000","11,000,000","6,000,000","-1,000,000",,"3,000,000","4,000,000","5,774,000","81,000","81,000","93,000","-24,914,000","18,733,000","1,260,000","57,000","33,246,000","17,573,000","18,454,000","32,687,000","6,383,000","14,977,000","20,263,000","388,000","2,545,000","503,000","88,598,000","10,660,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"151,000,000","29,000,000","41,000,000","41,000,000","39,000,000","49,000,000","34,000,000","33,000,000","27,000,000","-13,000,000","251,000,000","29,000,000","29,000,000","31,000,000","30,000,000","32,000,000","36,000,000","40,000,000","37,000,000","35,000,000","46,000,000","42,000,000","50,000,000","56,000,000","55,000,000","44,000,000","46,000,000","46,000,000","46,000,000","63,000,000","46,000,000","47,000,000","45,000,000","44,979,000","45,138,000","42,805,000","50,735,000","45,703,000","54,441,000","49,008,000","46,858,000","45,106,000","45,559,000","45,768,000","45,227,000","45,191,000","45,002,000","45,368,000","47,523,000","45,310,000","43,438,000","43,475,000","41,138,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"14,000,000"
