name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"38,469,000,000","10,292,000,000","9,568,000,000","9,220,000,000","9,389,000,000","10,481,000,000","9,431,000,000","9,264,000,000","8,749,000,000","10,773,000,000","9,761,000,000","9,555,000,000","9,261,000,000","10,378,000,000","9,094,000,000","9,186,000,000","7,535,000,000","8,277,000,000","7,580,000,000","7,675,000,000","7,441,000,000","8,233,000,000","7,731,000,000","7,665,000,000","7,724,000,000","7,809,000,000","7,994,000,000","7,882,000,000","7,784,000,000","8,362,000,000","7,751,000,000","7,474,000,000","7,324,000,000","8,107,000,000","7,796,000,000","7,911,000,000","7,404,000,000","8,078,000,000","7,934,000,000","7,922,000,000","7,579,000,000","9,147,000,000","7,853,000,000","7,879,000,000","7,798,000,000","8,601,000,000","8,011,000,000","8,104,000,000","7,750,000,000","7,898,000,000","7,719,000,000","8,100,000,000","8,264,000,000","7,852,000,000","7,140,000,000","7,303,000,000","7,005,000,000","7,515,000,000","6,834,000,000","6,591,000,000","6,300,000,000","6,514,000,000","6,069,000,000","5,934,000,000","5,570,000,000","5,831,000,000","5,380,000,000","5,214,000,000","4,819,000,000","4,912,000,000","4,754,000,000","4,761,000,000","4,760,000,000","4,834,000,000","4,427,000,000","3,935,000,000","3,421,000,000","3,908,000,000","3,289,000,000","3,511,000,000","3,121,000,000","3,508,000,000","3,020,000,000","2,962,000,000","2,673,000,000","2,691,000,000","2,502,000,000","2,617,000,000","2,546,000,000","2,655,000,000","2,215,000,000","1,379,000,000","1,377,000,000","1,466,000,000","1,172,000,000","1,178,000,000","1,154,000,000","1,101,000,000","988,000,000","1,032,000,000","941,000,000","896,000,000","862,000,000","930,000,000","893,000,000","893,000,000","718,000,000","703,000,000","753,000,000","724,000,000","714,000,000","820,000,000","800,000,000","616,000,000","900,000,000","793,000,000","878,000,000","191,000,000","857,000,000","1,609,000,000","2,118,000,000","2,333,000,000","2,091,000,000","2,416,000,000","2,301,000,000","2,598,100,000","2,459,500,000","2,624,400,000","2,491,000,000","2,635,000,000","2,517,300,000","2,529,700,000","2,360,900,000","2,541,000,000","2,267,700,000","2,340,600,000","2,401,700,000","2,402,700,000","2,279,600,000","2,411,600,000","2,250,100,000","2,192,000,000","2,300,000,000","2,332,100,000","2,065,800,000","2,263,200,000","2,024,100,000"
	OperatingRevenue,"38,469,000,000","10,292,000,000","9,568,000,000","9,220,000,000","9,389,000,000","10,481,000,000","9,431,000,000","9,264,000,000","8,749,000,000","10,773,000,000","9,761,000,000","9,555,000,000","9,261,000,000","10,378,000,000","9,094,000,000","9,186,000,000","7,535,000,000","8,277,000,000","7,580,000,000","7,675,000,000","7,441,000,000","8,233,000,000","7,731,000,000","7,665,000,000","7,724,000,000","7,809,000,000","7,994,000,000","7,882,000,000","7,784,000,000","8,362,000,000","7,751,000,000","7,474,000,000","7,324,000,000","8,107,000,000","7,796,000,000","7,911,000,000","7,404,000,000","8,078,000,000","7,934,000,000","7,922,000,000","7,579,000,000","9,147,000,000","7,853,000,000","7,879,000,000","7,798,000,000","8,601,000,000","8,011,000,000","8,104,000,000","7,750,000,000","7,898,000,000","7,719,000,000","8,100,000,000","8,264,000,000","7,852,000,000","7,140,000,000","7,303,000,000","7,005,000,000","7,515,000,000","6,834,000,000","6,591,000,000","6,300,000,000","6,514,000,000","6,069,000,000","5,934,000,000","5,570,000,000","5,831,000,000","5,380,000,000","5,214,000,000","4,819,000,000","4,912,000,000","4,754,000,000","4,761,000,000","4,760,000,000","4,834,000,000","4,427,000,000","3,935,000,000","3,421,000,000","3,908,000,000","3,289,000,000","3,511,000,000","3,121,000,000","3,508,000,000","3,020,000,000","2,962,000,000","2,673,000,000","2,691,000,000","2,502,000,000","2,617,000,000","2,546,000,000","2,655,000,000","2,215,000,000","1,379,000,000","1,377,000,000","1,466,000,000","1,172,000,000","1,178,000,000","1,154,000,000","1,101,000,000","988,000,000","1,032,000,000","941,000,000","896,000,000","862,000,000","930,000,000","893,000,000","893,000,000","718,000,000","703,000,000","753,000,000","724,000,000","714,000,000","820,000,000","800,000,000","616,000,000","900,000,000","793,000,000","878,000,000","191,000,000","857,000,000","1,609,000,000","2,118,000,000","2,333,000,000","2,091,000,000","2,416,000,000","2,301,000,000","2,598,100,000","2,459,500,000","2,624,400,000","2,491,000,000","2,635,000,000","2,517,300,000","2,529,700,000","2,360,900,000","2,541,000,000","2,267,700,000","2,340,600,000","2,401,700,000","2,402,700,000","2,279,600,000","2,411,600,000","2,250,100,000","2,192,000,000","2,300,000,000","2,332,100,000","2,065,800,000","2,263,200,000","2,024,100,000"
CostOfRevenue,"32,061,000,000","8,526,000,000","7,938,000,000","7,705,000,000","7,892,000,000","8,631,000,000","7,836,000,000","7,849,000,000","7,261,000,000","8,816,000,000","7,973,000,000","7,869,000,000","7,633,000,000","8,595,000,000","7,407,000,000","7,509,000,000","5,990,000,000","6,729,000,000","6,018,000,000","6,114,000,000","5,925,000,000","6,593,000,000","6,191,000,000","6,109,000,000","6,211,000,000","6,267,000,000","6,484,000,000","6,334,000,000","6,254,000,000","6,766,000,000","6,274,000,000","6,039,000,000","5,954,000,000","6,644,000,000","6,333,000,000","6,427,000,000","6,050,000,000","7,280,000,000","6,519,000,000","6,427,000,000","6,184,000,000","7,673,000,000","6,363,000,000","6,425,000,000","6,360,000,000","7,006,000,000","6,564,000,000","6,641,000,000","6,346,000,000","4,993,000,000","6,393,000,000","7,155,000,000","7,359,000,000","6,914,000,000","6,207,000,000","6,382,000,000","6,144,000,000","6,644,000,000","6,033,000,000","5,831,000,000","5,619,000,000","6,930,000,000","5,021,000,000","4,900,000,000","4,616,000,000","6,174,000,000","4,471,000,000","4,344,000,000","4,058,000,000","4,406,000,000","4,255,000,000","3,987,000,000","4,318,000,000","5,187,000,000","3,797,000,000","3,557,000,000","3,103,000,000","4,148,000,000","2,688,000,000","2,877,000,000","2,756,000,000","3,681,000,000","2,458,000,000","2,382,000,000","2,157,000,000","2,113,000,000","1,950,000,000","2,064,000,000","2,027,000,000","2,274,000,000","1,785,000,000","1,177,000,000","1,201,000,000","1,284,000,000","1,006,000,000","923,000,000","907,000,000","957,000,000","854,000,000","896,000,000","818,000,000","786,000,000","753,000,000","825,000,000","797,000,000","798,000,000","632,000,000","618,000,000","666,000,000","633,000,000","627,000,000","682,000,000","653,000,000","459,000,000","829,700,000","726,700,000","809,000,000","-1,256,000,000","1,545,000,000","1,513,000,000","1,962,000,000","2,144,000,000","1,915,000,000","2,209,000,000","2,127,000,000","3,800,900,000","2,045,900,000","2,675,400,000","2,083,800,000","2,919,300,000","2,087,600,000","2,147,000,000",,,,,,,,,,,,,,,
GrossProfit,"6,408,000,000","1,766,000,000","1,630,000,000","1,515,000,000","1,497,000,000","1,850,000,000","1,595,000,000","1,415,000,000","1,488,000,000","1,957,000,000","1,788,000,000","1,686,000,000","1,628,000,000","1,783,000,000","1,687,000,000","1,677,000,000","1,545,000,000","1,548,000,000","1,562,000,000","1,561,000,000","1,516,000,000","1,640,000,000","1,540,000,000","1,556,000,000","1,513,000,000","1,542,000,000","1,510,000,000","1,548,000,000","1,530,000,000","1,596,000,000","1,477,000,000","1,435,000,000","1,370,000,000","1,463,000,000","1,463,000,000","1,484,000,000","1,354,000,000","798,000,000","1,415,000,000","1,495,000,000","1,395,000,000","1,474,000,000","1,490,000,000","1,454,000,000","1,438,000,000","1,595,000,000","1,447,000,000","1,463,000,000","1,404,000,000","2,905,000,000","1,326,000,000","945,000,000","905,000,000","938,000,000","933,000,000","921,000,000","861,000,000","871,000,000","801,000,000","760,000,000","681,000,000","-416,000,000","1,048,000,000","1,034,000,000","954,000,000","-343,000,000","909,000,000","870,000,000","761,000,000","506,000,000","499,000,000","774,000,000","442,000,000","-353,000,000","630,000,000","378,000,000","318,000,000","-240,000,000","601,000,000","634,000,000","365,000,000","-173,000,000","562,000,000","580,000,000","516,000,000","578,000,000","552,000,000","553,000,000","519,000,000","381,000,000","430,000,000","202,000,000","176,000,000","182,000,000","166,000,000","255,000,000","247,000,000","144,000,000","134,000,000","136,000,000","123,000,000","110,000,000","109,000,000","105,000,000","96,000,000","95,000,000","86,000,000","85,000,000","87,000,000","91,000,000","87,000,000","138,000,000","147,000,000","157,000,000","70,300,000","66,300,000","69,000,000","1,447,000,000","-688,000,000","96,000,000","156,000,000","189,000,000","176,000,000","207,000,000","174,000,000","-1,202,800,000","413,600,000","-51,000,000","407,200,000","-284,300,000","429,700,000","382,700,000",,,,,,,,,,,,,,,
OperatingExpense,"2,245,000,000","580,000,000","550,000,000","556,000,000","559,000,000","583,000,000","511,000,000","574,000,000","547,000,000","629,000,000","572,000,000","596,000,000","614,000,000","557,000,000","552,000,000","589,000,000","537,000,000","514,000,000","510,000,000","505,000,000","481,000,000","523,000,000","471,000,000","486,000,000","460,000,000","506,000,000","476,000,000","467,000,000","503,000,000","529,000,000","478,000,000","486,000,000","499,000,000","542,000,000","506,000,000","524,000,000","507,000,000","706,000,000","510,000,000","525,000,000","535,000,000","524,000,000","492,000,000","505,000,000","509,000,000","519,000,000","481,000,000","478,000,000","486,000,000","483,000,000","452,000,000","0","0",,,,,,,,,"-1,119,000,000","371,000,000","385,000,000","364,000,000","-955,000,000","321,000,000","321,000,000","313,000,000","-866,000,000","291,000,000","280,000,000",,"-767,000,000","273,000,000",,,"-639,000,000","193,000,000","224,000,000",,"-577,000,000","186,000,000","227,000,000","182,000,000","227,000,000","215,000,000","218,000,000","213,000,000","53,000,000","75,000,000","39,000,000","33,000,000","35,000,000","30,000,000","120,000,000","123,000,000","27,000,000","21,000,000","22,000,000","21,000,000","18,000,000","20,000,000","16,000,000","13,000,000","12,000,000","9,000,000","9,000,000","8,000,000","9,000,000","10,000,000","56,000,000","67,000,000","19,000,000","12,300,000","9,300,000","13,000,000","-17,000,000","21,000,000","5,000,000","47,000,000","69,000,000","78,000,000","82,000,000","80,000,000","-463,900,000","279,900,000","283,300,000","278,700,000","-406,400,000","279,800,000","264,900,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,245,000,000","580,000,000","550,000,000","556,000,000","559,000,000","583,000,000","511,000,000","574,000,000","547,000,000","629,000,000","572,000,000","596,000,000","614,000,000","557,000,000","552,000,000","589,000,000","537,000,000","514,000,000","510,000,000","505,000,000","481,000,000","523,000,000","471,000,000","486,000,000","460,000,000","506,000,000","476,000,000","467,000,000","503,000,000","529,000,000","478,000,000","486,000,000","499,000,000","542,000,000","506,000,000","524,000,000","507,000,000","706,000,000","510,000,000","525,000,000","535,000,000","524,000,000","492,000,000","505,000,000","509,000,000","519,000,000","481,000,000","478,000,000","486,000,000","483,000,000","452,000,000",,,,,,,,,,,,"371,000,000","385,000,000","364,000,000",,"321,000,000","321,000,000","313,000,000",,"291,000,000","280,000,000",,,"273,000,000",,,,"193,000,000","224,000,000",,,"186,000,000","209,000,000","182,000,000","172,000,000","155,000,000","163,000,000","157,000,000",,,,,,,"90,000,000","92,000,000",,,,,,,,,,,,,,,"45,000,000","58,000,000",,,,,,,,,,,,,,"186,900,000","192,800,000","190,700,000","-503,600,000","186,700,000","179,600,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"2,245,000,000","580,000,000","550,000,000","556,000,000","559,000,000","583,000,000","511,000,000","574,000,000","547,000,000","629,000,000","572,000,000","596,000,000","614,000,000","557,000,000","552,000,000","589,000,000","537,000,000","514,000,000","510,000,000","505,000,000","481,000,000","523,000,000","471,000,000","486,000,000","460,000,000","506,000,000","476,000,000","467,000,000","503,000,000","529,000,000","478,000,000","486,000,000","499,000,000","542,000,000","506,000,000","524,000,000","507,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,245,000,000","580,000,000","550,000,000","556,000,000","559,000,000","583,000,000","511,000,000","574,000,000","547,000,000","629,000,000","572,000,000","596,000,000","614,000,000","557,000,000","552,000,000","589,000,000","537,000,000","514,000,000","510,000,000","505,000,000","481,000,000","523,000,000","471,000,000","486,000,000","460,000,000","506,000,000","476,000,000","467,000,000","503,000,000","529,000,000","478,000,000","486,000,000","499,000,000","542,000,000","506,000,000","524,000,000","507,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,000,000","60,000,000","55,000,000","56,000,000","53,000,000","75,000,000","39,000,000","33,000,000","35,000,000","30,000,000","30,000,000","31,000,000","27,000,000","21,000,000","22,000,000","21,000,000","18,000,000","20,000,000","16,000,000","13,000,000","12,000,000","9,000,000","9,000,000","8,000,000","9,000,000","10,000,000","11,000,000","9,000,000","19,000,000","12,300,000","9,300,000","13,000,000","-17,000,000","21,000,000","5,000,000","47,000,000","69,000,000","78,000,000","82,000,000","80,000,000","106,500,000","93,000,000","90,500,000","88,000,000","97,200,000","93,100,000","85,300,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,000,000","60,000,000","55,000,000","56,000,000","53,000,000","75,000,000","39,000,000","33,000,000","35,000,000","30,000,000","30,000,000","31,000,000","27,000,000","21,000,000","22,000,000","21,000,000","18,000,000","20,000,000","16,000,000","13,000,000","12,000,000","9,000,000","9,000,000","8,000,000","9,000,000","10,000,000","11,000,000","9,000,000","19,000,000","12,300,000","9,300,000","13,000,000","-17,000,000","21,000,000","5,000,000","47,000,000","69,000,000","78,000,000","82,000,000","80,000,000","106,500,000","93,000,000","90,500,000","88,000,000","97,200,000","93,100,000","85,300,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,"34,306,000,000","9,106,000,000",,,,"9,188,000,000",,,,"9,445,000,000",,"8,465,000,000","8,247,000,000","9,152,000,000",,,"6,527,000,000","7,243,000,000",,,,"7,116,000,000",,,,"6,773,000,000",,,,"7,295,000,000",,,,"7,186,000,000",,"6,951,000,000","6,557,000,000","9,980,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"4,163,000,000","1,186,000,000","1,080,000,000","959,000,000","938,000,000","1,267,000,000","1,084,000,000","841,000,000","941,000,000","1,328,000,000","1,216,000,000","1,090,000,000","1,014,000,000","1,226,000,000","1,135,000,000","1,088,000,000","1,008,000,000","1,034,000,000","1,052,000,000","1,056,000,000","1,035,000,000","1,117,000,000","1,069,000,000","1,070,000,000","1,053,000,000","1,036,000,000","1,034,000,000","1,081,000,000","1,027,000,000","1,067,000,000","999,000,000","949,000,000","871,000,000","921,000,000","957,000,000","960,000,000","847,000,000","92,000,000","905,000,000","970,000,000","860,000,000","950,000,000","998,000,000","949,000,000","929,000,000","1,076,000,000","966,000,000","985,000,000","918,000,000","2,422,000,000","874,000,000","945,000,000","905,000,000","938,000,000","933,000,000","921,000,000","861,000,000","871,000,000","801,000,000","760,000,000","681,000,000","703,000,000","677,000,000","649,000,000","590,000,000","612,000,000","588,000,000","549,000,000","448,000,000","1,372,000,000","208,000,000","494,000,000","442,000,000","414,000,000","357,000,000","378,000,000","318,000,000","399,000,000","408,000,000","410,000,000","365,000,000","404,000,000","376,000,000","353,000,000","334,000,000","351,000,000","337,000,000","335,000,000","306,000,000","328,000,000","355,000,000","163,000,000","143,000,000","147,000,000","136,000,000","135,000,000","124,000,000","117,000,000","113,000,000","114,000,000","102,000,000","92,000,000","89,000,000","89,000,000","83,000,000","83,000,000","77,000,000","76,000,000","79,000,000","82,000,000","77,000,000","82,000,000","80,000,000","138,000,000","58,000,000","57,000,000","56,000,000","1,464,000,000","-709,000,000","91,000,000","109,000,000","120,000,000","98,000,000","125,000,000","94,000,000","-738,900,000","133,700,000","-334,300,000","128,500,000","122,100,000","149,900,000","117,800,000","2,360,900,000","-6,487,900,000","2,267,700,000","2,340,600,000","2,401,700,000","-6,306,800,000","2,279,600,000","2,411,600,000","2,250,100,000","-6,050,800,000","2,300,000,000","2,332,100,000","2,065,800,000","-5,232,600,000","2,024,100,000"
NetNonOperatingInterestIncomeExpense,"-424,000,000","-93,000,000","-99,000,000","-109,000,000","-123,000,000","-120,000,000","-118,000,000","-132,000,000","-107,000,000","-110,000,000","-114,000,000","-119,000,000","-117,000,000","-112,000,000","-114,000,000","-103,000,000","-27,000,000","-27,000,000","-27,000,000","-24,000,000","-25,000,000","-23,000,000","-23,000,000","-23,000,000","-22,000,000","-19,000,000","-23,000,000","-20,000,000","-21,000,000","-19,000,000","-21,000,000","-24,000,000","-22,000,000","-23,000,000","-22,000,000","-18,000,000","-23,000,000","-41,000,000","-39,000,000","-37,000,000","-39,000,000","-38,000,000","-38,000,000","-31,000,000","-34,000,000","-33,000,000","-38,000,000","-42,000,000","-44,000,000","-43,000,000","-40,000,000","-38,000,000","-39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","1,000,000",,,"2,000,000","3,000,000","7,000,000","2,000,000","3,000,000","1,000,000","3,000,000","3,000,000","1,000,000","2,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"431,000,000",,,"109,000,000","123,000,000","132,000,000","118,000,000","132,000,000","107,000,000","122,000,000","114,000,000","119,000,000","117,000,000","130,000,000","114,000,000","103,000,000","27,000,000","41,000,000","27,000,000","24,000,000","25,000,000","31,000,000","23,000,000","23,000,000","22,000,000","34,000,000","23,000,000","20,000,000","21,000,000","36,000,000","21,000,000","24,000,000","22,000,000","40,000,000","22,000,000","18,000,000","23,000,000","44,000,000","40,000,000","37,000,000","39,000,000","40,000,000","41,000,000","38,000,000","36,000,000","36,000,000","39,000,000","45,000,000","47,000,000","44,000,000","42,000,000","43,000,000","39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"424,000,000","93,000,000","99,000,000","109,000,000",,"120,000,000","118,000,000","132,000,000",,"110,000,000","114,000,000","119,000,000","117,000,000","112,000,000","114,000,000","103,000,000","27,000,000","27,000,000","27,000,000","24,000,000","25,000,000","23,000,000","23,000,000","23,000,000","22,000,000","19,000,000","23,000,000","20,000,000","21,000,000","19,000,000","21,000,000","24,000,000","22,000,000","23,000,000","22,000,000","18,000,000","23,000,000","41,000,000",,"37,000,000","39,000,000","38,000,000","38,000,000","31,000,000","34,000,000","33,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"134,000,000","39,000,000","34,000,000","31,000,000","30,000,000","38,000,000","12,000,000","18,000,000","14,000,000","-4,000,000","-12,000,000","12,000,000","18,000,000","18,000,000","2,000,000","-15,000,000","-21,000,000","1,000,000","2,000,000",,,"0","2,000,000","1,000,000","10,000,000","2,000,000","2,000,000",,"3,000,000","-3,000,000","1,000,000",,"2,000,000","2,000,000","5,000,000","1,000,000",,"-2,122,000,000","-3,000,000","-5,000,000",,"-1,000,000","-8,000,000","41,000,000","1,000,000","0",,"2,000,000",,"1,000,000","-6,000,000",,"3,000,000","14,000,000",,,"3,000,000","0","2,000,000","1,000,000","1,000,000","0","1,000,000","2,000,000",,"24,000,000","-2,000,000",,"-1,000,000","-2,000,000","-3,000,000","-12,000,000",,"0","-3,000,000","2,000,000","4,000,000","39,000,000","8,000,000","3,000,000","-3,000,000",,"-5,000,000","-3,000,000","8,000,000","-2,000,000","-3,000,000","-1,000,000","-1,000,000","-4,000,000","-44,000,000","-3,000,000","9,000,000","-2,000,000","5,000,000","4,000,000",,"9,000,000","10,000,000","8,000,000","6,000,000","14,000,000","14,000,000","13,000,000","15,000,000","14,000,000","16,000,000","17,000,000","13,000,000","7,000,000","6,000,000","4,000,000","5,000,000","-21,000,000","52,000,000","30,000,000","7,000,000","-1,512,000,000","802,000,000","6,000,000",,"-23,000,000","-3,000,000","-9,000,000","1,000,000","-65,800,000","-14,900,000","-15,800,000","-17,500,000",,"-10,500,000","-13,100,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,986,000,000","-3,000,000","-5,000,000","0","-1,000,000","-8,000,000","41,000,000","1,000,000","0","0","2,000,000","0","1,000,000","-6,000,000","0","3,000,000","14,000,000",,,"3,000,000","0","2,000,000","1,000,000","1,000,000","0","1,000,000","2,000,000",,"24,000,000","-2,000,000",,"-1,000,000","-2,000,000","-3,000,000","-12,000,000",,"0","-3,000,000","2,000,000","4,000,000","39,000,000","8,000,000","3,000,000","-3,000,000",,"-5,000,000","-3,000,000","8,000,000","-2,000,000","-3,000,000","-1,000,000","-1,000,000","-4,000,000","-44,000,000","-3,000,000","9,000,000","-2,000,000","5,000,000","4,000,000",,"9,000,000","10,000,000","8,000,000","6,000,000","14,000,000","14,000,000","13,000,000","15,000,000","14,000,000","16,000,000","17,000,000","13,000,000","7,000,000","6,000,000","4,000,000","5,000,000","-21,000,000","52,000,000","30,000,000","7,000,000","-1,512,000,000","802,000,000","6,000,000",,"-23,000,000","-3,000,000","-9,000,000","1,000,000","-65,800,000","-14,900,000","-15,800,000","-17,500,000",,"-10,500,000","-13,100,000",,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"134,000,000","39,000,000","34,000,000","31,000,000","30,000,000","38,000,000","12,000,000","18,000,000","14,000,000","-4,000,000","-12,000,000","12,000,000","18,000,000","18,000,000","2,000,000","-15,000,000","-21,000,000","1,000,000","2,000,000",,,"0","2,000,000","1,000,000","10,000,000","2,000,000","2,000,000",,"3,000,000","-3,000,000","1,000,000",,"2,000,000","2,000,000","5,000,000","1,000,000",,"-128,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"3,873,000,000","1,132,000,000","1,015,000,000","881,000,000","845,000,000","1,185,000,000","978,000,000","727,000,000","848,000,000","1,214,000,000","1,090,000,000","983,000,000","915,000,000","1,132,000,000","1,023,000,000","970,000,000","960,000,000","1,008,000,000","1,027,000,000","1,032,000,000","1,010,000,000","1,094,000,000","1,048,000,000","1,048,000,000","1,041,000,000","1,019,000,000","1,013,000,000","1,061,000,000","1,009,000,000","1,045,000,000","979,000,000","925,000,000","851,000,000","900,000,000","940,000,000","943,000,000","824,000,000","-2,071,000,000","863,000,000","928,000,000","821,000,000","911,000,000","952,000,000","959,000,000","896,000,000","1,043,000,000","928,000,000","945,000,000","874,000,000","909,000,000","828,000,000","907,000,000","869,000,000","928,000,000","922,000,000","909,000,000","845,000,000","860,000,000","791,000,000","740,000,000","656,000,000","676,000,000","644,000,000","628,000,000","573,000,000","611,000,000","556,000,000","520,000,000","413,000,000","470,000,000","469,000,000","443,000,000","403,000,000","375,000,000","325,000,000","361,000,000","311,000,000","427,000,000","405,000,000","402,000,000","350,000,000","383,000,000","358,000,000","353,000,000","330,000,000","341,000,000","317,000,000","318,000,000","286,000,000","307,000,000","305,000,000","160,000,000","151,000,000","145,000,000","141,000,000","139,000,000","124,000,000","126,000,000","123,000,000","122,000,000","108,000,000","106,000,000","103,000,000","102,000,000","98,000,000","97,000,000","93,000,000","93,000,000","92,000,000","89,000,000","83,000,000","86,000,000","85,000,000","153,000,000","110,000,000","87,000,000","63,000,000","-45,000,000","91,000,000","97,000,000","107,000,000","95,000,000","87,000,000","103,000,000","83,000,000","-820,100,000","105,200,000","-364,700,000","91,600,000","132,000,000","117,900,000","85,700,000",,,,,,,,,,,,,,,
