name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"9,863,085,000","2,481,913,000","2,432,794,000","2,122,500,000","2,825,800,000","2,233,930,000","2,343,600,000","1,953,100,000","2,373,700,000","2,050,400,000","2,175,800,000","1,884,500,000","2,415,800,000","2,035,000,000","2,271,400,000","1,853,900,000","2,288,000,000","1,895,500,000","1,988,500,000","1,762,800,000","2,105,100,000","1,776,600,000","2,039,700,000","1,767,200,000","2,055,600,000","1,691,200,000","1,933,100,000","1,817,100,000","2,513,431,000","1,881,164,000","1,892,532,000","1,677,600,000","2,290,590,000","1,777,725,000","1,892,590,000","1,635,862,000","1,995,023,000","1,683,952,000","1,861,529,000","1,628,684,000","1,099,623,000","1,068,033,000","1,114,892,000","1,047,481,000","1,235,251,000","1,203,985,000","1,243,337,000","1,111,426,000","1,339,420,000","1,315,343,000","1,306,173,000","1,224,431,000","1,593,483,000","1,447,886,000","1,506,897,000","1,325,345,000","1,519,967,000","1,274,800,000","1,451,080,000","1,392,053,000","1,704,293,000","1,481,843,000","1,594,096,000","1,670,531,000","2,147,388,000","1,877,834,000","1,754,862,000","1,557,920,000","2,264,812,000","1,655,761,000","1,667,985,000","1,524,666,000","1,838,287,000","868,904,000","2,054,274,000","1,457,541,000","1,688,437,000","1,446,229,000","1,361,045,000","1,673,193,000","1,910,683,000","1,766,094,000","1,723,894,000","1,583,294,000","1,800,544,000","1,497,379,000","1,581,947,000","1,414,973,000","1,382,321,000","1,148,800,000","1,240,500,000","1,038,600,000","1,043,400,000","959,600,000","974,400,000","874,800,000","958,900,000","979,000,000","977,100,000","903,300,000","975,400,000","936,500,000","955,500,000","871,900,000","1,028,200,000","980,500,000","985,100,000","840,300,000","944,700,000","898,200,000","923,700,000","854,600,000","966,200,000","901,900,000","915,200,000","853,800,000","958,200,000","867,700,000","867,700,000","718,700,000","762,700,000","722,800,000","692,700,000","637,000,000","701,300,000","891,300,000","600,900,000","526,400,000","597,700,000","574,100,000","562,400,000","510,200,000","559,600,000","527,900,000","543,900,000","469,900,000","537,500,000","346,900,000","499,100,000","491,700,000","540,300,000","513,200,000","471,800,000","497,200,000","549,900,000","534,000,000","477,100,000"
	OperatingRevenue,"9,863,085,000","2,481,913,000","2,432,794,000","2,121,500,000","2,824,200,000","2,240,830,000","2,342,500,000","1,952,100,000","2,368,900,000","2,044,600,000","2,168,200,000","1,878,300,000","2,412,000,000","3,079,300,000","2,265,900,000","1,848,700,000","2,283,700,000","1,898,900,000","1,984,800,000","1,786,500,000","2,121,600,000","1,784,600,000","2,029,400,000","1,786,000,000","2,062,000,000","1,694,900,000","1,920,300,000","1,836,500,000","2,513,431,000","1,828,164,000","1,892,532,000","1,664,200,000","2,290,590,000","1,673,325,000","1,892,590,000","1,635,862,000","1,995,023,000","1,683,952,000","1,861,529,000","1,628,684,000","1,099,623,000","1,068,033,000","1,114,892,000","1,047,481,000","1,235,251,000","1,203,985,000","1,243,337,000","1,111,426,000","1,339,420,000","1,315,343,000","1,306,173,000","1,224,431,000","1,593,483,000","1,447,886,000","1,506,897,000","1,325,345,000","1,519,967,000","1,274,800,000","1,451,080,000","1,392,053,000","1,704,293,000","1,481,843,000","1,594,096,000","1,670,531,000","2,147,388,000","1,877,834,000","1,754,862,000","1,557,920,000","2,264,812,000","1,655,761,000","1,667,985,000","1,524,666,000","1,838,287,000","868,904,000","2,054,274,000","1,457,541,000","1,688,437,000","1,446,229,000","1,361,045,000","1,673,193,000","1,910,683,000","1,766,094,000","1,723,894,000","1,583,294,000","1,800,544,000","1,497,379,000","1,581,947,000","1,414,973,000","1,382,321,000","1,148,800,000","1,240,500,000","1,038,600,000","1,043,400,000","959,600,000","974,400,000","874,800,000","958,900,000","979,000,000","977,100,000","903,300,000","975,400,000","936,500,000","955,500,000","871,900,000","1,028,200,000","980,500,000","985,100,000","840,300,000","944,700,000","898,200,000","923,700,000","854,600,000","966,200,000","901,900,000","915,200,000","853,800,000","958,200,000","867,700,000","867,700,000","718,700,000","762,700,000","722,800,000","692,700,000","637,000,000","701,300,000","891,300,000","600,900,000","526,400,000","597,700,000","574,100,000","562,400,000","510,200,000","559,600,000","527,900,000","543,900,000","469,900,000","537,500,000","346,900,000","499,100,000","491,700,000","540,300,000","513,200,000","471,800,000","497,200,000","549,900,000","534,000,000","477,100,000"
CostOfRevenue,"5,112,029,000","1,317,058,000","1,269,704,000","1,061,234,000","1,464,033,000","1,148,987,000","1,138,285,000","962,187,000","1,218,632,000","1,082,572,000","1,061,309,000","948,914,000","1,310,479,000","1,060,348,000","1,186,766,000","947,773,000","1,279,296,000","923,889,000","952,197,000","852,418,000","1,083,914,000","856,864,000","990,544,000","901,974,000","1,074,995,000","889,081,000","1,029,923,000","1,001,759,000","1,495,431,000","1,061,131,000","1,060,723,000","997,445,000","1,329,838,000","1,025,988,000","1,032,581,000","845,471,000","1,093,901,000","1,918,235,000","701,077,000","615,503,000","398,013,000","366,333,000","399,941,000","603,118,000","474,109,000","445,931,000","494,125,000","442,230,000","603,349,000","864,096,000","861,928,000","818,420,000","1,086,365,000","710,114,000","801,050,000","661,699,000","823,317,000","594,151,000","881,234,000","804,802,000","1,070,486,000","944,511,000","1,052,277,000","1,106,280,000","1,537,200,000","1,235,090,000","1,135,076,000","937,220,000","1,625,701,000","1,108,141,000","1,031,540,000","914,200,000","1,176,215,000","321,704,000","1,445,482,000","893,935,000","1,069,295,000","892,269,000","797,498,000","1,158,327,000","1,352,837,000","1,222,335,000","1,178,290,000","1,009,877,000","1,166,972,000","817,911,000","918,778,000","816,165,000","768,372,000","547,700,000","592,800,000","377,400,000","380,400,000","302,300,000","334,600,000","306,100,000","353,500,000","338,700,000","332,300,000","276,900,000","340,500,000","320,200,000","308,100,000","199,700,000","311,700,000","228,300,000","242,900,000","200,300,000","237,600,000","203,900,000","220,700,000","182,200,000","225,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"4,751,056,000","1,164,855,000","1,163,090,000","1,061,266,000","1,361,767,000","1,084,943,000","1,205,315,000","990,913,000","1,155,068,000","967,828,000","1,114,491,000","935,586,000","1,105,321,000","974,652,000","1,084,634,000","906,127,000","1,008,704,000","971,611,000","1,036,303,000","910,382,000","1,021,186,000","919,736,000","1,049,156,000","865,226,000","980,605,000","802,119,000","903,177,000","815,341,000","1,018,000,000","820,033,000","831,809,000","680,155,000","960,752,000","751,737,000","860,009,000","790,391,000","901,122,000","-234,283,000","1,160,452,000","1,013,181,000","701,610,000","701,700,000","714,951,000","444,363,000","761,142,000","758,054,000","749,212,000","669,196,000","736,071,000","451,247,000","444,245,000","406,011,000","507,118,000","737,772,000","705,847,000","663,646,000","696,650,000","680,649,000","569,846,000","587,251,000","633,807,000","537,332,000","541,819,000","564,251,000","610,188,000","642,744,000","619,786,000","620,700,000","639,111,000","547,620,000","636,445,000","610,466,000","662,072,000","547,200,000","608,792,000","563,606,000","619,142,000","553,960,000","563,547,000","514,866,000","557,846,000","543,759,000","545,604,000","573,417,000","633,572,000","679,468,000","663,169,000","598,808,000","613,949,000","601,100,000","647,700,000","661,200,000","663,000,000","657,300,000","639,800,000","568,700,000","605,400,000","640,300,000","644,800,000","626,400,000","634,900,000","616,300,000","647,400,000","672,200,000","716,500,000","752,200,000","742,200,000","640,000,000","707,100,000","694,300,000","703,000,000","672,400,000","740,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"2,757,735,000","692,037,000","679,759,000","609,699,000","776,239,000","630,218,000","644,127,000","557,286,000","615,974,000","532,249,000","605,250,000","544,949,000","610,613,000","574,587,000","618,638,000","514,729,000","566,134,000","520,761,000","533,712,000","454,706,000","512,202,000","481,708,000","539,293,000","441,788,000","492,104,000","416,713,000","433,944,000","403,287,000","520,525,000","389,728,000","390,899,000","386,179,000","493,063,000","391,089,000","460,747,000","431,733,000","447,678,000","-707,695,000","747,547,000","853,666,000","487,217,000","516,831,000","511,135,000","266,229,000","533,785,000","562,804,000","549,579,000","490,852,000","509,408,000","258,893,000","281,692,000","226,825,000","289,836,000","-455,229,000","556,770,000","525,527,000","564,378,000","537,222,000","446,512,000","469,932,000","478,406,000","474,597,000","464,569,000","488,994,000","602,751,000","660,247,000","681,157,000","607,242,000","759,004,000","513,006,000","525,314,000","516,047,000","489,284,000","512,689,000","479,065,000","458,510,000","455,110,000","600,850,000","445,452,000","420,815,000","443,560,000","1,219,448,000","432,226,000","431,896,000","315,261,000","506,388,000","485,826,000","452,271,000","416,115,000","442,800,000","480,800,000","571,600,000","552,300,000","614,300,000","527,000,000","474,800,000","548,000,000","561,600,000","629,500,000","639,400,000","523,000,000","656,300,000","566,600,000","566,200,000","523,400,000","547,700,000","504,000,000","465,900,000","470,200,000","498,300,000","491,600,000","488,400,000","490,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,334,973,000","353,916,000","322,082,000","280,258,000","378,717,000","307,193,000","301,968,000","263,913,000","285,987,000","240,266,000","296,453,000","258,029,000","285,909,000","285,771,000","301,382,000","235,343,000","249,460,000","202,650,000","194,466,000","189,881,000","186,805,000","183,685,000","181,288,000","176,507,000","173,986,000","170,467,000","167,884,000","163,668,000","163,837,000","158,433,000","153,210,000","152,207,000","150,807,000","147,142,000","149,105,000","159,553,000","154,977,000","149,212,000","144,475,000","144,485,000","80,839,000","79,408,000","75,196,000","73,637,000","108,358,000","116,737,000","121,295,000","87,968,000","70,329,000","71,914,000","87,616,000","64,729,000","98,674,000","-27,360,000","184,235,000","158,150,000","149,959,000","144,506,000","133,932,000","107,081,000","121,491,000","75,018,000","101,812,000","102,508,000","167,161,000","178,928,000","184,988,000","123,493,000","126,881,000","136,039,000","143,197,000","121,942,000","126,863,000","141,168,000","145,603,000","107,492,000","145,972,000","309,303,000","145,486,000","93,782,000","118,619,000","129,509,000","148,030,000","135,989,000","780,485,000","149,986,000","133,163,000","127,264,000","117,580,000","463,500,000","192,800,000","102,900,000","194,000,000","273,500,000","95,900,000","106,800,000","140,300,000","104,400,000","172,200,000","101,600,000","103,300,000","157,900,000","102,400,000","103,800,000","105,200,000","214,800,000","102,700,000","116,000,000","101,900,000","100,100,000","81,400,000","102,900,000","105,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,334,973,000","353,916,000","322,082,000","280,258,000","378,717,000","307,193,000","301,968,000","263,913,000","285,987,000","240,266,000","296,453,000","258,029,000","285,909,000","285,771,000","301,382,000","235,343,000","249,460,000","202,650,000","194,466,000","189,881,000","186,805,000","183,685,000","181,288,000","176,507,000","173,986,000","170,467,000","167,884,000","163,668,000","163,837,000","158,433,000","153,210,000","152,207,000","150,807,000","147,142,000","149,105,000","159,553,000","154,977,000","149,212,000","144,475,000","144,485,000","80,839,000","79,408,000","75,196,000","73,637,000","108,358,000","116,737,000","121,295,000","87,968,000","70,329,000","71,914,000","87,616,000","64,729,000","98,674,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"1,103,008,000","280,811,000","276,846,000","274,647,000","270,704,000","260,201,000","244,453,000","240,516,000","236,211,000","228,646,000","222,599,000","219,084,000","214,948,000","207,853,000","208,671,000","199,140,000","204,266,000","202,650,000","194,466,000","189,881,000","186,805,000","183,685,000","181,288,000","176,507,000","173,986,000","170,467,000","167,884,000","163,668,000","163,837,000","158,433,000","153,210,000","152,207,000","150,807,000","147,142,000","149,105,000","159,553,000","154,977,000","149,212,000","144,475,000","144,485,000","80,839,000","79,408,000","75,196,000","73,637,000","73,951,000","72,052,000","70,954,000","79,075,000","78,656,000","77,793,000","77,074,000","77,768,000","76,983,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,"231,965,000","73,105,000","45,236,000","5,611,000","108,013,000","46,992,000","57,515,000","23,397,000","49,776,000","11,620,000","73,854,000","38,945,000","70,961,000","77,918,000","92,711,000","36,203,000","45,194,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,407,000","44,685,000","50,341,000","8,893,000","-8,327,000","-5,879,000","10,542,000","-13,039,000","21,691,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"231,965,000","73,105,000","45,236,000","5,611,000","108,013,000","46,992,000","57,515,000","23,397,000","49,776,000","11,620,000","73,854,000","38,945,000","70,961,000","77,918,000","92,711,000","36,203,000","45,194,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,407,000","44,685,000","50,341,000","8,893,000","-8,327,000","-5,879,000","10,542,000","-13,039,000","21,691,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"829,987,000","206,160,000","213,881,000","200,486,000","209,459,000","196,059,000","197,112,000","178,019,000","181,594,000","173,399,000","171,965,000","181,083,000","184,588,000","182,598,000","187,291,000","177,431,000","182,433,000","197,109,000","168,193,000","156,234,000","155,222,000","154,853,000","164,942,000","154,330,000","159,946,000","151,352,000","150,804,000","138,935,000","149,481,000","139,518,000","141,527,000","134,803,000","145,533,000","120,384,000","135,499,000","123,464,000","132,881,000","114,648,000","120,662,000","112,862,000","86,038,000","70,793,000","84,994,000","79,419,000","88,403,000","70,310,000","84,427,000","74,406,000","85,599,000","65,548,000","75,798,000","54,424,000","86,429,000","67,432,000","69,026,000","59,278,000","71,829,000","58,753,000","63,485,000","57,360,000","72,590,000","57,534,000","62,179,000","54,442,000","76,425,000","61,989,000","63,385,000","55,679,000","77,156,000","53,524,000","55,360,000","55,695,000","77,589,000","54,069,000","53,169,000","51,460,000","73,974,000","50,475,000","47,585,000","54,860,000","74,598,000","48,458,000","39,648,000","55,204,000","75,887,000","59,730,000","59,170,000","61,325,000","58,362,000","4,800,000","70,600,000","60,900,000","70,600,000","57,700,000","65,200,000","61,300,000","67,800,000","62,500,000","63,400,000","59,700,000","68,000,000","60,100,000","64,800,000","61,400,000","71,300,000","61,300,000","63,400,000","59,000,000","65,800,000","56,400,000","63,600,000","59,900,000","67,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"592,775,000","131,961,000","143,796,000","128,955,000","188,063,000","126,966,000","145,047,000","115,354,000","148,393,000","118,584,000","136,832,000","105,837,000","140,116,000","106,218,000","129,965,000","101,955,000","134,241,000","121,002,000","171,053,000","108,591,000","170,175,000","143,170,000","193,063,000","110,951,000","158,172,000","94,894,000","115,256,000","100,684,000","207,207,000","91,777,000","96,162,000","99,169,000","196,723,000","123,563,000","176,143,000","148,716,000","159,820,000","-971,555,000","482,410,000","596,319,000","320,340,000","366,630,000","350,945,000","113,173,000","337,024,000","375,757,000","343,857,000","328,478,000","353,480,000","121,431,000","118,278,000","107,672,000","104,733,000","-495,301,000","303,509,000","308,099,000","342,590,000","333,963,000","249,095,000","305,491,000","284,325,000","342,045,000","300,578,000","332,044,000","359,165,000","419,330,000","432,784,000","428,070,000","554,967,000","323,443,000","326,757,000","338,410,000","284,832,000","317,452,000","280,293,000","299,558,000","235,164,000","241,072,000","252,381,000","272,173,000","250,343,000","1,041,481,000","244,548,000","240,703,000","-541,111,000","296,672,000","293,493,000","263,682,000","240,173,000","-25,500,000","217,400,000","407,800,000","287,700,000","283,100,000","365,900,000","306,700,000","339,900,000","394,700,000","393,900,000","478,100,000","351,700,000","438,300,000","399,400,000","401,000,000","346,900,000","271,600,000","337,900,000","290,900,000","302,500,000","341,800,000","346,600,000","325,600,000","317,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,993,321,000","472,818,000","483,331,000","451,567,000","585,528,000","454,725,000","561,188,000","433,627,000","539,094,000","435,579,000","509,241,000","390,637,000","494,708,000","400,065,000","465,996,000","391,398,000","442,570,000","450,850,000","502,591,000","455,676,000","508,984,000","438,028,000","509,863,000","423,438,000","488,501,000","385,406,000","469,233,000","412,054,000","497,475,000","430,305,000","440,910,000","293,976,000","467,689,000","360,648,000","399,262,000","358,658,000","453,444,000","473,412,000","412,905,000","159,515,000","214,393,000","184,869,000","203,816,000","178,134,000","227,357,000","195,250,000","199,633,000","178,344,000","226,663,000","192,354,000","162,553,000","179,186,000","217,282,000","1,193,001,000","149,077,000","138,119,000","132,272,000","143,427,000","123,334,000","117,319,000","155,401,000","62,735,000","77,250,000","75,257,000","7,437,000","-17,503,000","-61,371,000","13,458,000","-119,893,000","34,614,000","111,131,000","94,419,000","172,788,000","34,511,000","129,727,000","105,096,000","164,032,000","-46,890,000","118,095,000","94,051,000","114,286,000","-675,689,000","113,378,000","141,521,000","318,311,000","173,080,000","177,343,000","146,537,000","197,834,000","158,300,000","166,900,000","89,600,000","110,700,000","43,000,000","112,800,000","93,900,000","57,400,000","78,700,000","15,300,000","-13,000,000","111,900,000","-40,000,000","80,800,000","106,000,000","193,100,000","204,500,000","238,200,000","174,100,000","236,900,000","196,000,000","211,400,000","184,000,000","250,600,000","901,900,000","915,200,000","853,800,000","958,200,000","867,700,000","867,700,000","718,700,000","762,700,000","722,800,000","692,700,000","637,000,000","701,300,000","891,300,000","600,900,000","526,400,000","597,700,000","574,100,000","562,400,000","510,200,000","559,600,000","527,900,000","543,900,000","469,900,000","537,500,000","346,900,000","499,100,000","491,700,000","540,300,000","513,200,000","471,800,000","497,200,000","549,900,000","534,000,000","477,100,000"
NetNonOperatingInterestIncomeExpense,"-556,734,000","-125,572,000","-147,962,000","-137,035,000","-137,766,000","-138,685,000","-132,566,000","-133,285,000","-134,715,000","-144,343,000","-132,316,000","-131,405,000","-125,234,000","-142,271,000","-114,401,000","-124,504,000","-117,629,000","-102,278,000","-108,719,000","-107,329,000","-103,429,000","-102,393,000","-99,865,000","-100,492,000","-98,212,000","-92,785,000","-92,534,000","-92,259,000","-94,843,000","-89,898,000","-89,738,000","-92,495,000","-89,975,000","-88,116,000","-87,476,000","-94,932,000","-110,754,000","-226,108,000","-90,361,000","-89,047,000","-66,447,000","-55,525,000","-63,932,000","-62,234,000","-58,549,000","-36,934,000","-65,898,000","-65,897,000","-66,462,000","-68,067,000","-69,635,000","-64,958,000","-70,977,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"25,600,000",,,"8,400,000",,,"1,500,000","1,000,000",,,"2,900,000","1,300,000","6,500,000",,"10,800,000","1,900,000","3,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300,000","800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"582,334,000","151,172,000","147,962,000","145,435,000","137,766,000","135,385,000","134,066,000","134,285,000","134,715,000","133,543,000","135,216,000","132,705,000","131,734,000","126,071,000","125,201,000","126,404,000","121,129,000","102,278,000","108,719,000","107,329,000","103,429,000","102,393,000","99,865,000","100,492,000","98,212,000","92,785,000","92,534,000","92,259,000","94,843,000","89,898,000","89,738,000","92,495,000","89,975,000","90,809,000","87,476,000","86,850,000","76,255,000","84,089,000","90,361,000","89,047,000","66,447,000","55,525,000","63,932,000","62,234,000","58,549,000","36,934,000","65,898,000","67,197,000","67,262,000","68,067,000","69,635,000","64,958,000","70,977,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"8,082,000","34,499,000","39,875,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"135,900,000","11,312,000","43,768,000","38,200,000","34,201,000","28,290,000","27,700,000","29,200,000","24,104,000","39,777,000","24,100,000","-195,044,000","24,500,000","43,866,000","5,900,000","48,200,000","30,300,000","21,704,000","21,184,000","21,543,000","13,577,000","22,231,000","13,641,000","8,038,000","2,011,000","10,361,000","5,241,000","12,899,000","5,727,000","5,565,000","11,860,000","5,526,000","1,667,000","8,239,000","8,945,000","4,944,000","7,765,000","4,838,000","4,324,000","1,806,000","8,773,000","-1,546,000","1,430,000","7,334,000","10,313,000","22,190,000","10,118,000","252,000","7,257,000","11,720,000","9,490,000","12,409,000","4,182,000","8,818,000","17,682,000","10,370,000","13,558,000","24,963,000","10,734,000","11,873,000","14,069,000","22,427,000","13,871,000","12,676,000","16,205,000","22,399,000","8,173,000","9,064,000","2,041,000","1,748,000","8,168,000","2,862,000","1,687,000","-6,443,000","4,678,000","754,000","576,000","211,226,000","32,059,000","1,653,000","-13,997,000","805,401,000","17,724,000","7,673,000","807,000","-4,350,000","16,276,000","-490,000","2,847,000","-76,300,000","-24,900,000","2,100,000","2,000,000","-143,500,000","-14,600,000","-200,000","15,200,000","-33,200,000","-1,000,000","6,900,000","9,700,000","19,000,000","11,200,000","14,800,000","10,000,000","19,700,000","12,500,000","7,900,000","8,300,000","21,300,000","10,400,000","22,900,000","21,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,,,,"1,900,000",,,"1,000,000","1,800,000",,,"-2,800,000","-600,000","1,200,000",,"1,800,000","-300,000","700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"14,200,000",,,"4,700,000",,,"3,900,000","5,900,000",,,"6,100,000","25,900,000","5,000,000",,"-27,900,000","22,900,000","4,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"37,300,000",,,"9,200,000",,"-33,600,000","11,800,000","10,800,000",,"-34,700,000","10,500,000","-226,544,000","10,900,000",,"17,000,000","10,900,000","9,700,000",,,,,,,,,,,,,,,,,,,,,,"4,324,000","1,806,000","8,773,000","-1,546,000","1,430,000","7,334,000","10,313,000","22,190,000","10,118,000","252,000","7,257,000","11,720,000","9,490,000","12,409,000","4,182,000","8,818,000","17,682,000","10,370,000","13,558,000","24,963,000","10,734,000","11,873,000","14,069,000","22,427,000","13,871,000","12,676,000","16,205,000","22,399,000","8,173,000","9,064,000","2,041,000","1,748,000","8,168,000","2,862,000","1,687,000","-6,443,000","4,678,000","754,000","576,000","211,226,000","32,059,000","1,653,000","-13,997,000","805,401,000","17,724,000","7,673,000","807,000","-4,350,000","16,276,000","-490,000","2,847,000","-76,300,000","-24,900,000","2,100,000","2,000,000","-143,500,000","-14,600,000","-200,000","15,200,000","-33,200,000","-1,000,000","6,900,000","9,700,000","19,000,000","11,200,000","14,800,000","10,000,000","19,700,000","12,500,000","7,900,000","8,300,000","21,300,000","10,400,000","22,900,000","21,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0",,"0","0","239,644,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-37,300,000",,,"-9,200,000",,,"-10,300,000","-10,800,000",,,"-10,500,000","-13,100,000","-10,900,000",,"-12,000,000","-10,900,000","-9,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,"1,500,000",,,,"0",,,,"5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
