name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"22,929,000,000","6,225,000,000","5,847,000,000","5,634,000,000","5,223,000,000","5,532,000,000","5,258,000,000","5,356,000,000","7,455,000,000","8,228,000,000","8,541,000,000","8,269,000,000","7,879,000,000","8,179,000,000","8,504,000,000","8,303,000,000","7,829,000,000","8,179,000,000","7,905,000,000","7,462,000,000","6,894,000,000","7,107,000,000","7,019,000,000","7,164,000,000","6,520,000,000","7,744,000,000","8,472,000,000","9,010,000,000","10,248,000,000","12,641,000,000","12,646,000,000","12,054,000,000","11,239,000,000","11,906,000,000","11,608,000,000","11,182,000,000","10,668,000,000","11,175,000,000","10,608,000,000","10,448,000,000","10,611,000,000","10,974,000,000","10,229,000,000","9,621,000,000","8,723,000,000","9,068,000,000","6,845,000,000","5,937,000,000","5,598,000,000","5,747,000,000","5,430,000,000","5,528,000,000","5,999,989,000","6,857,877,000","7,258,869,000","6,746,148,000","6,289,873,000","6,247,713,000","5,925,662,000","5,638,762,000","5,464,405,000","5,349,868,000","4,954,818,000","4,686,775,000","4,239,017,000","3,708,472,000","3,778,194,000","3,428,632,000","3,347,664,000","2,914,593,000","2,966,370,000","2,881,375,000","3,041,217,000","3,650,841,000","3,537,646,000","3,554,741,000","3,373,002,000","3,300,513,000","3,542,287,000","3,388,561,000","3,309,356,000","3,629,448,000","3,665,166,000","3,634,599,000","2,909,434,000","2,688,482,000","2,447,272,000","2,338,266,000","2,137,442,000","1,664,900,000","2,249,300,000","2,011,831,000","2,306,500,000","2,775,500,000","2,932,400,000","2,853,300,000","2,800,100,000","2,907,700,000","2,736,200,000","2,601,700,000","2,402,100,000","2,515,700,000","2,261,800,000","2,150,800,000","2,027,800,000","2,063,500,000","1,918,800,000","1,877,100,000","1,762,300,000","1,780,700,000","1,636,700,000","1,639,100,000","1,640,300,000","1,746,200,000","1,642,400,000","1,719,300,000","1,597,600,000","1,631,900,000","1,594,200,000","1,553,200,000","1,552,100,000","1,611,400,000","1,470,100,000","1,552,700,000","1,511,000,000","1,468,600,000","1,323,800,000","1,292,100,000","1,221,800,000","1,201,000,000","1,106,000,000","1,197,000,000","1,182,000,000","1,036,800,000","1,235,900,000","1,352,800,000","1,299,000,000","975,100,000","1,089,000,000","1,053,000,000","1,031,000,000","277,400,000","1,290,800,000","1,410,900,000","1,589,200,000","1,563,000,000","1,448,000,000"
	OperatingRevenue,"22,929,000,000","6,225,000,000","5,847,000,000","5,634,000,000","5,223,000,000","5,532,000,000","5,258,000,000","5,356,000,000","7,455,000,000","8,228,000,000","8,541,000,000","8,269,000,000","7,879,000,000","8,179,000,000","8,504,000,000","8,303,000,000","7,829,000,000","8,179,000,000","7,905,000,000","7,462,000,000","6,894,000,000","7,107,000,000","7,019,000,000","7,164,000,000","6,520,000,000","7,744,000,000","8,472,000,000","9,010,000,000","10,248,000,000","12,641,000,000","12,646,000,000","12,054,000,000","11,239,000,000","11,906,000,000","11,608,000,000","11,182,000,000","10,668,000,000","11,175,000,000","10,608,000,000","10,448,000,000","10,611,000,000","8,393,000,000","10,229,000,000","9,621,000,000","8,723,000,000","9,068,000,000","6,845,000,000","5,937,000,000","5,598,000,000","5,747,000,000","5,430,000,000","5,528,000,000","5,999,989,000","6,857,877,000","7,258,869,000","6,746,148,000","6,289,873,000","6,247,713,000","5,925,662,000","5,638,762,000","5,464,405,000","5,349,868,000","4,954,818,000","4,686,775,000","4,239,017,000","4,023,346,000","3,698,093,000","3,428,632,000","3,159,111,000","2,997,825,000","2,931,092,000","2,856,315,000","3,018,323,000","3,582,673,000","3,508,067,000","3,515,653,000","3,343,344,000","3,274,375,000","3,501,370,000","3,388,561,000","3,309,356,000","3,577,369,000","3,624,404,000","3,634,599,000","2,909,434,000","2,688,482,000","2,447,272,000","2,338,266,000","2,137,442,000","1,664,900,000","2,249,300,000","2,011,831,000","2,306,500,000","2,775,500,000","2,932,400,000","2,853,300,000","2,800,100,000","2,907,700,000","2,736,200,000","2,601,700,000","2,402,100,000","2,515,700,000","2,261,800,000","2,150,800,000","2,027,800,000","2,063,500,000","1,918,800,000","1,877,100,000","1,762,300,000","1,780,700,000","1,636,700,000","1,639,100,000","1,640,300,000","1,746,200,000","1,642,400,000","1,719,300,000","1,597,600,000","1,631,900,000","1,594,200,000","1,553,200,000","1,552,100,000","1,611,400,000","1,470,100,000","1,552,700,000","1,511,000,000","1,468,600,000","1,323,800,000","1,292,100,000","1,221,800,000","1,201,000,000","1,106,000,000","1,197,000,000","1,182,000,000","1,036,800,000","1,235,900,000","1,352,800,000","1,299,000,000","975,100,000","1,089,000,000","1,053,000,000","1,031,000,000","277,400,000","1,290,800,000","1,410,900,000","1,589,200,000","1,563,000,000","1,448,000,000"
CostOfRevenue,"19,271,000,000","5,136,000,000","4,862,000,000","4,768,000,000","4,504,000,000","4,828,000,000","4,624,000,000","4,925,000,000","6,624,000,000","7,126,000,000","7,385,000,000","7,252,000,000","6,952,000,000","7,172,000,000","7,324,000,000","7,179,000,000","6,802,000,000","7,200,000,000","6,797,000,000","6,468,000,000","6,076,000,000","6,193,000,000","6,142,000,000","6,315,000,000","5,460,000,000","6,293,000,000","6,798,000,000","7,136,000,000","8,096,000,000","9,690,000,000","9,689,000,000","9,269,000,000","8,745,000,000","9,284,000,000","8,926,000,000","8,712,000,000","8,442,000,000","8,791,000,000","8,290,000,000","8,162,000,000","8,474,000,000","8,642,000,000","8,092,000,000","7,638,000,000","7,074,000,000","7,202,000,000","5,379,000,000","4,576,000,000","4,343,000,000","4,376,000,000","4,122,000,000","4,409,000,000","4,488,524,000","5,033,473,000","4,966,384,000","4,608,879,000","4,358,295,000","4,217,436,000","3,905,095,000","3,736,871,000","3,617,424,000","3,585,393,000","3,369,573,000","3,255,264,000","2,994,794,000","2,911,600,000","2,757,310,000","2,546,684,000","2,405,132,000","2,328,277,000","2,324,497,000","2,250,532,000","2,364,108,000","2,874,105,000","3,164,248,000","2,772,300,000","2,650,073,000","5,743,021,000","2,778,651,000","2,637,495,000","2,600,090,000","2,662,798,000","2,711,686,000","3,072,545,000","2,194,739,000","2,089,602,000","1,854,181,000","1,794,136,000","1,633,623,000","1,365,900,000","1,744,900,000","1,582,856,000","1,940,600,000","2,077,500,000","2,581,400,000","2,080,700,000","2,035,500,000","2,123,900,000","2,001,000,000","1,929,300,000","1,782,800,000","1,902,100,000","1,751,700,000","1,632,000,000","1,549,600,000","1,385,700,000","1,250,200,000","1,216,400,000","1,137,500,000","1,154,100,000","1,046,000,000","1,063,700,000","1,067,900,000","1,157,400,000","1,025,600,000","1,061,800,000","989,600,000","1,019,400,000","967,200,000","930,400,000","953,700,000","1,000,000,000","892,100,000","931,800,000","941,300,000","895,900,000","780,200,000","773,700,000","729,300,000",,,,,,,,,,,,,,,,,,
GrossProfit,"3,658,000,000","1,089,000,000","985,000,000","866,000,000","719,000,000","704,000,000","634,000,000","431,000,000","831,000,000","1,102,000,000","1,156,000,000","1,017,000,000","927,000,000","1,007,000,000","1,180,000,000","1,124,000,000","1,027,000,000","979,000,000","1,108,000,000","994,000,000","818,000,000","914,000,000","877,000,000","849,000,000","1,060,000,000","1,451,000,000","1,674,000,000","1,874,000,000","2,152,000,000","2,951,000,000","2,957,000,000","2,785,000,000","2,494,000,000","2,622,000,000","2,682,000,000","2,470,000,000","2,226,000,000","2,384,000,000","2,318,000,000","2,286,000,000","2,137,000,000","2,332,000,000","2,137,000,000","1,983,000,000","1,649,000,000","1,866,000,000","1,466,000,000","1,361,000,000","1,255,000,000","1,371,000,000","1,308,000,000","1,119,000,000","1,511,465,000","1,824,404,000","2,292,485,000","2,137,269,000","1,931,578,000","2,030,277,000","2,020,567,000","1,901,891,000","1,846,981,000","1,764,475,000","1,585,245,000","1,431,511,000","1,244,223,000","796,872,000","1,020,884,000","881,948,000","942,532,000","586,316,000","641,873,000","630,843,000","677,109,000","776,736,000","373,398,000","782,441,000","722,929,000","-2,442,508,000","763,636,000","751,066,000","709,266,000","966,650,000","953,480,000","562,054,000","714,695,000","598,880,000","593,091,000","544,130,000","503,819,000","299,000,000","504,400,000","428,975,000","365,900,000","698,000,000","351,000,000","772,600,000","764,600,000","783,800,000","735,200,000","672,400,000","619,300,000","613,600,000","510,100,000","518,800,000","478,200,000","677,800,000","668,600,000","660,700,000","624,800,000","626,600,000","590,700,000","575,400,000","572,400,000","588,800,000","616,800,000","657,500,000","608,000,000","612,500,000","627,000,000","622,800,000","598,400,000","611,400,000","578,000,000","620,900,000","569,700,000","572,700,000","543,600,000","518,400,000","492,500,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"893,000,000","253,000,000","220,000,000","204,000,000","216,000,000","200,000,000","222,000,000","223,000,000","300,000,000","319,000,000","296,000,000","293,000,000","285,000,000","292,000,000","282,000,000","289,000,000","283,000,000","301,000,000","304,000,000","306,000,000","309,000,000","360,000,000","345,000,000","360,000,000","350,000,000","407,000,000","395,000,000","399,000,000","386,000,000","446,000,000","426,000,000","432,000,000","390,000,000","415,000,000","396,000,000","393,000,000","390,000,000","424,000,000","384,000,000","392,000,000","368,000,000","374,000,000","357,000,000","413,000,000","342,000,000","451,000,000","407,000,000","361,000,000","351,000,000","383,000,000","348,000,000","351,000,000","340,875,000","395,887,000","380,436,000","369,375,000","352,331,000","361,152,000","349,358,000","313,743,000","307,951,000","320,432,000","276,328,000","292,540,000","239,796,000","253,661,000","229,944,000","227,096,000","216,704,000","213,245,000","217,971,000","219,126,000","270,757,000","343,065,000","418,725,000","407,200,000","416,155,000","435,775,000","437,821,000","424,489,000","417,701,000","464,085,000","484,479,000","508,042,000","378,608,000","379,238,000","353,707,000","355,183,000","338,285,000","316,300,000","346,500,000","328,139,000","342,000,000","368,400,000","370,100,000","326,900,000","318,400,000","310,000,000","282,600,000","289,200,000","280,400,000","290,500,000","270,800,000","278,700,000","269,200,000","487,800,000","465,800,000","464,100,000","453,700,000","455,500,000","433,000,000","439,700,000","440,200,000","462,300,000","442,500,000","478,300,000","454,000,000","456,000,000","438,700,000","429,500,000","434,800,000","424,500,000","407,700,000","409,000,000","407,800,000","403,400,000","363,700,000","349,300,000","353,000,000",,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"339,000,000","108,000,000","80,000,000","70,000,000","81,000,000","72,000,000","85,000,000","81,000,000","127,000,000","129,000,000","120,000,000","114,000,000","112,000,000","114,000,000","105,000,000","114,000,000","111,000,000","109,000,000","115,000,000","110,000,000","98,000,000","98,000,000","92,000,000","103,000,000","110,000,000","132,000,000","122,000,000","120,000,000","119,000,000","122,000,000","125,000,000","123,000,000","106,000,000","111,000,000","110,000,000","100,000,000","95,000,000","111,000,000","95,000,000","101,000,000","93,000,000","101,000,000","91,000,000","139,000,000","93,000,000","194,000,000","167,000,000","145,000,000","144,000,000","166,000,000","150,000,000","154,000,000","151,359,000","173,669,000","172,268,000","172,001,000","161,300,000","164,632,000","159,164,000","139,064,000","140,853,000","150,950,000","126,790,000","121,650,000","110,390,000","119,269,000","101,678,000","105,461,000","95,484,000","105,115,000","96,700,000","93,745,000","140,616,000","242,138,000","262,530,000","258,149,000","253,793,000","278,458,000","271,589,000","258,691,000","257,010,000","277,920,000","310,113,000","334,833,000","208,012,000","234,600,000","219,429,000","224,443,000","207,243,000","192,700,000","212,400,000","201,785,000","206,700,000","231,100,000","232,700,000","185,800,000","182,600,000","180,800,000","162,500,000","170,300,000","162,400,000","174,700,000","159,600,000","164,000,000","158,400,000","278,500,000","261,000,000","262,800,000","254,800,000","260,300,000","241,100,000","247,000,000","243,800,000","267,600,000","254,500,000","268,100,000","256,700,000","272,700,000","263,000,000","253,600,000","260,900,000","257,100,000","239,400,000","244,700,000","248,200,000","258,100,000","222,700,000","219,000,000","217,300,000",,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"339,000,000","108,000,000","80,000,000","70,000,000","81,000,000","72,000,000","85,000,000","81,000,000","127,000,000","129,000,000","120,000,000","114,000,000","112,000,000","114,000,000","105,000,000","114,000,000","111,000,000","109,000,000","115,000,000","110,000,000","98,000,000","98,000,000","92,000,000","103,000,000","110,000,000","132,000,000","122,000,000","120,000,000","119,000,000","122,000,000","125,000,000","123,000,000","106,000,000","111,000,000","110,000,000","100,000,000","95,000,000","111,000,000",,,,,,,,,,,,"145,000,000","128,000,000","131,000,000","130,288,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"339,000,000","108,000,000","80,000,000","70,000,000","81,000,000","72,000,000","85,000,000","81,000,000","127,000,000","129,000,000","120,000,000","114,000,000","112,000,000","114,000,000","105,000,000","114,000,000","111,000,000","109,000,000","115,000,000","110,000,000","98,000,000","98,000,000","92,000,000","103,000,000","110,000,000","132,000,000","122,000,000","120,000,000","119,000,000","122,000,000","125,000,000","123,000,000","106,000,000","111,000,000","110,000,000","100,000,000","95,000,000","111,000,000",,,,,,,,,,,,"145,000,000","128,000,000","131,000,000","130,288,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000,000","22,000,000","23,000,000","21,071,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"554,000,000","145,000,000","140,000,000","134,000,000","135,000,000","128,000,000","137,000,000","142,000,000","173,000,000","190,000,000","176,000,000","179,000,000","173,000,000","178,000,000","177,000,000","175,000,000","172,000,000","192,000,000","189,000,000","196,000,000","211,000,000","262,000,000","253,000,000","257,000,000","240,000,000","275,000,000","273,000,000","279,000,000","267,000,000","324,000,000","301,000,000","309,000,000","284,000,000","304,000,000","286,000,000","293,000,000","295,000,000","313,000,000","289,000,000","291,000,000","275,000,000","273,000,000","266,000,000","274,000,000","249,000,000","257,000,000","240,000,000","216,000,000","207,000,000","217,000,000","198,000,000","197,000,000","189,516,000","222,218,000","208,168,000","197,374,000","191,031,000","196,520,000","190,194,000","174,679,000","167,098,000","169,482,000","149,538,000","170,890,000","129,406,000","134,392,000","128,266,000","121,635,000","121,220,000","108,130,000","121,271,000","125,381,000","130,141,000","100,927,000","156,195,000","149,051,000","162,362,000","157,317,000","166,232,000","165,798,000","160,691,000","186,165,000","174,366,000","173,209,000","170,596,000","144,638,000","134,278,000","130,740,000","131,042,000","123,600,000","134,100,000","126,354,000","135,300,000","137,300,000","137,400,000","141,100,000","135,800,000","129,200,000","120,100,000","118,900,000","118,000,000","115,800,000","111,200,000","114,700,000","110,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,300,000","204,800,000","201,300,000","198,900,000","195,200,000","191,900,000","192,700,000","196,400,000","194,700,000","188,000,000","210,200,000","197,300,000","183,300,000","175,700,000","175,900,000","173,900,000","167,400,000","168,300,000","164,300,000","159,600,000","145,300,000","141,000,000","130,300,000","135,700,000",,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209,300,000","204,800,000","201,300,000","198,900,000","195,200,000","191,900,000","192,700,000","196,400,000","194,700,000","188,000,000","210,200,000","197,300,000","183,300,000","175,700,000","175,900,000","173,900,000","167,400,000","168,300,000","164,300,000","159,600,000","145,300,000","141,000,000","130,300,000","135,700,000",,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"2,765,000,000","836,000,000","765,000,000","662,000,000","503,000,000","504,000,000","412,000,000","208,000,000","531,000,000","783,000,000","860,000,000","724,000,000","642,000,000","715,000,000","898,000,000","835,000,000","744,000,000","678,000,000","804,000,000","688,000,000","509,000,000","554,000,000","532,000,000","489,000,000","710,000,000","1,044,000,000","1,279,000,000","1,475,000,000","1,766,000,000","2,505,000,000","2,531,000,000","2,353,000,000","2,104,000,000","2,207,000,000","2,286,000,000","2,077,000,000","1,836,000,000","1,960,000,000","1,934,000,000","1,894,000,000","1,769,000,000","1,958,000,000","1,780,000,000","1,570,000,000","1,307,000,000","1,415,000,000","1,059,000,000","1,000,000,000","904,000,000","988,000,000","960,000,000","768,000,000","1,170,590,000","1,428,517,000","1,912,049,000","1,767,894,000","1,579,247,000","1,669,125,000","1,671,209,000","1,588,148,000","1,539,030,000","1,444,043,000","1,308,917,000","1,138,971,000","1,004,427,000","543,211,000","790,940,000","654,852,000","725,828,000","373,071,000","423,902,000","411,717,000","406,352,000","433,671,000","-45,327,000","375,241,000","306,774,000","-2,878,283,000","325,815,000","326,577,000","291,565,000","502,565,000","469,001,000","54,012,000","336,087,000","219,642,000","239,384,000","188,947,000","165,534,000","-17,300,000","157,900,000","100,836,000","23,900,000","329,600,000","-19,100,000","445,700,000","446,200,000","473,800,000","452,600,000","383,200,000","338,900,000","323,100,000","239,300,000","240,100,000","209,000,000","190,000,000","202,800,000","196,600,000","171,100,000","171,100,000","157,700,000","135,700,000","132,200,000","126,500,000","174,300,000","179,200,000","154,000,000","156,500,000","188,300,000","193,300,000","163,600,000","186,900,000","170,300,000","211,900,000","161,900,000","169,300,000","179,900,000","169,100,000","139,500,000","-3,016,300,000","1,106,000,000","1,197,000,000","1,182,000,000","-3,421,500,000","1,235,900,000","1,352,800,000","1,299,000,000","-3,189,900,000","1,089,000,000","1,053,000,000","1,031,000,000","-4,198,400,000","1,290,800,000","1,410,900,000","1,589,200,000","-3,681,000,000","1,448,000,000"
NetNonOperatingInterestIncomeExpense,"-506,000,000","-122,000,000","-122,000,000","-130,000,000","-131,000,000","-139,000,000","-135,000,000","-137,000,000","-121,000,000","-137,000,000","-152,000,000","-145,000,000","-136,000,000","-132,000,000","-137,000,000","-132,000,000","-115,000,000","-113,000,000","-108,000,000","-108,000,000","-110,000,000","-110,000,000","-118,000,000","-119,000,000","-113,000,000","-78,000,000","-73,000,000","-74,000,000","-68,000,000","-74,000,000","-77,000,000","-77,000,000","-91,000,000","-85,000,000","-89,000,000","-92,000,000","-92,000,000","-201,000,000","-45,000,000","-33,000,000","-33,000,000","-140,000,000","-36,000,000","-40,000,000","-42,000,000","-180,000,000","7,000,000","-2,000,000","-28,000,000","-42,000,000","-39,000,000","-44,000,000","-37,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"33,000,000","15,000,000","8,000,000","6,000,000","5,000,000","5,000,000","3,000,000","7,000,000","15,000,000","10,000,000","8,000,000","11,000,000","11,000,000","9,000,000","10,000,000","12,000,000","28,000,000","31,000,000","34,000,000","34,000,000","29,000,000","29,000,000","31,000,000","30,000,000","20,000,000","14,000,000","13,000,000","12,000,000","14,000,000","13,000,000","13,000,000","13,000,000","12,000,000","12,000,000","9,000,000","6,000,000","6,000,000","-107,000,000","44,000,000","45,000,000","47,000,000","-54,000,000","34,000,000","29,000,000","31,000,000","-119,000,000","54,000,000","51,000,000","17,000,000","10,000,000","15,000,000","17,000,000","18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"539,000,000","137,000,000","130,000,000","136,000,000","136,000,000","144,000,000","138,000,000","144,000,000","136,000,000","147,000,000","160,000,000","156,000,000","147,000,000","141,000,000","147,000,000","144,000,000","143,000,000","144,000,000","142,000,000","142,000,000","139,000,000","139,000,000","149,000,000","149,000,000","133,000,000","92,000,000","86,000,000","86,000,000","82,000,000","87,000,000","90,000,000","90,000,000","103,000,000","97,000,000","98,000,000","98,000,000","98,000,000","94,000,000","89,000,000","78,000,000","80,000,000","86,000,000","70,000,000","69,000,000","73,000,000","61,000,000","47,000,000","53,000,000","45,000,000","52,000,000","54,000,000","61,000,000","55,072,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"115,000,000","42,000,000","48,000,000","10,000,000","14,000,000","106,000,000","-331,000,000","-3,698,000,000","-8,499,000,000","-194,000,000","-12,679,000,000","14,000,000","3,000,000","65,000,000","26,000,000","-156,000,000","14,000,000","-2,775,000,000","-19,000,000","-563,000,000","-65,000,000","-658,000,000","-214,000,000","-2,884,000,000","25,000,000","-2,069,000,000","47,000,000","35,000,000","-404,000,000","-1,715,000,000","66,000,000","51,000,000","64,000,000","48,000,000","34,000,000","688,000,000","-65,000,000","49,000,000","-32,000,000","-22,000,000","-15,000,000","67,000,000","-27,000,000","-32,000,000","-41,000,000","99,000,000","874,000,000","-4,000,000","12,000,000","49,000,000","59,000,000","43,000,000","58,946,000",,,,,,,,,,,,"30,000,000",,,,,"0",,"-37,412,000","-77,482,000","0","-86,328,000","-81,473,000",,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000","-333,100,000",,,"23,100,000","22,300,000","22,200,000","23,900,000","22,300,000","19,800,000","19,100,000","22,800,000","24,000,000","22,700,000","26,100,000","26,000,000","33,300,000","23,600,000","26,500,000","40,000,000","201,100,000","89,800,000","30,000,000","32,100,000","31,000,000","29,000,000","37,200,000","30,200,000",,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"47,000,000","0","47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"68,000,000","42,000,000","1,000,000","10,000,000","14,000,000","25,000,000","19,000,000","26,000,000","24,000,000","15,000,000","13,000,000","14,000,000","3,000,000","22,000,000","26,000,000","28,000,000","14,000,000","21,000,000","30,000,000","28,000,000","17,000,000","18,000,000","23,000,000","24,000,000","25,000,000","67,000,000","47,000,000","35,000,000","35,000,000","58,000,000","66,000,000","51,000,000","64,000,000","48,000,000","34,000,000","24,000,000","27,000,000","30,000,000",,,,"89,000,000","0",,"-7,000,000","-1,106,000,000","1,270,000,000","15,000,000","47,000,000","49,000,000","59,000,000","43,000,000","58,946,000",,,,,,,,,,,,"30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","0","0","42,000,000","-350,000,000","-3,724,000,000","-8,444,000,000","-451,000,000","-12,450,000,000","0",,"43,000,000","0","-184,000,000","0","-2,796,000,000","-49,000,000","-591,000,000","-82,000,000","-676,000,000","-237,000,000","-2,908,000,000","0","-2,136,000,000","0","0","-439,000,000","-1,773,000,000","0","0","0","0","0","664,000,000","-92,000,000","-93,000,000","-32,000,000","-22,000,000","-15,000,000","-22,000,000","-27,000,000","-32,000,000","-34,000,000","-65,000,000","-396,000,000","-4,000,000","-35,000,000",,,,,,,,,,,,,,,,,,,,,"0",,"-37,412,000","-77,482,000","0","-86,328,000","-81,473,000",,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000","-333,100,000",,,"23,100,000","22,300,000","22,200,000","23,900,000","22,300,000","19,800,000","19,100,000","22,800,000","24,000,000","22,700,000","26,100,000","26,000,000","33,300,000","23,600,000","26,500,000","40,000,000","201,100,000","89,800,000","30,000,000","32,100,000","31,000,000","29,000,000","37,200,000","30,200,000",,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,"202,000,000","-39,000,000","39,000,000",,,"0","0","0","0","95,000,000","49,000,000","81,000,000","82,000,000","77,000,000","237,000,000","335,000,000","0","-439,000,000","0","0","439,000,000","0","0","0",,"0","0","-1,028,000,000","92,000,000","93,000,000","32,000,000","22,000,000","15,000,000","22,000,000","27,000,000","32,000,000","34,000,000","5,000,000","396,000,000","4,000,000","35,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,"6,391,000,000",,"10,143,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
